,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-34.9788888888889,138.708611111111,91.9,32800
1,-34.98,138.707777777778,92.7,32800
2,-34.98,138.707777777778,93.7,10332
3,-34.9788888888889,138.708611111111,101.5,32800
4,-34.9825,138.708333333333,102.3,32800
5,-34.98,138.707777777778,103.1,32800
6,-34.9788888888889,138.708611111111,103.9,52480
7,-34.9811111111111,138.708055555556,104.7,32800
8,-34.9277777777778,138.596944444444,104.7,1131.6
9,-34.9825,138.708333333333,104.7,32800
10,-34.9788888888889,138.708611111111,105.5,52480
11,-34.9788888888889,138.708611111111,106.3,52480
12,-34.9811111111111,138.708055555556,107.1,32800
13,-34.9277777777778,138.596944444444,107.1,1131.6
14,-34.9825,138.708333333333,107.1,32800
15,-34.9825,138.708333333333,107.1,32800
16,-34.9788888888889,138.708611111111,107.9,32800
17,-34.9247222222222,138.602777777778,90.3,3280
18,-34.9247222222222,138.602777777778,90.3,3280
19,-34.9247222222222,138.602777777778,95.1,3280
20,-34.9247222222222,138.602777777778,95.9,3280
21,-34.9247222222222,138.602777777778,96.7,3280
22,-34.9247222222222,138.602777777778,97.5,3280
23,-34.9247222222222,138.602777777778,98.3,3280
24,-34.9247222222222,138.602777777778,99.1,3280
25,-34.935,138.604444444444,99.9,4100
26,-34.9988888888889,138.6225,99.9,656
27,-13.2447222222222,131.109166666667,98.1,82
28,-13.2444444444444,131.109166666667,98.9,82
29,-13.2444444444444,131.109166666667,100.5,82
30,-13.2447222222222,131.109166666667,101.3,82
31,-13.2447222222222,131.109166666667,102.1,82
32,-35.055,138.539166666667,88.7,984
33,-35.3047222222222,148.094722222222,94.1,32.8
34,-24.2161111111111,151.895833333333,98.3,410
35,-20.2730555555556,148.710277777778,89.9,262.4
36,-20.2730555555556,148.710277777778,90.7,410
37,-20.2730555555556,148.710277777778,91.5,410
38,-20.2730555555556,148.710277777778,92.3,410
39,-20.2730555555556,148.710277777778,93.1,262.4
40,-20.2730555555556,148.710277777778,93.9,410
41,-20.2730555555556,148.710277777778,94.7,410
42,-20.2730555555556,148.710277777778,95.5,262.4
43,-34.6569444444444,117.646944444444,93.7,8200
