,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,22.698055555555552,90.35361111111109,88.0,0
1,22.350000000000005,91.83333333333333,88.0,0
2,21.421388888888888,92.02500000000002,88.0,0
3,23.795,90.41361111111112,88.0,0
4,22.82055555555555,89.55305555555557,88.0,0
5,24.76666666666667,90.46111111111111,88.0,0
6,24.36805555555556,88.57555555555554,88.0,0
7,24.901666666666667,91.86083333333335,88.0,0
8,23.78083333333333,90.41694444444445,88.4,2000
9,23.77611111111111,90.37249999999999,88.8,60000
10,22.345555555555553,91.80055555555555,88.8,50000
11,25.761666666666667,89.23999999999998,88.8,50000
12,24.901666666666667,91.86083333333335,88.8,50000
13,24.36805555555556,88.57555555555554,88.8,10000
14,22.830833333333334,89.54472222222222,88.8,0
15,22.350000000000005,91.83333333333333,89.2,0
16,23.76111111111111,90.41666666666667,89.2,0
17,22.698055555555552,90.35361111111109,89.6,40000
18,24.833333333333332,89.37638888888888,89.6,40000
19,22.350000000000005,91.83333333333333,89.6,40000
20,23.355555555555558,91.14166666666667,89.6,40000
21,21.421388888888888,92.02500000000002,89.6,40000
22,23.76111111111111,90.41666666666667,89.6,40000
23,22.82055555555555,89.55305555555557,89.6,40000
24,23.90555555555556,89.12916666666666,89.6,40000
25,24.76666666666667,90.46111111111111,89.6,40000
26,24.911111111111108,91.87777777777777,89.6,40000
27,25.761666666666667,89.23999999999998,90.0,20000
28,22.345555555555553,91.80055555555555,90.0,5000
29,24.36805555555556,88.57555555555554,90.0,5000
30,23.76111111111111,90.41666666666667,90.0,0
31,22.830833333333334,89.54472222222222,90.0,0
32,24.901666666666667,91.86083333333335,90.0,0
33,23.780555555555555,90.41611111111112,90.4,10000
34,22.698055555555552,90.35361111111109,90.4,0
35,24.833333333333332,89.37638888888888,90.4,0
36,22.350000000000005,91.83333333333333,90.4,0
37,21.421388888888888,92.02500000000002,90.4,0
38,22.82055555555555,89.55305555555557,90.4,0
39,24.76666666666667,90.46111111111111,90.4,0
40,24.36805555555556,88.57555555555554,90.4,0
41,25.76666666666667,89.23333333333333,90.4,0
42,24.911111111111108,91.87777777777777,90.4,0
44,23.76111111111111,90.41666666666667,91.2,1000
45,23.795,90.41361111111112,91.6,0
46,26.03027777777778,88.47500000000001,92.0,40000
47,24.76666666666667,90.46111111111111,92.0,10000
48,22.22,92.20194444444445,92.0,0
49,23.023055555555555,89.84111111111109,92.0,0
50,23.76111111111111,90.41666666666667,92.4,0
51,23.76111111111111,90.41666666666667,92.8,0
52,23.76111111111111,90.41666666666667,93.2,0
53,23.76111111111111,90.41666666666667,93.6,0
54,23.76111111111111,90.41666666666667,94.4,1000
55,23.780277777777776,90.35694444444445,94.5,10000
56,23.76111111111111,90.41666666666667,94.8,1000
57,23.76111111111111,90.41666666666667,95.2,0
58,23.76111111111111,90.41666666666667,96.0,0
59,23.76111111111111,90.41666666666667,96.4,0
60,23.780277777777776,90.35694444444445,97.6,10000
61,23.76111111111111,90.41666666666667,98.4,0
62,22.140277777777776,90.22777777777777,98.8,0
63,24.657222222222224,88.2936111111111,98.8,0
64,25.302500000000006,89.52194444444443,98.8,0
65,22.350000000000005,89.28749999999998,98.8,0
66,24.24638888888889,88.81722222222223,99.0,0
67,22.19527777777778,90.75277777777777,99.0,0
68,21.421388888888888,92.02500000000002,99.0,0
69,23.54944444444445,89.17888888888889,99.2,100
70,22.159722222222218,90.12777777777777,99.2,0
71,24.833333333333332,89.37638888888888,99.2,0
72,25.583333333333336,89.66111111111113,99.2,0
73,22.271388888888886,91.14055555555557,99.2,0
74,22.455555555555552,89.02777777777777,99.2,0
75,24.49444444444444,91.77777777777776,99.2,0
76,23.554166666666664,90.54444444444442,99.2,0
77,24.80694444444445,88.94305555555557,99.2,0
78,24.36805555555556,88.57555555555554,99.2,0
79,22.60777777777778,91.66361111111114,99.2,0
80,20.869444444444447,92.29722222222222,99.2,0
81,23.77611111111111,90.37249999999999,100.0,60000
82,25.761666666666667,89.23999999999998,100.0,2000
83,23.048888888888893,88.37972222222221,100.8,10000
84,21.421388888888888,92.02500000000002,100.8,0
85,23.355555555555558,91.14166666666667,101.2,2000
86,22.350000000000005,91.83333333333333,101.4,0
87,24.901666666666667,91.86083333333335,101.5,2000
88,23.76111111111111,90.41666666666667,101.6,0
89,23.780277777777776,90.35694444444445,102.0,10000
90,22.830833333333334,89.54472222222222,102.0,4000
91,23.76111111111111,90.41666666666667,102.4,0
92,22.350000000000005,91.83333333333333,102.5,2000
93,22.322777777777777,91.81388888888888,103.0,0
94,23.780277777777776,90.35694444444445,103.2,10000
95,22.654444444444444,92.14861111111111,103.2,5000
96,25.761666666666667,89.23999999999998,103.5,0
97,23.355555555555558,91.14166666666667,103.6,0
98,22.22,92.20194444444445,104.0,5000
99,24.36805555555556,88.57555555555554,104.0,5000
100,23.76111111111111,90.41666666666667,104.0,1000
101,22.67388888888889,90.33694444444446,105.2,50000
102,24.36805555555556,88.57555555555554,105.2,1000
103,24.901666666666667,91.86083333333335,105.2,1000
104,25.79444444444444,88.90000000000002,105.5,2000
105,23.76111111111111,90.41666666666667,105.5,250
106,22.350000000000005,91.83333333333333,105.6,2000
107,25.761666666666667,89.23999999999998,105.6,1000
108,24.76666666666667,90.46111111111111,106.0,2000
109,22.830833333333334,89.54472222222222,106.5,2000
110,23.76111111111111,90.41666666666667,106.5,250
