,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-1.6444444444444442,29.200000000000003,87.5,1000
1,-11.71111111111111,27.46666666666667,87.5,0
3,-5.0,12.833333333333334,87.8,1000
4,-10.966666666666667,26.733333333333338,87.8,0
5,-11.71111111111111,27.46666666666667,87.8,0
6,-10.966666666666667,26.733333333333338,87.9,0
7,-11.71111111111111,27.46666666666667,88.0,1000
8,2.8666666666666667,30.850000000000005,88.0,0
9,-4.335555555555556,15.266944444444444,88.1,1000
10,0.5,25.200000000000003,88.1,0
11,0.016666666666666666,18.311111111111114,88.1,0
12,-6.133333333333334,23.611111111111107,88.1,0
13,-1.6444444444444442,29.200000000000003,88.2,500
14,-11.71111111111111,27.46666666666667,88.3,0
15,-2.5083333333333333,28.855555555555558,88.4,1000
16,-4.335555555555556,15.266944444444444,88.4,1000
17,-1.6444444444444442,29.200000000000003,88.4,500
18,-1.6444444444444442,29.200000000000003,88.5,1000
19,-6.133333333333334,24.46666666666667,88.5,1000
20,-2.6777777777777776,28.677777777777774,88.5,0
21,-10.966666666666667,26.733333333333338,88.5,0
22,-1.3986111111111112,28.827777777777776,88.5,0
23,-1.6444444444444442,29.200000000000003,88.7,1000
24,-4.335555555555556,15.266944444444444,88.7,1000
25,-6.133333333333334,24.46666666666667,88.7,0
26,-11.71111111111111,27.46666666666667,88.7,0
27,-5.833333333333333,13.46111111111111,88.7,0
28,-2.5055555555555555,28.862777777777783,88.8,1000
29,0.016666666666666666,18.311111111111114,88.8,1000
30,-10.727777777777776,22.46111111111111,88.9,1000
31,-5.9,22.416666666666668,89.0,5000
32,-1.6444444444444442,29.200000000000003,89.0,1000
33,-1.1333333333333335,29.433333333333337,89.0,0
34,-3.2791666666666663,28.116666666666667,89.0,0
35,-4.527777777777777,18.883333333333336,89.0,0
36,-3.2944444444444443,17.34444444444444,89.1,0
37,-5.833333333333333,13.077777777777776,89.1,0
38,-2.5111111111111106,28.833333333333332,89.1,0
39,-2.9944444444444445,25.95,89.1,0
40,0.7,29.14444444444444,89.2,0
41,0.9833333333333333,29.308333333333334,89.2,0
42,-6.133333333333334,23.611111111111107,89.2,0
43,-11.71111111111111,27.46666666666667,89.3,1000
