,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,15.278055555555556,-61.341111111111125,87.9,1000
1,15.278055555555556,-61.341111111111125,88.1,1000
2,15.525833333333335,-61.46888888888889,88.5,30
3,15.401388888888892,-61.420555555555545,88.7,0
4,15.55,-61.32777777777777,88.7,0
5,15.31111111111111,-61.39444444444444,89.5,200
6,15.402777777777777,-61.41999999999999,89.7,0
7,15.525833333333335,-61.46888888888889,90.7,100
8,15.31111111111111,-61.39444444444444,91.1,0
9,15.278055555555556,-61.341111111111125,93.1,200
10,15.233333333333334,-61.32777777777777,93.5,0
12,15.525833333333335,-61.46888888888889,94.5,0
13,15.278055555555556,-61.341111111111125,95.1,1000
14,15.31111111111111,-61.39444444444444,95.3,0
15,15.278055555555556,-61.341111111111125,96.1,0
16,15.500000000000002,-61.33333333333334,96.9,0
17,15.278055555555556,-61.341111111111125,98.1,1000
18,15.31111111111111,-61.39444444444444,99.5,0
19,15.31111111111111,-61.39444444444444,102.1,200
20,15.255833333333335,-61.27694444444444,103.1,100
21,15.366666666666669,-61.400000000000006,103.3,0
22,15.55,-61.32777777777777,103.5,300
23,15.233333333333334,-61.32777777777777,103.5,100
24,15.525833333333335,-61.46888888888889,104.1,100
25,15.525833333333335,-61.46888888888889,104.7,0
26,15.55,-61.32777777777777,105.7,0
27,15.55,-61.32777777777777,106.1,100
28,15.525833333333335,-61.46888888888889,107.9,40
