,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-29.852777777777778,27.265555555555554,87.6,5000
1,-29.505555555555553,28.61083333333334,87.9,320
2,-28.808333333333337,28.127777777777784,88.6,1000
3,-29.852777777777778,27.265555555555554,89.3,1000
4,-30.072222222222226,28.6925,89.3,316
5,-29.330555555555556,27.539999999999996,89.7,1000
6,-29.236111111111107,28.959166666666665,89.7,1000
7,-29.236111111111107,28.959166666666665,89.7,1000
8,-28.808333333333337,28.127777777777784,89.7,500
9,-30.141666666666662,27.445277777777775,90.0,1000
10,-29.330555555555556,27.539999999999996,90.2,6000
11,-29.236111111111107,28.959166666666665,90.3,1000
12,-29.852777777777778,27.265555555555554,90.7,5000
13,-29.350000000000005,28.492499999999996,90.8,500
14,-29.319444444444443,27.487222222222222,91.0,1000
15,-28.76666666666667,28.25027777777777,91.2,1000
16,-30.072222222222226,28.6925,91.2,1000
17,-28.808333333333337,28.127777777777784,91.7,1000
18,-30.411111111111108,27.704444444444448,92.3,1000
19,-29.852777777777778,27.265555555555554,92.6,1000
20,-29.625000000000004,28.20916666666667,92.6,500
21,-28.808333333333337,28.127777777777784,92.8,5000
22,-30.175000000000004,27.99833333333334,93.2,500
23,-30.28055555555555,27.84888888888889,93.2,300
24,-29.330555555555556,27.539999999999996,93.3,6000
25,-30.072222222222226,28.6925,93.6,1000
26,-29.852777777777778,27.265555555555554,93.9,5000
27,-30.141666666666662,27.445277777777775,93.9,1000
28,-28.808333333333337,28.127777777777784,94.0,1000
29,-29.319444444444443,27.487222222222222,94.3,1000
30,-28.808333333333337,28.127777777777784,94.6,1000
31,-29.330555555555556,27.539999999999996,95.0,500
32,-30.411111111111108,27.704444444444448,95.3,1000
33,-29.341666666666665,27.569722222222225,95.6,5000
34,-28.808333333333337,28.127777777777784,96.0,1000
35,-29.505555555555553,28.61083333333334,96.1,0
36,-29.330555555555556,27.539999999999996,96.5,1500
37,-29.236111111111107,28.959166666666665,96.5,1000
38,-29.522222222222226,28.48194444444444,96.8,5000
39,-30.141666666666662,27.445277777777775,96.8,0
40,-29.341666666666665,27.57222222222222,97.0,1000
41,-29.852777777777778,27.265555555555554,97.2,1000
42,-29.330555555555556,27.539999999999996,97.4,1000
43,-29.350000000000005,28.492499999999996,97.6,0
44,-28.808333333333337,28.127777777777784,98.2,2000
45,-29.330555555555556,27.539999999999996,98.9,1000
46,-29.944444444444443,28.13611111111111,98.9,500
47,-28.808333333333337,28.127777777777784,99.3,1000
48,-29.330555555555556,27.539999999999996,99.8,3000
49,-30.411111111111108,27.704444444444448,99.8,316
50,-29.341666666666665,27.569722222222225,100.1,1000
51,-29.58888888888889,28.539166666666667,100.2,500
52,-30.072222222222226,28.6925,100.5,1000
53,-29.330555555555556,27.539999999999996,100.6,1000
54,-28.93611111111111,27.86916666666667,100.9,500
55,-29.236111111111107,28.959166666666665,101.1,1000
56,-29.330555555555556,27.539999999999996,101.2,500
57,-29.319444444444443,27.487222222222222,101.7,0
58,-29.319444444444443,27.487222222222222,102.0,1000
59,-30.175000000000004,27.99833333333334,102.1,1000
60,-30.411111111111108,27.704444444444448,102.4,6000
61,-29.330555555555556,27.539999999999996,102.4,1000
62,-29.308333333333334,27.482222222222216,102.5,0
63,-29.852777777777778,27.265555555555554,102.7,500
64,-28.808333333333337,28.127777777777784,102.8,5000
65,-29.505555555555553,28.61083333333334,102.9,2000
66,-29.341666666666665,27.569722222222225,103.3,1000
67,-29.236111111111107,28.959166666666665,103.6,1000
68,-29.319444444444443,27.487222222222222,103.6,100
69,-29.330555555555556,27.539999999999996,104.0,1000
70,-30.072222222222226,28.6925,104.1,1000
71,-29.852777777777778,27.265555555555554,104.3,5000
72,-28.808333333333337,28.127777777777784,104.3,500
73,-29.330555555555556,27.539999999999996,104.6,1000
74,-29.522222222222226,28.48194444444444,104.6,1000
75,-29.330555555555556,27.539999999999996,105.3,1000
76,-30.072222222222226,28.6925,105.4,1000
77,-29.330555555555556,27.539999999999996,106.0,1000
79,-29.341666666666665,27.57222222222222,106.1,1000
80,-29.500000000000004,28.877777777777776,106.1,1000
81,-29.852777777777778,27.265555555555554,106.3,1000
82,-28.808333333333337,28.127777777777784,106.4,5000
83,-29.522222222222226,28.48194444444444,106.6,1000
84,-29.341666666666665,27.569722222222225,106.9,1000
85,-29.505555555555553,28.61083333333334,106.9,1000
86,-29.852777777777778,27.265555555555554,107.7,316
87,-29.319444444444443,27.487222222222222,107.8,0
