,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,54.770555555555546,25.291666666666664,50.063,7
1,54.686944444444435,25.21472222222222,67.25,250
2,54.686944444444435,25.21472222222222,67.94,2000
3,55.61083333333334,26.431111111111107,68.24,4000
4,54.41999999999999,24.02138888888889,70.04,25
5,55.853888888888896,23.16111111111111,70.07,12000
6,54.879999999999995,23.938611111111115,70.22,1000
7,54.80166666666667,23.794444444444448,70.64,12000
8,55.853888888888896,23.16111111111111,71.15,12000
9,54.80166666666667,23.794444444444448,71.45,12000
10,54.686944444444435,25.21472222222222,71.81,17000
11,55.853888888888896,23.16111111111111,71.93,12000
12,55.853888888888896,23.16111111111111,72.71,12000
13,55.76805555555556,21.096666666666668,87.5,5012
14,56.21722222222223,24.727500000000003,87.5,1318
15,54.529166666666676,23.353055555555553,87.6,282
16,56.3275,22.275277777777777,87.6,251
17,55.36583333333333,23.136944444444442,87.7,550
18,55.94249999999999,25.586388888888884,87.7,324
19,54.686944444444435,25.21472222222222,87.8,5248
20,55.69611111111111,24.385555555555552,87.9,316
21,55.08666666666667,22.768888888888885,87.9,123
22,55.94027777777777,21.873888888888892,88.0,977
23,54.19666666666667,23.568055555555553,88.0,110
24,54.89416666666667,23.935000000000002,88.1,309
25,55.853888888888896,23.16111111111111,88.2,3162
26,55.69944444444443,21.1475,88.2,32
27,55.50638888888889,25.57777777777778,88.3,1000
28,54.39694444444445,24.005555555555553,88.3,148
29,54.686944444444435,25.21472222222222,88.5,3631
30,55.57555555555557,22.342777777777773,88.5,662
31,56.21722222222223,24.727500000000003,88.5,589
32,55.923333333333325,21.077222222222225,88.7,316
33,55.853888888888896,23.16111111111111,88.8,4074
34,54.686944444444435,25.21472222222222,89.0,18197
35,55.67444444444444,21.230833333333337,89.1,3802
36,54.57277777777777,23.381388888888893,89.1,1000
37,55.497777777777785,25.638611111111114,89.3,891
38,55.26527777777779,22.265833333333333,89.3,631
39,54.39694444444445,24.005555555555553,89.3,186
40,56.21194444444444,23.575833333333332,89.4,2042
41,55.94027777777777,21.873888888888892,89.4,89
42,55.93583333333332,25.565,89.5,135
43,55.36583333333333,23.136944444444442,89.5,100
44,54.686944444444435,25.21472222222222,89.6,14125
45,55.853888888888896,23.16111111111111,89.7,3451
46,55.30500000000001,20.99916666666667,89.8,372
47,56.3025,22.338611111111106,89.9,724
48,55.22777777777778,24.826388888888893,89.9,245
49,55.735555555555564,21.50611111111111,90.1,3715
50,54.80166666666667,23.794444444444448,90.3,15136
51,56.21722222222223,24.727500000000003,90.4,209
52,55.853888888888896,23.16111111111111,90.5,794
53,55.76805555555556,21.096666666666668,90.6,2818
54,55.36583333333333,23.136944444444442,90.7,501
55,54.70111111111112,25.22166666666666,90.7,309
56,54.529166666666676,23.353055555555553,90.8,2951
57,55.78944444444444,24.377777777777776,90.8,115
58,55.50638888888889,25.57777777777778,90.9,501
59,55.94027777777777,21.873888888888892,90.9,372
60,54.89416666666667,23.935000000000002,91.0,933
61,55.237500000000004,22.293333333333337,91.1,214
62,56.054722222222225,22.590277777777775,91.2,1995
63,55.38777777777778,23.12055555555556,91.3,126
64,55.69138888888889,21.146388888888893,91.4,2399
65,54.529166666666676,23.353055555555553,91.4,2138
66,55.93583333333332,25.565,91.4,302
67,55.20138888888889,24.81,91.5,1000
68,56.26138888888889,21.52944444444444,91.6,1995
69,55.08666666666667,22.768888888888885,91.6,646
70,53.99666666666666,23.990833333333335,91.7,612
71,55.853888888888896,23.16111111111111,91.8,1000
72,55.33777777777778,26.175833333333337,91.8,813
73,55.76805555555556,21.096666666666668,91.9,501
74,54.89416666666667,23.935000000000002,91.9,316
75,55.73416666666667,24.358333333333338,92.0,347
76,55.30500000000001,20.99916666666667,92.1,708
77,55.853888888888896,23.16111111111111,92.2,3631
78,54.39694444444445,24.005555555555553,92.2,158
79,55.50638888888889,25.57777777777778,92.3,1549
80,55.26527777777779,22.265833333333333,92.3,316
81,54.879999999999995,23.938611111111115,92.4,3162
82,55.76805555555556,21.096666666666668,92.5,4467
83,55.33777777777778,26.175833333333337,92.5,204
84,55.948611111111106,25.59916666666666,92.6,724
85,56.3025,22.338611111111106,92.7,2138
86,53.99666666666666,23.990833333333335,92.7,631
87,55.44333333333332,23.66333333333333,92.8,11749
88,55.979444444444454,22.20583333333333,93.0,389
89,54.686944444444435,25.21472222222222,93.1,8913
90,55.69611111111111,24.385555555555552,93.2,112
91,56.3025,22.338611111111106,93.3,2042
92,55.26472222222221,23.986111111111114,93.3,152
93,55.6963888888889,21.16861111111111,93.3,50
94,54.529166666666676,23.353055555555553,93.4,977
95,56.21194444444444,23.575833333333332,93.4,78
96,55.50638888888889,25.57777777777778,93.5,1000
97,55.57555555555557,22.342777777777773,93.5,575
98,54.89694444444444,23.93833333333334,93.6,0
99,55.69611111111111,24.385555555555552,93.7,1698
100,55.67444444444444,21.230833333333337,93.7,151
101,54.19666666666667,23.568055555555553,93.7,23
102,55.50638888888889,25.57777777777778,93.9,501
103,55.36277777777777,21.544722222222227,93.9,196
104,54.4125,24.157222222222224,94.0,2512
105,55.979444444444454,22.20583333333333,94.1,50
106,55.34722222222222,23.384999999999998,94.2,4786
107,54.721944444444446,25.332777777777775,94.2,20
108,53.99666666666666,23.990833333333335,94.3,166
109,55.36277777777777,21.544722222222227,94.3,158
110,55.69611111111111,24.385555555555552,94.3,20
111,56.02055555555556,21.078888888888887,94.4,562
112,56.21194444444444,23.575833333333332,94.4,490
113,54.899722222222216,23.928888888888892,94.4,178
114,55.979444444444454,22.20583333333333,94.5,100
115,55.20750000000001,24.790833333333335,94.6,1995
116,55.38749999999999,23.130555555555553,94.7,68
117,54.49638888888889,23.57694444444444,94.8,2291
118,56.21194444444444,23.575833333333332,94.8,316
119,55.76805555555556,21.096666666666668,94.9,3162
120,54.70111111111112,25.22166666666666,94.9,50
121,55.69194444444444,24.98111111111111,95.0,3981
122,55.26472222222221,23.986111111111114,95.2,736
123,54.39694444444445,24.005555555555553,95.3,631
124,56.11277777777777,22.325833333333335,95.4,3388
125,55.33777777777778,26.175833333333337,95.4,20
126,54.686944444444435,25.21472222222222,95.5,2344
127,55.36583333333333,23.136944444444442,95.5,93
128,55.948611111111106,25.59916666666666,95.6,871
129,55.90999999999999,23.311388888888892,95.7,1778
130,54.89416666666667,23.935000000000002,95.7,98
131,55.47500000000001,25.586388888888884,95.8,676
132,54.686944444444435,25.21472222222222,95.9,372
133,56.21722222222223,24.727500000000003,96.0,1778
134,55.30500000000001,20.99916666666667,96.0,316
135,54.80166666666667,23.794444444444448,96.2,10000
136,55.70000000000001,21.14444444444444,96.2,200
137,55.94249999999999,25.586388888888884,96.3,513
138,56.3025,22.338611111111106,96.4,1778
139,54.686944444444435,25.21472222222222,96.4,1259
140,55.26527777777779,22.265833333333333,96.5,501
141,55.74638888888888,24.383055555555554,96.6,1000
142,55.76805555555556,21.096666666666668,96.7,2344
143,54.686944444444435,25.21472222222222,96.8,550
144,55.999722222222225,22.25638888888889,96.8,158
145,55.36277777777777,21.544722222222227,96.9,151
146,55.853888888888896,23.16111111111111,97.0,891
147,54.899722222222216,23.928888888888892,97.1,800
148,53.99666666666666,23.990833333333335,97.2,123
149,54.686944444444435,25.21472222222222,97.3,631
150,55.30500000000001,20.99916666666667,97.3,115
151,55.927499999999995,21.825833333333335,97.3,66
152,55.90999999999999,23.311388888888892,97.4,891
153,55.94249999999999,25.586388888888884,97.5,263
154,54.80166666666667,23.794444444444448,97.6,3981
155,55.94027777777777,21.873888888888892,97.7,501
156,55.50638888888889,25.57777777777778,97.7,417
157,55.91055555555555,23.268055555555552,97.8,1622
158,54.72972222222222,25.272777777777772,97.9,20
159,54.80166666666667,23.794444444444448,98.0,1862
160,56.21722222222223,24.727500000000003,98.2,1862
161,55.26527777777779,22.265833333333333,98.2,251
162,54.686944444444435,25.21472222222222,98.3,3467
163,55.76805555555556,21.096666666666668,98.3,3388
164,55.57777777777778,26.482222222222216,98.3,501
165,55.91055555555555,23.268055555555552,98.5,200
166,54.89416666666667,23.935000000000002,98.5,49
167,55.50638888888889,25.57777777777778,98.7,1585
168,55.26527777777779,22.265833333333333,98.8,13183
169,54.72972222222222,25.272777777777772,98.8,6
170,55.22777777777778,24.826388888888893,98.9,219
171,54.41999999999999,24.02138888888889,99.0,3162
172,55.76805555555556,21.096666666666668,99.0,724
173,55.33777777777778,26.175833333333337,99.0,380
174,55.69611111111111,24.385555555555552,99.1,339
175,55.36583333333333,23.136944444444442,99.2,398
176,56.26138888888889,21.52944444444444,99.3,724
177,54.70111111111112,25.22166666666666,99.3,398
178,56.238333333333344,24.82555555555556,99.3,389
179,55.916388888888896,23.245277777777783,99.4,20
180,55.20750000000001,24.790833333333335,99.5,479
181,55.92055555555556,21.828888888888887,99.5,200
182,54.21583333333334,24.59166666666667,99.5,48
183,55.33777777777778,26.175833333333337,99.6,191
184,54.686944444444435,25.21472222222222,99.7,977
185,55.76805555555556,21.096666666666668,99.8,3715
186,56.21722222222223,24.727500000000003,99.8,229
187,55.36583333333333,23.136944444444442,99.9,2042
188,55.524166666666666,25.089444444444442,99.9,224
189,55.979444444444454,22.20583333333333,100.0,186
190,53.99666666666666,23.990833333333335,100.0,178
191,55.94249999999999,25.586388888888884,100.0,126
192,55.26472222222221,23.986111111111114,100.0,117
193,54.686944444444435,25.21472222222222,100.1,3890
194,55.69611111111111,24.385555555555552,100.2,5012
195,55.76805555555556,21.096666666666668,100.2,1175
196,54.536111111111104,23.3525,100.2,708
197,55.08666666666667,22.768888888888885,100.3,209
198,54.21583333333334,24.59166666666667,100.3,123
199,55.61083333333334,26.431111111111107,100.4,9772
200,56.30777777777777,22.332777777777775,100.4,3981
201,54.89416666666667,23.935000000000002,100.4,2399
202,55.853888888888896,23.16111111111111,100.5,2951
203,54.734722222222224,25.262499999999996,100.5,85
204,55.22777777777778,24.826388888888893,100.6,468
205,54.21583333333334,24.59166666666667,100.7,490
206,55.36583333333333,23.136944444444442,100.7,257
