,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
1,-22.433333333333337,19.008888888888887,87.6,1000
2,-26.575,18.135,87.6,1000
3,-17.674999999999997,18.601666666666674,87.6,500
4,-19.57222222222222,17.710833333333333,87.7,5000
5,-24.45277777777778,17.914444444444445,87.7,500
6,-28.69722222222222,17.618055555555557,87.7,500
7,-17.527777777777775,24.271666666666665,87.8,5000
8,-17.788888888888895,15.709444444444447,87.8,5000
9,-22.70833333333333,17.060555555555556,87.8,5000
10,-17.522222222222226,16.305277777777775,87.8,1000
11,-20.500000000000004,16.69055555555556,87.8,1000
12,-22.355555555555558,16.12805555555556,87.8,500
13,-26.8,19.64805555555556,87.9,1000
14,-20.522222222222226,15.227222222222224,87.9,1000
15,-17.43888888888889,14.359444444444444,88.0,1000
16,-17.508333333333336,14.985277777777776,88.0,0
17,-22.294444444444444,19.906111111111112,88.1,1000
18,-23.344444444444445,16.218888888888888,88.1,1000
19,-26.49444444444444,17.238333333333333,88.1,500
20,-25.461111111111112,19.438055555555557,88.1,100
21,-22.53055555555556,14.820277777777779,88.3,2000
22,-17.855555555555558,18.885555555555552,88.4,500
23,-24.84444444444445,16.996111111111112,88.5,1000
24,-22.70833333333333,17.060555555555556,88.6,5000
25,-26.49444444444444,17.238333333333333,88.6,1000
26,-19.236111111111107,17.716388888888883,88.6,1000
27,-18.041666666666668,19.62444444444445,88.7,5000
28,-20.34444444444444,16.319166666666664,88.7,1000
29,-24.45277777777778,17.914444444444445,88.7,100
30,-25.93611111111111,19.11638888888889,88.8,1000
31,-22.95,14.507222222222222,88.8,500
32,-19.57777777777778,18.111111111111107,88.9,2000
33,-23.674999999999997,19.433611111111116,88.9,500
34,-17.57777777777778,17.21777777777778,89.0,500
35,-21.850000000000005,20.75555555555556,89.1,500
36,-19.008333333333333,14.47388888888889,89.1,100
37,-21.93611111111111,15.858055555555556,89.1,100
38,-21.727777777777778,15.52861111111111,89.1,100
39,-17.788888888888895,15.709444444444447,89.2,5000
40,-22.433333333333337,19.008888888888887,89.2,1000
41,-18.36388888888889,16.583611111111114,89.2,500
42,-20.500000000000004,16.69055555555556,89.2,100
43,-26.575,18.135,89.3,1000
44,-22.647222222222226,14.545277777777775,89.3,0
45,-18.038888888888888,22.200833333333332,89.4,500
46,-17.527777777777775,24.271666666666665,89.5,5000
47,-22.580555555555552,17.106944444444444,89.5,1000
48,-19.236111111111107,17.716388888888883,89.5,500
49,-17.522222222222226,16.305277777777775,89.6,1000
50,-17.91111111111111,19.763055555555553,89.6,1000
51,-20.683333333333334,17.062500000000004,89.6,100
52,-24.341666666666665,18.419166666666673,89.7,5000
53,-19.57777777777778,14.888333333333334,89.7,1000
54,-26.758333333333333,15.351388888888888,89.7,1000
55,-22.53055555555556,14.820277777777779,89.7,1000
56,-22.433333333333337,19.008888888888887,89.8,1000
57,-27.524999999999995,18.553888888888885,89.8,1000
58,-20.683333333333334,17.062500000000004,90.0,5000
59,-28.555555555555557,16.421111111111113,90.0,1000
60,-23.311111111111114,17.06777777777778,90.0,500
61,-18.041666666666668,19.62444444444445,90.1,5000
62,-17.527777777777775,24.271666666666665,90.1,1000
63,-22.647222222222226,14.545277777777775,90.1,1000
64,-17.90277777777778,15.975833333333332,90.1,0
65,-17.788888888888895,15.709444444444447,90.1,0
66,-25.855555555555558,17.78111111111111,90.2,1000
67,-21.13611111111111,18.784166666666675,90.2,1000
68,-24.45277777777778,17.914444444444445,90.2,500
69,-23.311111111111114,17.06777777777778,90.3,1000
70,-27.955555555555552,16.74833333333333,90.3,500
71,-19.57222222222222,17.710833333333333,90.4,5000
72,-22.580555555555552,17.106944444444444,90.4,1000
73,-18.36388888888889,16.583611111111114,90.5,1000
74,-21.727777777777778,15.52861111111111,90.6,1000
75,-28.111111111111114,19.903888888888886,90.6,500
76,-26.758333333333333,15.351388888888888,90.6,100
77,-22.433333333333337,19.008888888888887,90.7,1000
78,-26.575,18.135,90.7,1000
79,-17.674999999999997,18.601666666666674,90.7,500
80,-19.57222222222222,17.710833333333333,90.8,5000
81,-24.45277777777778,17.914444444444445,90.8,1000
82,-28.69722222222222,17.618055555555557,90.8,500
83,-17.527777777777775,24.271666666666665,90.9,5000
84,-17.819444444444443,23.39722222222222,90.9,500
85,-17.788888888888895,15.709444444444447,90.9,500
86,-20.500000000000004,16.69055555555556,90.9,100
87,-20.522222222222226,15.227222222222224,91.0,1000
88,-28.555555555555557,16.421111111111113,91.0,0
89,-18.16666666666667,13.929166666666669,91.1,5000
90,-22.53055555555556,14.820277777777779,91.1,250
91,-20.683333333333334,17.062500000000004,91.2,5000
92,-24.341666666666665,18.419166666666673,91.2,5000
93,-26.49444444444444,17.238333333333333,91.2,500
94,-26.758333333333333,15.351388888888888,91.2,500
95,-18.91666666666667,18.04444444444444,91.2,500
96,-18.04444444444444,20.892222222222223,91.3,5000
97,-19.57777777777778,18.111111111111107,91.3,1000
98,-22.580555555555552,17.106944444444444,91.3,250
99,-19.236111111111107,17.716388888888883,91.4,500
100,-17.855555555555558,18.885555555555552,91.5,500
101,-22.647222222222226,14.545277777777775,91.5,500
102,-21.508333333333336,19.421944444444442,91.6,1000
103,-22.70833333333333,17.060555555555556,91.7,5000
104,-26.49444444444444,17.238333333333333,91.7,1000
105,-19.236111111111107,17.716388888888883,91.7,1000
106,-18.041666666666668,19.62444444444445,91.8,5000
107,-20.34444444444444,16.319166666666664,91.8,1000
108,-24.45277777777778,17.914444444444445,91.8,500
109,-19.57777777777778,14.888333333333334,91.9,500
110,-22.95,14.507222222222222,91.9,100
111,-23.674999999999997,19.433611111111116,92.0,500
112,-19.561111111111106,18.108055555555556,92.0,100
113,-17.57777777777778,17.21777777777778,92.1,500
114,-22.433333333333337,19.008888888888887,92.1,100
115,-18.075,21.419722222222227,92.2,1000
116,-21.91388888888889,15.904722222222224,92.2,1000
117,-22.116666666666667,14.294444444444444,92.2,500
118,-21.727777777777778,15.52861111111111,92.2,500
119,-21.850000000000005,20.75555555555556,92.2,500
120,-21.727777777777778,15.52861111111111,92.2,100
121,-21.974999999999994,15.605,92.2,100
122,-19.57222222222222,17.710833333333333,92.3,5000
123,-17.788888888888895,15.709444444444447,92.3,1000
124,-18.36388888888889,16.583611111111114,92.3,0
125,-22.433333333333337,19.008888888888887,92.4,1000
126,-26.575,18.135,92.4,100
127,-26.61944444444444,16.30277777777778,92.5,1000
128,-28.361111111111107,17.423888888888893,92.5,1000
129,-18.038888888888888,22.200833333333332,92.5,500
130,-17.527777777777775,24.271666666666665,92.6,5000
131,-22.580555555555552,17.106944444444444,92.6,1000
132,-17.833333333333332,24.583333333333336,92.6,500
133,-19.236111111111107,17.716388888888883,92.6,100
134,-20.683333333333334,17.062500000000004,92.7,5000
135,-17.522222222222226,16.305277777777775,92.7,1000
136,-17.91111111111111,19.763055555555553,92.7,100
137,-24.341666666666665,18.419166666666673,92.8,5000
138,-26.758333333333333,15.351388888888888,92.8,1000
139,-22.53055555555556,14.820277777777779,92.8,1000
140,-19.57777777777778,14.888333333333334,92.8,500
141,-27.524999999999995,18.553888888888885,92.9,1000
142,-26.575,18.135,92.9,1000
143,-22.433333333333337,19.008888888888887,92.9,100
144,-17.527777777777775,24.271666666666665,93.1,1000
145,-20.683333333333334,17.062500000000004,93.1,1000
146,-28.555555555555557,16.421111111111113,93.1,500
147,-23.311111111111114,17.06777777777778,93.1,500
148,-17.788888888888895,15.709444444444447,93.2,5000
149,-18.041666666666668,19.62444444444445,93.2,5000
150,-22.53055555555556,14.820277777777779,93.3,5000
151,-21.13611111111111,18.784166666666675,93.3,500
152,-27.955555555555552,16.74833333333333,93.4,500
153,-22.580555555555552,17.106944444444444,93.5,1000
154,-17.508333333333336,14.985277777777776,93.6,1000
155,-26.758333333333333,15.351388888888888,93.7,1000
156,-28.111111111111114,19.903888888888886,93.7,500
157,-21.727777777777778,15.52861111111111,93.7,500
158,-20.683333333333334,17.062500000000004,93.8,5000
159,-19.57777777777778,14.888333333333334,93.8,1000
160,-22.433333333333337,19.008888888888887,93.9,1000
161,-26.575,18.135,93.9,1000
162,-17.674999999999997,18.601666666666674,93.9,500
163,-19.57222222222222,17.710833333333333,94.0,5000
164,-24.45277777777778,17.914444444444445,94.0,1000
165,-17.527777777777775,24.271666666666665,94.1,5000
166,-17.522222222222226,16.305277777777775,94.1,1000
167,-22.70833333333333,17.060555555555556,94.1,1000
168,-17.819444444444443,23.39722222222222,94.1,500
169,-17.522222222222226,16.305277777777775,94.1,100
170,-20.47222222222222,16.652222222222218,94.1,0
171,-26.8,19.64805555555556,94.2,500
172,-18.16666666666667,13.929166666666669,94.3,5000
173,-17.508333333333336,14.985277777777776,94.3,1000
174,-22.647222222222226,14.545277777777775,94.3,500
175,-24.341666666666665,18.419166666666673,94.4,5000
176,-20.683333333333334,17.062500000000004,94.4,1000
177,-26.49444444444444,17.238333333333333,94.4,500
178,-18.04444444444444,20.892222222222223,94.5,5000
179,-21.425,15.944722222222222,94.6,1000
180,-21.91388888888889,15.904722222222224,94.6,100
181,-21.727777777777778,15.52861111111111,94.7,1000
182,-17.855555555555558,18.885555555555552,94.7,500
183,-26.758333333333333,15.351388888888888,94.7,100
184,-24.84444444444445,16.996111111111112,94.8,1000
185,-22.95,14.507222222222222,94.8,500
186,-22.70833333333333,17.060555555555556,94.9,5000
187,-19.236111111111107,17.716388888888883,94.9,1000
188,-18.041666666666668,19.62444444444445,95.0,5000
189,-20.34444444444444,16.319166666666664,95.0,1000
190,-24.45277777777778,17.914444444444445,95.0,100
191,-22.116666666666667,14.294444444444444,95.1,1000
192,-25.93611111111111,19.11638888888889,95.1,1000
