,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,11.966666666666667,-85.17777777777776,87.5,0
1,12.17333333333333,-83.04777777777777,88.1,0
2,12.136388888888886,-86.25138888888887,88.1,0
3,12.136388888888886,-86.25138888888887,88.1,0
4,11.86111111111111,-86.20000000000002,88.3,0
5,12.216666666666669,-85.17777777777776,88.3,0
6,12.43611111111111,-86.88472222222224,88.3,0
7,12.11111111111111,-86.26472222222222,88.3,0
8,12.136388888888886,-86.25138888888887,88.3,0
9,13.31111111111111,-86.19444444444444,88.3,0
10,11.966666666666667,-85.17777777777776,88.5,0
11,12.61111111111111,-85.77777777777776,88.5,0
12,13.627777777777775,-85.83333333333333,88.5,0
13,12.136388888888886,-86.25138888888887,88.6,0
14,12.11111111111111,-86.26472222222222,88.7,10000
15,12.744444444444444,-86.14444444444443,88.7,0
16,12.761111111111108,-85.61666666666667,88.7,0
17,13.327777777777778,-85.5611111111111,88.7,0
18,12.416666666666666,-85.80000000000001,88.7,0
19,12.093611111111109,-86.30472222222224,88.9,1000
20,12.842777777777776,-86.14166666666667,88.9,0
21,12.761111111111108,-85.85000000000001,88.9,0
22,12.093611111111109,-86.30472222222224,89.1,1000
23,13.211111111111109,-86.1,89.3,1000
24,12.921666666666667,-85.91972222222225,89.3,250
25,13.916666666666668,-86.12777777777775,89.3,240
26,13.177777777777777,-84.82777777777775,89.3,240
27,12.43611111111111,-86.88472222222224,89.3,100
28,11.966666666666667,-86.09444444444443,89.3,100
29,12.17333333333333,-83.04777777777777,89.3,0
30,13.383333333333335,-86.48333333333335,89.3,0
31,11.135000000000002,-84.75805555555556,89.3,0
32,11.995555555555555,-86.30583333333334,89.5,1000
33,11.9325,-85.95222222222225,89.5,0
34,12.11111111111111,-86.26472222222222,89.5,0
35,12.761111111111108,-85.5111111111111,89.5,0
36,13.083333333333336,-86.36111111111109,89.7,0
37,12.43611111111111,-86.88472222222224,89.7,0
38,11.916666666666668,-86.15000000000002,89.7,0
39,12.921666666666667,-85.91972222222225,89.7,0
40,11.683333333333334,-84.46111111111111,89.7,0
41,11.995555555555555,-86.30583333333334,89.9,10000
42,12.077777777777776,-84.54444444444442,89.9,0
43,11.99222222222222,-84.77388888888888,90.1,1000
44,13.068055555555555,-85.97694444444443,90.1,500
45,12.704444444444443,-86.95833333333331,90.1,240
46,13.110833333333334,-86.42666666666669,90.1,240
47,12.921666666666667,-85.91972222222225,90.1,0
48,11.916666666666668,-86.09444444444443,90.3,0
49,12.921666666666667,-85.91972222222225,90.3,0
50,12.266666666666667,-86.56666666666668,90.3,0
51,13.744444444444444,-84.77777777777776,90.3,0
52,13.744444444444444,-84.77777777777776,90.3,0
53,11.995555555555555,-86.30583333333334,90.5,1000
54,13.916666666666668,-86.12777777777775,90.5,0
55,12.027777777777777,-83.77777777777776,90.7,1000
56,13.083333333333336,-86.0,90.7,240
57,12.627777777777775,-87.15000000000002,90.7,0
58,12.43611111111111,-86.88472222222224,90.7,0
59,14.083333333333336,-83.38333333333335,90.7,0
60,11.447777777777778,-85.57138888888889,90.7,0
61,13.533333333333333,-85.54444444444442,90.7,0
62,11.995555555555555,-86.30583333333334,90.9,5000
63,11.86111111111111,-86.20000000000002,91.1,500
64,12.027777777777777,-83.77777777777776,91.1,100
65,12.627777777777775,-87.15000000000002,91.1,0
66,12.010555555555555,-85.43222222222224,91.1,0
67,12.344444444444441,-83.74444444444444,91.1,0
68,11.995555555555555,-86.30583333333334,91.3,10000
69,14.083333333333336,-83.38333333333335,91.3,0
70,14.100000000000001,-83.4111111111111,91.3,0
71,13.76222222222222,-86.06444444444445,91.5,250
72,12.921666666666667,-85.91972222222225,91.5,250
73,14.027777777777777,-84.59444444444442,91.5,240
74,13.083333333333336,-86.36111111111109,91.5,0
75,11.93,-85.9625,91.5,0
76,12.010555555555555,-85.43222222222224,91.5,0
77,12.43611111111111,-86.88472222222224,91.5,0
78,14.083333333333336,-83.38333333333335,91.5,0
79,11.444444444444443,-85.82777777777775,91.5,0
80,12.027777777777777,-86.20000000000002,91.5,0
81,11.995555555555555,-86.30583333333334,91.7,5000
82,12.43611111111111,-86.88472222222224,91.9,2000
83,13.110833333333334,-86.42666666666669,91.9,1000
84,11.93,-85.9625,91.9,0
85,12.416666666666666,-85.80000000000001,91.9,0
86,12.136388888888886,-86.25138888888887,92.0,0
87,12.136388888888886,-86.25138888888887,92.1,0
88,12.136388888888886,-86.25138888888887,92.1,0
89,11.683333333333334,-84.46111111111111,92.1,0
90,12.921666666666667,-85.91972222222225,92.3,1000
91,12.010555555555555,-85.43222222222224,92.3,0
92,12.136388888888886,-86.25138888888887,92.3,0
93,12.266666666666667,-86.56666666666668,92.3,0
94,13.044444444444444,-86.92777777777778,92.3,0
95,13.511111111111111,-86.53222222222223,92.5,1000
96,13.128055555555555,-86.0013888888889,92.5,250
97,12.477777777777776,-85.65,92.5,0
98,12.250000000000002,-83.75000000000001,92.5,0
99,12.43611111111111,-86.88472222222224,92.5,0
100,13.744444444444444,-84.77777777777776,92.5,0
101,12.931944444444445,-83.57694444444444,92.6,0
102,11.998055555555554,-86.30055555555555,92.7,1000
103,13.511111111111111,-86.53222222222223,92.9,800
104,12.615555555555558,-87.1,92.9,0
105,11.86111111111111,-86.20000000000002,92.9,0
106,12.921666666666667,-85.91972222222225,92.9,0
107,14.083333333333336,-83.38333333333335,92.9,0
108,12.136388888888886,-86.25138888888887,93.1,0
109,13.344444444444441,-85.37777777777777,93.1,0
110,12.165,-84.20583333333335,93.3,5000
111,13.110833333333334,-86.42666666666669,93.3,290
112,12.615555555555558,-87.1,93.3,0
113,11.86111111111111,-86.20000000000002,93.3,0
114,12.010555555555555,-85.43222222222224,93.3,0
115,13.633333333333335,-86.48333333333335,93.3,0
116,12.9275,-85.22555555555556,93.3,0
117,11.995555555555555,-86.30583333333334,93.5,10000
118,12.027777777777777,-83.77777777777776,93.5,0
119,12.010555555555555,-85.43222222222224,93.7,250
120,13.110833333333334,-86.42666666666669,93.7,100
121,13.043055555555556,-85.98527777777777,93.7,100
122,13.916666666666668,-86.12777777777775,93.7,0
123,12.43611111111111,-86.88472222222224,93.7,0
124,12.761111111111108,-85.61666666666667,93.7,0
125,13.633333333333335,-86.48333333333335,93.7,0
126,12.842777777777776,-86.14166666666667,93.7,0
127,12.744444444444444,-85.97777777777777,93.7,0
128,11.995555555555555,-86.30583333333334,93.9,10000
129,12.027777777777777,-83.77777777777776,94.1,5000
130,13.916666666666668,-86.12777777777775,94.1,250
131,13.744444444444444,-84.77777777777776,94.1,240
132,13.086944444444443,-86.35611111111109,94.1,100
133,12.615555555555558,-87.1,94.1,0
134,12.010555555555555,-85.43222222222224,94.1,0
135,12.43611111111111,-86.88472222222224,94.1,0
136,12.921666666666667,-85.91972222222225,94.1,0
137,14.083333333333336,-83.38333333333335,94.1,0
138,11.444444444444443,-85.82777777777775,94.1,0
139,11.4,-84.90000000000002,94.1,0
140,11.995555555555555,-86.30583333333334,94.3,500
141,13.110833333333334,-86.42666666666669,94.5,290
142,12.615555555555558,-87.1,94.5,250
143,12.477777777777776,-85.65,94.5,0
144,13.916666666666668,-84.4111111111111,94.5,0
145,13.533333333333333,-85.54444444444442,94.5,0
146,12.077777777777776,-85.09444444444443,94.5,0
147,14.744444444444444,-83.97777777777777,94.5,0
148,11.995555555555555,-86.30583333333334,94.7,10000
149,12.966666666666667,-86.23333333333333,94.7,0
150,12.761111111111108,-85.61666666666667,94.7,0
151,13.31111111111111,-86.19444444444444,94.7,0
152,11.135000000000002,-84.75805555555556,94.9,500
153,12.921666666666667,-85.91972222222225,94.9,240
154,13.086944444444443,-86.35611111111109,94.9,100
155,12.894444444444444,-86.54444444444442,94.9,0
156,11.933333333333335,-86.19444444444444,94.9,0
157,12.43611111111111,-86.88472222222224,94.9,0
158,13.577777777777778,-86.04444444444444,94.9,0
159,13.044444444444444,-86.92777777777778,94.9,0
160,12.51666666666667,-86.87777777777777,94.9,0
161,11.995555555555555,-86.30583333333334,95.1,10000
162,12.165,-84.20583333333335,95.1,500
163,14.027777777777777,-84.59444444444442,95.1,0
164,13.916666666666668,-84.4111111111111,95.1,0
165,13.511111111111111,-86.53222222222223,95.3,1000
166,12.093611111111109,-86.30472222222224,95.3,240
167,12.17333333333333,-83.04777777777777,95.3,0
168,13.083333333333336,-86.0,95.3,0
169,12.010555555555555,-85.43222222222224,95.3,0
170,12.43611111111111,-86.88472222222224,95.3,0
171,14.083333333333336,-83.38333333333335,95.3,0
172,11.995555555555555,-86.30583333333334,95.5,5000
173,13.624999999999998,-85.82222222222224,95.7,250
174,12.477777777777776,-85.65,95.7,240
175,13.63722222222222,-86.47722222222222,95.7,100
176,12.444444444444443,-86.88888888888889,95.7,0
177,12.921666666666667,-85.91972222222225,95.7,0
178,13.177777777777777,-84.82777777777775,95.7,0
179,12.842777777777776,-86.14166666666667,95.7,0
180,13.629166666666665,-85.86194444444446,95.7,0
181,12.077777777777776,-85.09444444444443,95.7,0
182,12.027777777777777,-83.77777777777776,95.9,1000
183,12.136388888888886,-86.25138888888887,95.9,0
184,13.110833333333334,-86.42666666666669,96.1,240
185,13.077777777777776,-85.75000000000001,96.1,0
186,12.010555555555555,-85.43222222222224,96.1,0
187,11.966666666666667,-86.09444444444443,96.1,0
188,11.683333333333334,-84.46111111111111,96.1,0
189,14.100000000000001,-83.4111111111111,96.1,0
190,12.250000000000002,-85.06666666666668,96.1,0
191,13.044444444444444,-86.92777777777778,96.1,0
192,13.627777777777775,-85.83333333333333,96.1,0
193,11.99222222222222,-84.77388888888888,96.3,5000
194,11.995555555555555,-86.30583333333334,96.3,5000
195,13.511111111111111,-86.53222222222223,96.3,5000
196,12.027777777777777,-83.77777777777776,96.5,1000
197,12.627777777777775,-87.12777777777775,96.5,250
198,11.93,-85.9625,96.5,250
199,11.966666666666667,-85.17777777777776,96.5,0
200,13.083333333333336,-86.0,96.5,0
201,12.136388888888886,-86.25138888888887,96.5,0
202,14.150555555555554,-84.70833333333334,96.5,0
203,13.916666666666668,-84.4111111111111,96.5,0
204,13.916666666666668,-84.4111111111111,96.5,0
205,14.744444444444444,-83.97777777777777,96.5,0
206,12.136388888888886,-86.25138888888887,96.7,0
207,14.083333333333336,-83.38333333333335,96.7,0
208,12.093611111111109,-86.30472222222224,96.9,500
209,11.444444444444443,-85.82777777777775,96.9,500
210,11.93,-85.9625,96.9,250
211,12.43611111111111,-86.88472222222224,96.9,250
212,13.366666666666669,-85.66666666666669,96.9,240
213,13.4,-83.56666666666668,96.9,0
214,13.533333333333333,-85.54444444444442,96.9,0
215,12.17333333333333,-83.04777777777777,96.9,0
216,11.683333333333334,-84.46111111111111,96.9,0
217,13.627777777777775,-85.83333333333333,96.9,0
218,11.995555555555555,-86.30583333333334,97.1,3000
219,13.655555555555555,-85.65972222222224,97.2,0
220,11.929166666666669,-85.96861111111109,97.3,1000
221,12.43611111111111,-86.88472222222224,97.3,500
222,12.165,-84.20583333333335,97.3,250
223,12.921666666666667,-85.91972222222225,97.3,0
224,13.633333333333335,-86.48333333333335,97.3,0
225,11.444444444444443,-85.82777777777775,97.3,0
226,11.444444444444443,-85.82777777777775,97.3,0
227,12.06111111111111,-84.98333333333335,97.3,0
228,11.995555555555555,-86.30583333333334,97.5,500
229,14.083333333333336,-83.38333333333335,97.7,1000
230,12.309722222222224,-85.36,97.7,240
231,12.383333333333335,-85.51666666666667,97.7,0
232,12.894444444444444,-86.54444444444442,97.7,0
233,13.083333333333336,-86.36111111111109,97.7,0
234,11.966666666666667,-86.09444444444443,97.7,0
235,13.577777777777778,-86.04444444444444,97.7,0
236,13.31111111111111,-86.19444444444444,97.7,0
237,12.077777777777776,-85.09444444444443,97.7,0
238,11.995555555555555,-86.30583333333334,97.9,10000
239,13.110833333333334,-86.42666666666669,97.9,290
240,13.511111111111111,-86.53222222222223,97.9,290
241,12.909722222222221,-85.87333333333333,97.9,190
242,12.136388888888886,-86.25138888888887,97.9,0
243,11.995555555555555,-86.30583333333334,98.0,0
244,12.615555555555558,-87.1,98.1,0
245,12.194444444444443,-85.28333333333333,98.1,0
246,13.916666666666668,-86.12777777777775,98.1,0
247,12.010555555555555,-85.43222222222224,98.1,0
248,11.761111111111108,-86.05,98.1,0
249,12.842777777777776,-86.14166666666667,98.1,0
250,12.96361111111111,-86.8147222222222,98.1,0
251,12.800000000000002,-85.14444444444443,98.2,0
252,11.995555555555555,-86.30583333333334,98.3,2000
253,12.027777777777777,-83.77777777777776,98.5,0
254,12.383333333333335,-85.51666666666667,98.5,0
255,11.683055555555557,-84.7,98.5,0
256,12.43611111111111,-86.88472222222224,98.5,0
257,12.921666666666667,-85.91972222222225,98.5,0
258,12.921666666666667,-85.91972222222225,98.5,0
259,13.633333333333335,-86.48333333333335,98.5,0
260,13.916666666666668,-84.4111111111111,98.5,0
261,13.744444444444444,-84.77777777777776,98.5,0
262,13.344444444444441,-85.37777777777777,98.5,0
263,14.744444444444444,-83.97777777777777,98.5,0
264,11.995555555555555,-86.30583333333334,98.7,10000
265,12.816666666666666,-84.20000000000002,98.7,0
266,13.068055555555555,-85.97694444444443,98.9,500
267,12.615555555555558,-87.1,98.9,250
268,13.350000000000001,-86.38333333333335,98.9,250
269,11.86111111111111,-86.23333333333333,98.9,250
270,12.9275,-85.22555555555556,98.9,0
271,11.995555555555555,-86.30583333333334,99.1,2000
272,14.083333333333336,-83.38333333333335,99.1,290
273,11.683333333333334,-84.46111111111111,99.1,0
274,12.43611111111111,-86.88472222222224,99.3,1000
275,13.350000000000001,-86.38333333333335,99.3,250
276,13.730555555555558,-84.73194444444447,99.3,250
277,12.921666666666667,-85.91972222222225,99.3,240
278,12.194444444444443,-85.28333333333333,99.3,0
279,13.083333333333336,-86.36111111111109,99.3,0
280,12.010555555555555,-85.43222222222224,99.3,0
281,12.751944444444442,-86.73805555555555,99.3,0
282,13.633333333333335,-86.48333333333335,99.3,0
283,14.083333333333336,-83.38333333333335,99.3,0
284,12.931944444444445,-86.19527777777778,99.3,0
285,12.136388888888886,-86.25138888888887,99.5,0
286,13.110833333333334,-86.42666666666669,99.7,1000
287,11.683333333333334,-84.46111111111111,99.7,1000
288,12.109166666666667,-85.36972222222224,99.7,250
289,12.027777777777777,-83.77777777777776,99.7,240
290,14.027777777777777,-84.59444444444442,99.7,0
291,12.666666666666668,-87.17777777777776,99.7,0
292,12.43611111111111,-86.88472222222224,99.7,0
293,11.761111111111108,-86.05,99.7,0
294,13.327777777777778,-85.5611111111111,99.8,0
295,11.995555555555555,-86.30583333333334,99.9,1000
296,11.86111111111111,-86.20000000000002,99.9,0
297,13.077777777777776,-85.75000000000001,99.9,0
298,11.933333333333335,-85.9611111111111,99.9,0
299,11.966666666666667,-86.09444444444443,99.9,0
300,12.615555555555558,-87.1,100.1,250
301,13.727777777777776,-86.5111111111111,100.1,0
302,12.010555555555555,-85.43222222222224,100.1,0
303,12.921666666666667,-85.91972222222225,100.1,0
304,14.083333333333336,-83.38333333333335,100.1,0
305,12.136388888888886,-86.25138888888887,100.3,0
306,13.086944444444443,-86.35611111111109,100.5,250
307,13.916666666666668,-86.12777777777775,100.5,250
308,12.077777777777776,-84.54444444444442,100.5,240
309,13.63722222222222,-86.47722222222222,100.5,100
310,12.477777777777776,-85.65,100.5,0
311,12.615555555555558,-87.1,100.5,0
312,13.077777777777776,-85.75000000000001,100.5,0
313,12.43611111111111,-86.88472222222224,100.5,0
314,13.177777777777777,-84.82777777777775,100.5,0
315,11.998055555555554,-86.30055555555555,100.7,0
316,11.99222222222222,-84.77388888888888,100.9,1000
317,14.083333333333336,-83.38333333333335,100.9,1000
318,11.28888888888889,-85.84944444444442,100.9,1000
319,11.917499999999999,-85.95416666666667,100.9,250
320,12.921666666666667,-85.91972222222225,100.9,250
321,12.666666666666668,-87.17777777777776,100.9,240
322,12.136388888888886,-86.25138888888887,100.9,0
323,12.761111111111108,-85.5111111111111,100.9,0
324,13.269444444444444,-85.88388888888888,100.9,0
325,13.633333333333335,-86.48333333333335,100.9,0
326,12.136388888888886,-86.25138888888887,101.1,0
