,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-12.061111111111114,-76.95805555555557,50.036,13
1,-15.811111111111112,-70.01638888888888,81.3,0
2,-12.083333333333336,-77.0,87.5,0
3,-13.46111111111111,-76.14444444444443,87.6,0
4,-6.711111111111111,-79.90000000000002,87.7,0
5,-12.180555555555555,-77.02527777777776,88.3,20000
6,-12.077777777777776,-75.23333333333333,88.3,5000
7,-9.083333333333336,-78.6111111111111,88.3,2000
8,-3.7500000000000004,-73.25000000000001,88.3,1000
9,-13.975000000000001,-71.56361111111111,88.3,1000
10,-6.050000000000001,-76.97777777777777,88.3,1000
11,-17.986111111111114,-70.25722222222224,88.3,1000
12,-13.666666666666668,-73.38333333333335,88.3,500
13,-13.16111111111111,-74.22777777777777,88.3,300
14,-14.077777777777776,-75.74444444444444,88.3,300
15,-12.858333333333333,-74.58583333333331,88.3,250
16,-6.484444444444445,-77.81444444444446,88.3,50
17,-10.444444444444443,-76.54444444444442,88.3,0
18,-13.511111111111111,-71.99583333333332,88.3,0
19,-17.644444444444442,-71.33333333333334,88.3,0
20,-5.711111111111111,-78.80000000000001,88.3,0
21,-17.01666666666667,-72.01666666666668,88.3,0
22,-6.112222222222222,-78.18361111111112,88.3,0
23,-5.757222222222223,-78.4452777777778,88.5,1300
24,-6.7813888888888885,-79.87388888888887,88.5,1000
25,-8.116666666666667,-79.04444444444444,88.5,1000
26,-9.365277777777779,-77.09666666666666,88.5,100
27,-9.211111111111109,-76.75999999999999,88.5,100
28,-12.783333333333335,-76.56666666666668,88.5,0
29,-10.761111111111108,-77.77777777777776,88.5,0
30,-16.61666666666667,-72.71666666666668,88.5,0
31,-11.577777777777778,-77.27777777777777,88.5,0
32,-13.46111111111111,-76.14444444444443,88.5,0
33,-12.933333333333335,-74.25000000000001,88.5,0
34,-12.019444444444444,-77.06972222222223,88.5,0
35,-11.266666666666667,-74.69444444444444,88.5,0
36,-6.227777777777778,-77.85000000000001,88.7,1000
37,-16.377777777777776,-71.33333333333334,88.7,1000
38,-13.71111111111111,-76.22777777777777,88.7,1000
39,-5.2,-80.64444444444443,88.7,1000
40,-13.083333333333336,-76.4111111111111,88.7,1000
41,-9.533333333333333,-77.54444444444442,88.7,500
42,-9.177777777777777,-78.38333333333335,88.7,500
43,-7.794444444444443,-79.22777777777777,88.7,300
44,-8.994444444444444,-78.6111111111111,88.7,250
45,-9.51666666666667,-77.88333333333334,88.7,200
46,-8.250000000000002,-78.0,88.7,100
47,-13.16111111111111,-74.22777777777777,88.7,0
48,-13.083333333333336,-76.38333333333335,88.7,0
49,-9.533333333333333,-77.54444444444442,88.7,0
50,-6.711111111111111,-79.90000000000002,88.7,0
51,-15.811111111111112,-70.01638888888888,88.7,0
52,-17.16666666666667,-71.80000000000001,88.7,0
53,-12.019444444444444,-77.06972222222223,88.9,10000
54,-12.077777777777776,-75.23333333333333,88.9,1000
55,-3.7500000000000004,-73.25000000000001,88.9,1000
56,-11.177777777777777,-76.01111111111109,88.9,1000
57,-13.666666666666668,-73.38333333333335,88.9,500
58,-15.500000000000002,-70.14444444444443,88.9,300
59,-9.477777777777776,-78.30000000000001,88.9,250
60,-9.916666666666668,-76.23333333333333,88.9,250
61,-4.9,-80.69444444444444,88.9,250
62,-10.077777777777776,-78.15000000000002,88.9,200
63,-6.112222222222222,-78.18361111111112,88.9,100
64,-8.933333333333335,-76.12777777777775,88.9,0
65,-11.0,-75.25000000000001,88.9,0
66,-14.077777777777776,-75.74444444444444,88.9,0
67,-13.975000000000001,-71.56361111111111,88.9,0
68,-11.325,-74.53583333333331,88.9,0
69,-6.050000000000001,-76.97777777777777,88.9,0
70,-10.650000000000002,-76.25472222222224,88.9,0
71,-17.986111111111114,-70.25722222222224,88.9,0
72,-11.416666666666666,-75.69444444444444,88.9,0
73,-5.764444444444443,-78.43333333333335,89.1,2000
74,-6.7813888888888885,-79.87388888888887,89.1,1000
75,-9.083333333333336,-78.6111111111111,89.1,1000
76,-3.577777777777777,-80.43333333333335,89.1,1000
77,-9.266666666666667,-77.64444444444443,89.1,500
78,-8.596388888888887,-77.6538888888889,89.1,500
79,-13.46111111111111,-76.14444444444443,89.1,500
80,-10.16111111111111,-77.19444444444444,89.1,500
81,-11.774999999999999,-75.5111111111111,89.1,500
82,-6.511111111111111,-76.37777777777777,89.1,500
83,-13.477777777777776,-72.15000000000002,89.1,300
84,-7.223611111111112,-79.42361111111111,89.1,300
85,-12.877777777777776,-72.71666666666668,89.1,300
86,-8.383333333333335,-74.54444444444442,89.1,250
87,-8.116666666666667,-79.04444444444444,89.1,250
88,-13.51666666666667,-73.72388888888888,89.1,100
89,-11.916666666666668,-75.28333333333333,89.1,0
90,-6.377777777777778,-78.82777777777775,89.1,0
91,-11.100000000000001,-77.6111111111111,89.1,0
92,-12.76666666666667,-74.98333333333335,89.1,0
93,-12.077777777777776,-75.23333333333333,89.1,0
