,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,58.70000000000001,13.825277777777778,50.06,8
1,58.43749999999999,13.791666666666668,50.46,10
2,63.114999999999995,14.598333333333333,50.46,7
3,57.64583333333334,18.291666666666664,50.46,5
4,65.60416666666669,22.125,50.493,1
5,61.70666666666668,16.855833333333337,87.6,60000
6,65.06499999999998,16.940555555555555,87.6,60000
7,57.592499999999994,18.37277777777778,87.6,60000
8,59.39194444444445,13.383055555555554,87.6,7000
9,63.50333333333334,18.72388888888889,87.6,500
10,58.688055555555565,11.258333333333335,87.6,300
11,68.40444444444447,22.497500000000006,87.6,300
12,65.60527777777779,22.14666666666667,87.6,300
13,55.58222222222222,14.308333333333334,87.6,300
14,59.04694444444445,16.620000000000005,87.6,250
15,58.18166666666667,13.533333333333333,87.6,200
16,59.644999999999996,17.6625,87.6,200
17,59.17527777777777,18.05333333333333,87.6,150
18,57.672222222222224,15.012222222222224,87.6,100
19,66.6486111111111,23.847499999999997,87.6,50
20,68.2161111111111,19.648611111111112,87.6,30
21,57.766666666666666,12.30777777777778,87.6,20
22,56.78972222222221,12.937777777777779,87.7,60000
23,58.32277777777778,15.142222222222221,87.7,500
24,62.471388888888896,13.286666666666669,87.7,490
25,59.755277777777785,18.701111111111114,87.7,300
26,60.103055555555564,16.221111111111107,87.7,250
27,59.14611111111112,12.955277777777775,87.7,250
28,63.59833333333334,16.41305555555556,87.7,100
29,64.65250000000002,20.283055555555556,87.8,2000
30,64.65250000000002,20.283055555555556,87.8,500
31,59.82583333333333,12.233333333333334,87.8,500
32,57.27083333333332,16.435555555555556,87.8,500
33,56.23166666666666,15.285833333333333,87.8,500
34,61.05194444444445,13.303333333333335,87.8,300
35,55.461388888888884,13.786111111111111,87.8,300
36,58.26611111111111,12.944999999999999,87.8,200
37,59.191111111111105,17.61083333333334,87.8,100
38,58.22444444444446,16.00277777777778,87.8,50
39,59.42916666666667,15.048611111111109,87.9,60000
40,63.111666666666665,14.61111111111111,87.9,60000
41,55.57333333333333,13.05666666666667,87.9,6000
42,57.843888888888884,14.870277777777778,87.9,500
43,58.94833333333332,17.473611111111108,87.9,20
44,56.80888888888887,14.387777777777778,88.0,30000
45,63.580555555555556,19.688611111111108,88.0,500
46,63.84027777777777,19.822222222222223,88.0,500
47,58.356944444444444,11.252777777777776,88.0,300
48,58.93527777777776,11.185555555555554,88.0,300
