,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-15.505555555555555,167.1777777777778,91.0,0
1,-16.09722222222222,167.4116666666667,96.3,500
2,-15.505555555555555,167.1777777777778,98.0,500
3,-16.09722222222222,167.4116666666667,98.0,500
4,-15.505555555555555,167.1777777777778,98.1,200
5,-16.09722222222222,167.4116666666667,99.0,200
6,-15.505555555555555,167.1777777777778,100.0,500
7,-16.09722222222222,167.1777777777778,100.0,500
8,-16.09722222222222,167.1777777777778,100.0,200
9,-16.09722222222222,167.4116666666667,102.0,500
10,-15.505555555555555,167.1777777777778,102.0,500
11,-15.505555555555555,167.1777777777778,102.0,500
12,-15.505555555555555,167.1777777777778,102.5,300
13,-15.505555555555555,167.1777777777778,102.7,0
14,-15.505555555555555,167.1777777777778,103.0,500
15,-15.505555555555555,167.1777777777778,103.0,500
16,-16.09722222222222,167.1777777777778,104.0,500
17,-16.09722222222222,167.1777777777778,104.0,0
18,-15.505555555555555,167.1777777777778,105.0,0
19,-15.505555555555555,167.1777777777778,107.0,500
20,-16.09722222222222,167.1777777777778,107.0,500
21,-16.09722222222222,167.1777777777778,107.0,500
