,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,34.35,62.2,87.5,0
1,35.163333333333334,69.2763888888889,87.5,0
2,34.51777777777777,69.16083333333334,87.5,0
3,33.34527777777779,69.91305555555556,87.5,0
4,35.0,71.2,87.5,0
5,32.76027777777777,65.90666666666667,87.5,0
6,37.110277777777775,70.57666666666665,87.6,200
7,37.110277777777775,70.57666666666665,87.6,150
8,36.68861111111112,65.9413888888889,87.7,1000
9,36.64472222222222,68.67027777777781,87.7,500
10,34.45555555555555,70.43555555555555,87.7,0
11,36.750000000000014,66.0,87.7,0
12,35.96916666666667,68.67944444444444,87.7,0
13,36.20666666666666,66.01277777777779,87.7,0
14,35.6,66.30000000000003,87.7,0
15,36.19388888888888,68.05722222222222,87.8,1000
16,36.0,68.0,87.8,0
17,33.11666666666667,68.82777777777775,87.9,6000
18,37.110277777777775,70.57666666666665,87.9,0
19,33.71944444444444,69.25083333333333,87.9,0
20,33.34527777777779,69.91305555555556,87.9,0
21,36.7,67.13333333333334,87.9,0
22,32.76027777777777,65.90666666666667,87.9,0
23,34.98777777777777,63.115,88.0,10000
24,34.51777777777777,69.16083333333334,88.0,5000
25,35.0,71.2,88.0,1000
26,32.1,67.1,88.0,1000
27,34.888888888888886,71.16138888888888,88.0,0
28,32.36027777777779,62.13777777777777,88.0,0
29,34.33333333333334,62.18333333333333,88.0,0
30,34.45555555555555,70.43555555555555,88.0,0
31,31.654999999999994,65.71944444444443,88.0,0
32,31.591666666666672,64.375,88.0,0
33,36.64472222222222,68.67027777777781,88.1,1000
34,36.64472222222222,68.67027777777781,88.1,1000
35,34.37333333333334,68.85694444444445,88.1,1000
36,35.0,63.75,88.1,0
37,37.07666666666666,68.98944444444444,88.1,0
38,33.34527777777779,69.91305555555556,88.2,0
39,36.766666666666666,69.30000000000003,88.3,1000
40,33.602777777777774,68.46055555555553,88.3,0
41,32.5111111111111,68.8,88.3,0
42,37.110277777777775,70.57666666666665,88.4,0
43,32.36027777777779,62.13777777777777,88.5,1000
44,36.750000000000014,67.0,88.5,0
45,34.516666666666666,65.25000000000003,88.5,0
46,37.110277777777775,70.57666666666665,88.5,0
47,33.71944444444444,69.25083333333333,88.5,0
48,34.33333333333334,62.18333333333333,88.5,0
49,34.45555555555555,70.43555555555555,88.5,0
50,34.51888888888889,69.15722222222223,88.5,0
51,36.64472222222222,68.67027777777781,88.5,0
52,34.37333333333334,68.85694444444445,88.5,0
53,35.92777777777776,64.73333333333333,88.5,0
54,36.7,67.13333333333334,88.5,0
55,33.999722222222225,69.01333333333335,88.5,0
56,35.96916666666667,68.67944444444444,88.5,0
57,34.98777777777777,63.115,88.5,0
58,36.766666666666666,69.30000000000003,88.5,0
59,35.02111111111112,69.35027777777776,88.7,0
60,34.516666666666666,65.25000000000003,88.8,5000
61,34.888888888888886,71.16138888888888,88.8,0
62,33.34527777777779,69.91305555555556,88.8,0
63,33.6,69.5,88.8,0
64,36.20666666666666,66.01277777777779,88.8,0
65,34.37333333333334,68.85694444444445,88.9,0
66,36.68861111111112,65.9413888888889,89.0,1000
67,34.822222222222216,67.82638888888887,89.0,0
68,32.36027777777779,62.13777777777777,89.0,0
69,34.45555555555555,70.43555555555555,89.0,0
70,34.51888888888889,69.15722222222223,89.0,0
71,36.7,67.13333333333334,89.0,0
72,35.96916666666667,68.67944444444444,89.0,0
73,32.12750000000001,67.01000000000002,89.0,0
74,37.14444444444446,69.86277777777778,89.0,0
75,33.11666666666667,68.82777777777775,89.0,0
76,32.76027777777777,65.90666666666667,89.0,0
77,36.64472222222222,68.67027777777781,89.1,100
78,36.277777777777764,68.0166666666667,89.1,0
79,35.0,63.75,89.1,0
80,33.71944444444444,69.25083333333333,89.1,0
81,35.163333333333334,69.2763888888889,89.1,0
82,31.654999999999994,65.71944444444443,89.1,0
83,33.34527777777779,69.91305555555556,89.1,0
84,36.20666666666666,66.01277777777779,89.1,0
85,34.888888888888886,71.16138888888888,89.2,0
86,36.17777777777778,68.75,89.2,0
87,34.516666666666666,65.25000000000003,89.2,0
89,34.33333333333334,62.18333333333333,89.2,0
90,31.591666666666672,64.375,89.2,0
91,33.25944444444443,62.168333333333344,89.2,0
