Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
34.0714,2.0048,87.6,70000
36.2429,6.4333,87.6,70000
31.0115,-2.4227,87.6,1000
35.1032,6.0007,87.6,400
27.5233,1.1035,87.6,200
34.1331,7.1836,87.6,100
35.5716,1.0644,87.7,70000
29.5141,-1.5046,87.7,200
32.0131,-2.1303,87.7,200
29.1501,-1.0355,87.7,200
27.0103,1.0049,87.7,200
36.363,3.2937,87.7,100
31.46,6.0425,87.7,0
33.3453,-0.1746,87.8,70000
29.15,0.14,87.8,20000
36.4554,5.0455,87.8,12000
21.1927,0.5723,87.8,100
35.1943,8.003,87.9,10000
34.04,2.04,87.9,0
34.333,3.2309,88,10000
34.27,2.31,88,1500
35.21,3.22,88,1500
36.44,4.0259,88,1500
36.5139,4.1818,88,300
27.1348,-0.1136,88,200
36.19,7.38,88,100
35.0445,-2.1131,88,100
36.2,4.26,88,100
35.12,-0.38,88,0
35.1522,5.3813,88.1,100000
36.405,5.5722,88.1,300
30.26,-2.18,88.1,100
36.4144,3.5109,88.1,100
34.5,0.0544,88.2,2500
19.33,5.4606,88.2,250
27.3944,-8.085,88.3,60000
36.4039,8.1906,88.3,2500
35.5158,7.5008,88.3,700
36.3853,5.2421,88.3,300
31.3313,-2.5705,88.3,200
36.2542,2.5245,88.4,70000
34.4741,-1.1856,88.4,70000
36.3448,3.2712,88.4,100
32.0229,-1.1443,88.5,3000
34.5111,6.1918,88.5,500
35.2352,7.13,88.6,5000
29.2403,-3.1536,88.6,2000
34.36,5.22,88.6,2000
26.5623,1.2911,88.6,200
28.0259,9.3438,88.6,100
36.3732,4.3415,88.7,70000
35.0928,3.011,88.7,300
33.19,0.57,88.7,200
32.3703,5.3045,88.7,100
34.41,0.3,88.7,100
36.2356,8.0323,88.8,50000
27.512,-0.1631,88.8,7000
36.3,1.5,88.8,200
35.22,1.2,88.8,50
27.1144,2.2943,88.9,10000
29.2746,-1.2616,88.9,1000
35.1936,2.1859,88.9,100
29.5448,-1.5329,88.9,100
29.1839,-1.0906,88.9,100
36.45,3.03,88.9,0
25.25,8.25,88.9,0
33.3738,1.0351,89,10000
31.5619,5.1504,89,5000
36.3422,6.2726,89,2000
34.5726,8.1231,89,1400
35.0038,6.5211,89,1000
32.493,3.453,89,1000
36.3925,3.3509,89,700
35.1814,-1.0835,89,100
36.3823,2.4138,89,100
36.25,2.33,89,100
32.36,-0.26,89,100
35.0017,-0.3041,89,0
26.583,1.0515,89.1,10000
35.4618,4.5935,89.1,50
36.18,4.4,89.1,0
35.44,0.34,89.1,0
36.474,3.1513,89.2,7000
34.5938,0.2916,89.2,300
36.3402,4.4802,89.2,300
36.3426,7.4331,89.2,300
24.5237,8.2631,89.2,0
35.5431,7.0757,89.3,7500
31.3749,-2.1319,89.3,5000
33.0704,6.042,89.3,5000
35.0305,-1.5148,89.3,2000
28.3557,0.0216,89.3,500
36.3253,4.1417,89.3,300
36.312,1.1927,89.3,100
35.234,1.1824,89.4,7000
30.55,-2.02,89.4,2000
36.3542,2.3557,89.4,100
