,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-12.500000000000002,18.500000000000004,52.0,0
1,-15.194444444444443,13.691666666666668,87.5,0
2,-8.816666666666666,13.266666666666667,87.7,0
3,-8.58416666666667,13.657499999999999,87.9,250
4,-11.894444444444446,22.90944444444444,87.9,250
5,-13.044444444444444,14.23611111111111,88.0,150
6,-8.58416666666667,13.657499999999999,88.2,250
7,-6.050000000000001,15.116666666666667,88.3,1000
8,-5.556666666666666,12.185,88.3,250
9,-8.816666666666666,13.266666666666667,88.5,2000
10,-17.050000000000004,15.730555555555558,88.7,5000
11,-11.177777777777777,13.88861111111111,88.7,250
12,-15.802777777777779,11.877777777777776,88.7,245
13,-9.678055555555554,14.469444444444447,88.8,500
14,-17.611111111111107,18.623611111111106,88.8,250
15,-12.552777777777777,16.342777777777773,88.9,245
16,-12.780555555555557,15.740833333333333,89.0,250
17,-12.344444444444447,13.543333333333335,89.1,1000
18,-7.23861111111111,12.870555555555555,89.1,250
19,-17.050000000000004,15.730555555555558,89.2,250
20,-8.816666666666666,13.266666666666667,89.2,0
21,-5.556666666666666,12.185,89.3,1000
22,-11.783333333333335,19.911111111111108,89.3,0
23,-11.177777777777777,13.88861111111111,89.3,0
24,-15.213888888888889,12.139722222222222,89.5,100
25,-8.816666666666666,13.266666666666667,89.6,1000
26,-11.783333333333335,19.911111111111108,89.6,250
27,-6.266666666666667,14.250000000000002,89.7,250
28,-12.730555555555558,15.691111111111113,89.9,6300
29,-8.914166666666667,13.349166666666667,90.0,10000
30,-14.658333333333335,17.688055555555554,90.1,100
31,-10.705555555555556,22.23138888888889,90.2,500
32,-7.383055555555556,20.83055555555556,90.3,1000
33,-11.894444444444446,22.90944444444444,90.3,200
34,-9.655555555555555,20.393055555555552,90.3,100
35,-12.580555555555557,13.400555555555556,90.4,1000
36,-9.0,13.266666666666667,90.7,1000
37,-5.256666666666667,12.15388888888889,90.8,1260
38,-9.544444444444444,16.36388888888889,90.9,4900
39,-8.816666666666666,13.266666666666667,91.0,5000
40,-7.614722222222223,15.054444444444442,91.0,4000
41,-12.394444444444444,16.932777777777783,91.0,1000
42,-14.927777777777777,13.494166666666668,91.3,1000
43,-13.044444444444444,14.23611111111111,91.3,300
44,-14.658333333333335,17.688055555555554,91.4,1000
45,-8.58416666666667,13.657499999999999,91.5,4000
46,-8.904722222222224,13.234999999999998,91.7,5000
47,-11.177777777777777,13.88861111111111,91.7,4000
48,-14.938888888888886,13.513055555555557,91.9,1000
49,-10.736111111111112,14.9775,91.9,500
50,-12.394444444444444,16.932777777777783,92.0,4900
51,-9.544444444444444,16.36388888888889,92.0,50
52,-12.780555555555557,15.740833333333333,92.1,4000
53,-17.050000000000004,15.730555555555558,92.2,4000
54,-8.888333333333334,13.184166666666668,92.3,2000
55,-9.306944444444444,14.905277777777778,92.3,1000
56,-12.447222222222225,13.542499999999999,92.3,630
57,-5.256666666666667,12.15388888888889,92.3,0
58,-12.580555555555557,13.400555555555556,92.4,1000
59,-7.614722222222223,15.054444444444442,92.5,2000
60,-15.213888888888889,12.139722222222222,92.5,1000
61,-11.783333333333335,19.911111111111108,92.6,150
62,-5.556666666666666,12.185,92.7,1000
63,-8.914166666666667,13.349166666666667,92.7,1000
64,-6.266666666666667,14.250000000000002,92.7,300
65,-6.133611111111111,12.371111111111112,92.7,100
66,-12.580555555555557,13.400555555555556,92.9,4000
67,-12.355555555555554,14.771111111111114,93.1,1000
68,-12.394444444444444,16.932777777777783,93.1,0
69,-7.383055555555556,20.83055555555556,93.3,4000
70,-10.705555555555556,22.23138888888889,93.3,200
71,-8.830555555555554,13.239722222222223,93.5,5000
72,-12.344444444444447,13.543333333333335,93.5,1000
73,-14.938888888888886,13.513055555555557,93.5,100
74,-13.738888888888889,15.0625,93.7,500
75,-9.544444444444444,16.36388888888889,93.7,50
76,-8.914166666666667,13.349166666666667,94.2,1000
77,-13.044444444444444,14.23611111111111,94.4,1000
78,-7.383055555555556,20.83055555555556,94.4,1000
79,-7.763611111111112,15.268611111111113,94.4,500
80,-17.050000000000004,15.730555555555558,94.5,250
81,-7.614722222222223,15.054444444444442,94.5,250
82,-12.394444444444444,16.932777777777783,94.5,245
83,-14.938888888888886,13.513055555555557,94.5,200
84,-15.213888888888889,12.139722222222222,94.5,150
85,-8.830555555555554,13.239722222222223,94.7,4000
86,-10.736111111111112,14.9775,94.7,1000
87,-9.544444444444444,16.36388888888889,94.8,1000
