,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,12.516944444444446,-69.99472222222222,88.1,1000
1,12.516944444444446,-69.99472222222222,88.9,0
2,12.48722222222222,-69.94055555555556,89.9,10000
3,12.516944444444446,-69.99472222222222,90.7,0
4,12.516944444444446,-69.99472222222222,91.5,0
5,12.516944444444446,-69.99472222222222,92.3,0
6,12.516944444444446,-69.995,93.1,1000
7,12.516944444444446,-69.99472222222222,94.1,0
8,12.48722222222222,-69.94055555555556,95.1,2000
9,12.516944444444446,-69.99472222222222,96.5,0
10,12.516944444444446,-69.99472222222222,97.9,1000
11,12.516944444444446,-69.99472222222222,98.9,1000
12,12.48722222222222,-69.94055555555556,99.9,3700
13,12.516944444444446,-69.99472222222222,100.9,1000
14,12.516944444444446,-69.99472222222222,101.7,0
15,12.46111111111111,-69.93333333333334,102.7,300
16,12.516944444444446,-69.99472222222222,103.5,0
17,12.516944444444446,-69.99472222222222,104.3,0
18,12.516944444444446,-69.99472222222222,106.7,6000
19,12.48722222222222,-69.94055555555556,107.5,1500
