,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
0,-34.9788888888889,138.708611111111,91.9,32800.0,0.951,3.3698685
1,-34.98,138.707777777778,92.7,32800.0,0.951,
2,-34.98,138.707777777778,93.7,10332.0,0.951,
3,-34.9788888888889,138.708611111111,101.5,32800.0,0.951,
4,-34.9825,138.708333333333,102.3,32800.0,0.951,
5,-34.98,138.707777777778,103.1,32800.0,0.951,
6,-34.9788888888889,138.708611111111,103.9,52480.0,0.951,
7,-34.9811111111111,138.708055555556,104.7,32800.0,0.951,
8,-34.9277777777778,138.596944444444,104.7,1131.6,0.951,
9,-34.9825,138.708333333333,104.7,32800.0,0.951,
10,-34.9788888888889,138.708611111111,105.5,52480.0,0.951,
11,-34.9788888888889,138.708611111111,106.3,52480.0,0.951,
12,-34.9811111111111,138.708055555556,107.1,32800.0,0.951,
13,-34.9277777777778,138.596944444444,107.1,1131.6,0.951,
14,-34.9825,138.708333333333,107.1,32800.0,0.951,
15,-34.9825,138.708333333333,107.1,32800.0,0.951,
16,-34.9788888888889,138.708611111111,107.9,32800.0,0.951,
17,-34.9247222222222,138.602777777778,90.3,3280.0,0.951,
18,-34.9247222222222,138.602777777778,90.3,3280.0,0.951,
19,-34.9247222222222,138.602777777778,95.1,3280.0,0.951,
20,-34.9247222222222,138.602777777778,95.9,3280.0,0.951,
21,-34.9247222222222,138.602777777778,96.7,3280.0,0.951,
22,-34.9247222222222,138.602777777778,97.5,3280.0,0.951,
23,-34.9247222222222,138.602777777778,98.3,3280.0,0.951,
24,-34.9247222222222,138.602777777778,99.1,3280.0,0.951,
25,-34.935,138.604444444444,99.9,4100.0,0.951,
26,-34.9988888888889,138.6225,99.9,656.0,0.951,
27,-13.2447222222222,131.109166666667,98.1,82.0,0.951,
28,-13.2444444444444,131.109166666667,98.9,82.0,0.951,
29,-13.2444444444444,131.109166666667,100.5,82.0,0.951,
30,-13.2447222222222,131.109166666667,101.3,82.0,0.951,
31,-13.2447222222222,131.109166666667,102.1,82.0,0.951,
32,-35.055,138.539166666667,88.7,984.0,0.951,
33,-35.3047222222222,148.094722222222,94.1,32.8,0.951,
34,-24.2161111111111,151.895833333333,98.3,410.0,0.951,
35,-20.2730555555556,148.710277777778,89.9,262.4,0.951,
36,-20.2730555555556,148.710277777778,90.7,410.0,0.951,
37,-20.2730555555556,148.710277777778,91.5,410.0,0.951,
38,-20.2730555555556,148.710277777778,92.3,410.0,0.951,
39,-20.2730555555556,148.710277777778,93.1,262.4,0.951,
40,-20.2730555555556,148.710277777778,93.9,410.0,0.951,
41,-20.2730555555556,148.710277777778,94.7,410.0,0.951,
42,-20.2730555555556,148.710277777778,95.5,262.4,0.951,
43,-34.6569444444444,117.646944444444,93.7,8200.0,0.951,
44,-34.6558333333333,117.6475,95.3,82000.0,0.951,
45,-35.0247222222222,117.894722222222,100.9,13120.0,0.951,
46,-35.0177777777778,117.870833333333,104.9,164.0,0.951,
47,-35.0177777777778,117.870833333333,106.5,164.0,0.951,
48,-36.08,146.913611111111,99.3,16.4,0.951,
49,-36.02,146.961944444444,101.7,3280.0,0.951,
50,-36.2536111111111,146.855,104.9,164000.0,0.951,
51,-36.2536111111111,146.855,105.7,164000.0,0.951,
52,-36.02,146.961944444444,107.3,3280.0,0.951,
53,-37.0766666666667,145.573055555556,102.9,4920.0,0.951,
54,-37.0766666666667,145.573055555556,104.5,4920.0,0.951,
55,-37.2091666666667,145.841666666667,93.7,1640.0,0.951,
56,-37.2091666666667,145.841666666667,106.9,1640.0,0.951,
57,-37.1911111111111,145.710277777778,106.9,656.0,0.951,
58,-19.0561111111111,136.708611111111,105.5,32.8,0.951,
59,-21.0025,134.407222222222,103.7,32.8,0.951,
60,-21.0025,134.407222222222,106.1,32.8,0.951,
61,-23.7225,133.856944444444,94.9,656.0,0.951,
62,-23.7225,133.856944444444,95.9,1640.0,0.951,
63,-23.7225,133.856944444444,96.9,656.0,0.951,
64,-23.7225,133.856944444444,97.9,1312.0,0.951,
65,-23.7225,133.8575,98.7,1640.0,0.951,
66,-23.7225,133.856944444444,99.7,656.0,0.951,
67,-23.7225,133.8575,100.5,1312.0,0.951,
68,-23.7225,133.856944444444,102.1,656.0,0.951,
69,-23.7225,133.856944444444,104.1,1640.0,0.951,
70,-23.6511111111111,146.630833333333,95.9,164.0,0.951,
71,-23.6511111111111,146.630833333333,100.7,41.0,0.951,
72,-23.6511111111111,146.630833333333,102.3,49.2,0.951,
73,-23.6177777777778,146.63,105.7,82.0,0.951,
74,-23.6177777777778,146.63,107.3,82.0,0.951,
75,-13.8505555555556,136.425277777778,98.1,820.0,0.951,
76,-13.8502777777778,136.425277777778,102.1,328.0,0.951,
77,-13.8502777777778,136.425277777778,106.1,262.4,0.951,
78,-13.8502777777778,136.425277777778,107.7,262.4,0.951,
79,-26.15,131.146111111111,106.1,16.4,0.951,
80,-12.9286111111111,141.633888888889,93.3,82.0,0.951,
81,-12.9286111111111,141.633888888889,94.1,82.0,0.951,
82,-12.9286111111111,141.633888888889,94.9,82.0,0.951,
83,-12.9286111111111,141.633888888889,97.3,82.0,0.951,
84,-12.9286111111111,141.633888888889,98.1,82.0,0.951,
85,-12.9286111111111,141.633888888889,98.9,82.0,0.951,
86,-12.9286111111111,141.633888888889,99.7,82.0,0.951,
87,-30.4733333333333,137.166666666667,105.9,82.0,0.951,
88,-30.4733333333333,137.166666666667,107.5,82.0,0.951,
89,-34.4952777777778,139.061944444444,90.7,164.0,0.951,
90,-34.4952777777778,139.061944444444,92.3,164.0,0.951,
91,-34.4952777777778,139.061944444444,94.7,164.0,0.951,
92,-38.7591666666667,143.664166666667,88.7,164.0,0.951,
93,-38.78,143.651388888889,89.5,328.0,0.951,
94,-38.6730555555555,143.722777777778,95.9,410.0,0.951,
95,-38.78,143.651388888889,97.9,410.0,0.951,
96,-22.9680555555556,145.243055555556,98.1,82.0,0.951,
97,-22.9680555555556,145.243055555556,99.7,49.2,0.951,
98,-22.9655555555556,145.247777777778,107.9,82.0,0.951,
99,-37.2702777777778,142.891944444444,92.9,82.0,0.951,
100,-37.2702777777778,142.891944444444,98.5,1640.0,0.951,
101,-16.7097222222222,128.395555555556,102.7,131.2,0.951,
102,-16.7097222222222,128.395555555556,104.3,82.0,0.951,
103,-16.7097222222222,128.395555555556,105.9,82.0,0.951,
104,-16.7097222222222,128.395555555556,107.5,82.0,0.951,
105,-34.3477777777778,147.22,106.9,82.0,0.951,
106,-32.0925,116.034722222222,107.3,328.0,0.951,
107,-30.5441666666667,151.651666666667,92.1,3280.0,0.951,
108,-30.3761111111111,151.601388888889,100.3,16400.0,0.951,
109,-30.3772222222222,151.601944444444,101.1,16400.0,0.951,
110,-30.3772222222222,151.601944444444,101.9,16400.0,0.951,
111,-30.3772222222222,151.601944444444,102.7,6560.0,0.951,
112,-30.3772222222222,151.601944444444,103.5,16400.0,0.951,
113,-30.3761111111111,151.601388888889,104.3,16400.0,0.951,
114,-30.5233333333333,151.663333333333,106.9,16.4,0.951,
115,-33.9483333333333,137.670555555556,89.3,8200.0,0.951,
116,-29.3297222222222,151.118888888889,107.9,82.0,0.951,
117,-17.2230555555556,145.447222222222,88.7,3280.0,0.951,
118,-17.2225,145.4475,97.9,8200.0,0.951,
119,-17.2230555555556,145.447222222222,99.1,3280.0,0.951,
120,-25.7952777777778,146.5875,104.5,164.0,0.951,
121,-25.7952777777778,146.5875,106.1,164.0,0.951,
122,-25.7952777777778,146.5875,106.1,164.0,0.951,
123,-25.8063888888889,146.588888888889,107.7,164.0,0.951,
124,-34.3141666666667,115.156111111111,97.1,328.0,0.951,
125,-34.3275,115.162222222222,98.3,65.6,0.951,
126,-34.3275,115.162222222222,99.1,65.6,0.951,
127,-34.3238888888889,115.159722222222,101.5,131.2,0.951,
128,-34.3275,115.162222222222,101.5,131.2,0.951,
129,-13.3555555555556,141.729722222222,107.7,16.4,0.951,
130,-19.7455555555556,147.495833333333,92.3,1640.0,0.951,
131,-19.7455555555556,147.495833333333,93.1,1640.0,0.951,
132,-19.7455555555556,147.495833333333,97.1,164.0,0.951,
