Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
47.4845,16.023,50.058,10
48.0345,15.323,50.066,10
48.3345,14.173,50.438,10
48.0345,15.323,50.466,0
47.4857,12.5955,87.5,13
47.2155,15.11,87.6,20000
47.1409,9.4401,87.6,4000
47.3344,13.2548,87.6,100
47.5355,13.4906,87.6,100
47.1823,11.2248,87.6,100
46.45,14.4834,87.6,100
47.2608,12.5025,87.6,72
48.0027,16.0804,87.6,50
47.2251,14.0011,87.6,50
47.1545,12.183,87.6,20
46.442,12.2722,87.6,20
46.2809,14.2131,87.6,20
47.0045,12.5258,87.6,15
47.2953,12.0212,87.6,13
48.0129,15.5758,87.6,10
46.3423,13.3555,87.6,10
48.1203,15.0748,87.6,10
47.3813,12.4141,87.6,10
48.2337,15.4232,87.7,200
47.0326,10.5808,87.7,200
48.0921,14.001,87.7,100
47.1837,15.4331,87.7,80
47.2905,12.2541,87.7,60
47.151,13.0631,87.7,32
47.3436,16.0741,87.7,30
47.3734,13.4719,87.7,30
46.4301,14.2351,87.7,20
47.5217,15.372,87.7,20
47.4848,14.5507,87.7,16
46.5857,14.1028,87.7,15
47.053,15.0759,87.7,10
48.162,14.5721,87.7,3
46.4428,14.0302,87.7,2
48.1129,16.1518,87.8,800
47.2842,10.383,87.8,150
47.4408,14.3836,87.8,100
47.0713,10.0957,87.8,90
46.5835,10.1314,87.8,32
48.0143,14.2616,87.8,10
47.4716,15.5524,87.8,3
47.2043,16.2244,87.9,7500
46.4532,13.2728,87.9,2700
47.2038,11.0619,87.9,1000
47.2545,13.2351,87.9,560
47.5602,13.4337,87.9,200
47.0611,13.3615,87.9,110
47.3231,14.2013,87.9,100
47.5433,14.2758,87.9,30
47.143,13.1231,87.9,15
47.1913,9.5834,87.9,10
47.3415,15.2845,87.9,5
46.5513,12.3445,88,330
47.0411,14.3146,88,200
47.1209,11.5417,88,100
47.1756,12.2822,88,100
47.4844,15.1456,88,50
47.2156,15.2107,88,50
48.1856,15.1212,88,40
47.1628,11.3453,88,32
46.2947,14.3518,88,30
47.0353,9.5044,88,30
46.5605,10.2956,88,20
48.1411,14.5529,88,5
47.0342,13.5045,88,5
47.4122,13.3448,88.1,600
47.2751,12.121,88.1,400
47.0322,15.0035,88.1,100
46.5459,13.5314,88.1,100
46.5615,11.0015,88.1,25
47.1741,15.0021,88.1,20
46.3839,13.0255,88.1,15
47.3441,14.2729,88.1,10
47.4215,14.4646,88.1,6
47.3744,15.513,88.2,9000
48.3118,13.2914,88.2,3000
47.5937,14.4511,88.2,400
46.4848,15.1148,88.2,180
47.2029,13.1337,88.2,100
46.4805,14.4456,88.2,100
47.032,10.2123,88.2,50
46.4957,14.0949,88.2,30
46.2911,14.1539,88.2,20
47.1533,10.1058,88.2,12
46.46,15.581,88.2,10
47.1458,13.3329,88.2,10
47.4401,14.22,88.3,150
47.0657,10.482,88.3,30
47.0421,13.3622,88.3,30
46.4731,12.2553,88.3,20
46.5336,13.0259,88.3,15
47.5354,14.0444,88.3,10
47.033,14.1624,88.3,10
46.5558,15.551,88.3,7
47.1013,14.2824,88.4,700
47.5557,13.2532,88.4,400
48.2628,14.4053,88.4,130
47.3156,14.5737,88.4,100
48.0203,15.3455,88.4,100
47.242,13.1943,88.4,30
47.1231,11.2741,88.5,45000
47.2241,13.4611,88.5,20000
47.0753,10.1336,88.5,160
47.292,14.0745,88.5,30
46.5051,13.2641,88.5,25
46.49,12.47,88.5,20
46.4258,12.324,88.5,20
47.4437,15.1726,88.5,17
47.1241,9.5013,88.5,10
48.3558,15.1046,88.5,10
48.1613,16.1736,88.6,12000
47.2655,9.4207,88.6,200
47.0649,13.0556,88.6,100
47.3857,13.0518,88.6,80
47.3613,12.4105,88.6,60
47.5421,13.453,88.6,43
46.491,13.5104,88.6,15
47.1533,9.4053,88.6,10
47.2125,14.5916,88.6,10
46.5744,10.0311,88.6,8
47.3327,14.4712,88.6,3
46.5602,14.0038,88.6,2
47.1401,15.3748,88.7,160
46.5419,11.0309,88.7,30
47.4306,15.4644,88.7,10
46.5636,14.3256,88.7,8
46.4004,13.1619,88.7,8
47.1401,12.034,88.7,6
48.2304,14.1516,88.8,100000
47.1809,12.5014,88.8,650
46.3436,14.175,88.8,250
47.0131,15.1059,88.8,200
46.4848,15.1148,88.8,180
47.2445,16.0637,88.8,100
47.2802,15.0545,88.8,10
47.3518,12.0437,88.8,10
47.2903,13.1043,88.8,10
47.1533,14.2832,88.8,3
47.2914,12.0848,88.9,200
46.5537,12.2925,88.9,150
47.4058,15.3609,88.9,100
47.1426,13.3159,88.9,32
47.0718,14.1153,88.9,30
47.2439,10.5513,88.9,15
47.244,14.4459,88.9,12
46.5525,13.3249,88.9,8
47.0516,14.415,88.9,5
47.4153,16.1819,89,600
48.3332,16.2218,89,79
48.2145,15.244,89,51
47.122,10.4522,89,30
47.3417,14.1733,89,30
47.1542,10.2221,89,25
47.5217,15.372,89,20
47.305,10.2833,89,20
46.2748,14.3417,89,10
47.3822,12.2213,89,10
47.3926,14.4653,89,10
47.2237,12.5937,89,6
46.4814,13.463,89,5
47.1435,11.1052,89.1,140
47.0704,10.0006,89.1,80
46.5556,14.2734,89.1,30
48.3913,15.4329,89.1,30
48.4012,16.3743,89.1,20
46.3423,13.3555,89.1,6
47.003,12.2526,89.1,6
47.1154,15.2755,89.2,80000
47.2241,11.49,89.2,350
48.1812,14.1551,89.2,200
47.15,12.34,89.2,100
47.0651,11.4054,89.2,56
47.5217,15.5211,89.2,50
47.1638,13.1149,89.2,30
47.355,12.3141,89.2,30
47.1208,10.0959,89.2,20
47.0352,10.4047,89.2,20
48.325,13.4612,89.2,10
47.3142,13.4133,89.2,10
47.5255,13.4316,89.2,4
46.4756,12.4657,89.3,2600
47.2545,13.2351,89.3,560
47.075,13.3846,89.3,320
46.4609,14.0607,89.3,100
47.5124,13.0204,89.3,58
47.2748,12.243,89.3,16
47.1125,11.0921,89.3,10
47.0643,13.0802,89.3,5
