,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,38.75527777777778,48.467777777777776,66.44,17000
1,39.405833333333334,47.019722222222214,66.74,17000
2,40.6525,47.739722222222234,67.31,17000
3,41.11972222222224,45.45944444444445,67.37,17000
4,39.294166666666676,45.31972222222221,67.4,17000
5,38.764722222222225,48.836111111111094,67.43,17000
6,38.75527777777778,48.467777777777776,68.0,17000
7,39.405833333333334,47.019722222222214,68.36,17000
8,40.35138888888889,49.82333333333335,68.6,1000
9,41.11972222222224,45.45944444444445,68.87,17000
10,39.294166666666676,45.31972222222221,69.2,60000
11,40.35138888888889,49.82333333333335,69.53,17000
12,38.764722222222225,48.836111111111094,69.53,17000
13,39.48277777777779,44.98166666666667,69.53,0
14,41.57944444444445,46.45361111111109,69.92,17000
15,40.62694444444444,46.33194444444445,69.92,17000
16,41.36722222222221,48.494722222222215,70.34,17000
17,40.35138888888889,49.82333333333335,70.34,0
18,39.75472222222223,46.73416666666666,70.64,17000
19,39.48277777777779,44.98166666666667,70.79,17000
20,38.48444444444444,48.83638888888888,71.06,17000
21,38.96833333333332,46.108888888888906,71.27,17000
22,41.57944444444445,46.45361111111109,71.84,17000
23,40.62694444444444,46.33194444444445,71.84,17000
24,41.36722222222221,48.494722222222215,71.96,17000
25,39.75472222222223,46.73416666666666,72.2,17000
26,38.48444444444444,48.83638888888888,72.62,17000
27,38.96833333333332,46.108888888888906,72.83,17000
28,39.82888888888889,46.7411111111111,87.9,1000
29,39.75472222222223,46.73416666666666,87.9,0
30,40.61305555555555,48.44305555555557,88.0,5000
31,40.35138888888889,49.82333333333335,88.0,2000
32,41.17555555555555,48.23749999999999,88.0,250
33,41.57944444444445,46.45361111111109,88.3,1000
34,41.36722222222221,48.494722222222215,88.3,1000
35,40.211111111111116,46.82305555555554,88.3,300
36,40.985833333333325,47.192499999999995,88.5,1000
37,41.57944444444445,46.45361111111109,88.6,1000
38,39.75472222222223,46.73416666666666,88.7,1000
39,40.51277777777778,46.05722222222223,89.0,2000
40,40.62694444444444,46.33194444444445,89.0,1000
41,38.75527777777778,48.467777777777776,89.0,1000
42,38.75527777777778,48.467777777777776,89.3,2000
43,39.514166666666675,47.0238888888889,89.3,1000
44,41.645,46.67305555555554,89.3,1000
45,41.57944444444445,46.45361111111109,89.3,0
46,39.86472222222223,48.03999999999999,89.3,0
47,41.645,46.67305555555554,89.5,1000
48,40.61305555555555,48.44305555555557,89.6,5000
49,41.18694444444445,45.44972222222223,90.0,6310
50,40.35138888888889,49.82333333333335,90.0,4000
51,40.51277777777778,46.05722222222223,90.0,1000
52,38.48444444444444,48.83638888888888,90.0,310
53,40.61305555555555,48.44305555555557,90.5,2000
54,40.37694444444444,47.12500000000001,90.5,1000
55,39.78333333333333,48.86666666666667,90.5,1000
56,40.51555555555555,47.65527777777777,90.5,0
57,39.514166666666675,47.0238888888889,90.7,3000
58,40.35138888888889,49.82333333333335,90.7,1000
59,40.61305555555555,48.44305555555557,91.0,1000
60,39.21666666666668,45.416666666666664,91.0,0
61,39.82888888888889,46.7411111111111,91.1,500
62,39.55472222222221,47.55222222222222,91.3,2000
63,41.57944444444445,46.45361111111109,91.3,2000
64,38.75527777777778,48.467777777777776,91.3,1000
65,40.985833333333325,47.192777777777785,91.6,2000
66,38.48444444444444,48.83638888888888,91.7,1000
67,38.75527777777778,48.467777777777776,92.0,1000
68,39.78333333333333,48.86666666666667,92.0,0
69,40.51277777777778,46.05722222222223,92.0,0
70,39.20972222222222,48.442499999999995,92.0,0
71,39.032500000000006,48.66611111111111,92.0,0
72,40.777777777777764,47.02527777777779,92.0,0
73,39.909722222222236,48.64750000000001,92.0,0
74,39.591944444444444,48.96694444444445,92.0,0
75,40.352500000000006,46.937777777777775,92.0,0
76,40.217499999999994,47.7111111111111,92.0,0
77,41.30916666666666,48.5686111111111,92.1,1250
78,39.58194444444445,47.405833333333334,92.5,0
79,38.75527777777778,48.467777777777776,92.7,0
80,40.985833333333325,47.192777777777785,93.0,2000
81,41.19805555555555,47.18361111111112,93.0,0
82,38.48444444444444,48.83638888888888,93.1,1000
83,40.35138888888889,49.82333333333335,93.3,4000
84,40.51277777777778,46.05722222222223,93.3,2000
85,40.62694444444444,46.33194444444445,93.3,0
86,39.75472222222223,46.73416666666666,93.5,1000
87,40.62694444444444,46.33194444444445,93.6,1000
88,40.51277777777778,46.05722222222223,93.6,0
89,40.211111111111116,46.82305555555554,94.0,0
90,41.18694444444445,45.44972222222223,94.1,6310
91,39.294166666666676,45.31972222222221,94.1,2000
92,41.57944444444445,46.45361111111109,94.3,1000
93,40.62694444444444,46.33194444444445,94.3,1000
94,39.51527777777778,46.97527777777779,94.3,0
95,40.985833333333325,47.192777777777785,94.6,2000
96,40.35138888888889,49.82333333333335,95.0,1000
97,41.19805555555555,47.18361111111112,95.2,1000
98,39.514166666666675,47.0238888888889,95.3,3000
99,41.57944444444445,46.45361111111109,95.6,0
100,41.57944444444445,46.45361111111109,96.0,1000
101,39.72805555555555,44.87138888888889,96.0,0
102,39.75472222222223,46.73416666666666,96.1,1000
103,41.18694444444445,45.44972222222223,96.1,0
104,40.985833333333325,47.192777777777785,96.3,1000
105,40.62694444444444,46.33194444444445,96.5,0
106,41.18694444444445,45.44972222222223,97.0,2500
107,40.964999999999996,45.61138888888888,97.0,0
108,39.75472222222223,46.73416666666666,97.1,1000
109,41.11972222222224,45.45944444444445,97.2,1000
110,40.61305555555555,48.44305555555557,97.3,2950
111,39.514166666666675,47.0238888888889,97.5,3000
112,41.57944444444445,46.45361111111109,97.5,1000
113,40.35138888888889,49.82333333333335,97.7,4000
114,39.82888888888889,46.7411111111111,97.7,0
115,39.75472222222223,46.73416666666666,98.0,1000
116,39.294166666666676,45.31972222222221,98.1,1000
117,39.75472222222223,46.73416666666666,98.3,1000
118,39.75472222222223,46.73416666666666,98.6,0
119,40.73111111111111,48.03416666666666,98.8,0
120,40.6525,47.739722222222234,99.0,1000
121,40.73111111111111,48.03416666666666,99.0,1000
122,39.75472222222223,46.73416666666666,99.0,1000
123,40.37694444444444,47.12500000000001,99.0,0
124,39.58194444444445,47.405833333333334,99.0,0
125,40.33333333333334,48.15,99.0,0
126,41.056666666666686,47.47666666666666,99.0,0
127,41.0,47.766666666666666,99.0,0
128,39.72805555555555,44.87138888888889,99.0,0
129,40.614444444444445,47.14777777777779,99.0,0
130,39.75472222222223,46.73416666666666,99.6,1000
131,38.75527777777778,48.467777777777776,100.0,100000
132,41.11972222222224,45.45944444444445,100.0,1000
133,40.35138888888889,49.82333333333335,100.0,1000
134,39.75472222222223,46.73416666666666,100.0,1000
135,40.33333333333334,48.15,100.0,0
136,40.93805555555556,49.09055555555556,100.2,5000
137,39.55472222222221,47.55222222222222,100.2,250
138,39.21666666666668,45.416666666666664,100.3,0
139,40.35138888888889,49.82333333333335,100.5,1500
140,40.51277777777778,46.05722222222223,100.5,1000
141,41.36722222222221,48.494722222222215,100.5,1000
142,39.03805555555556,46.723888888888894,100.5,250
143,40.73111111111111,48.03416666666666,100.7,1000
