,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,22.69805555555555,90.35361111111109,88.0,0
1,22.35,91.83333333333333,88.0,0
2,21.42138888888889,92.02500000000003,88.0,0
3,23.795,90.41361111111111,88.0,0
4,22.82055555555555,89.55305555555557,88.0,0
5,24.766666666666666,90.45,88.0,0
6,24.36805555555556,88.57555555555555,88.0,0
7,24.901666666666664,91.86083333333337,88.0,0
8,23.780833333333327,90.41694444444445,88.4,2000
9,23.776111111111113,90.37249999999997,88.8,60000
10,22.345555555555556,91.80055555555556,88.8,50000
11,25.76166666666667,89.24,88.8,50000
12,24.901666666666664,91.86083333333337,88.8,50000
13,24.36805555555556,88.57555555555555,88.8,10000
14,22.830833333333338,89.54472222222222,88.8,0
15,22.35,91.83333333333333,89.2,0
16,23.75,90.41666666666667,89.2,0
17,22.69805555555555,90.35361111111109,89.6,40000
18,24.833333333333332,89.3763888888889,89.6,40000
19,22.35,91.83333333333333,89.6,40000
20,23.35555555555555,91.14166666666665,89.6,40000
21,21.42138888888889,92.02500000000003,89.6,40000
22,23.75,90.41666666666667,89.6,40000
23,22.82055555555555,89.55305555555557,89.6,40000
24,23.905555555555562,89.12916666666669,89.6,40000
25,24.766666666666666,90.45,89.6,40000
26,24.9,91.86666666666666,89.6,40000
27,25.76166666666667,89.24,90.0,20000
28,22.345555555555556,91.80055555555556,90.0,5000
29,24.36805555555556,88.57555555555555,90.0,5000
30,23.75,90.41666666666667,90.0,0
31,22.830833333333338,89.54472222222222,90.0,0
32,24.901666666666664,91.86083333333337,90.0,0
33,23.780555555555555,90.4161111111111,90.4,10000
34,22.69805555555555,90.35361111111109,90.4,0
35,24.833333333333332,89.3763888888889,90.4,0
36,22.35,91.83333333333333,90.4,0
37,21.42138888888889,92.02500000000003,90.4,0
38,22.82055555555555,89.55305555555557,90.4,0
39,24.766666666666666,90.45,90.4,0
40,24.36805555555556,88.57555555555555,90.4,0
41,25.766666666666666,89.23333333333333,90.4,0
42,24.9,91.86666666666666,90.4,0
44,23.75,90.41666666666667,91.2,1000
45,23.795,90.41361111111111,91.6,0
46,26.030277777777783,88.47499999999998,92.0,40000
47,24.766666666666666,90.45,92.0,10000
48,22.219999999999995,92.20194444444444,92.0,0
49,23.023055555555555,89.84111111111108,92.0,0
50,23.75,90.41666666666667,92.4,0
51,23.75,90.41666666666667,92.8,0
52,23.75,90.41666666666667,93.2,0
53,23.75,90.41666666666667,93.6,0
54,23.75,90.41666666666667,94.4,1000
55,23.780277777777773,90.35694444444445,94.5,10000
56,23.75,90.41666666666667,94.8,1000
57,23.75,90.41666666666667,95.2,0
58,23.75,90.41666666666667,96.0,0
59,23.75,90.41666666666667,96.4,0
60,23.780277777777773,90.35694444444445,97.6,10000
61,23.75,90.41666666666667,98.4,0
62,22.14027777777778,90.22777777777777,98.8,0
63,24.657222222222227,88.29361111111108,98.8,0
64,25.302500000000006,89.52194444444442,98.8,0
65,22.35,89.2875,98.8,0
66,24.246388888888895,88.81722222222223,99.0,0
67,22.195277777777772,90.75277777777774,99.0,0
68,21.42138888888889,92.02500000000003,99.0,0
69,23.549444444444443,89.1788888888889,99.2,100
70,22.15972222222222,90.12777777777777,99.2,0
71,24.833333333333332,89.3763888888889,99.2,0
72,25.583333333333332,89.66111111111115,99.2,0
73,22.27138888888889,91.14055555555557,99.2,0
74,22.455555555555552,89.02777777777777,99.2,0
75,24.483333333333334,91.76666666666667,99.2,0
76,23.554166666666656,90.53333333333333,99.2,0
77,24.806944444444444,88.94305555555556,99.2,0
78,24.36805555555556,88.57555555555555,99.2,0
79,22.607777777777784,91.66361111111115,99.2,0
80,20.869444444444444,92.29722222222222,99.2,0
81,23.776111111111113,90.37249999999997,100.0,60000
82,25.76166666666667,89.24,100.0,2000
83,23.048888888888886,88.3797222222222,100.8,10000
84,21.42138888888889,92.02500000000003,100.8,0
85,23.35555555555555,91.14166666666665,101.2,2000
86,22.35,91.83333333333333,101.4,0
87,24.901666666666664,91.86083333333337,101.5,2000
88,23.75,90.41666666666667,101.6,0
89,23.780277777777773,90.35694444444445,102.0,10000
90,22.830833333333338,89.54472222222222,102.0,4000
91,23.75,90.41666666666667,102.4,0
92,22.35,91.83333333333333,102.5,2000
93,22.322777777777773,91.81388888888888,103.0,0
94,23.780277777777773,90.35694444444445,103.2,10000
95,22.65444444444444,92.1486111111111,103.2,5000
96,25.76166666666667,89.24,103.5,0
97,23.35555555555555,91.14166666666665,103.6,0
98,22.219999999999995,92.20194444444444,104.0,5000
99,24.36805555555556,88.57555555555555,104.0,5000
100,23.75,90.41666666666667,104.0,1000
101,22.673888888888882,90.33694444444447,105.2,50000
102,24.36805555555556,88.57555555555555,105.2,1000
103,24.901666666666664,91.86083333333337,105.2,1000
104,25.783333333333335,88.9,105.5,2000
105,23.75,90.41666666666667,105.5,250
106,22.35,91.83333333333333,105.6,2000
107,25.76166666666667,89.24,105.6,1000
108,24.766666666666666,90.45,106.0,2000
109,22.830833333333338,89.54472222222222,106.5,2000
110,23.75,90.41666666666667,106.5,250
