,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,53.18888888888889,29.35916666666667,66.02,20045
1,53.04555555555555,24.101111111111116,66.08,5649
2,52.43361111111111,31.011111111111116,66.2,9727
3,53.701944444444436,23.821944444444448,66.2,8954
4,52.18055555555554,26.056388888888886,66.32,6577
5,54.46888888888889,26.41194444444444,66.38,2312
6,52.22416666666667,28.512222222222224,66.44,9247
7,53.33444444444445,32.02888888888889,66.47,8933
8,53.063888888888876,25.47333333333333,66.56,8260
9,55.24444444444444,28.641666666666662,66.74,5585
10,53.46333333333333,26.223333333333333,66.74,100
11,54.89305555555555,26.806111111111107,66.86,9594
12,54.01333333333334,31.68444444444444,66.89,1549
13,53.701944444444436,23.821944444444448,66.98,9268
14,52.43361111111111,31.011111111111116,66.98,4315
15,53.82916666666667,28.964722222222218,67.07,330
17,52.18055555555554,26.056388888888886,67.1,6577
18,54.46888888888889,26.41194444444444,67.19,2312
19,52.22416666666667,28.512222222222224,67.22,8650
20,53.33444444444445,32.02888888888889,67.25,9057
21,53.063888888888876,25.47333333333333,67.34,8960
22,51.797222222222224,30.259444444444448,67.37,9204
23,53.32277777777778,28.688333333333333,67.46,9661
24,55.39583333333332,26.643888888888892,67.46,120
25,53.195555555555565,24.020833333333336,67.46,100
26,54.89305555555555,26.806111111111107,67.64,9594
27,53.907777777777774,27.45777777777778,67.7,0
28,52.43361111111111,31.011111111111116,67.76,9727
29,53.701944444444436,23.821944444444448,67.76,8954
30,54.615,30.40138888888889,67.85,5970
31,52.18055555555554,26.056388888888886,67.88,6561
32,54.46888888888889,26.41194444444444,67.97,4688
33,52.22416666666667,28.512222222222224,68.0,9247
34,53.33444444444445,32.02888888888889,68.03,8933
35,53.063888888888876,25.47333333333333,68.12,8260
36,51.797222222222224,30.259444444444448,68.3,9204
37,55.24444444444444,28.641666666666662,68.3,5585
38,54.11888888888888,25.56027777777778,68.39,9683
39,52.9136111111111,30.04333333333333,68.45,4753
40,53.43194444444443,24.613333333333333,68.48,1679
41,52.77944444444444,27.460833333333337,68.57,1786
42,54.89305555555555,26.806111111111107,68.69,9594
43,53.04555555555555,24.101111111111116,68.72,5649
44,53.95527777777778,27.789722222222224,68.84,500
46,53.701944444444436,23.821944444444448,68.9,9268
47,53.18888888888889,29.35916666666667,68.96,10023
48,52.18055555555554,26.056388888888886,69.08,6561
49,55.64138888888888,26.99027777777778,69.08,6486
50,51.797222222222224,30.259444444444448,69.11,9204
51,54.615,30.40138888888889,69.14,5970
52,54.11888888888888,25.56027777777778,69.26,9376
53,52.43361111111111,31.011111111111116,69.26,4315
54,53.33444444444445,32.02888888888889,69.38,9057
55,53.063888888888876,25.47333333333333,69.44,8960
56,52.137777777777785,23.982777777777773,69.68,6353
57,52.9136111111111,30.04333333333333,69.68,4732
58,52.216666666666676,25.154166666666665,69.8,500
59,51.797222222222224,30.259444444444448,69.92,9204
60,55.19305555555556,30.16611111111111,69.92,6237
61,53.990277777777784,30.326666666666668,70.1,8472
62,54.46888888888889,26.41194444444444,70.13,4688
63,52.77944444444444,27.460833333333337,70.22,1786
64,52.22416666666667,28.512222222222224,70.28,8650
65,54.89305555555555,26.806111111111107,70.31,9594
66,53.8875,25.30083333333333,70.31,0
67,53.70416666666667,31.69527777777778,70.34,1807
68,53.95527777777778,27.789722222222224,70.43,8954
69,55.19305555555556,30.16611111111111,70.67,5754
70,53.43194444444443,24.613333333333333,70.76,1679
71,54.751111111111115,25.897222222222222,70.76,918
72,53.82916666666667,28.964722222222218,70.79,1318
73,53.759166666666665,26.03194444444444,70.85,804
74,52.137777777777785,23.982777777777773,70.91,6353
75,53.32277777777778,28.688333333333333,70.91,4753
76,55.24444444444444,28.641666666666662,70.94,5521
77,53.14361111111111,27.07,70.97,111
78,52.9136111111111,30.04333333333333,71.03,4753
79,53.990277777777784,30.326666666666668,71.18,7656
80,53.12555555555556,25.99694444444444,71.18,261
81,53.95527777777778,27.789722222222224,71.33,8872
82,53.18888888888889,29.35916666666667,71.45,10023
83,55.19305555555556,30.16611111111111,71.48,6237
84,54.11888888888888,25.56027777777778,71.54,9683
86,53.32277777777778,28.688333333333333,71.69,9661
87,52.137777777777785,23.982777777777773,71.69,6353
89,52.9136111111111,30.04333333333333,71.81,4732
91,53.990277777777784,30.326666666666668,71.96,8472
92,55.64138888888888,26.99027777777778,71.99,6486
93,53.95527777777778,27.789722222222224,72.11,8954
94,52.216666666666676,25.154166666666665,72.14,500
95,52.77944444444444,27.460833333333337,72.23,1786
96,55.19305555555556,30.16611111111111,72.26,5754
97,54.11888888888888,25.56027777777778,72.32,9376
98,52.137777777777785,23.982777777777773,72.47,6353
99,53.32277777777778,28.688333333333333,72.47,4753
100,52.43361111111111,31.011111111111116,72.62,1000
101,55.24444444444444,28.641666666666662,72.65,5521
102,53.990277777777784,30.326666666666668,72.74,7656
103,54.751111111111115,25.897222222222222,72.8,918
104,55.39583333333332,26.643888888888892,72.8,30
105,53.95527777777778,27.789722222222224,72.89,8872
106,55.64138888888888,26.99027777777778,72.98,6486
107,53.18888888888889,29.35916666666667,73.01,20045
108,52.1575,29.906666666666666,73.19,1047
109,53.14361111111111,27.07,73.22,111
110,52.9136111111111,30.04333333333333,73.34,1000
111,55.64138888888888,26.99027777777778,73.49,6486
112,54.01333333333334,31.68444444444444,73.73,387
113,51.88388888888889,26.78805555555555,73.79,403
114,54.615,30.40138888888889,73.82,2985
115,52.063333333333325,29.186111111111114,73.85,200
116,55.39583333333332,26.643888888888892,74.0,30
117,52.137777777777785,23.982777777777773,87.5,2518
118,53.95527777777778,27.789722222222224,87.5,1479
119,53.32277777777778,28.688333333333333,87.5,1000
120,53.701944444444436,23.821944444444448,87.5,955
121,53.14361111111111,27.07,87.7,656
122,55.46666666666667,28.8,87.8,1000
123,53.95527777777778,27.789722222222224,87.9,1480
124,54.46888888888889,26.41194444444444,88.0,500
125,54.60111111111111,26.866944444444442,88.0,500
126,53.990277777777784,30.326666666666668,88.0,470
127,52.22416666666667,28.512222222222224,88.1,6950
128,52.57277777777777,24.51777777777778,88.1,1185
129,53.791666666666664,26.523333333333333,88.1,500
130,55.24444444444444,28.641666666666662,88.2,2123
131,53.701944444444436,23.821944444444448,88.2,1445
132,53.95527777777778,27.789722222222224,88.3,2000
133,52.77944444444444,27.460833333333337,88.4,3100
134,53.063888888888876,25.47333333333333,88.4,1093
135,52.63305555555556,29.74666666666667,88.4,800
136,55.64138888888888,26.99027777777778,88.4,487
137,52.137777777777785,23.982777777777773,88.5,1288
138,55.19305555555556,30.16611111111111,88.5,138
139,52.22416666666667,28.512222222222224,88.6,8433
140,53.82916666666667,28.964722222222218,88.7,4000
141,54.10555555555555,26.50722222222223,88.7,1000
142,52.43361111111111,31.011111111111116,88.8,50
143,53.12555555555556,25.99694444444444,88.9,1188
144,53.701944444444436,23.821944444444448,88.9,100
145,55.46666666666667,28.8,89.0,1000
146,52.77944444444444,27.460833333333337,89.0,792
147,53.93333333333334,27.57777777777778,89.1,500
148,54.615,30.40138888888889,89.1,434
149,52.22416666666667,28.512222222222224,89.2,5000
150,54.24583333333334,26.826944444444447,89.2,1679
151,53.82916666666667,28.964722222222218,89.4,1000
152,53.67777777777777,23.833333333333332,89.5,500
153,55.19305555555556,30.16611111111111,89.5,394
154,52.216666666666676,25.154166666666665,89.5,203
155,53.990277777777784,30.326666666666668,89.6,3758
156,51.75000000000001,28.26111111111111,89.6,500
157,52.57277777777777,24.51777777777778,89.7,1185
158,52.66472222222222,28.22138888888888,89.7,500
159,55.64138888888888,26.99027777777778,89.7,460
160,52.43361111111111,31.011111111111116,89.7,363
161,53.46333333333333,26.223333333333333,89.8,1000
162,53.32277777777778,28.688333333333333,89.9,2192
163,53.701944444444436,23.821944444444448,89.9,1445
164,53.990277777777784,30.326666666666668,90.0,1667
165,54.15833333333334,27.25638888888889,90.0,500
166,55.24444444444444,28.641666666666662,90.1,4246
167,51.792500000000004,30.25833333333333,90.1,2000
168,53.063888888888876,25.47333333333333,90.2,890
169,53.18888888888889,29.35916666666667,90.2,847
170,52.77944444444444,27.460833333333337,90.3,792
171,52.57277777777777,24.51777777777778,90.3,447
172,54.10555555555555,26.50722222222223,90.4,1000
173,52.9136111111111,30.04333333333333,90.4,490
174,53.701944444444436,23.821944444444448,90.4,95
175,52.22416666666667,28.512222222222224,90.5,3475
176,54.20611111111111,28.48861111111111,90.5,1119
177,54.89305555555555,26.806111111111107,90.5,877
178,52.43361111111111,31.011111111111116,90.5,106
179,54.615,30.40138888888889,90.6,1736
180,53.46333333333333,26.223333333333333,90.6,1445
181,52.77944444444444,27.460833333333337,90.7,3160
182,53.18888888888889,29.35916666666667,90.7,902
183,55.24444444444444,28.641666666666662,90.8,3097
184,53.93333333333334,27.57777777777778,90.9,1000
185,53.32277777777778,28.688333333333333,91.0,1995
186,52.43361111111111,31.011111111111116,91.0,1932
187,54.46888888888889,26.41194444444444,91.0,1399
188,54.02777777777777,31.683333333333334,91.0,200
189,55.64138888888888,26.99027777777778,91.1,3715
190,53.063888888888876,25.47333333333333,91.2,7000
191,55.19305555555556,30.16611111111111,91.2,2938
192,51.797222222222224,30.259444444444448,91.2,2000
193,53.95527777777778,27.789722222222224,91.3,1000
194,54.89305555555555,26.806111111111107,91.3,1000
195,55.24444444444444,28.641666666666662,91.4,1061
196,53.18888888888889,29.35916666666667,91.4,500
197,52.43361111111111,31.011111111111116,91.5,5070
198,52.137777777777785,23.982777777777773,91.5,3373
199,53.33444444444445,32.02888888888889,91.5,1000
200,54.10555555555555,26.50722222222223,91.5,1000
201,54.615,30.40138888888889,91.5,868
202,52.22416666666667,28.512222222222224,91.6,20000
203,53.04555555555555,24.101111111111116,91.6,1000
204,53.95527777777778,27.789722222222224,91.7,2000
205,55.19305555555556,30.16611111111111,91.7,789
206,52.77944444444444,27.460833333333337,91.9,3100
207,53.990277777777784,30.326666666666668,91.9,1667
208,53.8875,25.30083333333333,91.9,200
209,55.24444444444444,28.641666666666662,92.0,3097
210,54.46888888888889,26.41194444444444,92.1,1380
211,52.43361111111111,31.011111111111116,92.1,685
212,53.063888888888876,25.47333333333333,92.1,0
213,52.18055555555554,26.056388888888886,92.2,1409
214,55.19305555555556,30.16611111111111,92.2,783
215,52.9136111111111,30.04333333333333,92.3,776
216,53.95527777777778,27.789722222222224,92.4,5500
217,54.615,30.40138888888889,92.4,434
218,54.11888888888888,25.56027777777778,92.5,1459
219,53.82916666666667,28.964722222222218,92.6,5000
220,53.063888888888876,25.47333333333333,92.7,3483
221,53.95527777777778,27.789722222222224,92.8,2454
222,52.099444444444444,23.769722222222217,92.8,500
223,52.9136111111111,30.04333333333333,92.8,388
