,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,27.49694444444444,89.695,88.1,1000
1,27.257777777777775,91.51222222222222,90.0,1000
2,27.41222222222222,89.3927777777778,92.0,20
3,26.897222222222222,89.36111111111109,92.0,20
4,27.50111111111111,90.51666666666667,93.0,1000
5,27.48444444444445,89.62361111111112,96.0,100
6,27.072222222222226,89.575,98.0,1000
7,27.477777777777774,89.64444444444443,99.9,0
8,27.477777777777774,89.64444444444443,104.0,0
9,27.477777777777774,89.64444444444443,105.0,0
10,27.073611111111113,89.87916666666666,999.0,0
11,27.39166666666667,89.2736111111111,999.0,0
12,27.658333333333335,91.17499999999998,999.0,0
13,26.827777777777776,91.56666666666668,999.0,0
