Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
42.4345,18.223,50.424,0
44.4222,18.1823,87.6,0
44.1308,18.4334,87.6,0
43.522,18.2311,87.7,5000
44.1424,17.5235,87.7,500
42.4138,18.1929,87.7,0
43.0746,17.3905,87.8,1000
43.2831,18.4243,87.8,1000
44.2255,17.233,87.8,300
44.4731,17.1147,87.8,200
44.4534,18.0735,87.9,4000
44.073,18.0728,87.9,661
44.3723,18.5233,87.9,500
44.1308,18.4334,87.9,0
44.0618,17.2309,88,500
44.4919,16.3604,88,500
45.0133,18.3957,88,100
43.302,18.2714,88,0
44.3656,17.2232,88,0
43.4316,17.0546,88.1,30000
43.2056,17.4437,88.1,1000
45.0849,17.5949,88.1,300
44.1819,16.2655,88.2,5000
43.5242,18.2551,88.2,350
44.2652,18.0633,88.2,250
43.1303,18.3702,88.3,1000
43.5609,18.4615,88.3,573
44.1322,17.373,88.3,0
43.4603,17.5858,88.4,1000
44.4706,17.1249,88.4,955
44.4612,19.1316,88.4,500
44.5148,15.5232,88.4,300
44.3156,18.4015,88.5,10000
43.2052,17.2147,88.5,100
43.0941,17.4112,88.5,0
44.1138,17.5506,88.5,0
43.2111,17.4951,88.6,1000
43.4907,18.2732,88.7,10000
44.3701,18.0324,88.7,1000
43.0634,17.5305,88.7,0
44.5518,16.0311,88.8,30000
43.5017,17.3522,88.8,1000
44.3132,18.5812,88.8,158
44.4731,17.4012,88.9,1119
43.2831,18.4243,88.9,1000
44.3129,18.4028,89,560
45.0325,18.273,89,300
44.1237,17.5709,89,250
43.48,19.15,89,0
43.0746,17.3905,89.1,1000
45.1038,15.4806,89.1,500
42.5244,18.2709,89.1,0
43.302,18.2714,89.1,0
43.4603,17.5858,89.1,0
44.4612,19.1316,89.2,0
44.1734,17.381,89.3,100000
44.133,17.5532,89.3,500
44.0905,17.5756,89.3,2
44.1306,17.555,89.3,2
43.2056,17.4437,89.4,300
43.1303,18.3702,89.4,0
42.5658,18.0441,89.4,0
44.1819,16.2655,89.5,2344
44.37,17.5,89.5,500
44.49,15.5413,89.5,300
43.5242,18.2551,89.5,200
44.403,18.5351,89.6,2000
45.0148,17.5552,89.6,1000
44.5826,16.4218,89.6,500
44.5925,16.4614,89.6,0
43.4245,18.5146,89.7,630
43.5335,17.3324,89.7,500
44.2706,17.2302,89.7,500
44.1625,18.5202,89.7,382
43.5716,18.1616,89.7,356
44.4418,18.0319,89.8,500
44.1237,17.5709,89.8,500
44.0905,17.5756,89.8,2
44.133,17.5532,89.8,2
44.1306,17.555,89.8,2
44.403,18.5351,89.9,30000
45.0105,17.015,89.9,2200
44.5813,15.5618,89.9,1000
43.5242,18.2551,89.9,547
44.3426,16.0621,89.9,100
43.0422,17.5634,89.9,0
43.2111,17.4951,90,2000
43.0841,18.3407,90,1000
44.3129,18.4028,90,891
44.2345,17.0238,90,336
43.3951,17.4856,90,0
44.4416,18.0338,90.1,500
44.451,16.3857,90.1,0
45.0849,17.5949,90.2,1000
43.5242,18.2551,90.2,500
44.0347,19.0145,90.3,10000
43.2913,17.2024,90.3,1000
44.2435,18.3132,90.3,500
44.5429,17.1744,90.3,500
44.2527,18.1008,90.3,300
43.0555,18.0118,90.5,5000
43.5201,18.2633,90.5,2547
43.593,17.1916,90.5,1000
44.14,17.4157,90.5,500
44.3524,18.1657,90.5,317
43.5233,16.4638,90.5,0
44.5114,18.1324,90.7,10000
43.5604,17.5355,90.7,0
43.4625,17.0857,90.8,1700
42.4257,18.2039,90.8,500
44.101,19.0443,90.8,300
44.4215,18.3241,90.8,200
44.4504,19.0908,90.8,0
43.2056,17.4437,90.9,5000
43.5242,18.2551,90.9,1321
44.4641,17.1156,90.9,1000
44.3556,16.2023,90.9,600
44.3221,18.4111,90.9,500
43.2222,17.2452,90.9,100
44.4534,18.0735,91,0
44.4123,17.1813,91.1,2000
44.1731,17.0748,91.1,100
43.4239,18.5143,91.1,0
44.5826,16.4218,91.1,0
43.4603,17.5858,91.2,2000
44.3129,18.4028,91.2,300
42.5609,17.3607,91.2,0
43.0746,17.3905,91.3,1000
44.0827,17.4701,91.3,500
44.5826,16.4218,91.4,457
43.5335,17.3324,91.4,0
43.3706,19.2206,91.4,0
44.1126,16.2348,91.5,5000
43.5242,18.2551,91.5,3828
44.4801,17.1537,91.5,1000
43.4958,17.0047,91.5,1000
44.1308,18.4334,91.5,300
45.0257,16.2246,91.5,0
43.3943,18.5912,91.5,0
45.1054,15.48,91.6,1000
44.4428,18.0405,91.6,320
43.2111,17.4951,91.7,5000
44.2144,19.0603,91.7,500
44.12,19.1853,91.7,0
44.3527,17.2951,91.7,0
44.4207,18.3503,91.8,3000
42.3918,18.1234,91.9,500
44.4123,17.1813,92,2000
43.4912,18.2728,92,1442
44.2006,17.1531,92,834
43.3951,17.4856,92,631
43.2056,17.4437,92.1,500
44.3701,18.0324,92.2,887
42.5244,18.2709,92.2,300
44.2144,19.0603,92.2,200
44.5309,15.5311,92.3,585
43.2042,17.4926,92.3,500
44.0026,18.1129,92.3,458
43.3941,17.5752,92.3,329
44.1046,18.5531,92.4,115
44.364,18.3912,92.4,0
43.59,18.26,92.4,0
43.4814,18.2107,92.4,0
43.4816,18.3348,92.4,0
43.4316,17.0546,92.5,30000
43.2831,18.4243,92.5,1000
45.0046,18.1935,92.5,573
44.1228,17.3907,92.5,0
