,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,4.944444444444443,114.95,88.5,0
1,4.883333333333333,114.96166666666667,89.1,1000
2,4.600000000000001,114.28333333333333,89.5,500
3,4.883333333333333,114.96166666666667,90.7,1000
4,4.610833333333333,114.50194444444443,91.0,5000
5,4.883333333333333,114.96166666666667,91.4,5000
6,4.883333333333333,114.96166666666667,92.3,5000
7,4.883333333333333,114.96166666666667,92.9,1000
8,4.883333333333333,114.96166666666667,93.3,5000
9,4.610833333333333,114.50194444444443,93.8,5000
10,4.883333333333333,114.96166666666667,94.1,5000
11,4.610833333333333,114.50194444444443,94.4,1000
12,4.610833333333333,114.50194444444443,94.9,5000
13,4.883333333333333,114.96166666666667,95.9,5000
14,4.594444444444443,114.18333333333334,96.3,0
15,4.610833333333333,114.50194444444443,96.9,5000
16,4.610833333333333,114.50194444444443,97.7,5000
17,4.883333333333333,114.96166666666667,98.7,1000
18,4.610833333333333,114.50194444444443,99.7,1000
19,4.883333333333333,114.96166666666667,100.1,1000
20,4.610833333333333,114.50194444444443,100.9,1000
21,4.600000000000001,114.28333333333333,101.7,500
