,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,42.645555555555546,23.374999999999993,50.041,0
1,42.729166666666664,26.29166666666666,50.049,2
2,43.39555555555557,23.208055555555553,50.054,0
3,42.729166666666664,26.374999999999993,50.062,1
4,42.35416666666666,24.625000000000004,50.067,0
5,43.49694444444444,26.893888888888892,69.8,3000
6,43.49694444444444,26.893888888888892,87.6,100000
7,42.66749999999999,27.70194444444445,87.6,3000
8,41.96305555555556,23.673055555555557,87.6,2000
9,42.68055555555556,23.21388888888889,87.6,1500
10,43.70888888888888,24.414722222222228,87.6,1000
11,43.81388888888889,23.236111111111107,87.6,270
12,43.132777777777775,24.721111111111107,87.6,142
13,41.945833333333326,25.558333333333326,87.6,100
14,43.390555555555565,28.41944444444444,87.7,1000
15,42.10972222222221,24.33305555555556,87.7,630
16,42.92083333333332,24.242222222222228,87.7,250
17,42.71444444444443,26.36305555555556,87.8,5623
18,42.262222222222235,23.12444444444445,87.8,1000
19,41.58888888888888,23.302777777777774,87.9,1000
20,43.213611111111106,23.60027777777777,87.9,400
21,41.37833333333334,25.10611111111112,87.9,322
22,43.40194444444444,24.648888888888887,87.9,300
23,42.355277777777765,23.917777777777776,87.9,200
24,42.11694444444443,27.864722222222227,88.0,1935
25,42.676944444444445,23.341944444444444,88.0,1000
26,42.71833333333332,27.240833333333335,88.0,355
27,41.756111111111096,24.37777777777778,88.0,316
28,41.81222222222224,23.558333333333326,88.0,100
29,43.390555555555565,28.41944444444444,88.1,91200
30,41.996666666666655,24.720555555555553,88.1,3090
31,43.10277777777779,25.674999999999994,88.1,230
32,41.57694444444444,23.708055555555553,88.1,125
33,43.62805555555555,22.705833333333334,88.2,10000
34,41.55888888888888,24.77861111111112,88.2,3000
35,43.00333333333333,26.50416666666667,88.2,1730
36,42.266666666666666,23.583333333333332,88.2,450
37,42.47361111111111,25.66694444444444,88.3,5495
38,41.879444444444445,23.08638888888889,88.3,1762
39,43.276388888888896,26.891666666666673,88.3,343
40,42.48916666666667,24.178333333333335,88.3,300
41,41.388888888888886,23.211111111111112,88.4,3000
42,41.42722222222223,25.283333333333335,88.4,2162
43,43.40194444444444,24.648888888888887,88.4,1000
44,42.6725,23.323055555555555,88.4,1000
45,42.7988888888889,27.65416666666667,88.5,5000
46,43.021666666666675,24.98833333333333,88.5,1000
47,44.05,26.616666666666667,88.5,160
48,41.756111111111096,24.37777777777778,88.5,150
49,42.28055555555556,22.694444444444446,88.5,100
50,43.10277777777779,25.674999999999994,88.5,100
51,42.191111111111105,24.334722222222226,88.6,500
52,43.5488888888889,27.81611111111111,88.7,3980
53,43.132777777777775,24.721111111111107,88.7,300
54,42.6,24.15,88.8,1660
55,42.47361111111111,25.66694444444444,88.8,600
56,41.771944444444436,23.064166666666672,88.8,500
57,42.042222222222236,24.01416666666666,88.8,269
58,43.09333333333335,27.378611111111105,88.9,3000
59,43.825277777777764,25.9575,88.9,1297
60,42.852500000000006,24.909166666666664,88.9,300
61,43.213611111111106,23.60027777777777,88.9,100
62,43.390555555555565,28.41944444444444,89.0,1000
63,42.71833333333332,27.240833333333335,89.0,954
64,43.62805555555555,22.705833333333334,89.0,600
65,43.276388888888896,26.891666666666673,89.0,427
66,42.05416666666668,24.732500000000005,89.1,1000
67,42.636944444444445,23.243333333333336,89.1,1000
68,42.083333333333336,23.633333333333333,89.1,813
69,43.03611111111112,24.058333333333337,89.2,1000
70,41.91388888888889,26.35111111111111,89.2,794
71,42.94972222222223,25.87111111111111,89.2,209
72,43.56666666666667,27.833333333333332,89.3,200
73,42.61666666666667,25.4,89.3,100
74,42.037500000000016,23.09722222222222,89.4,300
75,42.676944444444445,23.341944444444444,89.5,1800
76,43.23305555555556,27.954999999999995,89.5,1000
77,42.10972222222221,24.33305555555556,89.5,630
78,42.71833333333332,27.240833333333335,89.5,355
79,41.57694444444444,23.708055555555553,89.5,300
80,42.285833333333336,22.690277777777776,89.5,300
81,42.84083333333332,24.681388888888893,89.5,200
82,41.92722222222223,25.545277777777788,89.5,125
83,43.330555555555556,26.116666666666667,89.5,50
84,43.91749999999999,27.782777777777774,89.6,1500
