,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,26.770555555555564,-75.6138888888889,50.04,25
1,25.046666666666667,-75.63944444444445,88.3,0
2,25.54388888888888,-75.07416666666666,89.9,20000
3,25.046666666666667,-75.63944444444445,90.1,0
4,25.046666666666667,-75.63944444444445,90.9,0
5,25.046666666666667,-75.63944444444445,91.7,0
6,25.046666666666667,-75.63944444444445,92.5,2300
7,26.533333333333335,-75.38888888888891,93.5,5000
8,25.046666666666667,-75.63944444444445,93.9,0
9,26.533333333333335,-76.98333333333333,94.9,5000
10,25.046666666666667,-75.63944444444445,94.9,5000
11,26.533333333333335,-75.38888888888891,95.5,5000
12,26.533333333333335,-76.98333333333333,96.1,5000
13,25.046666666666667,-75.63944444444445,96.1,5000
14,25.046666666666667,-75.63944444444445,96.9,0
15,26.533333333333335,-76.98333333333333,97.5,5000
16,25.046666666666667,-75.63944444444445,97.5,1000
17,23.5,-74.11666666666666,97.7,2000
18,25.046666666666667,-75.63944444444445,98.1,1000
19,23.5,-74.11666666666666,98.3,0
20,20.95,-71.99444444444444,98.3,0
21,24.9,-74.49999999999997,98.5,0
22,25.046666666666667,-75.63944444444445,98.7,1000
23,25.046666666666667,-75.63944444444445,99.1,0
24,25.046666666666667,-75.63944444444445,99.5,0
25,26.533333333333335,-75.38888888888891,100.1,5000
26,26.533333333333335,-76.98333333333333,100.3,5000
27,25.046666666666667,-75.63944444444445,100.3,5000
28,26.866666666666667,-75.85,100.5,0
29,25.046666666666667,-75.63944444444445,101.1,0
30,25.046666666666667,-75.63944444444445,101.9,5000
31,26.533333333333335,-76.98333333333333,102.1,5000
32,25.046666666666667,-75.63944444444445,102.3,0
33,25.046666666666667,-75.63944444444445,102.9,5000
34,25.046666666666667,-75.63944444444445,103.5,0
35,26.533333333333335,-76.98333333333333,103.7,5000
36,26.533333333333335,-76.98333333333333,104.5,20000
37,25.046666666666667,-75.63944444444445,104.5,10000
38,25.046666666666667,-75.63944444444445,105.1,0
39,26.533333333333335,-76.98333333333333,105.9,5000
40,25.046666666666667,-75.63944444444445,105.9,0
41,20.95,-71.99444444444444,106.1,0
42,25.046666666666667,-75.63944444444445,106.1,0
43,25.046666666666667,-75.63944444444445,106.5,0
44,25.046666666666667,-75.63944444444445,107.1,500
45,25.046666666666667,-75.63944444444445,107.3,0
46,25.046666666666667,-75.63944444444445,107.5,0
47,25.046666666666667,-75.63944444444445,107.9,10000
