Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
4.03,9.42,87.5,0
5.012,9.58,88.1,0
9.165,13.2113,88.1,0
5.0938,10.1115,88.4,0
4.03,9.42,88.4,0
3.5811,9.1431,88.5,1000
6.3125,14.1705,88.5,200
4.4258,9.4447,88.6,0
4.03,9.42,88.7,0
3.5405,11.2917,88.8,10000
5.5709,10.1009,88.9,0
9.165,13.2113,89,0
4.054,9.4631,89.2,10000
5.5709,10.1009,89.4,10000
4.345,13.3947,89.8,10000
4.03,9.42,89.9,0
3.5,11.32,90,0
5.5709,10.1009,90.2,0
4.03,9.42,90.3,0
2.5531,11.083,90.5,30
5.0938,10.1115,90.5,0
4.03,9.42,90.5,0
3.5,11.32,90.5,0
5.2725,10.2518,91.1,5000
2.5531,11.083,91.1,1000
,,91.1,0
4.054,9.4631,91.3,5000
3.5811,9.1431,91.6,5000
3.0655,12.1636,91.6,0
3.5,11.32,91.6,0
5.3024,9.5348,91.7,0
3.5,11.32,91.9,0
,,92,0
4.1008,9.1535,92.1,200
9.26,13.22,92.1,0
3.5,11.32,92.4,0
,,92.4,0
5.5709,10.1009,92.5,5000
2.5607,11.5843,92.7,1000
4.345,13.3947,92.9,5000
4.03,9.42,93,0
3.5,11.32,93,0
5.2725,10.2518,93.5,1000
4.1008,9.1535,93.5,1000
4.0443,9.2205,93.6,5000
3.455,10.0758,93.9,1000
3.5405,11.2917,94,10000
5.2725,10.2518,94,0
5.5709,10.1009,94,0
4.03,9.42,94,0
5.2717,10.0525,94,0
5.4442,9.1906,94,0
6.14,10.28,94,0
9.165,13.2113,94.4,1000
4.1008,9.1535,94.5,20000
4.054,9.4631,94.5,2500
3.5,11.32,94.5,0
3.1424,10.4324,94.7,0
5.264,10.03,94.7,0
3.5811,9.1431,94.8,2500
10.3618,14.1836,94.8,2500
5.5709,10.1009,94.9,0
5.2725,10.2518,95,0
5.0842,10.3116,95,0
,,95,0
5.2717,10.0525,95.1,0
6.1315,10.414,95.2,0
4.1008,9.1535,95.3,10000
5.2725,10.2518,95.5,0
4.03,9.42,95.5,0
2.563,9.5436,95.5,0
5.5709,10.1009,95.7,2500
10.4424,13.4843,95.8,1000
4.03,9.42,96,100
3.5,11.32,96.2,1000
10.195,15.04,96.4,0
3.5,11.32,96.5,0
8.2319,14.1543,96.6,0
5.2725,10.2518,96.7,0
3.5,11.32,96.8,0
4.03,9.42,96.9,0
2.1948,9.5104,97,2500
3.5,11.32,97,0
5.5709,10.1009,97.2,0
5.2725,10.2518,97.3,0
2.5531,11.083,97.6,1000
4.1008,9.1535,97.7,1000
4.054,9.4631,97.8,2500
5.2725,10.2518,97.9,0
5.2717,10.0525,98,1000
5.5015,9.532,98,0
3.5811,9.1431,98.1,2500
5.5709,10.1009,98.1,0
2.563,9.5436,98.1,0
4.345,13.3947,98.2,0
4.03,9.42,98.4,30
7.1743,13.352,98.4,0
3.5,11.32,98.4,0
6.1315,10.414,98.5,500
4.1008,9.1535,98.6,2500
7.4621,12.1118,98.6,1000
5.0938,10.1115,98.8,0
5.5709,10.1009,99,2500
6.005,10.191,99,500
4.03,9.42,99,0
4.345,13.3947,99.4,2500
5.2725,10.2518,99.4,0
3.5,11.32,99.5,250
5.204,10.16,99.5,0
6.1315,10.414,99.5,0
4.03,9.42,99.6,30
6.4502,11.4815,99.7,200
10.195,15.04,99.8,2500
5.0938,10.1115,100,1000
5.581,10.1025,100,0
5.0842,10.3116,100,0
5.264,10.03,100,0
4.03,9.42,100.1,0
3.5,11.32,100.1,0
6.1315,10.414,100.5,1000
5.2725,10.2518,100.5,0
4.03,9.42,100.5,0
2.5531,11.083,100.5,0
3.312,11.3011,100.5,0
3.5,11.32,100.5,0
5.5709,10.1009,101,0
5.2725,10.2518,101.1,1000
2.5531,11.083,101.1,1000
9.165,13.2113,101.2,1000
4.054,9.4631,101.3,1000
3.5,11.32,101.3,1000
3.5811,9.1431,101.6,1000
10.3618,14.1836,101.6,1000
3.5405,11.2917,101.9,10000
5.5709,10.1009,102,0
5.2717,10.0525,102,0
3.4544,11.5302,102.2,30
9.165,13.2113,102.3,1000
7.1743,13.352,102.5,1000
4.03,9.42,102.5,0
3.5,11.32,102.5,0
5.5709,10.1009,102.7,800
5.0938,10.1115,102.7,0
2.5531,11.083,102.7,0
4.03,9.42,103,0
3.5,11.32,103.3,0
3.5,11.32,103.7,1000
4.0443,9.2205,103.9,5000
2.1948,9.5104,103.9,1000
4.03,9.42,103.9,0
4.03,9.42,104.2,30
5.2717,10.0525,104.25,0
3.5,11.32,104.5,0
5.2725,10.2518,104.7,1000
9.165,13.2113,104.8,1000
4.054,9.4631,104.9,2000
6.3502,10.4211,105.1,200
3.5811,9.1431,105.2,1000
10.3618,14.1836,105.2,1000
5.5709,10.1009,105.5,0
3.5,11.32,105.5,0
5.5709,10.1009,105.8,0
4.03,9.42,106,30
3.5,11.32,106,0
3.5,11.32,106.5,0
4.03,9.42,106.6,0
3.5,11.32,106.7,0
4.1008,9.1535,106.9,0
6.2342,10.0502,107,1000
3.5,11.32,107,0
3.312,11.3011,107.1,0
4.1008,9.1535,107.2,20000
2.1948,9.5104,107.4,1000
4.03,9.42,107.7,0
3.5,11.32,107.7,0
,,107.7,0
4.03,9.42,107.8,0
4.03,9.42,999.9,0
2.5531,11.083,999.9,0
5.59,10.264,999.9,0
3.5,11.32,999.9,0
