Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
28.0844,-15.2729,50.072,10
28.3615,-17.473,50.415,10
28.28,-16.17,87.5,0
28.3613,-13.5624,87.5,0
28.0308,-16.4142,87.5,0
27.4344,-18.0225,87.6,2000
28.2243,-16.36,87.6,2000
28.0906,-15.3826,87.6,1200
28,-15.28,87.6,1000
27.4829,-15.3107,87.6,0
28.3241,-13.5517,87.7,7000
28.0926,-16.4451,87.7,0
28.23,-16.31,87.7,0
28.0308,-16.4142,87.7,0
28.28,-16.17,87.8,2000
28.45,-17.58,87.8,100
28.4,-17.49,87.9,2000
27.55,-15.33,87.9,1000
28.5508,-13.47,87.9,1000
28.12,-16.45,87.9,500
28.2143,-16.4549,87.9,0
28.094,-15.2514,87.9,0
28.0308,-16.4142,87.9,0
,,87.9,0
28.173,-16.2534,88,0
28.28,-16.17,88,0
29.0006,-13.354,88.1,1000
28.23,-16.31,88.1,0
28.0308,-16.4142,88.1,0
28.0315,-14.2056,88.2,1000
28.0532,-16.3503,88.2,1000
28.094,-15.2514,88.2,0
27.4829,-15.3107,88.2,0
27.55,-15.33,88.2,0
28.2736,-16.1725,88.3,6000
28.3613,-13.5624,88.3,1000
28.3757,-17.4656,88.3,500
28.0507,-17.0708,88.3,0
28.2949,-17.5037,88.4,1000
28,-15.28,88.4,0
,,88.4,0
27.4829,-15.3107,88.5,4000
28.49,-17.56,88.5,70
29.0822,-13.3055,88.5,0
28.0507,-17.0708,88.5,0
28.2736,-16.1725,88.5,0
28.1839,-16.492,88.5,0
28.29,-16.25,88.5,0
28.094,-15.2514,88.6,50000
28.57,-13.39,88.6,500
28.43,-13.52,88.6,0
28.23,-16.31,88.6,0
28.3241,-13.5517,88.6,0
28.0308,-16.4142,88.7,0
28.26,-16.24,88.8,10000
28.3241,-13.5517,88.8,0
28.0507,-17.0708,88.9,300
28.0308,-16.4142,88.9,200
28.23,-16.31,89,2000
29.0822,-13.3055,89,250
28.094,-15.2514,89,100
28.0835,-15.3406,89,0
27.4643,-15.3703,89,0
28,-15.32,89,0
29.0006,-13.354,89.1,0
28.25,-16.19,89.1,0
28.0308,-16.4142,89.1,0
28.0748,-17.1828,89.1,0
28.23,-16.31,89.2,0
28.0532,-16.3503,89.2,0
28.08,-15.32,89.2,0
27.59,-15.23,89.2,0
28.2423,-14.0241,89.3,0
28.0308,-16.4142,89.3,0
,,89.3,0
28.2736,-16.1725,89.4,6000
28.3613,-13.5624,89.4,1000
28.094,-15.2514,89.4,1000
28.312,-16.203,89.4,1000
28.23,-16.31,89.4,100
29.0006,-13.354,89.4,0
28,-15.46,89.5,2000
28.0315,-14.2056,89.5,20
28.0308,-16.4142,89.5,0
28.094,-15.2514,89.6,8000
