,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,11.405555555555557,16.16666666666667,87.8,1000
1,13.21166666666667,18.34666666666666,88.0,1000
2,12.113333333333333,15.07555555555556,88.3,0
3,9.36666666666667,14.91388888888889,88.5,0
4,8.566666666666666,16.066666666666666,88.7,1000
5,12.113333333333333,15.07555555555556,89.6,500
6,13.459444444444449,14.714722222222221,89.9,0
7,8.666666666666666,16.850000000000005,89.9,0
8,10.463888888888889,16.73333333333334,90.0,0
9,13.785833333333338,15.535000000000005,90.5,0
10,9.397222222222222,16.3,90.6,0
11,13.644444444444447,16.490277777777777,90.6,0
12,12.113333333333333,15.07555555555556,90.6,0
13,12.113333333333333,15.07555555555556,91.0,0
14,12.85,17.56055555555556,91.0,0
15,11.042500000000004,20.28305555555556,91.3,1000
16,8.566666666666666,16.066666666666666,92.0,1000
17,8.991666666666665,16.43333333333334,92.0,0
18,12.113333333333333,15.07555555555556,92.5,0
19,9.36666666666667,14.91388888888889,92.5,0
20,9.313888888888888,15.8,93.0,1000
21,12.841666666666665,14.76388888888889,93.0,0
22,8.91666666666667,17.561111111111106,93.0,0
23,12.113333333333333,15.07555555555556,93.1,1000
24,17.931666666666665,19.10833333333333,93.2,0
25,14.127222222222226,15.312500000000002,93.6,1000
26,12.220277777777774,21.423888888888897,93.7,0
27,12.113333333333333,15.07555555555556,93.7,0
28,17.183611111111112,21.578055555555565,94.0,1000
29,9.36666666666667,14.91388888888889,94.0,0
30,13.21166666666667,18.34666666666666,94.5,1000
31,12.113333333333333,15.07555555555556,94.5,100
32,9.158333333333331,18.375,94.5,0
33,13.29222222222222,19.69222222222222,94.6,1000
34,13.833333333333334,20.833333333333332,95.0,1000
35,8.566666666666666,16.066666666666666,95.0,1000
36,12.113333333333333,15.07555555555556,95.1,0
37,10.04222222222222,16.318888888888885,95.2,0
39,9.313888888888888,15.8,95.9,0
40,13.866666666666667,14.266666666666667,96.0,1000
41,10.283333333333333,15.380555555555556,96.0,0
42,9.73611111111111,15.922777777777773,96.1,0
43,12.113333333333333,15.07555555555556,96.3,0
44,12.998055555555554,15.734166666666665,96.4,1000
45,14.583888888888888,14.776666666666664,96.8,0
46,12.113333333333333,15.07555555555556,96.9,0
47,8.666666666666666,16.850000000000005,97.0,1000
48,9.158333333333331,18.375,97.0,0
49,13.197222222222223,15.387222222222224,97.2,0
50,9.633333333333336,15.511111111111113,97.2,0
51,15.129722222222224,22.250555555555554,97.3,0
52,12.113333333333333,15.07555555555556,97.5,1000
53,9.658333333333335,14.224999999999998,97.5,0
54,13.538888888888884,14.313888888888888,97.6,0
55,12.113333333333333,15.07555555555556,97.9,0
56,11.042500000000004,20.28305555555556,98.0,1000
57,12.05277777777778,22.466666666666665,98.0,1000
58,13.466944444444444,22.204999999999995,98.0,0
59,16.07194444444444,22.868333333333343,98.0,0
60,21.365833333333324,17.010555555555552,98.0,0
61,8.668611111111112,15.38,98.0,0
62,14.52361111111111,20.925000000000004,98.0,0
63,13.459444444444449,14.714722222222221,98.0,0
64,8.666666666666666,16.850000000000005,98.0,0
65,12.220277777777774,21.423888888888897,98.0,0
66,8.91666666666667,17.561111111111106,98.0,0
67,9.397222222222222,16.3,98.0,0
68,14.127222222222226,15.312500000000002,98.0,0
69,11.405555555555557,16.16666666666667,98.0,0
70,12.998055555555554,15.734166666666665,98.0,0
71,9.36666666666667,14.91388888888889,98.0,0
72,8.339166666666664,17.763611111111103,98.1,0
73,8.566666666666666,16.066666666666666,98.3,450
74,12.113333333333333,15.07555555555556,98.3,0
75,12.113333333333333,15.07555555555556,98.8,2000
76,13.459444444444449,14.714722222222221,98.8,1000
77,13.63888888888889,15.369444444444442,98.8,0
78,12.113333333333333,15.07555555555556,99.0,0
79,12.181944444444444,18.68916666666666,99.05,1000
80,13.833333333333334,20.833333333333332,99.1,0
81,10.283333333333333,15.380555555555556,99.4,1100
82,17.931666666666665,19.10833333333333,100.1,0
83,8.91666666666667,17.561111111111106,100.1,0
84,12.113333333333333,15.07555555555556,100.2,0
85,8.566666666666666,16.066666666666666,100.3,0
86,9.158333333333331,18.375,100.4,0
87,13.833333333333334,20.833333333333332,100.5,0
88,12.113333333333333,15.07555555555556,101.1,0
89,12.113333333333333,15.07555555555556,101.5,1000
90,8.566666666666666,16.066666666666666,101.8,500
91,12.113333333333333,15.07555555555556,101.9,0
92,9.158333333333331,18.375,102.0,0
93,12.113333333333333,15.07555555555556,102.1,0
94,12.113333333333333,15.07555555555556,102.7,0
95,8.983333333333333,16.316666666666674,103.0,0
96,8.291388888888891,17.13611111111111,103.0,0
97,12.113333333333333,15.07555555555556,103.0,0
98,9.455555555555557,18.94722222222223,104.5,0
99,12.113333333333333,15.07555555555556,105.3,0
100,12.113333333333333,15.07555555555556,106.3,0
101,12.113333333333333,15.07555555555556,107.1,1000
102,12.113333333333333,15.07555555555556,107.7,0
