Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-45.342,-72.0515,47.2,0
-30.361,-71.1014,47.2,0
-34.125,-70.4407,47.2,0
-35.26,-71.4,47.2,0
-28.34,-70.45,47.2,0
-22.28,-68.56,47.4,500
-35.2,-72.25,47.4,0
-35.51,-71.36,47.4,0
-41.15,-73.01,47.4,0
-53.09,-70.55,47.4,0
-20.21,-70.0632,47.6,0
-40.34,-73.09,47.6,0
-38.44,-72.36,47.6,0
-33.251,-70.3748,47.9,5000
-36.5,-73.03,47.9,1000
-33,-71.31,47.9,1000
-34.125,-70.4407,47.9,500
-29.561,-71.1322,47.9,250
-39.491,-73.1406,47.9,0
-34.35,-71,48,0
-38.44,-72.36,48,0
-23.35,-70.1948,48.2,0
-33.251,-70.3748,48.3,1000
-29.561,-71.1322,48.3,0
-39.491,-73.1406,48.3,0
-33,-71.31,48.3,0
-40.34,-73.09,48.4,0
-18.29,-70.2,49.2,0
-36.36,-72.07,49.2,0
-36.5,-73.03,49.2,0
-20.21,-70.0632,49.2,0
-29.561,-71.1322,49.2,0
-37.283,-72.2043,49.2,0
-33.341,-71.3658,49.2,0
-33,-71.31,49.2,0
-33.251,-70.3748,49.3,1000
-22.28,-68.56,49.3,0
-34.59,-71.14,49.4,0
-23.35,-70.1948,49.6,0
-33.161,-70.4229,50.008,0
-53.011,-70.523,50.049,50
-53.09,-70.55,72.4,250
-33.251,-70.3748,72.6,3000
-20.21,-70.0632,72.6,1000
-27.22,-70.19,72.6,800
-22.28,-68.56,72.6,100
-33.02,-71.38,75.6,0
-33.02,-71.38,87.7,100
-34.35,-71,87.7,0
-37.28,-73.21,87.9,0
-33.251,-70.3748,88.1,10000
-38.44,-72.36,88.1,10000
-23.35,-70.1948,88.1,1000
-18.29,-70.2,88.1,1000
-20.21,-70.0632,88.1,1000
-35.51,-71.36,88.1,1000
-41.274,-72.5655,88.1,1000
-22.28,-68.56,88.1,250
-40.17,-73.05,88.1,250
-34.38,-71.22,88.1,250
-37.173,-71.5655,88.1,250
-30.42,-70.57,88.1,150
-20.15,-70.07,88.1,0
-27.034,-70.5013,88.1,0
-39.35,-72.02,88.1,0
-36.5,-73.03,88.1,0
-35.2,-72.25,88.1,0
-27.22,-70.19,88.1,0
-45.342,-72.0515,88.1,0
-22.553,-68.1717,88.1,0
-28.304,-71.0447,88.1,0
-33.024,-71.372,88.1,0
-37.142,-71.5633,88.1,0
-29.561,-71.1322,88.1,0
-29.561,-71.1322,88.1,0
-39.28,-72.07,88.1,0
-31.55,-71.31,88.1,0
-35.32,-71.42,88.1,0
-33.56,-71.5,88.1,0
-51.44,-72.31,88.1,0
-53.09,-70.55,88.1,0
-34.25,-70.52,88.1,0
-32.45,-70.4326,88.1,0
-27.29,-70.16,88.1,0
-28.34,-70.45,88.1,0
-33,-71.31,88.1,0
-26.15,-69.37,88.3,1000
-29.561,-71.1322,88.3,1000
-37.28,-73.21,88.3,250
-39.51,-72.5,88.3,250
-35.07,-71.17,88.3,250
-31.54,-70.37,88.3,150
-27.034,-70.5013,88.3,0
-29.58,-71.21,88.3,0
-34.59,-71.14,88.3,0
-34.44,-71.36,88.3,0
-32.15,-70.56,88.3,0
-33.341,-71.3658,88.3,0
-33.251,-70.3748,88.5,10000
-18.29,-70.2,88.5,1000
-42.28,-73.48,88.5,1000
-36.5,-73.03,88.5,1000
-32.5,-70.37,88.5,1000
-41.19,-72.59,88.5,1000
-32.58,-71.33,88.5,1000
-34.25,-70.52,88.5,1000
-40.34,-73.09,88.5,250
-53.183,-70.2239,88.5,250
-22.05,-70.12,88.5,250
-39.16,-72.13,88.5,250
-37.43,-72.14,88.5,150
-41.15,-73.01,88.5,150
-35.26,-71.4,88.5,50
-45.342,-72.0515,88.5,0
-31.38,-71.1,88.5,0
-33.035,-71.3635,88.5,0
-34.074,-71.4345,88.5,0
-30.361,-71.1014,88.5,0
-38.245,-72.2232,88.5,0
-53.09,-70.55,88.5,0
-38.01,-73.05,88.5,0
-38.2,-73.3,88.5,0
-39.491,-73.1406,88.5,0
-28.34,-70.45,88.5,0
-27.22,-70.19,88.7,1000
-39.22,-72.38,88.7,1000
-38.44,-72.57,88.7,1000
-20.21,-70.0632,88.7,250
-33.01,-71.16,88.7,250
-33.37,-71.36,88.7,250
-22.28,-68.56,88.7,0
-42.28,-73.48,88.7,0
-36.36,-72.06,88.7,0
-37.57,-72.26,88.7,0
-35.2,-72.25,88.7,0
-34.59,-71.14,88.7,0
-29.4,-71,88.7,0
-33.01,-71.17,88.7,0
-38.511,-71.4135,88.7,0
-27.245,-70.1633,88.7,0
-45.241,-72.413,88.7,0
-45.29,-72.5,88.7,0
-40.19,-72.58,88.7,0
-33.341,-71.3658,88.7,0
-27.29,-70.16,88.7,0
-33.251,-70.3748,88.9,10000
-23.35,-70.1948,88.9,1000
-29.561,-71.1322,88.9,1000
-39.491,-73.1406,88.9,1000
-35.51,-71.36,88.9,500
-32.5,-70.37,88.9,500
-37.363,-73.3853,88.9,250
-38.39,-72.14,88.9,250
-37.43,-72.14,88.9,170
-31.542,-70.432,88.9,150
-34.44,-71.17,88.9,0
-29.02,-71.26,88.9,0
-39.35,-72.02,88.9,0
-34.4,-71.13,88.9,0
-32.594,-71.1053,88.9,0
-30.361,-71.1014,88.9,0
-26.103,-70.3257,88.9,0
-34.381,-71.073,88.9,0
-41.19,-72.59,88.9,0
-53.09,-70.55,88.9,0
-43.06,-73.36,88.9,0
-33.025,-71.2628,88.9,0
-34.35,-71,88.9,0
-34.38,-71.22,88.9,0
-22.05,-70.12,88.9,0
-28.34,-70.45,88.9,0
-33,-71.31,88.9,0
-33.023,-71.2224,88.9,0
-45.342,-72.0515,89.1,1000
-34.59,-71.14,89.1,1000
-40.34,-73.09,89.1,1000
-18.29,-70.2,89.1,250
-22.195,-68.5925,89.1,250
-36.36,-72.06,89.1,250
-38.03,-72.23,89.1,250
-32.524,-71.1459,89.1,250
-34.56,-71.19,89.1,250
-39.16,-72.13,89.1,250
-38.2,-73.3,89.1,150
-27.034,-70.5013,89.1,0
-35.44,-72.32,89.1,0
-31.11,-71,89.1,0
-32.55,-71.31,89.1,0
-37.01,-73.08,89.1,0
-35.503,-72.3803,89.1,0
-32.48,-71.1,89.1,0
-28.304,-71.0447,89.1,0
-32.47,-71.12,89.1,0
-32.493,-71.1338,89.1,0
-29.561,-71.1322,89.1,0
-33.01,-71.16,89.1,0
-32.43,-71.14,89.1,0
-30.01,-70.32,89.1,0
-34.39,-71.5401,89.1,0
-35.49,-72.35,89.1,0
-33.341,-71.3658,89.1,0
-38.13,-72.2,89.1,0
-33.023,-71.2224,89.1,0
-33.251,-70.3748,89.3,10000
-42.28,-73.48,89.3,1000
-27.22,-70.19,89.3,1000
-20.21,-70.0632,89.3,1000
-53.183,-70.2239,89.3,1000
-41.274,-72.5655,89.3,1000
-38.44,-72.36,89.3,1000
-34.25,-70.52,89.3,500
-40.074,-72.231,89.3,250
-25.35,-70.1,89.3,250
-37.28,-72.2024,89.3,250
-41.15,-73.01,89.3,250
-23.345,-70.2004,89.3,0
-31.24,-71.27,89.3,0
-36.29,-72.42,89.3,0
-39.21,-71.35,89.3,0
-32.5,-70.37,89.3,0
-31.55,-71.31,89.3,0
-31.47,-70.58,89.3,0
-32.45,-70.4326,89.3,0
-22.204,-69.3945,89.5,1000
-51.44,-72.31,89.5,1000
-35.26,-71.4,89.5,1000
-33.02,-71.38,89.5,1000
-39.491,-73.1406,89.5,250
-22.28,-68.56,89.5,0
-35.2,-72.25,89.5,0
-45.342,-72.0515,89.5,0
-26.22,-70.03,89.5,0
-29.54,-71.15,89.5,0
-34.074,-71.2811,89.5,0
-34.074,-71.4345,89.5,0
-41.24,-73.29,89.5,0
-27.335,-69.1646,89.5,0
-30.42,-70.57,89.5,0
-39.38,-72.2,89.5,0
-54.56,-67.37,89.5,0
-36.43,-73.07,89.5,0
-33.251,-70.3748,89.7,10000
-18.29,-70.2,89.7,1000
-20.21,-70.0632,89.7,1000
-39.16,-72.13,89.7,1000
-41.151,-73.002,89.7,250
-40.34,-73.09,89.7,250
-53.09,-70.55,89.7,250
-34.38,-71.22,89.7,250
-30.02,-70.42,89.7,250
-38.28,-72.26,89.7,150
-32.08,-71.32,89.7,15
-41.533,-73.4906,89.7,0
-23.345,-70.2004,89.7,0
-36.36,-72.07,89.7,0
-38.303,-72.2714,89.7,0
-39.315,-72.5739,89.7,0
-43.06,-73.36,89.7,0
-33.341,-71.3658,89.7,0
-28.34,-70.45,89.7,0
-27.22,-70.19,89.9,250
-34.59,-71.14,89.9,250
-33.03,-71.22,89.9,250
-44.45,-72.42,89.9,250
-41.274,-72.5655,89.9,250
-38.58,-73.03,89.9,250
-31.54,-70.37,89.9,150
-22.05,-70.12,89.9,150
-40.192,-72.285,89.9,100
-37.15,-73.19,89.9,0
