,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,30.604166666666668,101.04166666666664,50.013,0
1,23.133333333333333,113.3,78.3,100
2,36.67638888888889,117.05388888888892,81.3,10
3,23.133333333333333,113.3,81.6,100
4,34.21666666666668,108.93888888888885,83.1,10
5,34.2311111111111,108.95333333333336,84.15,10
6,34.22916666666667,108.86666666666666,85.0,100
7,34.21666666666668,108.93888888888885,85.0,10
8,34.246666666666655,108.98333333333333,86.1,100
9,34.21666666666668,108.93888888888885,86.3,10
10,40.0,116.33333333333333,86.5,100
11,34.25166666666665,108.9086111111111,86.5,30
12,34.23611111111111,109.07500000000003,86.5,10
13,34.259166666666665,108.99444444444444,86.7,30
14,39.98944444444444,116.34611111111109,86.7,10
15,34.25,108.83333333333333,86.9,10
16,45.75,126.63333333333334,87.0,1000
17,42.96666666666667,89.18333333333334,87.0,1000
18,47.0,89.46666666666667,87.0,300
19,30.266666666666666,120.18333333333334,87.0,300
20,40.81666666666667,111.66666666666667,87.0,300
21,30.45,114.91666666666667,87.0,300
22,26.633333333333333,118.16666666666667,87.0,300
23,35.733333333333334,107.63333333333334,87.0,300
24,23.7,113.03333333333333,87.0,300
25,26.25,117.61666666666666,87.0,300
26,24.8,113.58333333333333,87.0,300
27,33.93333333333333,118.28333333333333,87.0,300
28,36.63333333333335,101.76666666666667,87.0,300
29,34.36666666666667,107.21666666666667,87.0,100
30,34.6,105.7,87.0,100
31,41.03333333333333,113.11666666666666,87.0,100
32,43.8,87.61666666666666,87.0,100
33,21.85,111.96666666666667,87.0,100
34,29.55,106.56666666666666,87.0,30
35,39.99861111111112,116.34527777777778,87.0,10
36,39.63333333333335,109.83333333333333,87.1,1000
37,45.15,124.81666666666666,87.1,1000
38,38.85,115.48333333333333,87.1,300
39,41.53499999999998,120.50027777777778,87.1,300
40,23.733333333333334,109.23333333333333,87.1,300
41,27.733333333333334,112.0,87.1,300
42,32.06777777777778,118.74527777777779,87.1,300
43,34.766666666666666,111.18333333333334,87.1,300
44,23.05,112.45,87.1,300
45,35.81666666666667,100.33333333333333,87.1,300
46,43.61666666666667,122.26666666666667,87.1,300
47,36.6,109.51666666666667,87.1,300
48,30.2,109.68333333333334,87.1,100
49,34.6,105.7,87.1,100
50,34.35,108.71666666666667,87.1,100
51,41.25,119.4,87.1,0
52,32.06777777777778,118.74527777777779,87.2,20000
53,28.683333333333334,115.88333333333334,87.2,10000
54,29.666666666666668,107.28333333333333,87.2,3000
55,43.86666666666667,126.56666666666666,87.2,1000
56,23.7,113.03333333333333,87.2,1000
57,33.7,109.88333333333334,87.2,1000
58,33.7,109.88333333333334,87.2,1000
59,44.95,115.38333333333334,87.2,1000
60,41.271111111111104,123.7763888888889,87.2,300
61,40.81666666666667,111.66666666666667,87.2,300
62,33.53333333333333,105.35,87.2,300
63,35.55,106.68333333333334,87.2,300
64,43.166666666666664,124.36666666666666,87.2,300
65,30.05,101.96666666666667,87.2,300
66,32.06666666666667,112.13333333333334,87.2,300
67,37.516666666666666,105.16666666666667,87.2,300
68,34.25166666666665,108.9086111111111,87.2,15
69,31.916666666666668,109.46666666666667,87.3,1000
70,42.266666666666666,118.95,87.3,1000
71,39.46666666666667,75.98333333333333,87.3,1000
72,41.03333333333333,113.11666666666666,87.3,1000
73,34.35,108.71666666666667,87.3,1000
74,33.094444444444434,107.03333333333333,87.3,300
75,23.733333333333334,114.68333333333334,87.3,300
76,45.3,130.96666666666673,87.3,300
77,40.938611111111115,78.44333333333333,87.3,300
78,31.75,116.48333333333333,87.3,300
79,24.916666666666668,118.58333333333333,87.3,300
80,31.9,102.21666666666667,87.3,300
81,22.416666666666668,107.36666666666666,87.3,100
82,27.883333333333333,102.26666666666667,87.3,100
83,32.016666666666666,120.85,87.3,100
84,41.93333333333333,126.43333333333334,87.3,50
85,38.05,114.5,87.3,50
86,23.173888888888882,113.2933333333333,87.4,10000
87,39.31666666666667,87.9,87.4,1000
88,24.316666666666666,116.1,87.4,1000
89,39.63333333333335,109.83333333333333,87.4,1000
90,31.9,102.21666666666667,87.4,1000
91,37.06666666666667,114.48333333333333,87.4,1000
92,29.35,104.76666666666667,87.4,1000
93,38.033333333333346,116.7,87.4,300
94,31.783333333333335,119.96666666666667,87.4,300
95,23.1,109.61666666666666,87.4,300
96,25.566666666666666,116.78333333333333,87.4,300
97,41.13333333333333,122.03333333333333,87.4,300
98,35.55,106.68333333333334,87.4,300
99,31.9,102.21666666666667,87.4,300
100,34.277777777777764,117.16666666666667,87.4,300
101,36.6,109.51666666666667,87.4,300
102,37.64750000000001,120.51083333333332,87.4,300
103,33.05,108.23333333333333,87.4,100
104,26.633333333333333,118.16666666666667,87.4,100
105,30.416666666666668,112.85,87.4,100
106,35.016666666666666,101.48333333333333,87.4,100
107,34.2311111111111,108.95333333333336,87.4,10
108,33.5111111111111,119.13333333333334,87.5,3000
109,28.669999999999998,121.43749999999999,87.5,3000
110,22.266666666666666,113.56666666666666,87.5,3000
111,38.833333333333336,105.66666666666667,87.5,1000
112,41.93333333333333,126.43333333333334,87.5,1000
113,36.55,104.15,87.5,1000
114,40.750000000000014,107.38333333333334,87.5,1000
115,42.833333333333336,93.5,87.5,1000
116,23.366666666666667,103.15,87.5,1000
117,26.633333333333333,118.16666666666667,87.5,1000
118,24.8,113.58333333333333,87.5,1000
119,30.0,103.0,87.5,1000
120,43.13333333333333,129.1833333333334,87.5,1000
121,26.216666666666665,111.6,87.5,1000
122,27.3,105.28333333333333,87.5,300
123,42.266666666666666,118.95,87.5,300
124,34.98333333333335,102.5,87.5,300
125,43.5,82.0,87.5,300
126,26.666666666666668,119.51666666666667,87.5,300
127,35.733333333333334,107.63333333333334,87.5,300
128,25.483333333333334,103.78333333333333,87.5,300
129,34.11666666666667,99.31666666666666,87.5,300
130,28.7,109.73333333333333,87.5,300
131,26.066666666666666,119.3,87.5,100
132,33.094444444444434,107.03333333333333,87.5,100
133,37.11666666666667,79.91666666666667,87.5,100
134,27.55,109.96666666666667,87.5,100
135,30.134722222222226,118.16277777777775,87.5,100
136,45.6,84.86666666666666,87.5,100
137,45.833333333333336,84.83333333333333,87.5,100
138,36.63333333333335,101.76666666666667,87.5,100
139,36.094444444444434,120.33333333333333,87.5,30
140,34.246666666666655,108.98333333333333,87.5,20
141,28.190555555555562,112.93083333333334,87.5,0
142,30.24805555555555,120.09222222222222,87.5,0
143,35.253333333333345,115.51666666666667,87.5,0
144,47.3,123.96666666666667,87.5,0
145,38.90500000000001,121.62750000000004,87.6,20000
146,38.019722222222214,114.53000000000004,87.6,20000
147,39.91805555555556,116.30027777777778,87.6,10000
148,28.190555555555562,112.93083333333334,87.6,10000
149,26.071111111111108,119.30305555555557,87.6,3000
150,31.861388888888886,117.27611111111112,87.6,3000
151,34.5111111111111,109.51666666666667,87.6,3000
152,23.9,106.61666666666666,87.6,1000
153,25.833333333333332,114.93333333333334,87.6,1000
154,23.066666666666666,114.38333333333334,87.6,1000
155,32.016666666666666,120.85,87.6,1000
156,41.03333333333333,113.11666666666666,87.6,1000
157,21.85,111.96666666666667,87.6,1000
158,45.61666666666667,122.08333333333333,87.6,300
159,24.433333333333334,98.58333333333333,87.6,300
160,35.583333333333336,104.63333333333334,87.6,300
161,34.98333333333335,102.5,87.6,300
162,23.366666666666667,103.15,87.6,300
163,37.43333333333333,113.08333333333333,87.6,300
164,36.48527777777778,115.98833333333334,87.6,300
165,28.9,105.45,87.6,300
166,22.783333333333335,100.98333333333333,87.6,300
167,26.6,108.0,87.6,300
168,21.966666666666665,108.61666666666666,87.6,300
169,24.8,113.58333333333333,87.6,300
170,22.633333333333333,110.16666666666667,87.6,300
171,36.516666666666666,102.1,87.6,100
172,24.7,108.08333333333333,87.6,100
173,39.8036111111111,76.4302777777778,87.6,100
174,28.45,119.91666666666667,87.6,100
175,26.566666666666666,101.7,87.6,100
176,43.8,87.61666666666666,87.6,100
177,24.516666666666666,117.65,87.6,100
178,37.811111111111096,114.41666666666667,87.6,50
179,28.190555555555562,112.93083333333334,87.6,0
180,31.861388888888886,117.27611111111112,87.6,0
181,26.257222222222214,117.73694444444442,87.6,0
182,30.669999999999998,104.07111111111111,87.7,10000
183,37.0,95.33333333333333,87.7,10000
184,38.833333333333336,105.66666666666667,87.7,3000
185,34.77944444444443,117.59416666666665,87.7,2000
186,42.266666666666666,118.95,87.7,1000
187,40.81666666666667,111.66666666666667,87.7,1000
188,34.79388888888888,114.2977777777778,87.7,1000
189,46.63333333333333,126.98333333333333,87.7,1000
190,30.916666666666668,113.9,87.7,1000
191,44.95,115.38333333333334,87.7,1000
192,40.65833333333334,122.21416666666667,87.7,1000
193,38.07749999999999,110.27416666666667,87.7,1000
194,32.3,118.3,87.7,300
195,32.9,115.81666666666666,87.7,300
196,26.583333333333332,106.71666666666667,87.7,300
