,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,4.520555555555555,-74.03027777777778,50.06,0
1,4.727222222222222,-72.40277777777777,87.3,0
2,6.333333333333333,-73.9,87.5,0
3,2.7666666666666666,-74.96666666666667,87.5,0
4,10.966666666666667,-73.13333333333334,87.7,0
5,3.0,-74.83333333333333,87.9,200
6,6.25,-73.88333333333334,87.9,0
7,8.927222222222225,-73.3486111111111,88.1,5000
8,2.65,-74.33333333333331,88.1,1000
9,1.416111111111111,-74.1947222222222,88.1,250
10,1.4833333333333334,-73.75555555555557,88.1,250
11,10.75,-73.44999999999997,88.1,250
12,1.3666666666666667,-74.31666666666666,88.1,250
13,10.344444444444441,-73.3,88.1,250
14,1.2000000000000004,-74.03888888888892,88.1,250
15,1.5,-75.41666666666667,88.1,200
16,10.8,-73.25,88.1,200
17,2.8,-74.86666666666665,88.1,200
18,2.4166666666666665,-76.57222222222225,88.1,200
19,1.1333333333333333,-76.17222222222225,88.1,200
20,10.75,-73.08333333333333,88.1,200
21,1.6833333333333333,-76.6,88.1,200
22,1.6666666666666665,-75.33888888888892,88.1,200
23,1.2611111111111106,-75.78333333333333,88.1,200
24,1.2833333333333332,-75.75555555555557,88.1,200
25,2.6166666666666667,-74.71666666666667,88.1,200
26,5.716666666666667,-71.26666666666667,88.1,200
27,10.916666666666666,-73.09999999999998,88.1,200
28,0.8666666666666667,-76.06666666666666,88.1,100
29,1.65,-75.91666666666664,88.1,100
30,1.8333333333333335,-75.66666666666667,88.1,100
31,6.25,-73.75,88.1,100
32,1.9333333333333333,-75.62222222222225,88.1,100
33,1.5166666666666666,-75.83333333333333,88.1,100
34,6.25,-73.57222222222225,88.1,100
35,5.0444444444444425,-74.03333333333333,88.1,5
36,2.45,-73.95,88.1,5
37,7.0,-73.83333333333333,88.1,0
38,5.11111111111111,-73.88333333333334,88.1,0
39,1.6166666666666667,-73.93333333333334,88.1,0
40,4.416666666666667,-72.7333333333333,88.1,0
41,1.2777777777777775,-75.7,88.1,0
42,5.7,-74.98888888888891,88.1,0
43,1.2586111111111111,-75.59666666666668,88.1,0
44,11.25,-72.53333333333333,88.1,0
45,6.65,-73.8,88.1,0
46,10.6,-71.31666666666666,88.1,0
47,4.833333333333333,-74.08333333333333,88.2,1000
48,10.9,-71.17222222222225,88.2,250
49,7.433333333333334,-75.44999999999997,88.2,250
50,11.7,-70.6,88.2,250
51,10.6,-71.31666666666666,88.2,250
52,11.166666666666666,-70.91666666666664,88.2,200
53,6.366666666666666,-71.56666666666666,88.2,200
54,6.283333333333333,-71.80555555555559,88.2,200
55,7.55,-71.11666666666666,88.2,200
56,9.211111111111109,-71.88333333333334,88.2,200
57,8.516666666666667,-71.78333333333333,88.2,200
58,10.15,-72.3,88.2,200
59,9.666666666666666,-72.08333333333333,88.2,200
60,7.483333333333333,-71.53333333333333,88.2,200
61,8.583333333333334,-71.41666666666667,88.2,200
62,6.133333333333334,-71.43333333333334,88.2,200
63,6.883333333333333,-71.2,88.2,200
64,5.95,-72.03333333333333,88.2,200
65,8.627777777777775,-72.13333333333334,88.2,200
66,10.383333333333333,-71.51666666666667,88.2,200
67,7.8069444444444445,-70.82888888888891,88.2,200
68,6.533333333333333,-71.62222222222225,88.2,200
69,6.65,-72.38888888888891,88.2,200
70,7.583333333333333,-70.80555555555559,88.2,200
71,8.3,-71.71666666666667,88.2,200
72,7.8,-71.16666666666667,88.2,200
