,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,45.61388888888889,16.75333333333333,50.029,0
1,44.06916666666667,15.164166666666667,87.6,5000
2,45.11138888888891,14.605555555555556,87.6,4000
3,46.015555555555565,17.00972222222222,87.6,600
4,45.31944444444446,18.418611111111108,87.6,500
5,42.947777777777766,17.008333333333333,87.6,250
6,45.229166666666686,13.619444444444449,87.6,125
7,44.784444444444446,15.756388888888889,87.7,50000
8,44.85472222222222,13.8475,87.7,350
9,42.93277777777777,16.785000000000004,87.7,300
10,43.915,16.450555555555557,87.7,70
11,43.279444444444444,16.62027777777778,87.8,10000
12,46.040833333333346,15.94111111111111,87.8,420
13,45.309722222222234,14.729722222222223,87.8,300
14,44.918611111111105,14.424722222222222,87.9,1000
15,45.281666666666666,17.566388888888888,87.9,500
16,45.599444444444444,16.879444444444445,87.9,100
17,44.8,13.916666666666666,87.9,50
18,44.19805555555555,15.667777777777777,87.9,30
19,45.45055555555557,17.653333333333336,87.9,0
20,45.79611111111111,18.69111111111111,88.0,3000
21,45.124444444444435,13.74,88.0,3000
22,43.612222222222236,16.591111111111104,88.0,100
23,45.629444444444445,14.591388888888888,88.0,60
24,45.89944444444444,15.948055555555555,88.1,5000
25,43.739722222222234,15.893888888888885,88.1,100
26,44.973888888888894,14.058333333333332,88.1,50
27,42.96305555555556,17.36277777777778,88.2,3000
28,43.57083333333335,16.405833333333334,88.2,300
29,45.41916666666667,14.312777777777779,88.2,100
30,43.17750000000001,16.44833333333333,88.2,100
31,45.30361111111112,18.74055555555555,88.3,15000
32,45.8225,17.40333333333333,88.3,3000
33,45.33277777777778,16.983055555555552,88.3,500
34,42.64972222222222,18.07222222222223,88.3,300
35,46.306388888888875,16.33416666666666,88.3,200
36,45.383888888888904,15.089722222222223,88.3,200
37,45.22361111111111,13.584444444444443,88.3,125
38,43.03694444444442,16.115277777777777,88.4,1000
39,45.140277777777776,15.572500000000002,88.4,500
40,44.285555555555554,16.095555555555556,88.4,300
41,45.07750000000001,14.133611111111112,88.4,50
42,45.08305555555556,13.77361111111111,88.5,10000
43,44.25972222222223,15.785277777777782,88.5,2000
44,42.93277777777777,16.785000000000004,88.5,150
45,44.96805555555556,14.749166666666666,88.5,50
46,45.225833333333334,16.5475,88.5,20
47,45.034444444444446,14.580277777777779,88.5,0
48,45.19666666666668,17.989166666666662,88.6,5000
49,43.736666666666665,15.915833333333332,88.6,3000
50,45.57944444444445,16.04111111111111,88.6,1700
51,44.81444444444443,14.339166666666667,88.6,63
52,46.16749999999999,16.81638888888889,88.7,400
53,45.4886111111111,18.087500000000002,88.7,360
54,46.05416666666668,16.18027777777778,88.7,300
55,43.04972222222223,17.654444444444447,88.7,100
56,45.08277777777778,14.090555555555556,88.7,100
57,45.14583333333333,13.6,88.7,0
58,43.27916666666666,16.620000000000005,88.8,3000
59,45.33750000000001,14.279166666666669,88.8,2000
60,42.65027777777776,18.11027777777778,88.9,30000
61,46.217777777777776,15.7,88.9,100
62,46.164444444444435,15.75,88.9,50
63,45.534166666666685,14.667499999999999,88.9,30
64,43.12083333333332,17.48444444444445,88.9,2
65,43.113611111111105,17.47972222222222,88.9,2
66,43.92444444444444,16.16972222222222,89.0,600
67,43.3788888888889,17.115555555555552,89.0,500
68,45.494722222222215,15.553888888888892,89.0,500
69,45.78527777777777,16.65222222222222,89.0,300
70,45.66611111111111,18.416666666666668,89.0,300
71,44.25,15.45305555555556,89.0,30
72,45.98527777777777,15.951944444444443,89.0,0
73,45.281666666666666,17.566388888888888,89.1,2000
74,45.80611111111112,15.949444444444442,89.1,1500
75,46.14638888888887,16.327777777777776,89.1,200
76,45.1111111111111,14.605555555555556,89.2,500
77,45.14583333333333,13.6,89.2,160
78,45.599444444444444,14.63777777777778,89.2,100
