,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,20.16666666666667,-73.53333333333333,88.1,250
1,22.7,-79.14999999999998,88.3,250
2,22.133333333333333,-78.71666666666667,88.7,250
3,23.116666666666667,-80.75,88.9,250
4,20.866666666666667,-74.6,89.1,1000
5,22.333333333333332,-78.3,89.1,1000
6,20.025000000000006,-74.14999999999998,89.5,250
7,23.133333333333333,-80.56666666666666,89.9,250
8,22.15,-77.31666666666666,90.1,3200
9,22.75,-81.88333333333334,90.1,2500
10,20.5,-74.83333333333333,90.1,2000
11,20.35,-72.83333333333333,90.1,2000
12,22.8,-79.53333333333333,90.1,1600
13,21.81388888888889,-78.29861111111111,90.1,1000
14,22.616666666666667,-78.2,90.1,800
15,23.043611111111122,-80.77833333333332,90.3,4000
16,21.05,-75.68333333333331,90.3,1000
17,19.913888888888895,-75.7302777777778,90.3,1000
18,21.116666666666667,-74.46666666666667,90.3,250
19,22.8,-79.53333333333333,90.3,250
20,22.155833333333334,-78.77444444444441,90.3,0
21,22.733333333333334,-79.03888888888892,90.5,1600
22,22.100833333333338,-78.01277777777779,90.5,1000
23,20.966666666666665,-74.03888888888892,90.5,250
24,23.043611111111122,-80.77833333333332,90.5,250
25,22.766666666666666,-80.08333333333333,90.7,4000
26,22.75,-81.28333333333333,90.7,2500
27,20.28333333333334,-75.2833333333333,90.7,2000
28,22.19361111111112,-77.23861111111111,90.7,1000
29,22.433333333333334,-78.22222222222224,90.7,1000
30,22.325277777777778,-77.55749999999999,90.7,1000
31,22.75,-81.28333333333333,90.7,0
32,22.9,-81.5,90.9,2500
33,21.166666666666668,-74.80555555555559,90.9,1000
34,22.500555555555554,-77.8061111111111,90.9,0
35,22.816666666666666,-80.68333333333334,91.1,4000
36,21.891111111111115,-77.765,91.1,4000
37,20.261111111111106,-72.48333333333333,91.1,2000
38,22.25,-78.71666666666667,91.1,1600
39,22.7,-79.14999999999998,91.1,1000
40,22.616666666666667,-78.2,91.1,0
41,23.069722222222225,-79.89111111111112,91.1,0
42,21.891111111111115,-77.765,91.1,0
43,22.91083333333333,-80.18055555555556,91.3,3200
44,22.77222222222222,-81.93333333333334,91.3,2000
45,20.216666666666665,-76.0,91.3,1000
46,22.325277777777778,-77.55749999999999,91.3,1000
47,23.15,-80.66666666666667,91.3,250
48,21.832777777777775,-77.05444444444443,91.5,3200
49,22.633333333333333,-82.2,91.5,2500
50,20.916666666666668,-75.03888888888892,91.5,1000
51,22.766666666666666,-79.33888888888892,91.5,1000
52,22.15,-78.3,91.5,800
53,22.783333333333335,-78.2833333333333,91.5,250
54,20.16666666666667,-73.53333333333333,91.5,0
55,22.716666666666665,-81.38333333333334,91.5,0
56,23.043611111111122,-80.77833333333332,91.7,4000
57,20.233333333333334,-75.61666666666666,91.7,2000
58,20.65,-74.26666666666667,91.7,2000
59,21.81388888888889,-78.29861111111111,91.7,1260
60,21.870833333333337,-81.09805555555555,91.7,300
61,23.033333333333335,-79.86666666666665,91.7,250
62,22.783333333333335,-80.22222222222224,91.9,4000
63,21.266666666666666,-76.48333333333333,91.9,2000
64,21.832777777777775,-77.05444444444443,91.9,800
65,20.37111111111111,-74.74444444444444,91.9,800
67,22.829166666666662,-81.27694444444445,92.1,1000
68,22.95,-79.75,92.1,1000
69,20.14444444444444,-73.68333333333331,92.1,1000
70,23.15,-80.66666666666667,92.1,250
71,22.02805555555555,-77.13166666666667,92.1,0
72,20.916666666666668,-75.61666666666666,92.1,0
73,22.321666666666676,-82.28305555555553,92.1,0
74,20.73333333333334,-74.66666666666667,92.3,4000
75,21.69166666666667,-76.96666666666667,92.3,3200
76,22.316666666666666,-82.08333333333333,92.3,2500
77,22.983333333333334,-81.08333333333333,92.3,2500
78,22.971666666666675,-78.89638888888888,92.3,800
79,22.971666666666675,-78.89638888888888,92.3,800
80,22.466666666666665,-78.03888888888892,92.3,630
81,20.406944444444445,-73.84166666666668,92.3,250
82,22.683333333333334,-80.63333333333334,92.5,3200
83,22.621944444444445,-82.02388888888888,92.5,2500
84,21.266666666666666,-76.16666666666667,92.5,2000
85,20.15,-74.57222222222225,92.5,1260
86,21.891111111111115,-77.765,92.5,600
87,23.066666666666666,-79.9,92.5,250
88,22.653888888888886,-77.37277777777777,92.5,0
89,21.85,-76.8,92.7,2500
90,20.661111111111108,-73.2833333333333,92.7,1600
91,21.364444444444445,-76.19805555555558,92.7,1000
92,20.73333333333334,-74.66666666666667,92.7,800
93,22.733333333333334,-79.61666666666666,92.7,800
94,22.131388888888882,-78.72083333333333,92.7,250
95,21.870833333333337,-81.09805555555555,92.7,0
96,22.8,-80.91666666666667,92.9,3200
97,22.083333333333332,-76.66666666666667,92.9,3200
98,20.75,-74.36666666666666,92.9,2000
99,21.316666666666666,-75.26666666666667,92.9,1000
100,23.15,-80.66666666666667,92.9,250
101,22.283333333333335,-82.1,93.1,1260
102,22.148888888888887,-78.52749999999999,93.1,1000
103,20.183333333333334,-73.38333333333334,93.1,1000
104,22.944444444444446,-79.23972222222218,93.1,1000
105,22.0,-77.6,93.1,630
106,23.13944444444445,-80.70444444444443,93.3,3200
107,20.561111111111106,-73.43333333333334,93.3,1600
108,21.18249999999999,-74.90861111111113,93.3,1600
109,21.4,-76.25,93.3,630
110,20.32805555555555,-72.91527777777776,93.3,250
111,21.4,-76.25,93.3,0
112,22.621944444444445,-82.02388888888888,93.3,0
113,22.371666666666673,-78.28694444444444,93.5,8000
114,21.364444444444445,-76.19805555555558,93.5,1580
115,22.371666666666673,-78.28694444444444,93.5,0
116,20.372500000000002,-74.96805555555558,93.7,4000
117,22.016666666666666,-77.03333333333333,93.7,3200
118,20.85,-74.93333333333334,93.7,1000
119,20.213333333333335,-73.5552777777778,93.7,1000
120,23.069722222222225,-79.89111111111112,93.7,1000
121,22.633333333333333,-82.2,93.7,1000
122,20.099444444444448,-74.15194444444442,93.7,1000
123,22.283333333333335,-79.53333333333333,93.7,400
124,20.616666666666667,-74.17222222222225,93.7,250
125,23.15,-80.66666666666667,93.7,250
126,23.14361111111111,-79.59277777777778,93.7,250
127,21.50222222222222,-81.42194444444445,93.7,126
128,20.372500000000002,-74.96777777777777,93.7,0
129,22.983333333333334,-81.08333333333333,93.7,0
130,20.661111111111108,-73.2833333333333,93.9,1600
131,21.033333333333335,-76.0,93.9,1260
132,22.971666666666675,-78.89638888888888,93.9,800
133,21.891111111111115,-77.765,93.9,250
134,22.083333333333332,-76.66666666666667,94.1,3200
135,23.043611111111122,-80.77833333333332,94.1,3200
136,22.500555555555554,-77.8061111111111,94.1,320
137,20.341388888888886,-75.43916666666665,94.1,0
138,21.95,-76.75,94.1,0
139,22.316666666666666,-82.08333333333333,94.3,1600
140,22.383333333333333,-78.48333333333333,94.3,1000
141,20.025000000000006,-74.14999999999998,94.3,500
142,23.033333333333335,-79.88333333333334,94.3,250
143,20.32805555555555,-72.91527777777776,94.3,0
144,20.65,-73.98888888888891,94.3,0
145,22.933333333333334,-81.01666666666667,94.5,3200
146,20.93861111111111,-75.27055555555556,94.5,630
147,22.325277777777778,-77.55749999999999,94.5,0
148,20.2,-73.46388888888889,94.7,1260
149,23.13944444444445,-80.70444444444443,94.7,1000
150,22.8,-79.86666666666665,94.7,630
151,22.856944444444444,-79.67000000000002,94.7,0
152,21.4,-76.25,94.9,1000
153,22.316666666666666,-77.98333333333333,94.9,1000
154,22.533333333333335,-79.22777777777777,94.9,630
155,22.633333333333333,-82.2,94.9,250
156,23.133333333333333,-80.56666666666666,95.1,1000
157,20.10222222222222,-74.14999999999998,95.1,1000
158,20.833333333333332,-74.06666666666666,95.1,250
159,20.32805555555555,-72.91527777777776,95.1,0
160,20.099444444444448,-74.15194444444442,95.1,0
161,21.832777777777775,-77.05444444444443,95.3,3000
162,22.533333333333335,-79.46666666666667,95.3,1260
163,20.372500000000002,-74.96777777777777,95.3,800
164,20.372500000000002,-74.96805555555558,95.3,500
165,22.783333333333335,-78.2833333333333,95.3,250
166,22.452777777777776,-82.1041666666667,95.5,25000
167,20.26333333333334,-73.37083333333331,95.5,6300
168,23.05,-79.95,95.5,250
169,22.583333333333332,-78.57222222222225,95.5,0
170,20.966666666666665,-74.03888888888892,95.7,1000
171,21.711111111111112,-76.08472222222221,95.7,250
172,22.333333333333332,-78.88333333333334,95.9,2500
173,22.877222222222226,-80.38722222222219,95.9,250
174,23.016666666666666,-80.73333333333333,95.9,250
175,22.983333333333334,-80.88333333333334,96.1,3200
176,20.9,-74.58944444444445,96.1,1000
177,20.75,-74.36666666666666,96.1,250
178,20.147222222222222,-75.75833333333331,96.3,2000
179,20.16666666666667,-73.53333333333333,96.3,250
