Latitude in degrees,Longitude in degrees,Longitude in degrees,EIRP
34.5115,32.523,50.018,15
35.1913,33.095,87.5,25000
35.1127,32.4004,87.7,50
35.0019,32.505,87.7,0
35.2255,33.5248,87.8,10000
34.443,33.0754,87.9,0
35.002,34.0147,87.9,0
35.0501,32.4353,87.9,0
35.1913,33.095,88,1000
34.5619,32.5138,88.2,30000
35.191,33.094,88.4,5000
34.5734,32.2346,88.5,300
34.4538,33.0247,88.5,0
35.0019,32.505,88.5,0
35.002,34.0147,88.5,0
35.1913,33.095,88.6,0
34.443,33.0754,88.7,0
34.3901,32.4144,88.7,0
35.191,33.094,88.8,1000
34.5404,33.1327,89,155000
34.5025,32.2701,89,0
35.182,33.1645,89.2,5000
34.4538,33.0247,89.2,0
34.5404,33.1327,89.4,81000
34.4538,33.0247,89.4,0
34.5025,32.2701,89.4,0
35.2255,33.5252,89.5,0
35.1238,33.2129,89.6,0
34.4538,33.0247,89.6,0
35.0922,33.1745,89.7,1500
35.0537,33.5308,89.7,0
35.2255,33.5252,89.8,13000
34.342,33.0024,89.9,63000
35.1913,33.095,90,1000
35.002,34.0147,90,0
34.5404,33.1327,90.2,85000
34.5027,32.2659,90.2,7000
35.1913,33.095,90.4,25000
34.443,33.0754,90.5,2000
34.5025,32.2701,90.5,0
35.002,34.0147,90.5,0
35.2255,33.5248,90.6,10000
35.2255,33.5252,90.8,25000
34.4538,33.0247,90.8,0
35.0019,32.505,90.8,0
34.5025,32.2701,90.8,0
35.1913,33.095,90.9,0
34.5619,32.5138,91.1,30000
35.1913,33.095,91.3,0
35.002,34.0147,91.4,4000
34.5734,32.2346,91.4,300
34.4538,33.0247,91.4,0
35.0927,33.202,91.4,0
35.1913,33.095,91.5,0
34.4538,33.0247,91.6,0
35.0922,33.1745,91.7,1500
34.5309,33.2607,91.9,2600
34.342,33.0024,92.1,63000
35.191,33.094,92.1,10000
35.002,34.0147,92.2,0
34.5404,33.1327,92.4,85000
34.5027,32.2659,92.4,7000
35.1913,33.095,92.6,0
35.002,34.0147,92.6,0
34.5619,32.5138,92.8,0
34.5907,33.3855,93,0
35.002,34.0147,93,0
34.443,33.0754,93.1,2000
35.1913,33.095,93.1,0
34.5025,32.2701,93.2,0
34.4538,33.0247,93.3,0
35.0311,33.1746,93.3,0
34.5907,33.3855,93.3,0
35.2255,33.5248,93.4,1000
34.5404,33.1327,93.5,172000
35.0019,32.505,93.5,0
34.5025,32.2701,93.5,0
34.55,33.38,93.7,0
34.4538,33.0247,93.7,0
34.5025,32.2701,93.7,0
35.1913,33.095,93.8,0
34.5404,33.1327,94,85000
34.5027,32.2659,94,7000
35.002,34.0147,94.2,4000
34.5734,32.2346,94.2,300
34.443,33.0754,94.2,0
35.1238,33.2129,94.2,0
35.2255,33.5252,94.4,13000
34.5907,33.3855,94.4,0
34.5025,32.2701,94.4,0
34.4538,33.0247,94.5,0
35.191,33.094,94.6,5000
34.5619,32.5138,94.8,30000
34.4538,33.0247,95,0
34.5907,33.3855,95,0
35.2255,33.5252,95.1,0
34.5025,32.2701,95.2,500
34.39,33.01,95.2,0
35.0935,33.2241,95.2,0
35.0014,33.431,95.3,25000
35.1913,33.095,95.5,0
34.4538,33.0247,95.5,0
34.5404,33.1327,95.7,81000
34.5025,32.2701,95.7,0
35.002,34.0147,96,4000
34.5734,32.2346,96,300
35.1913,33.095,96,0
34.4538,33.0247,96.1,0
35.0019,32.505,96.1,0
34.5025,32.2701,96.1,0
35.1913,33.095,96.2,0
34.5404,33.1327,96.4,112000
35.0019,32.505,96.4,0
34.5025,32.2701,96.4,0
35.2255,33.5252,96.6,200
35.2255,33.5252,96.6,0
34.5404,33.1327,96.8,155000
34.5025,32.2701,96.8,0
35.1913,33.095,97,0
34.4538,33.0247,97,0
34.5907,33.3855,97,0
34.5025,32.2701,97,0
34.5619,32.5138,97.2,30000
35.1913,33.095,97.4,0
35.2255,33.5252,97.5,0
34.5404,33.1327,97.6,28000
34.5734,32.2346,97.6,80
34.4538,33.0247,97.6,0
35.002,34.0147,97.6,0
35.1913,33.095,97.7,0
34.5404,33.1327,97.9,85000
34.5027,32.2659,97.9,7000
35.2255,33.5248,98.1,10000
34.4538,33.0247,98.1,0
34.4538,33.0247,98.2,0
35.0019,32.505,98.2,0
34.5025,32.2701,98.2,0
34.5404,33.1327,98.4,94000
35.0019,32.505,98.4,0
34.5025,32.2701,98.5,0
35.1913,33.095,98.6,1000
34.4538,33.0247,98.6,0
34.5404,33.1327,98.8,107000
34.5734,32.2346,98.8,82
34.55,33.38,99,0
34.4538,33.0247,99,0
35.0311,33.1746,99,0
35.2255,33.5252,99.1,0
34.5619,32.5138,99.3,0
35.0311,33.1746,99.5,0
35.0014,33.431,99.6,25000
35.2255,33.5252,99.7,0
34.5734,32.2346,99.8,0
35.2255,33.5252,99.8,0
34.4538,33.0247,99.9,0
35.1,33.22,99.9,0
35.2255,33.5252,100,0
35.191,33.094,100.1,10000
34.443,33.0754,100.1,0
35.002,34.0147,100.1,0
34.4538,33.0247,100.3,0
35.0019,32.505,100.3,0
35.1913,33.095,100.4,20000
34.5404,33.1327,100.5,85000
34.5404,33.1327,100.7,172000
34.5025,32.2701,100.7,0
35.002,34.0147,100.9,4000
34.5734,32.2346,100.9,300
35.1913,33.095,100.9,0
34.5619,32.5138,101.1,0
35.2255,33.5252,101.3,0
34.5404,33.1327,101.4,145000
34.5025,32.2701,101.4,0
35.191,33.094,101.5,27000
34.5025,32.2701,101.6,0
34.5404,33.1327,101.7,29000
35.1913,33.095,101.8,0
34.5734,32.2346,101.9,0
34.4538,33.0247,101.9,0
34.5025,32.2701,101.9,0
35.002,34.0147,101.9,0
35.191,33.094,102,20000
34.4538,33.0247,102.1,0
34.5025,32.2701,102.1,0
34.5404,33.1327,102.3,155000
34.5025,32.2701,102.3,0
35.002,34.0147,102.5,1650
35.191,33.094,102.5,1000
34.5404,33.1327,102.7,50000
34.5025,32.2701,102.7,0
35.2255,33.5252,102.8,0
35.1913,33.095,102.9,0
35.002,34.0147,103,0
35.1913,33.095,103.1,0
34.4538,33.0247,103.1,0
35.0311,33.1746,103.2,0
34.5734,32.2346,103.3,0
35.1913,33.095,103.4,10000
34.443,33.0754,103.4,0
35.002,34.0147,103.4,0
35.2255,33.5252,103.6,0
34.5734,32.2346,103.7,300
34.4538,33.0247,103.7,0
35.0019,32.505,103.7,0
35.1,33.22,103.7,0
35.002,34.0147,103.7,0
35.191,33.094,103.8,27000
34.5404,33.1327,104,81000
34.5025,32.2701,104,0
35.1913,33.095,104.2,0
35.2255,33.5252,104.3,25000
34.4538,33.0247,104.3,0
35.1,33.22,104.3,0
34.5025,32.2701,104.3,0
35.1913,33.095,104.5,20000
34.4538,33.0247,104.5,10000
35.002,34.0147,104.6,0
34.5619,32.5138,104.8,0
35.191,33.094,105,10000
34.443,33.0754,105,2000
34.5734,32.2346,105,300
34.5404,33.1327,105.3,94000
34.5025,32.2701,105.3,0
34.5404,33.1327,105.5,81000
34.5025,32.2701,105.6,500
34.4538,33.0247,105.7,0
35.0019,32.505,105.7,0
35.002,34.0147,105.7,0
35.1913,33.095,105.8,300
34.5404,33.1327,106,145000
34.5025,32.2701,106,0
35.1913,33.095,106.2,0
34.5925,33.595,106.3,750
34.5734,32.2346,106.4,117
34.4538,33.0247,106.4,0
35.0019,32.505,106.4,0
35.2255,33.5252,106.5,2000
34.443,33.0754,106.7,2000
34.5734,32.2346,106.7,130
35.0311,33.1746,106.7,0
35.002,34.0147,106.7,0
35.2255,33.5252,106.8,0
35.1913,33.095,106.9,6400
34.443,33.0754,106.9,0
34.3901,32.4144,106.9,0
34.5734,32.2346,107,235
35.0019,32.505,107,0
35.002,34.0147,107,0
35.1913,33.095,107.1,0
34.41,33.02,107.1,0
35.2255,33.5252,107.2,0
35.0537,33.5308,107.3,0
34.5404,33.1327,107.4,155000
34.5718,32.5943,107.6,0
35.0019,32.505,107.6,0
34.5025,32.2701,107.6,0
35.1913,33.095,107.8,5000
34.5107,32.5029,107.9,125
35.002,34.0147,107.9,0
34.5025,32.2701,161.8,0
34.4538,33.0247,161.85,0
35.002,34.0147,161.9,0
34.5619,32.5138,161.95,0
