,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,49.37000000000001,16.816111111111116,87.6,66988
1,49.744166666666665,13.951944444444445,87.6,400
2,50.77222222222223,14.186666666666667,87.6,200
3,48.75388888888889,14.420000000000002,87.6,200
4,50.78277777777778,15.054444444444442,87.6,200
5,50.345833333333346,14.485833333333334,87.6,200
6,49.66916666666666,18.674999999999997,87.6,200
7,49.41833333333333,12.910833333333336,87.6,100
8,50.44055555555555,15.362499999999997,87.6,100
9,50.4236111111111,14.91277777777778,87.6,100
10,50.17361111111111,12.674166666666665,87.6,100
11,49.41277777777777,14.666666666666668,87.6,100
12,50.65972222222223,13.845555555555558,87.6,100
13,50.55611111111111,15.906944444444445,87.6,100
14,50.5863888888889,16.330833333333334,87.6,50
15,50.22916666666668,17.201944444444443,87.6,50
16,50.41499999999999,16.16694444444445,87.6,50
17,49.8475,18.305,87.6,50
18,49.24861111111111,13.916666666666668,87.6,50
19,50.72611111111111,15.614444444444443,87.6,20
20,50.76722222222222,15.429166666666667,87.6,20
21,50.69611111111111,15.735555555555553,87.6,20
22,49.9725,15.278888888888892,87.7,200
23,49.25083333333334,13.516388888888887,87.7,100
24,50.05083333333332,16.693055555555553,87.8,1000
25,50.078611111111115,14.540833333333332,87.8,1000
26,50.238055555555555,12.869722222222224,87.8,200
27,48.98166666666667,14.4725,87.8,100
28,49.683611111111105,13.416111111111109,87.8,51
29,49.46777777777778,15.45222222222222,87.9,10000
30,49.75138888888888,12.8025,87.9,200
31,49.30749999999999,14.149444444444446,87.9,100
32,49.460555555555565,17.986944444444447,87.9,100
33,49.23694444444445,17.669444444444444,87.9,100
34,50.70666666666668,13.856388888888889,88.0,500
35,49.41277777777777,14.68527777777778,88.0,200
36,48.82916666666667,14.326111111111112,88.0,100
37,50.04055555555554,15.809444444444445,88.0,100
38,49.74166666666666,13.60611111111111,88.0,100
39,48.86083333333333,16.046388888888888,88.0,100
40,50.08277777777778,17.230833333333337,88.1,10000
41,50.732499999999995,14.984444444444446,88.1,1000
42,49.23527777777779,13.487499999999997,88.1,150
43,49.209722222222226,15.873333333333331,88.1,100
44,50.09444444444444,14.394999999999998,88.2,5000
45,48.99361111111111,15.34611111111111,88.2,1000
46,49.0586111111111,17.476666666666663,88.2,200
47,49.01416666666666,14.004444444444443,88.2,100
48,50.077777777777776,12.381111111111109,88.2,50
49,49.222500000000004,16.674444444444443,88.3,10000
50,50.24416666666667,12.876111111111113,88.3,200
51,49.55944444444444,17.747777777777777,88.3,100
52,49.42944444444445,15.209166666666667,88.3,100
53,49.25527777777777,13.892222222222223,88.3,50
54,49.00388888888888,14.560000000000002,88.4,1000
55,49.97111111111112,14.111666666666665,88.4,200
56,50.85694444444445,14.560555555555556,88.4,200
57,49.43388888888888,15.578611111111112,88.4,100
58,49.29944444444445,17.400833333333335,88.4,100
59,50.652222222222214,15.741666666666665,88.5,10715
60,50.466111111111104,13.400833333333333,88.5,200
61,49.00388888888888,17.686111111111114,88.5,200
62,49.460555555555565,17.986944444444447,88.5,100
63,49.329722222222216,17.992777777777775,88.5,100
64,49.43166666666667,13.2025,88.6,10000
65,49.95611111111112,17.91777777777778,88.6,500
66,50.17638888888888,12.656666666666668,88.6,100
67,49.22527777777778,17.651388888888885,88.6,100
68,49.79944444444444,18.160555555555558,88.6,51
69,49.35,17.07083333333333,88.6,50
70,49.874444444444435,16.892777777777777,88.6,50
71,49.409444444444446,14.691944444444445,88.7,1000
72,49.54861111111111,17.650555555555556,88.7,200
73,50.237500000000004,17.192499999999995,88.7,200
74,49.35944444444445,16.02638888888889,88.7,200
75,49.36416666666667,16.649444444444445,88.7,100
76,49.7575,16.674722222222222,88.7,100
77,50.67166666666667,14.228888888888887,88.8,100000
78,49.472500000000004,17.14388888888889,88.8,200
79,49.01500000000001,17.055833333333332,88.9,10000
80,49.398333333333326,15.572222222222223,88.9,200
81,49.977777777777774,16.170555555555563,88.9,200
82,49.99527777777777,17.482499999999995,88.9,100
83,49.86138888888889,18.212500000000002,89.0,42657
84,49.30777777777777,14.192222222222226,89.0,1000
85,49.03833333333333,15.41361111111111,89.0,500
86,50.039722222222224,14.42888888888889,89.0,200
87,49.681944444444454,15.69527777777778,89.0,100
88,50.42416666666666,15.813333333333334,89.0,100
89,49.995555555555555,13.079166666666664,89.1,89125
90,49.89472222222223,16.941388888888888,89.1,500
91,49.35027777777777,16.0,89.1,300
