Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-1.38,29.12,87.5,1000
-11.42,27.28,87.5,0
,,87.6,0
-5,12.5,87.8,1000
-10.58,26.44,87.8,0
-11.42,27.28,87.8,0
-10.58,26.44,87.9,0
-11.42,27.28,88,1000
2.52,30.51,88,0
-4.2008,15.1601,88.1,1000
0.3,25.12,88.1,0
0.01,18.18,88.1,0
-6.08,23.36,88.1,0
-1.38,29.12,88.2,500
-11.42,27.28,88.3,0
-2.303,28.512,88.4,1000
-4.2008,15.1601,88.4,1000
-1.38,29.12,88.4,500
-1.38,29.12,88.5,1000
-6.08,24.28,88.5,1000
-2.4,28.4,88.5,0
-10.58,26.44,88.5,0
-1.2355,28.49,88.5,0
-1.38,29.12,88.7,1000
-4.2008,15.1601,88.7,1000
-6.08,24.28,88.7,0
-11.42,27.28,88.7,0
-5.5,13.27,88.7,0
-2.302,28.5146,88.8,1000
0.01,18.18,88.8,1000
-10.43,22.27,88.9,1000
-5.54,22.25,89,5000
-1.38,29.12,89,1000
-1.08,29.26,89,0
-3.1645,28.07,89,0
-4.31,18.53,89,0
-3.17,17.2,89.1,0
-5.5,13.04,89.1,0
-2.3,28.5,89.1,0
-2.59,25.57,89.1,0
-0.42,29.08,89.2,0
-0.59,29.183,89.2,0
-6.08,23.36,89.2,0
-11.42,27.28,89.3,1000
-2.3,28.5,89.3,0
0.3,25.12,89.4,500
-2.25,28.48,89.5,1000
-11.42,27.28,89.5,1000
-1.38,29.12,89.5,500
-2.41,27.2,89.5,0
-11.42,27.28,89.8,1000
-11.42,27.28,89.9,2000
-4.2008,15.1601,89.9,500
3.083,30.421,89.9,0
-11.42,27.28,90,2000
-1.38,29.12,90,1000
-5.5,13.27,90,1000
-4.253,26.4,90,500
-6.08,23.36,90,50
2.52,30.51,90,0
0.08,29.18,90,0
-6.5,23.26,90,0
2.48,27.4,90.1,0
-5.3,18.25,90.1,0
1.35,30.15,90.2,1000
-4.2008,15.1601,90.2,250
-4.413,27.413,90.2,0
-4.2008,15.1601,90.5,1000
-1.38,29.12,90.5,500
-2.3,28.5,90.5,0
-5.54,22.25,90.5,0
-5.02,18.48,90.5,0
-2.59,25.57,90.5,0
0.3,25.12,90.5,0
-11.42,27.28,90.5,0
-5.5,13.27,90.5,0
0.01,18.18,90.5,0
-6.08,23.36,90.5,0
-6.24,20.48,90.5,0
0.08,29.18,90.7,0
-4.413,27.413,90.7,0
-3.32,23.31,90.7,0
-4.57,14.08,90.8,0
-7.16,27.26,90.9,1000
-4.2008,15.1601,91.1,1000
-5.5,13.04,91.1,0
-2.3,28.5,91.1,0
0.3,25.12,91.1,0
-1.38,29.12,91.4,2000
-11.42,27.28,91.4,1000
1.35,30.15,91.4,20
-4.2008,15.1601,91.4,0
-5.54,22.25,91.5,0
,,91.7,1000
-5.5,13.27,91.7,1000
-11.42,27.28,91.7,0
-4.2008,15.1601,91.8,1000
-2.3,28.5,92,1500
0.3,25.12,92,1000
-11.42,27.28,92,1000
0.28,29.28,92,0
-6.31,22.55,92,0
-1.38,29.12,92,0
-0.1,29.13,92,0
-3.17,17.2,92.1,500
-2.59,25.57,92.1,0
-4.2008,15.1601,92.1,0
-5.02,19.36,92.3,0
-6.02,26.54,92.3,0
-5.55,12.23,92.3,0
0.08,29.18,92.4,0
-1.38,29.12,92.5,5000
-3.17,17.2,92.5,1000
0.3,25.12,92.5,1000
-4.09,29.04,92.5,0
-5.02,18.48,92.5,0
-8.28,28.54,92.5,0
-4.38,26.22,92.5,0
-3.24,29.05,92.5,0
-4.1944,15.1751,92.6,1000
-11.42,27.28,92.7,1000
-6.08,24.28,92.7,0
0.08,29.18,92.9,0
-5.57,28.01,92.9,0
-11.42,27.28,93,1000
-1.38,29.12,93,300
-4.18,28.57,93,0
4.17,21.01,93,0
-5.54,22.25,93,0
-4.09,26.3,93,0
-1.26,28.02,93,0
-3.552,25.554,93.2,0
-5.34,14.26,93.2,0
0.01,18.18,93.3,1500
-4.28,26.4,93.4,0
-7.2,23.4,93.4,0
-3.243,29.0815,93.5,1000
-5.085,15.06,93.5,0
-6.08,23.36,93.5,0
-4.1944,15.1751,93.7,250
-2.3,28.5,93.7,0
-1.38,29.12,93.7,0
-1.38,29.12,93.8,5000
-6.08,23.36,93.8,1000
-4.05,15.323,94,500
3.45,29.42,94,0
1.51,29.58,94,0
-5.55,29.1,94,0
-5.54,22.25,94,0
-2.59,25.57,94,0
-5.3,18.25,94,0
-4.51,21.34,94,0
,,94,0
-2.3,28.5,94.1,0
-5.23,26.59,94.1,0
-5.5,13.27,94.1,0
-4.09,29.04,94.2,0
-1.31,29.15,94.3,0
-3.32,23.31,94.4,1000
-5.02,18.48,94.4,0
-5.23,26.59,94.4,0
-11.42,27.28,94.5,3000
-4.2008,15.1601,94.5,1000
-6.12,23.23,94.5,0
-6.24,20.48,94.5,0
-4.2008,15.1601,94.7,1000
-2.3,28.5,94.7,500
-4.59,15.08,94.7,0
,,94.7,0
0.08,29.18,94.8,1000
0.3,25.12,94.8,1000
1.35,30.15,95,20
-3.17,17.2,95,0
-4.47,17.56,95,0
-4.2008,15.1601,95.1,1000
0.28,29.28,95.1,0
3.59,23.23,95.1,0
-2.3,28.5,95.3,1000
-5.54,22.25,95.3,500
-4.2008,15.1601,95.3,0
-1.11,29.27,95.3,0
3.14,19.44,95.4,1000
-1.38,29.12,95.5,1000
3.4,23.48,95.5,0
-1.33,28.523,95.5,0
-11.42,27.28,95.8,1000
-5.44,19.19,95.9,1000
-6.28,16.49,95.9,0
-10.37,25.28,95.9,0
-5.54,22.25,96,1000
-2.3,28.5,96,0
-6.08,24.28,96,0
-0.42,29.08,96,0
-0.59,29.183,96,0
2.16,30.58,96,0
-1.2355,28.49,96,0
-2.59,25.57,96.1,0
-5.5,13.27,96.2,1000
-5.085,15.06,96.5,0
-5.23,12.57,96.5,0
-3.42,29.02,96.5,0
-6.5,23.26,96.5,0
1.45,30.18,96.5,0
-6.24,20.48,96.5,0
-9.12,25.5,96.6,0
-6.08,23.36,96.6,0
,,96.6,0
-4.2008,15.1601,96.8,1000
-5.54,22.25,96.8,0
-4.09,29.04,97,0
-0.19,20.57,97,0
-2.3,28.5,97,0
0.01,18.18,97,0
-4.2008,15.1601,97.1,1000
-2.421,26.172,97.1,0
-12.12,27.48,97.2,0
-5.34,14.26,97.2,0
-2.3,28.5,97.3,0
-4.2008,15.1601,97.4,0
-2.3,28.5,97.5,1000
-5.54,22.25,97.5,1000
-5.02,18.48,97.5,500
-6.08,23.36,97.5,0
-4.2008,15.1601,97.7,500
0.3,25.12,97.7,500
-1.38,29.12,98,5000
-2.3,28.5,98,2000
1.35,30.15,98,1000
-11.42,27.28,98,1000
-5.5,13.27,98,1000
2.23,20.3,98,0
-5.5,13.04,98,0
-3.03,28.11,98,0
3.28,22.27,98,0
-3.01,16.55,98,0
-6.24,20.48,98,0
-5.55,29.1,98.1,1000
2.06,27.48,98.1,250
-2.59,25.57,98.2,0
-5.55,12.23,98.2,0
-6.5,23.26,98.2,0
-4.2008,15.1601,98.3,1000
-5.34,14.26,98.3,0
-0.1,29.13,98.3,0
-5.13,12.41,98.3,0
-1.38,29.12,98.5,2000
-0.42,29.08,98.5,1000
-6.08,23.36,98.5,0
-2.44,28.42,98.5,0
-4.2008,15.1601,98.6,1000
-5.42,16.35,98.6,0
0.3,29.3,98.7,0
-5.5,13.04,98.8,1000
2.16,30.58,98.8,0
-5.15,14.52,98.8,0
-1.38,29.12,98.9,1000
-4.2008,15.1601,98.9,1000
-6.5,23.26,98.9,0
-3.17,17.2,99,1000
0.4,24.14,99,0
1.24,30.26,99,0
-0.59,29.183,99,0
0.3,25.12,99,0
,,99,0
0.362,29.183,99,0
0.01,18.18,99,0
-5.56,12.21,99,0
0.08,29.18,99.1,0
-6.08,23.36,99.1,0
-4.1944,15.1751,99.2,1000
-2.3,28.5,99.2,0
-1.1526,28.58,99.2,0
-4.19,15.19,99.2,0
-4.45,27.42,99.2,0
-4.5,19.25,99.5,0
-11.42,27.28,99.5,0
-4.57,14.08,99.5,0
-6.44,23.57,99.6,0
-2.3,28.5,99.7,250
-4.2008,15.1601,99.7,250
-4.36,14.15,99.7,0
2.47,24.47,99.9,0
-4.1944,15.1751,100,10000
0.28,29.28,100,0
1.13,19.48,100,0
-5.55,29.1,100,0
-8.43,25.09,100,0
-0.1,29.13,100,0
0.01,18.18,100,0
-6.2,21,100,0
-6.24,20.48,100,0
0.3,25.12,100.1,250
-2.42,28.39,100.1,20
3.16,19.38,100.2,1000
-2.3,28.5,100.2,0
-2.421,26.172,100.4,50
3.37,28.33,100.4,0
-6.15,23.46,100.4,0
-1.38,29.12,100.5,0
-11.42,27.28,100.5,0
-6.08,23.36,100.5,0
-6.59,21.12,100.5,0
2.48,27.4,100.6,1000
1.35,30.15,100.7,1000
-4.2008,15.1601,100.8,250
-6.5,23.26,100.8,0
-5.15,14.52,101,500
0.3,25.12,101,50
-1.38,29.12,101,0
-4.2008,15.1601,101.1,1000
-10.37,25.28,101.3,0
-4.09,26.3,101.4,0
-1.38,29.12,101.5,1000
-6.08,23.36,101.5,0
-12.12,27.48,101.6,0
-5.55,12.23,101.7,0
-4.2008,15.1601,101.8,1000
0.08,29.18,102,2500
-6.55,24.28,102,2500
-5.54,22.25,102,1000
-0.1,29.13,102,1000
-5.5,13.27,102,1000
2.52,30.51,102,0
0.28,29.28,102,0
-0.19,20.57,102,0
-4.5,19.25,102,0
-5.3,18.25,102,0
-11.42,27.28,102,0
-4.47,17.56,102,0
-5.55,12.23,102,0
1.35,30.15,102.1,500
,,102.1,0
-2.3,28.5,102.2,2000
-3.36,26.4,102.2,0
-5,12.5,102.2,0
-6.44,23.57,102.3,1000
-4.2008,15.1601,102.3,1000
-7.14,29.52,102.4,1000
-1.08,29.26,102.4,0
-5.5,13.04,102.5,0
