Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
55.31,11.5255,40.071,10
55.1217,14.5759,50.005,25
57.2115,10.223,50.054,25
55.1217,14.5759,50.466,25
55.31,11.5255,50.471,25
55.31,11.5255,70.02,25
55.4129,12.3216,86.5,120
56.0857,10.1114,87.6,1000
57.023,9.5417,87.6,500
55.5204,9.5137,87.6,500
56.3052,9.1616,87.6,500
55.1915,10.4725,87.6,500
55.4149,9.3127,87.6,500
55.3733,9.294,87.6,500
56.273,10.025,87.6,320
55.4204,12.3029,87.6,160
55.3925,8.4017,87.8,10000
54.4613,11.5148,87.8,1000
56.5833,8.4055,87.9,760
55.2135,10.2725,87.9,160
54.5523,9.4409,88,630
55.153,9.2036,88,320
57.2623,9.5333,88,160
57.0548,9.3107,88,30
55.2634,11.4731,88,1
56.0555,10.13,88.1,60000
55.0355,8.5703,88.2,1600
55.0722,9.111,88.2,250
55.4409,12.2059,88.2,160
55.2751,12.0021,88.2,160
57.4308,10.3439,88.2,25
55.1933,11.4553,88.2,5
55.3332,8.4941,88.3,630
55.035,10.3549,88.3,500
56.4118,9.0413,88.3,160
55.4946,11.2518,88.4,5000
56.1451,8.4757,88.4,500
55.1539,9.3013,88.4,500
55.1542,9.165,88.4,320
55.171,14.4533,88.4,155
57.0556,9.5048,88.4,20
56.1108,9.3714,88.4,5
55.394,9.3717,88.5,1000
56.4749,9.453,88.5,500
56.2857,8.3405,88.5,500
55.4028,9.3008,88.5,160
56.0555,10.13,88.6,2000
55.5509,12.2053,88.6,500
57.2811,9.585,88.6,500
55.4405,12.293,88.6,500
56.5742,8.4302,88.6,500
55.121,10.1001,88.6,320
54.5618,10.4225,88.6,160
55.4836,8.3337,88.7,10000
55.0306,11.5917,88.7,2000
55.1532,11.4842,88.7,500
54.5622,9.1551,88.8,63
56.262,10.0152,88.9,500
55.1659,10.2828,89,60000
57.3001,10.1806,89,1000
56.0133,12.3429,89.1,1000
56.4227,9.5238,89.1,100
55.3906,12.2354,89.2,1000
56.0816,9.4552,89.2,500
56.0551,8.3645,89.2,500
56.2437,10.5457,89.2,350
55.3856,11.27,89.2,160
55.3834,12.0621,89.2,160
55.4946,11.2518,89.2,160
56.2718,8.4126,89.2,160
55.3941,12.1525,89.2,160
55.38,8.2844,89.2,160
55.0722,9.111,89.3,3000
54.522,11.1148,89.4,30000
55.5509,12.2053,89.4,2000
56.0546,8.1429,89.4,2000
55.5204,9.5137,89.4,160
56.273,10.025,89.4,160
56.4736,8.511,89.4,20
56.0906,8.5611,89.5,500
56.094,10.0823,89.5,160
55.4028,9.3008,89.5,160
55.423,12.3122,89.6,160
55.3834,12.0621,89.6,35
57.0013,9.4926,89.7,60000
55.0306,11.5917,89.7,400
55.1213,10.1003,89.8,250
55.4355,9.0643,89.8,160
55.4149,9.3127,89.9,500
56.2437,10.5457,89.9,350
55.2803,12.1025,89.9,160
55.5142,9.29,89.9,160
55.0856,14.5243,90,30000
55.4739,12.0929,90,500
55.3555,9.2553,90,500
56.0859,9.553,90,500
55.3015,9.2732,90,500
55.0137,10.3651,90,500
55.1853,10.1334,90,500
55.5058,12.0503,90,200
57.0637,8.3738,90,100
55.2535,8.2354,90,20
55.3829,11.5052,90.1,2000
57.2516,10.2759,90.1,1000
54.453,11.5901,90.1,1000
54.505,9.2643,90.1,500
55.1915,10.4725,90.1,500
55.2122,8.4413,90.1,200
56.1105,10.4112,90.1,160
56.1105,10.4112,90.1,160
56.1105,10.4112,90.1,160
56.1105,10.4112,90.1,160
55.2108,8.583,90.1,160
56.2307,8.402,90.2,60000
55.4409,12.2059,90.2,2500
55.2954,8.2653,90.4,790
55.3019,8.5444,90.4,600
55.4002,12.3509,90.4,500
55.3123,10.0555,90.4,160
54.424,11.553,90.4,160
55.0223,9.4521,90.4,79
56.0753,10.1244,90.4,18
56.3749,9.4854,90.5,600
56.2448,10.5449,90.5,160
55.0413,9.2051,90.6,1300
54.533,12.0232,90.6,500
55.2135,10.2725,90.6,160
55.2147,11.1958,90.6,160
