,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,15.278055555555552,-59.66333333333335,87.9,1000
1,15.278055555555552,-59.66333333333335,88.1,1000
2,15.525833333333331,-59.79111111111111,88.5,30
3,15.401388888888894,-59.74277777777776,88.7,0
4,15.55,-59.65,88.7,0
5,15.3,-59.71666666666667,89.5,200
6,15.402777777777775,-59.74222222222222,89.7,0
7,15.525833333333331,-59.79111111111111,90.7,100
8,15.3,-59.71666666666667,91.1,0
9,15.278055555555552,-59.66333333333335,93.1,200
10,15.233333333333333,-59.65,93.5,0
12,15.525833333333331,-59.79111111111111,94.5,0
13,15.278055555555552,-59.66333333333335,95.1,1000
14,15.3,-59.71666666666667,95.3,0
15,15.278055555555552,-59.66333333333335,96.1,0
16,15.5,-59.666666666666664,96.9,0
17,15.278055555555552,-59.66333333333335,98.1,1000
18,15.3,-59.71666666666667,99.5,0
19,15.3,-59.71666666666667,102.1,200
20,15.255833333333335,-59.59916666666666,103.1,100
21,15.366666666666667,-59.733333333333334,103.3,0
22,15.55,-59.65,103.5,300
23,15.233333333333333,-59.65,103.5,100
24,15.525833333333331,-59.79111111111111,104.1,100
25,15.525833333333331,-59.79111111111111,104.7,0
26,15.55,-59.65,105.7,0
27,15.55,-59.65,106.1,100
28,15.525833333333331,-59.79111111111111,107.9,40
