,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,18.479166666666668,-68.36388888888887,50.008,5
1,18.401944444444442,-68.52833333333334,88.1,20000
2,18.466666666666665,-68.98333333333333,88.1,0
3,18.700000000000006,-66.8,88.1,0
4,18.3,-68.66666666666667,88.1,0
5,18.766666666666666,-67.57222222222225,88.1,0
6,18.660555555555554,-66.99833333333333,88.1,0
7,18.45111111111111,-67.33027777777778,88.1,0
8,19.483333333333334,-68.8111111111111,88.1,0
9,18.1675,-69.60305555555554,88.1,0
10,19.383333333333333,-68.2,88.1,0
11,18.05,-70.06666666666666,88.1,0
12,18.566666666666666,-68.83333333333333,88.1,0
13,18.76055555555556,-69.39833333333334,88.1,0
14,18.483333333333334,-67.62222222222225,88.1,0
15,19.233333333333334,-67.62222222222225,88.1,0
16,18.216666666666665,-69.43333333333334,88.1,0
17,18.766666666666666,-67.33888888888892,88.1,0
18,19.466666666666665,-69.03333333333333,88.1,0
19,18.466666666666665,-68.22222222222224,88.1,0
20,18.416666666666668,-68.41666666666667,88.3,0
21,19.466666666666665,-69.03333333333333,88.5,5000
22,18.466666666666665,-68.26666666666667,88.5,5000
23,19.233333333333334,-67.62222222222225,88.5,1000
24,19.233333333333334,-67.62222222222225,88.5,0
25,18.95,-68.7333333333333,88.7,3000
26,18.633333333333333,-67.01666666666667,88.7,1000
27,19.466666666666665,-69.66666666666667,88.7,1000
28,19.827777777777772,-69.38333333333334,88.7,1000
29,18.75972222222222,-69.3986111111111,88.7,500
30,18.561111111111106,-68.31666666666666,88.7,0
31,18.466666666666665,-68.26666666666667,88.9,10000
32,19.466666666666665,-69.03333333333333,88.9,3000
33,18.766666666666666,-67.57222222222225,89.1,5000
34,18.466666666666665,-68.98333333333333,89.1,1500
35,18.05,-70.06666666666666,89.1,1500
36,19.383333333333333,-68.2,89.1,1000
37,19.233333333333334,-68.83333333333333,89.1,0
38,18.466666666666665,-68.26666666666667,89.3,5000
39,19.75,-69.16666666666667,89.3,1500
40,19.561111111111106,-69.38888888888891,89.3,1000
41,19.483333333333334,-68.8111111111111,89.5,1000
42,18.76055555555556,-69.39833333333334,89.5,1000
43,19.233333333333334,-67.62222222222225,89.5,1000
44,18.466666666666665,-68.26666666666667,89.5,0
45,18.466666666666665,-68.26666666666667,89.7,5000
46,18.216666666666665,-69.43333333333334,89.7,1000
47,19.466666666666665,-69.03333333333333,89.7,1000
48,18.466666666666665,-68.26666666666667,89.9,5000
49,19.233333333333334,-68.33888888888892,89.9,1500
50,18.633333333333333,-67.01666666666667,89.9,1000
51,18.483333333333334,-67.62222222222225,89.9,1000
52,19.483333333333334,-68.8111111111111,89.9,0
53,18.466666666666665,-68.26666666666667,90.1,5000
54,19.466666666666665,-69.03333333333333,90.1,1000
55,19.383333333333333,-68.2,90.1,500
56,19.561111111111106,-70.01666666666667,90.3,1000
57,19.316666666666674,-68.56666666666666,90.3,1000
58,18.566666666666666,-68.83333333333333,90.3,1000
59,18.76055555555556,-69.39833333333334,90.3,1000
60,18.633333333333333,-67.01666666666667,90.3,0
61,18.466666666666665,-68.26666666666667,90.5,5000
62,19.8,-69.03888888888892,90.5,1000
63,18.633333333333333,-67.01666666666667,90.5,1000
64,19.466666666666665,-69.03333333333333,90.5,0
65,18.1675,-69.60305555555554,90.7,5000
66,18.483333333333334,-67.62222222222225,90.7,3000
67,19.05,-68.48333333333333,90.7,1500
68,19.233333333333334,-67.62222222222225,90.7,1000
69,18.660555555555554,-66.99833333333333,90.7,0
70,18.466666666666665,-68.26666666666667,90.9,10000
71,19.466666666666665,-69.03333333333333,90.9,1000
72,19.783333333333335,-69.03333333333333,90.9,0
73,18.479166666666668,-68.25083333333332,91.1,0
74,18.466666666666665,-68.26666666666667,91.3,5000
75,19.483333333333334,-68.8111111111111,91.3,1000
76,18.633333333333333,-67.01666666666667,91.5,1000
77,18.76055555555556,-69.39833333333334,91.5,1000
78,18.466666666666665,-68.26666666666667,91.7,1000
79,19.561111111111106,-70.01666666666667,91.7,0
80,19.783333333333335,-69.03333333333333,91.7,0
81,19.316666666666674,-68.56666666666666,91.7,0
82,19.466666666666665,-69.03333333333333,91.7,0
83,18.416666666666668,-68.41666666666667,91.9,0
84,18.95,-68.7333333333333,91.9,0
85,18.866666666666667,-70.03333333333333,91.9,0
86,18.45111111111111,-67.33027777777778,91.9,0
87,19.416666666666668,-68.83333333333333,91.9,0
88,18.566666666666666,-68.83333333333333,91.9,0
89,19.233333333333334,-67.62222222222225,91.9,0
90,19.6,-69.26666666666667,92.1,0
