,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,26.110555555555557,34.26305555555555,87.6,10000
1,28.306944444444444,28.938888888888897,87.6,10000
2,31.4,31.8,87.6,5000
3,28.564166666666672,33.95222222222222,87.6,630
4,28.356666666666662,33.0613888888889,87.7,10000
5,22.7,31.666666666666668,87.7,1000
6,31.11277777777778,33.69472222222222,87.8,54500
7,30.029166666666676,31.275277777777777,87.8,10000
8,26.045277777777773,32.24499999999999,87.8,0
9,28.124166666666667,30.738611111111112,87.9,18000
10,31.23722222222222,29.966388888888893,88.0,58600
11,27.88,34.30361111111112,88.0,7400
12,25.516666666666666,29.166666666666668,88.0,0
13,29.997499999999995,32.536944444444444,88.1,8700
14,24.08222222222222,32.90416666666667,88.1,1000
15,30.885277777777784,29.84305555555555,88.2,150000
16,30.95416666666667,31.145277777777775,88.2,50000
17,30.619166666666658,32.31638888888888,88.2,25000
18,30.029166666666676,31.275277777777777,88.2,10000
19,30.8,28.966666666666665,88.2,10000
20,22.455833333333334,28.70194444444445,88.2,1000
21,30.047777777777778,31.188888888888883,88.4,0
22,25.426111111111116,30.543055555555554,88.4,0
23,22.7,31.666666666666668,88.5,1000
24,27.072777777777784,27.97555555555556,88.6,10000
25,27.249722222222225,33.82972222222223,88.6,8000
26,31.23722222222222,29.966388888888893,88.7,58600
27,26.56916666666667,31.68416666666666,88.7,38000
28,27.194444444444446,31.169999999999998,88.7,11200
29,30.029166666666676,31.275277777777777,88.7,10000
30,29.083333333333332,31.1,88.7,10000
31,31.25305555555556,32.294166666666676,88.7,10000
32,28.35,28.866666666666667,88.7,0
33,31.233333333333334,29.966666666666665,88.7,0
34,30.93583333333334,29.477222222222224,88.7,0
35,24.08222222222222,32.90416666666667,89.0,11900
36,27.194444444444446,31.169999999999998,89.0,11200
37,31.543055555555554,25.16305555555555,89.1,7079
38,31.08194444444445,27.97583333333333,89.1,0
39,30.95416666666667,31.145277777777775,89.2,155000
40,23.916666666666668,35.666666666666664,89.3,1000
41,28.249444444444443,33.62333333333333,89.4,11900
42,30.029166666666676,31.276111111111113,89.5,100000
43,29.004999999999995,34.67944444444444,89.5,9500
44,26.56916666666667,31.68416666666666,89.7,38000
45,26.76416666666667,33.938333333333325,89.8,10000
46,29.311111111111114,30.84444444444445,89.8,120
