,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,13.645555555555557,-87.61388888888887,50.022,40
1,13.7,-87.53333333333333,88.1,0
2,13.7,-87.53333333333333,88.5,0
3,13.7,-87.53333333333333,88.9,0
4,13.483333333333333,-86.53333333333333,89.1,0
5,13.731666666666666,-87.60305555555556,89.3,10000
6,13.486388888888893,-86.63777777777776,89.7,2500
7,13.733888888888888,-87.60194444444443,89.7,0
8,13.336666666666664,-86.16666666666666,90.1,0
9,13.483333333333333,-86.53333333333333,90.1,0
10,13.733888888888888,-87.60194444444443,90.1,0
11,13.733333333333333,-88.05,90.1,0
12,13.34333333333333,-86.78500000000003,90.1,0
13,13.64638888888889,-88.2022222222222,90.5,0
14,13.887222222222219,-88.10805555555557,90.5,0
15,13.49527777777778,-86.85138888888886,90.5,0
16,13.716666666666667,-88.0,90.5,0
17,14.083333333333334,-87.43333333333334,90.5,0
18,13.84,-87.18333333333334,90.5,0
19,13.661388888888892,-87.77194444444444,90.5,0
20,14.316666666666666,-87.5,90.5,0
21,13.336666666666664,-86.16666666666666,90.5,0
22,13.7225,-87.68833333333333,90.5,0
23,14.328611111111114,-87.76222222222222,90.5,0
24,13.97583333333333,-87.66305555555552,90.5,0
25,13.7,-87.53333333333333,90.5,0
26,13.7,-87.53333333333333,90.5,0
27,13.64527777777778,-87.10638888888886,90.5,0
28,14.021111111111107,-87.89055555555554,90.5,0
29,13.613611111111112,-86.23722222222224,90.5,0
30,13.482499999999998,-86.78833333333333,90.5,0
31,13.74333333333333,-88.04694444444446,90.5,0
32,13.930555555555555,-87.34166666666668,90.5,0
33,13.34333333333333,-86.78500000000003,90.5,0
34,13.583333333333334,-87.61666666666666,90.5,0
35,13.483333333333333,-86.53333333333333,90.9,2000
36,13.336666666666664,-86.16666666666666,90.9,0
37,13.691944444444443,-86.43166666666667,90.9,0
38,13.7,-87.53333333333333,90.9,0
39,14.021111111111107,-87.89055555555554,90.9,0
40,13.613611111111112,-86.23722222222224,90.9,0
41,13.482499999999998,-86.78833333333333,90.9,0
42,13.34333333333333,-86.78500000000003,90.9,0
43,13.731666666666666,-87.60305555555556,91.3,2000
44,13.7,-87.53333333333333,91.7,3500
45,13.731666666666666,-87.60305555555556,92.1,2000
46,13.864999999999998,-86.9541666666667,92.1,250
47,13.64638888888889,-88.2022222222222,92.1,0
48,13.934444444444443,-88.1802777777778,92.1,0
49,13.786111111111108,-88.34777777777776,92.1,0
50,13.983333333333333,-88.01666666666667,92.1,0
51,13.933333333333334,-87.83333333333333,92.1,0
52,14.1,-87.46666666666667,92.1,0
53,13.75,-88.16666666666667,92.1,0
54,13.883333333333333,-87.5,92.1,0
55,13.336666666666664,-86.16666666666666,92.1,0
56,13.202500000000004,-86.05,92.1,0
57,14.328611111111114,-87.76222222222222,92.1,0
58,13.816666666666666,-87.56666666666666,92.1,0
59,13.691944444444443,-86.43166666666667,92.1,0
60,14.021111111111107,-87.89055555555554,92.1,0
61,13.74333333333333,-88.04694444444446,92.1,0
62,13.930555555555555,-87.34166666666668,92.1,0
63,13.533333333333333,-87.11666666666666,92.1,0
64,13.95,-86.96666666666667,92.1,0
65,13.583333333333334,-87.61666666666666,92.1,0
66,13.64638888888889,-88.2022222222222,92.5,0
67,13.934444444444443,-88.1802777777778,92.5,0
68,13.786111111111108,-88.34777777777776,92.5,0
69,13.816666666666666,-86.3,92.5,0
70,13.766666666666667,-86.6,92.5,0
71,13.336666666666664,-86.16666666666666,92.5,0
72,14.328611111111114,-87.76222222222222,92.5,0
73,13.533333333333333,-86.68333333333334,92.5,0
74,13.691944444444443,-86.43166666666667,92.5,0
75,13.483333333333333,-86.53333333333333,92.5,0
76,13.7,-87.53333333333333,92.5,0
77,13.7,-87.53333333333333,92.5,0
78,14.021111111111107,-87.89055555555554,92.5,0
79,13.613611111111112,-86.23722222222224,92.5,0
80,13.74333333333333,-88.04694444444446,92.5,0
81,13.34333333333333,-86.78500000000003,92.5,0
82,13.731666666666666,-87.60305555555556,92.9,2000
83,13.275833333333331,-86.16694444444444,93.3,1000
84,14.32083333333333,-87.77833333333332,93.3,400
85,13.75,-87.83333333333333,93.3,0
86,13.433333333333334,-87.13333333333334,93.3,0
87,13.819166666666664,-88.01694444444443,93.3,0
88,13.766666666666667,-88.13333333333334,93.3,0
89,13.733888888888888,-87.60194444444443,93.3,0
90,13.731666666666666,-87.60305555555556,93.7,2000
91,13.85,-86.63333333333334,94.1,0
92,13.516666666666667,-86.71666666666667,94.1,0
93,13.483333333333333,-86.53333333333333,94.1,0
94,13.7,-87.53333333333333,94.1,0
95,13.7,-87.53333333333333,94.1,0
96,13.383333333333333,-86.75,94.1,0
97,13.613611111111112,-86.23722222222224,94.1,0
98,13.74333333333333,-88.04694444444446,94.1,0
99,13.34333333333333,-86.78500000000003,94.1,0
100,13.731666666666666,-87.60305555555556,94.5,2000
101,13.983333333333333,-88.01666666666667,94.9,0
102,13.336666666666664,-86.16666666666666,94.9,0
103,13.691944444444443,-86.43166666666667,94.9,0
104,13.483333333333333,-86.53333333333333,94.9,0
105,13.7,-87.53333333333333,94.9,0
106,14.021111111111107,-87.89055555555554,94.9,0
107,13.74333333333333,-88.04694444444446,94.9,0
108,14.133333333333333,-87.83333333333333,94.9,0
109,13.34333333333333,-86.78500000000003,94.9,0
110,13.733333333333333,-88.0,95.3,0
111,14.328611111111114,-87.76222222222222,95.3,0
112,13.842499999999998,-88.35,95.3,0
113,13.483333333333333,-86.53333333333333,95.3,0
114,13.7,-87.53333333333333,95.3,0
115,14.021111111111107,-87.89055555555554,95.3,0
116,13.275833333333331,-86.16694444444444,95.7,20
117,13.275833333333331,-86.16694444444444,95.7,20
118,13.336666666666664,-86.16666666666666,95.7,0
119,13.483333333333333,-86.53333333333333,95.7,0
120,13.483333333333333,-86.53333333333333,95.7,0
121,13.7,-87.53333333333333,95.7,0
122,13.7,-87.53333333333333,95.7,0
123,13.613611111111112,-86.23722222222224,95.7,0
124,13.34333333333333,-86.78500000000003,95.7,0
125,13.7,-87.53333333333333,96.1,0
