Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-26.285,31.1825,88.2,0
-26.201,31.0835,88.5,10000
-26.29,31.2051,88.9,2200
-26.292,31.2519,89.2,1000
-25.513,31.2507,89.7,1000
-26.293,30.5622,89.8,140
-26.573,31.1949,90.7,50000
-26.201,31.0835,91.6,10000
-26.29,31.2051,92,2200
-26.292,31.2519,92.3,1230
-26.402,30.5858,92.4,1000
-26.29,31.2051,93.6,10000
-26.573,31.1949,93.9,50000
-26.4,30.59,94.2,5000
-26.18,31.0531,95,1100
-27.155,31.4657,95,140
-26.291,31.5741,96,1100
-26.201,31.0835,96,1000
-26.291,31.5741,96.5,10000
-26.402,31.0407,97,690
-26.073,31.1139,97,300
-26.154,31.0129,97.2,145
-26.402,30.5858,97.5,1550
-26.18,31.0531,98.1,50000
-27.155,31.4657,98.3,300
-26.145,31.3421,99,1550
-26.291,31.5741,99.8,10000
-26.372,31.1002,100.3,3500
-25.513,31.2507,100.6,1550
-26.295,31.2252,101,3000
-26.573,31.1949,101,1100
-27.155,31.4657,101.8,140
-26.18,31.0531,102,500
-26.145,31.3421,102.8,500
-25.551,31.0742,103.3,4900
-26.073,31.1139,104,500
-26.293,30.5622,104.3,140
-26.154,31.0129,104.7,145
-26.18,31.0531,105.2,10000
-26.295,31.2252,105.5,1000
-25.551,31.0742,106.9,2000
-26.372,31.1002,107.5,3500
