Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-17.48,177.25,88.2,0
-18.082,178.263,88.2,0
-16.351,179.1856,89,0
-18.08,178.264,89.2,0
-18.085,178.264,89.4,0
-18.082,178.263,89.8,0
-18.082,178.263,91.8,0
-17.281,177.4606,92,0
-16.424,179.2015,92,0
-18.064,177.2902,92,0
-17.263,177.515,92,0
-18.034,178.25,92.2,1000
-16.351,179.1856,92.2,0
-17.394,177.2539,92.2,0
-17.48,177.25,92.2,0
-17.215,178.1108,92.6,0
-17.281,177.4606,92.8,0
-18.064,177.2902,92.8,0
-16.351,179.1856,93,0
-17.394,177.2539,93,0
-17.42,177.2736,93,0
-18.034,178.25,93,0
-17.263,177.515,93.2,0
-17.215,178.1108,93.4,0
-18.064,177.2902,93.6,200
-18.082,178.263,93.8,1000
-17.48,177.25,93.8,200
-17.314,177.3607,94.2,200
-17.23,178.0945,94.2,200
-18.082,178.263,94.6,0
-17.281,177.4606,95.2,0
-18.064,177.2902,95.2,0
-16.351,179.1856,95.4,0
-17.394,177.2539,95.4,0
-17.42,177.2736,95.4,0
-18.034,178.25,95.4,0
-17.263,177.515,95.6,0
-17.215,178.1108,95.8,0
-17.281,177.4606,96,0
-16.424,179.2015,96,0
-18.064,177.2902,96,0
-18.034,178.25,96.2,1000
-16.351,179.1856,96.2,0
-17.394,177.2539,96.2,0
-17.42,177.2736,96.2,0
-17.215,178.1108,96.6,0
-17.314,177.3607,97.6,0
-18.064,177.2902,97.6,0
-16.351,179.1856,97.8,0
-17.394,177.2539,97.8,0
-17.42,177.2736,97.8,0
-18.034,178.25,97.8,0
-17.263,177.515,98,0
-17.215,178.1108,98.2,0
-18.064,177.2902,98.4,1000
-17.281,177.4606,98.4,0
-16.424,179.2015,98.4,0
-17.263,177.515,98.4,0
-18.034,178.25,98.6,1000
-17.48,177.25,98.6,200
-16.351,179.1856,98.6,0
-17.394,177.2539,98.6,0
-17.215,178.1108,99,200
-18.064,177.2902,99.2,0
-18.082,178.263,99.4,0
-17.281,177.4606,100,0
-18.064,177.2902,100,0
-18.034,178.25,100.2,1000
-16.351,179.1856,100.2,0
-17.394,177.2539,100.2,0
-17.42,177.2736,100.2,0
-17.263,177.515,100.4,0
-17.215,178.1108,100.6,0
-17.281,177.4606,100.8,0
-16.424,179.2015,100.8,0
-18.064,177.2902,100.8,0
-17.263,177.515,100.8,0
-18.034,178.25,101,1000
-16.351,179.1856,101,0
-17.394,177.2539,101,0
-17.48,177.25,101,0
-17.23,178.0945,101.4,0
-17.42,177.2736,101.8,0
-18.082,178.263,101.8,0
-17.281,177.4606,102.4,0
-18.064,177.2902,102.4,0
-16.351,179.1856,102.6,0
-17.394,177.2539,102.6,0
-17.42,177.2736,102.6,0
-18.034,178.25,102.6,0
-17.263,177.515,102.8,0
-17.215,178.1108,103,0
-17.281,177.4606,103.2,0
-16.424,179.2015,103.2,0
-17.263,177.515,103.2,0
-18.034,178.25,103.4,1000
-16.351,179.1856,103.4,0
-17.394,177.2539,103.4,0
-17.48,177.25,103.4,0
-18.082,178.263,103.4,0
-18.06,178.2624,104,0
-18.153,177.5407,104.2,200
-17.281,177.4606,104.8,0
-18.064,177.2902,104.8,0
-18.034,178.25,105,1000
-16.351,179.1856,105,0
-17.394,177.2539,105,0
-17.42,177.2736,105,0
-17.263,177.515,105.2,0
-17.215,178.1108,105.4,0
-18.064,177.2902,105.6,0
-17.48,177.25,105.8,0
-16.351,179.1856,106,0
-17.48,177.25,106.6,0
-18.034,178.25,106.6,0
-18.06,178.2624,107,0
-18.082,178.263,107.4,0
