,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,5.104166666666666,-50.94722222222223,50.039,10
1,4.913333333333334,-50.62555555555555,88.1,500
2,5.161111111111112,-51.000277777777775,88.4,1000
3,3.6438888888888887,-52.353333333333346,88.6,1000
4,4.913333333333334,-50.62555555555555,88.7,2000
5,5.375833333333334,-51.28055555555556,88.7,1100
6,5.161111111111112,-51.000277777777775,89.0,1000
7,3.814999999999999,-52.45638888888888,89.0,75
8,5.505277777777776,-52.35027777777778,89.2,500
9,4.913333333333334,-50.62555555555555,89.4,2000
10,3.6438888888888887,-52.353333333333346,89.4,1000
11,5.161111111111112,-51.000277777777775,89.7,1000
12,4.215555555555557,-49.99583333333333,90.0,1650
13,4.943055555555556,-50.64750000000001,90.0,100
14,4.567500000000001,-50.792777777777765,90.0,70
15,5.501944444444446,-52.352777777777774,90.2,1000
16,4.31888888888889,-52.70972222222221,90.3,300
17,3.889444444444445,-50.12416666666666,90.3,300
18,5.1561111111111115,-50.995000000000005,90.3,100
19,5.5472222222222225,-51.775555555555556,90.5,1000
20,4.913333333333334,-50.62555555555555,90.6,220
21,3.6438888888888887,-52.353333333333346,90.7,1000
22,5.4075,-51.34861111111112,91.0,1230
23,5.505277777777776,-52.35027777777778,91.0,1000
24,4.3133333333333335,-50.45166666666667,91.0,550
25,4.89361111111111,-50.51083333333332,91.0,40
26,5.155,-50.995000000000005,91.3,1000
27,5.505277777777776,-52.35027777777778,91.5,1000
28,4.913333333333334,-50.62555555555555,91.6,500
29,4.913333333333334,-50.62555555555555,92.0,2860
30,5.524444444444444,-51.70944444444445,92.0,1360
31,5.1486111111111095,-52.66166666666665,92.0,660
32,3.1750000000000003,-50.658333333333346,92.0,70
33,4.31888888888889,-52.70972222222221,92.0,70
34,3.6438888888888887,-52.353333333333346,92.0,70
35,3.8027777777777767,-52.49777777777777,92.0,70
36,3.6233333333333335,-51.53083333333335,92.0,8
37,4.3133333333333335,-50.45166666666667,92.3,200
38,5.505277777777776,-52.35027777777778,92.4,1000
39,5.1561111111111115,-50.995000000000005,92.4,300
40,4.913333333333334,-50.62555555555555,92.5,300
41,3.6438888888888887,-52.353333333333346,92.6,1000
42,5.161666666666665,-50.99972222222223,92.8,1000
43,5.654722222222224,-52.07527777777777,92.9,1000
44,3.8977777777777787,-50.13388888888889,93.0,300
45,4.248055555555554,-52.705,93.1,300
46,4.927222222222222,-50.633333333333326,93.2,2000
47,5.595277777777779,-52.133055555555536,93.3,1000
48,4.921388888888889,-50.633333333333326,93.6,2000
49,5.1486111111111095,-52.66166666666665,93.6,300
50,5.524444444444444,-51.70944444444445,93.7,1000
51,3.8,-52.46666666666667,93.7,200
52,5.155,-50.995000000000005,94.0,2100
53,5.595277777777779,-52.133055555555536,94.0,1100
54,3.8977777777777787,-50.13388888888889,94.0,730
55,5.1486111111111095,-52.66166666666665,94.0,660
56,4.534166666666666,-50.45249999999999,94.0,12
57,4.272499999999999,-52.70166666666667,94.2,75
58,4.913333333333334,-50.62555555555555,94.4,300
59,5.505277777777776,-52.35027777777778,94.5,1000
60,5.375833333333334,-51.28055555555556,94.7,1100
61,4.567500000000001,-50.792777777777765,94.7,100
62,5.669166666666667,-52.101388888888884,95.0,1000
63,4.913333333333334,-50.62555555555555,95.0,300
64,5.07,-51.34916666666666,95.0,150
65,3.1750000000000003,-50.658333333333346,95.0,70
66,4.31888888888889,-52.70972222222221,95.0,70
67,3.6438888888888887,-52.353333333333346,95.0,70
68,3.8027777777777767,-52.49777777777777,95.0,70
69,3.6233333333333335,-51.53083333333335,95.0,8
70,5.161111111111112,-51.000277777777775,95.3,220
71,5.669166666666667,-52.101388888888884,95.4,1000
72,4.913333333333334,-50.62555555555555,95.6,300
73,5.505277777777776,-52.35027777777778,95.7,500
74,5.161666666666665,-50.99972222222223,95.9,1000
75,4.9208333333333325,-50.63166666666667,96.2,500
76,5.161111111111112,-51.000277777777775,96.5,220
77,5.490555555555555,-52.321666666666665,96.7,800
78,4.927222222222222,-50.633333333333326,96.9,2000
79,4.913333333333334,-50.62555555555555,97.3,250
80,5.480277777777778,-51.526666666666664,97.5,1000
81,4.913333333333334,-50.62555555555555,97.7,2000
82,5.161666666666665,-50.99972222222223,98.0,1000
83,4.927222222222222,-50.633333333333326,98.3,2000
84,5.4075,-51.34861111111112,98.5,1000
85,4.913333333333334,-50.62555555555555,98.7,2860
86,5.505277777777776,-52.35027777777778,98.7,1000
87,5.4075,-51.34861111111112,99.0,1000
88,4.913333333333334,-50.62555555555555,99.3,2000
89,5.161111111111112,-51.000277777777775,99.6,1000
90,4.943055555555556,-50.64750000000001,100.0,100
91,5.505277777777776,-52.35027777777778,100.1,1000
92,5.161111111111112,-51.000277777777775,100.3,1000
93,5.505277777777776,-52.35027777777778,100.5,1000
94,4.7636111111111115,-50.59861111111112,100.6,2000
95,5.4075,-51.34861111111112,101.0,1230
96,5.505277777777776,-52.35027777777778,101.0,1000
97,4.3133333333333335,-50.45166666666667,101.0,550
98,4.913333333333334,-50.62555555555555,101.1,2000
99,5.155,-50.995000000000005,101.3,1000
100,4.933611111111112,-50.65361111111113,101.5,100
101,4.913333333333334,-50.62555555555555,102.0,2350
102,5.524444444444444,-51.70944444444445,102.0,1360
103,5.379166666666668,-51.280277777777776,102.2,1000
104,5.1486111111111095,-52.66166666666665,102.4,300
105,4.913333333333334,-50.62555555555555,102.5,500
106,5.4075,-51.34861111111112,102.7,1000
107,4.927222222222222,-50.633333333333326,102.9,2000
108,4.913333333333334,-50.62555555555555,103.3,300
109,5.5472222222222225,-51.775555555555556,103.5,1000
110,4.876944444444445,-50.662777777777755,103.7,2000
111,5.155,-50.995000000000005,104.0,2200
112,5.595277777777779,-52.133055555555536,104.0,1100
113,5.1486111111111095,-52.66166666666665,104.0,300
114,4.913333333333334,-50.62555555555555,104.3,2000
115,5.47638888888889,-51.53277777777778,104.5,1000
116,4.913333333333334,-50.62555555555555,104.7,2000
117,5.4075,-51.34861111111112,104.9,1000
118,4.913333333333334,-50.62555555555555,105.1,2000
119,5.375833333333334,-51.28055555555556,105.3,1000
120,3.8977777777777787,-50.13388888888889,105.3,600
121,5.490555555555555,-52.321666666666665,105.4,500
122,4.927222222222222,-50.633333333333326,105.5,2000
123,5.375833333333334,-51.28055555555556,105.7,300
124,5.505277777777776,-52.35027777777778,105.8,1000
125,4.927222222222222,-50.633333333333326,105.9,2000
126,5.161111111111112,-51.000277777777775,106.2,1000
127,5.505277777777776,-52.35027777777778,106.3,1000
128,4.314444444444444,-50.45222222222223,106.3,200
129,5.4075,-51.34861111111112,106.4,1000
130,4.567500000000001,-50.792777777777765,106.4,75
131,5.161111111111112,-51.000277777777775,106.6,1000
132,4.927222222222222,-50.633333333333326,106.8,2000
133,5.654722222222224,-52.07527777777777,106.8,1000
134,5.161111111111112,-51.000277777777775,107.0,1000
135,5.505277777777776,-52.35027777777778,107.1,1000
136,4.913333333333334,-50.62555555555555,107.2,2000
137,5.161111111111112,-51.000277777777775,107.4,800
138,4.913333333333334,-50.62555555555555,107.6,2000
139,5.654722222222224,-52.07527777777777,107.6,1000
140,5.160277777777778,-50.984166666666674,107.8,1000
141,5.505277777777776,-52.35027777777778,107.8,1000
