,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,43.0111111111111,41.03222222222221,68.8,17000
1,41.69555555555557,44.78472222222223,73.87,0
2,42.388888888888886,43.92611111111111,87.5,0
4,42.27999999999999,42.73638888888888,87.9,100
5,41.69555555555557,44.78472222222223,88.1,1580
6,41.72805555555555,45.28805555555556,88.1,800
7,41.472222222222214,45.06277777777778,88.1,630
8,42.476111111111116,44.9238888888889,88.1,250
9,42.28972222222221,42.05749999999999,88.1,100
10,42.05916666666666,43.06083333333334,88.3,250
11,42.476111111111116,44.9238888888889,88.9,250
12,42.03194444444445,44.04750000000001,89.1,12600
13,42.024444444444434,45.159444444444446,89.1,250
14,41.69555555555557,44.78472222222223,90.1,1000
15,41.69361111111111,41.715277777777786,90.1,500
16,41.676666666666655,42.706944444444446,90.1,0
17,42.37416666666668,43.038888888888884,90.3,100
18,42.100277777777784,42.99388888888889,90.3,0
19,42.37416666666668,43.038888888888884,90.4,100
20,41.988611111111126,44.42583333333333,90.5,250
21,41.676666666666655,42.706944444444446,90.5,0
22,41.81166666666667,46.17138888888889,90.7,1000
23,42.187777777777775,41.70083333333333,90.7,1000
24,41.73555555555556,43.55361111111112,90.7,250
25,42.187777777777775,41.70083333333333,90.9,1000
26,41.69361111111111,41.715277777777786,90.9,500
27,41.46666666666667,46.13611111111112,91.1,800
28,42.101944444444435,44.94833333333333,91.3,250
29,41.676666666666655,42.706944444444446,91.3,0
30,41.63027777777777,42.95805555555555,92.1,500
31,41.69555555555557,44.78472222222223,92.3,1000
32,41.69555555555557,44.78472222222223,93.1,1000
33,41.610277777777775,42.54611111111111,93.1,50
34,41.57972222222223,41.68277777777777,93.1,50
35,42.024444444444434,45.159444444444446,93.3,100
36,41.69555555555557,44.78472222222223,93.5,1000
37,42.45583333333333,42.36638888888889,93.5,500
38,42.28777777777778,43.260833333333345,93.5,250
39,41.69361111111111,41.715277777777786,93.7,1000
40,41.988611111111126,44.42583333333333,93.7,250
41,41.69555555555557,44.78472222222223,93.9,1000
42,42.27999999999999,42.73638888888888,93.9,500
43,41.525000000000006,41.55583333333333,93.9,50
44,42.03194444444445,44.04750000000001,94.1,1000
45,41.69555555555557,44.78472222222223,94.3,1000
46,41.90638888888888,45.82805555555555,94.5,100
47,41.69555555555557,44.78472222222223,94.7,1000
48,41.46666666666667,46.13611111111112,95.1,1000
49,41.69555555555557,44.78472222222223,95.1,1000
50,41.69361111111111,41.715277777777786,95.3,500
51,41.69555555555557,44.78472222222223,95.5,1000
52,41.69555555555557,44.78472222222223,95.9,1000
53,41.871111111111105,41.92277777777778,96.1,250
54,41.69555555555557,44.78472222222223,96.3,1000
55,42.41333333333332,41.81805555555554,96.3,500
56,41.69555555555557,44.78472222222223,96.7,1000
57,41.491666666666674,44.78833333333334,96.9,250
58,41.69555555555557,44.78472222222223,97.1,6300
59,41.69555555555557,44.78472222222223,97.1,1000
60,42.50194444444443,41.885555555555555,97.1,250
61,41.823888888888895,43.38333333333333,97.1,160
62,42.00222222222222,43.561388888888885,97.3,6300
63,41.69361111111111,41.715277777777786,97.3,500
64,42.27999999999999,42.73638888888888,97.5,1000
65,41.69555555555557,44.78472222222223,97.5,1000
66,41.63027777777777,42.95805555555555,97.5,500
67,42.03111111111112,44.04805555555555,97.8,1000
68,41.84166666666667,44.739999999999995,97.8,250
69,41.561388888888885,44.97805555555555,97.8,250
70,42.28972222222221,42.05749999999999,97.9,250
71,42.27999999999999,42.73638888888888,98.1,1000
72,41.69555555555557,44.78472222222223,98.1,1000
73,41.69555555555557,44.78472222222223,98.5,1000
74,42.03194444444445,44.04750000000001,98.9,1000
75,42.27999999999999,42.73638888888888,98.9,1000
76,41.69555555555557,44.78472222222223,98.9,1000
77,42.187777777777775,41.70083333333333,99.1,3160
78,41.347500000000004,43.42583333333333,99.1,1585
79,41.87027777777776,45.40972222222221,99.1,800
80,42.50194444444443,41.885555555555555,99.1,500
81,41.63500000000001,44.2386111111111,99.1,400
82,42.27999999999999,42.73638888888888,99.3,1000
83,41.69555555555557,44.78472222222223,99.3,1000
84,41.37750000000001,44.21444444444443,99.5,3160
85,41.72805555555555,45.28805555555556,99.5,700
86,41.823888888888895,43.38333333333333,99.5,400
87,41.81166666666667,46.17138888888889,99.5,400
88,41.39583333333333,43.35416666666666,99.5,160
89,41.69027777777778,44.74777777777779,99.7,1000
90,42.26138888888889,44.00333333333333,99.8,0
91,43.333333333333336,40.25,99.8,0
92,42.27999999999999,42.73638888888888,99.9,3160
93,42.03194444444445,44.04750000000001,99.9,1000
94,41.90638888888888,45.82805555555555,99.9,250
95,42.00222222222222,43.561388888888885,99.9,0
96,41.68527777777777,41.72194444444443,100.1,1000
97,42.65638888888888,44.6525,100.1,1000
98,41.259166666666665,43.60138888888889,100.1,100
99,41.81166666666667,46.17138888888889,100.2,5000
100,41.37750000000001,44.21444444444443,100.2,1000
101,42.27999999999999,42.73638888888888,100.3,12600
102,41.69305555555557,44.75500000000001,100.3,6300
103,41.871111111111105,41.92277777777778,100.3,1000
104,41.87027777777776,45.40972222222221,100.3,1000
105,42.26138888888889,44.00333333333333,100.3,0
106,41.75305555555555,45.811111111111124,100.3,0
107,42.488333333333344,44.50027777777778,100.5,400
108,42.187777777777775,41.70083333333333,100.5,200
109,41.57333333333333,45.01138888888889,100.6,1580
110,41.46666666666667,46.13611111111112,100.6,1000
111,41.561388888888885,44.97805555555555,100.6,500
112,42.27999999999999,42.73638888888888,100.6,0
113,42.03194444444445,44.04750000000001,100.7,4460
114,42.45583333333333,42.36638888888889,100.7,250
115,43.333333333333336,40.25,100.7,0
116,42.71666666666667,41.47472222222222,100.7,0
117,42.187777777777775,41.70083333333333,100.7,0
118,41.69555555555557,44.78472222222223,100.9,12600
119,42.27999999999999,42.73638888888888,100.9,2500
120,41.69361111111111,41.715277777777786,100.9,500
121,42.16388888888889,42.34277777777778,100.9,0
122,42.100277777777784,42.99388888888889,100.9,0
123,41.37750000000001,44.21444444444443,101.0,1000
124,41.69361111111111,41.715277777777786,101.0,0
125,42.03194444444445,44.04750000000001,101.1,500
126,42.150833333333324,45.31055555555556,101.1,100
127,43.194444444444436,40.33333333333334,101.1,0
128,42.65638888888888,44.6525,101.1,0
129,43.0111111111111,41.03222222222221,101.1,0
130,41.63972222222223,42.34277777777778,101.2,250
131,41.347500000000004,43.42583333333333,101.3,1000
132,41.69555555555557,44.78472222222223,101.3,1000
133,42.50194444444443,41.885555555555555,101.3,1000
134,43.333333333333336,40.25,101.3,0
135,41.63027777777777,42.95805555555555,101.5,1000
136,42.03194444444445,44.04750000000001,101.5,1000
137,41.68527777777777,41.72194444444443,101.5,500
138,41.46666666666667,44.53805555555556,101.5,500
139,42.488333333333344,44.50027777777778,101.6,25
140,43.194444444444436,40.33333333333334,101.7,0
141,43.0111111111111,41.03222222222221,101.8,20000
142,42.27999999999999,42.73638888888888,101.8,2000
143,41.68527777777777,41.72194444444443,101.9,5000
144,43.0,40.98333333333335,101.9,1000
145,41.69555555555557,44.78472222222223,101.9,1000
146,42.50194444444443,41.885555555555555,101.9,1000
147,41.63027777777777,42.95805555555555,101.9,500
148,42.5425,42.99277777777778,101.9,160
149,42.03194444444445,44.04750000000001,102.0,500
150,42.100277777777784,42.99388888888889,102.1,750
151,42.84694444444444,41.70388888888887,102.1,500
