Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
49.1344,11.5043,48.5,0
49.5345,9.2729,50.008,25
54.0615,13.223,50.482,3
51.0114,6.023,50.482,1
49.2845,11.173,50.483,2
49.2845,11.173,50.483,0
50.284,6.3123,87.45,60
50.5704,8.3155,87.6,100000
53.3109,10.061,87.6,80000
49.1924,11.225,87.6,25000
52.2258,14.2533,87.6,10000
51.4823,12.5937,87.6,1000
48.3215,8.46,87.6,1000
49.2734,7.4616,87.6,500
51.0504,14.4016,87.6,500
48.5416,8.4309,87.6,500
54.2154,12.4232,87.6,400
52.1932,12.3536,87.6,400
51.2515,14.1701,87.6,320
50.5652,6.5635,87.6,300
49.4052,7.1941,87.6,200
52.2228,8.0148,87.6,200
53.1955,13.5336,87.6,200
47.3505,10.4013,87.6,100
47.3625,11.1858,87.6,100
49.1944,6.5624,87.6,100
47.4134,7.5225,87.6,100
47.3355,9.4027,87.6,100
48.1325,9.2754,87.6,100
52.0616,9.2242,87.6,50
47.273,10.084,87.6,20
48.4032,10.0859,87.6,10
50.372,12.5212,87.7,100000
54.473,9.3012,87.7,10000
47.3609,8.2425,87.7,2600
53.0851,12.2842,87.7,1300
50.0121,8.1637,87.7,1000
48.3346,13.2732,87.7,1000
51.5452,10.2805,87.7,500
48.3801,9.4952,87.7,200
51.201,6.3601,87.7,200
50.0346,10.1441,87.7,200
50.5444,14.4711,87.7,200
52.1441,8.5357,87.7,100
53.2203,7.1237,87.7,100
47.3104,10.1624,87.7,100
47.3941,11.4738,87.7,100
47.3421,9.5609,87.7,100
50.3323,6.1409,87.7,50
50.2022,6.5651,87.7,50
48.2643,12.2322,87.7,50
52.1817,9.2736,87.7,40
49.2726,8.5807,87.7,10
49.3026,9.4656,87.8,10000
51.2743,7.3236,87.8,2000
52.5838,9.3624,87.8,2000
49.2912,8.2931,87.8,1000
52.3847,11.5005,87.8,1000
53.3125,8.0617,87.8,1000
54.0504,13.2345,87.8,800
48.1208,9.0209,87.8,500
50.5747,6.0635,87.8,500
51.4341,9.2914,87.8,500
50.2341,8.4546,87.8,320
52.2551,7.0345,87.8,250
47.4459,11.3428,87.8,100
47.4322,13.0031,87.8,100
51.5845,9.4834,87.8,50
49.5644,6.3329,87.8,50
50.2135,7.3441,87.8,50
48.3705,10.1431,87.8,20
47.4246,12.1735,87.8,10
50.5105,10.2755,87.9,49000
54.1143,9.1454,87.9,15000
47.3418,7.4113,87.9,5000
52.3115,13.2433,87.9,1000
47.4948,8.3116,87.9,1000
48.5559,12.4218,87.9,1000
48.452,9.1124,87.9,1000
48.2134,10.5309,87.9,320
49.5248,7.5357,87.9,150
48.3053,8.2156,87.9,100
51.1053,14.2542,87.9,100
50.2208,8.0045,87.9,100
48.1706,11.5451,87.9,100
50.0804,8.4034,87.9,100
47.483,9.3508,87.9,100
47.4101,12.2918,87.9,100
52.0131,8.3213,87.9,50
48.001,11.2055,87.9,50
49.3247,11.011,87.9,10
49.0904,8.011,87.9,5
49.2026,7.0056,88,100000
50.4229,7.0548,88,35000
48.5647,11.2543,88,10000
50.0736,11.5042,88,5000
51.4326,13.4727,88,1000
52.5933,10.3153,88,1000
51.1259,11.57,88,1000
53.3421,13.1624,88,800
50.3448,8.3958,88,500
53.513,10.412,88,500
50.0311,8.2313,88,320
52.25,9.2137,88,200
51.5401,10.1023,88,50
48.0403,9.5706,88,10
51.5418,12.345,88.1,30000
49.3927,9.0408,88.1,5000
50.4345,9.1921,88.1,4000
51.3718,8.5948,88.1,4000
48.5313,8.3838,88.1,3200
47.3355,9.4027,88.1,500
47.4325,10.1854,88.1,200
50.0146,7.4705,88.1,200
54.5439,8.1825,88.1,200
53.2958,10.1126,88.1,100
47.3625,11.1858,88.1,100
48.1447,10.2231,88.1,100
50.3814,13.2123,88.1,100
54.0746,12.0735,88.2,160000
49.2452,10.224,88.2,25000
50.5249,11.3358,88.2,1000
51.2106,14.0729,88.2,1000
51.4448,7.2421,88.2,500
