,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,35.3125,25.125,50.01,30
1,38.00500000000001,23.700833333333335,50.04,25
2,38.22305555555556,21.74277777777778,50.074,5
3,40.509444444444455,23.680277777777782,50.406,10
4,36.27194444444445,27.932777777777783,50.415,3
5,40.509444444444455,23.680277777777782,70.087,10
6,37.99611111111111,22.973055555555554,87.5,6000
7,35.46694444444444,24.08055555555556,87.5,5000
8,41.18805555555555,25.426666666666666,87.5,4000
9,37.95888888888889,23.818333333333335,87.5,3000
10,39.39138888888889,23.030833333333334,87.5,2000
11,35.41222222222222,23.745277777777773,87.5,1000
12,39.42777777777777,23.11638888888889,87.5,1000
13,41.19388888888888,26.29083333333333,87.5,1000
14,36.92944444444444,21.858055555555552,87.5,700
15,39.075277777777785,26.551111111111116,87.5,500
16,39.34944444444446,26.270000000000003,87.5,500
17,40.59527777777779,23.104166666666664,87.6,10000
18,41.01444444444445,23.288333333333338,87.6,3000
19,39.22833333333333,20.98222222222222,87.6,2000
20,38.460833333333326,23.497222222222227,87.6,1000
21,37.63333333333334,26.273333333333337,87.6,1000
22,39.67166666666667,21.569444444444446,87.6,1000
23,39.74638888888888,19.87222222222222,87.6,1000
24,37.95888888888889,23.818333333333335,87.7,40000
25,38.91388888888889,22.412777777777773,87.7,7500
26,37.74055555555555,26.751666666666672,87.7,3000
27,37.75277777777778,23.54083333333334,87.7,1000
28,37.58333333333334,22.008333333333333,87.7,500
29,40.421388888888885,23.330833333333334,87.8,3000
30,40.536666666666655,23.75361111111111,87.8,2000
31,39.84111111111112,22.246944444444445,87.8,1000
32,38.340833333333336,24.081944444444446,87.8,0
33,38.25138888888889,21.85416666666667,87.9,20000
34,35.369166666666665,25.006944444444446,87.9,4000
35,38.969166666666666,20.79583333333333,87.9,2500
36,37.99611111111111,22.973055555555554,87.9,1500
37,34.99305555555555,25.206666666666663,87.9,900
38,40.597500000000004,23.099722222222223,88.0,100000
39,37.95888888888889,23.818333333333335,88.0,40000
40,41.150277777777774,24.89833333333333,88.0,8000
41,39.67166666666667,21.569444444444446,88.0,1500
42,37.75277777777778,23.54083333333334,88.0,1000
43,35.18472222222223,26.00972222222222,88.0,1000
44,37.150000000000006,21.618055555555557,88.0,1000
45,36.92944444444444,21.858055555555552,88.0,1000
46,37.23472222222223,21.829166666666662,88.0,1000
47,36.85777777777778,27.317777777777778,88.0,1000
48,35.069166666666675,26.067499999999995,88.0,1000
49,36.415277777777774,28.214166666666664,88.0,1000
50,35.53333333333333,27.144444444444442,88.0,900
51,37.34805555555556,22.247777777777777,88.0,125
52,38.78805555555555,22.366388888888896,88.0,0
53,41.36111111111111,26.601388888888884,88.1,32000
54,40.733888888888885,21.620833333333337,88.1,1000
55,35.369166666666665,25.006944444444446,88.1,500
56,39.69583333333332,20.88694444444445,88.2,35000
57,38.39277777777779,22.241944444444446,88.2,5000
58,38.460833333333326,23.497222222222227,88.2,5000
59,38.25138888888889,21.85416666666667,88.2,5000
60,39.39138888888889,23.030833333333334,88.2,5000
61,39.075277777777785,26.551111111111116,88.2,1000
62,39.16666666666667,23.465833333333332,88.2,0
63,37.34805555555556,22.247777777777777,88.3,10000
64,40.23861111111111,22.454166666666666,88.3,7500
65,40.553333333333335,22.48277777777777,88.3,6300
66,38.48083333333334,21.423888888888893,88.3,5000
67,40.93722222222222,24.355555555555558,88.3,5000
68,40.905,25.74472222222222,88.3,1900
69,38.17305555555555,23.72472222222222,88.3,1500
70,40.603611111111114,22.956111111111106,88.3,100
71,38.80833333333332,20.98583333333334,88.3,40
72,36.27194444444445,27.932777777777783,88.4,35000
73,35.369166666666665,25.006944444444446,88.4,4000
74,39.78555555555555,21.966111111111115,88.4,1000
75,38.25138888888889,21.85416666666667,88.5,5000
76,40.59527777777779,23.104166666666664,88.5,4000
77,36.67111111111112,22.411111111111108,88.5,0
78,40.64805555555556,21.385277777777773,88.6,100000
79,37.95888888888889,23.818333333333335,88.6,30000
80,39.39138888888889,23.030833333333334,88.6,5000
81,40.93722222222222,24.355555555555558,88.6,2000
82,37.74277777777777,20.931388888888886,88.6,1000
83,35.30305555555555,24.57222222222222,88.6,400
84,35.24472222222223,24.39805555555555,88.6,0
85,38.860555555555564,22.878888888888888,88.7,35000
86,35.369166666666665,25.006944444444446,88.7,1000
87,40.82583333333333,23.356666666666666,88.7,0
88,39.74638888888888,19.87222222222222,88.8,8000
89,38.25138888888889,21.85416666666667,88.8,6400
90,40.97777777777779,22.3825,88.8,5000
91,40.905,25.74472222222222,88.8,2000
92,35.46694444444444,24.08055555555556,88.8,2000
93,41.107777777777784,23.588333333333335,88.8,2000
94,34.83666666666666,24.073333333333334,88.8,1000
95,41.150277777777774,24.89833333333333,88.8,1000
96,39.67166666666667,21.569444444444446,88.8,500
97,41.19388888888888,26.29083333333333,88.8,0
98,37.038888888888884,22.387222222222224,88.8,0
99,36.82749999999999,22.98472222222222,88.8,0
100,41.02666666666666,26.294444444444444,88.8,0
101,38.807222222222215,20.985277777777775,88.9,100000
102,37.95888888888889,23.818333333333335,88.9,54000
103,37.75277777777778,23.54083333333334,88.9,1000
104,41.1661111111111,24.164166666666663,88.9,1000
105,37.649166666666666,26.288333333333338,88.9,0
106,40.59527777777779,23.104166666666664,89.0,20000
107,35.18472222222223,26.00972222222222,89.0,6000
108,36.92944444444444,21.858055555555552,89.0,1000
109,39.69583333333332,20.888333333333335,89.0,400
110,37.34805555555556,22.247777777777777,89.0,125
111,40.67833333333334,23.649166666666666,89.0,0
112,39.91972222222221,20.49138888888889,89.0,0
113,40.05833333333334,20.760000000000005,89.0,0
114,39.69888888888888,22.247777777777777,89.0,0
115,38.460833333333326,23.497222222222227,89.1,7500
116,37.99611111111111,22.973055555555554,89.1,4000
117,37.649166666666666,26.288333333333338,89.1,3000
118,35.32000000000001,24.482222222222216,89.1,250
119,37.95888888888889,23.818333333333335,89.2,40000
120,40.90472222222222,25.744166666666665,89.2,32000
121,39.67166666666667,21.569444444444446,89.2,5000
122,40.18499999999999,22.421111111111113,89.2,5000
123,38.14,20.65777777777778,89.2,5000
124,35.369166666666665,25.006944444444446,89.2,2500
125,38.48083333333334,21.423888888888893,89.2,2000
126,39.4588888888889,20.3875,89.2,500
127,39.482777777777784,20.235555555555553,89.2,250
128,37.75277777777778,23.54083333333334,89.2,0
129,40.77333333333334,23.956111111111106,89.2,0
130,36.92944444444444,21.858055555555552,89.3,35000
131,35.24111111111112,23.684166666666666,89.3,600
132,35.46694444444444,24.08055555555556,89.3,300
133,35.41222222222222,23.745277777777773,89.3,0
134,41.36111111111111,26.601388888888884,89.4,32000
135,38.24527777777778,21.766944444444444,89.4,10000
136,39.00277777777777,22.412499999999994,89.4,6300
137,40.59527777777779,23.104166666666664,89.4,5000
138,38.00972222222223,22.12222222222222,89.4,1000
139,38.39277777777779,22.241944444444446,89.4,800
140,37.769999999999996,26.976111111111113,89.4,0
141,37.95888888888889,23.818333333333335,89.5,60000
142,39.39138888888889,23.030833333333334,89.5,5000
143,35.369166666666665,25.006944444444446,89.5,2500
144,40.1236111111111,21.99722222222222,89.5,2000
145,41.18805555555555,25.426666666666666,89.5,1100
146,37.75277777777778,23.54083333333334,89.5,1000
147,35.078333333333326,25.76111111111111,89.5,1000
148,34.99305555555555,25.206666666666663,89.5,0
149,38.460833333333326,23.497222222222227,89.6,5000
150,37.99611111111111,22.973055555555554,89.6,5000
151,41.106944444444444,23.588055555555556,89.6,3000
152,35.46694444444444,24.08055555555556,89.6,2000
153,37.60055555555555,22.680833333333336,89.6,1000
154,39.69583333333332,20.888333333333335,89.6,1000
155,37.74277777777777,20.931388888888886,89.6,1000
156,40.59527777777779,23.104166666666664,89.7,20000
157,37.769999999999996,26.976111111111113,89.7,3000
158,37.153611111111104,22.451944444444447,89.7,1000
159,36.71333333333333,22.896111111111114,89.7,500
160,36.82749999999999,22.98472222222222,89.7,500
161,37.95888888888889,23.818333333333335,89.8,40000
162,39.74777777777778,19.87194444444444,89.8,32000
163,41.089999999999996,26.134722222222223,89.8,32000
164,35.38055555555556,24.98472222222222,89.8,4000
165,35.32000000000001,24.482222222222216,89.8,2500
166,37.75277777777778,23.54083333333334,89.8,1000
167,41.1661111111111,24.164166666666663,89.8,1000
168,39.55138888888889,22.175555555555558,89.8,1000
169,37.23472222222223,21.829166666666662,89.8,500
170,35.24472222222223,24.39805555555555,89.8,0
171,36.27194444444445,27.932777777777783,89.8,0
172,35.18472222222223,26.00972222222222,89.9,6000
173,41.150277777777774,24.89833333333333,89.9,1300
174,36.36944444444443,25.461111111111112,89.9,0
175,40.597500000000004,23.099722222222223,90.0,100000
176,38.460833333333326,23.497222222222227,90.0,12000
177,38.25138888888889,21.85416666666667,90.0,10000
178,39.075277777777785,26.551111111111116,90.0,500
179,38.39166666666666,22.137499999999996,90.0,200
180,38.95,23.14444444444444,90.0,0
181,38.00972222222223,22.12222222222222,90.0,0
182,39.34944444444446,26.270000000000003,90.0,0
183,37.95888888888889,23.818333333333335,90.1,40000
184,35.549722222222215,24.173333333333332,90.1,35000
185,36.27194444444445,27.932777777777783,90.1,6700
186,39.55138888888889,22.175555555555558,90.1,5000
187,39.69583333333332,20.888333333333335,90.1,2000
188,37.75277777777778,23.54083333333334,90.1,0
189,35.27194444444445,25.617222222222225,90.1,0
190,40.52777777777778,22.481388888888887,90.2,4000
191,40.289444444444435,22.278055555555557,90.2,2000
192,37.74277777777777,20.931388888888886,90.2,1200
193,38.190555555555555,22.102222222222224,90.2,1000
194,37.34805555555556,22.247777777777777,90.3,10000
195,41.150277777777774,24.89833333333333,90.3,8000
196,38.91388888888889,22.412777777777773,90.3,5000
197,38.46888888888889,22.866388888888885,90.3,3700
198,41.1661111111111,24.164166666666663,90.3,1000
199,39.67166666666667,21.569444444444446,90.3,1000
200,39.74638888888888,19.87222222222222,90.3,1000
201,37.05333333333333,25.51083333333333,90.3,0
202,37.95888888888889,23.818333333333335,90.4,40000
203,36.27194444444445,27.932777777777783,90.4,35000
204,40.59527777777779,23.104166666666664,90.4,5000
205,35.369166666666665,25.006944444444446,90.4,1000
206,37.75277777777778,23.54083333333334,90.4,0
207,36.14666666666667,29.58194444444445,90.4,0
208,38.51527777777778,22.16972222222222,90.4,0
209,37.74777777777778,22.674722222222222,90.5,8000
210,40.93722222222222,24.355555555555558,90.5,2500
211,38.70805555555555,20.649166666666666,90.5,1300
212,36.92944444444444,21.858055555555552,90.5,1000
213,39.73083333333333,22.672222222222228,90.5,1000
214,37.34805555555556,22.247777777777777,90.5,125
215,37.150000000000006,21.618055555555557,90.5,0
216,37.23472222222223,21.829166666666662,90.5,0
217,40.64805555555556,21.385277777777773,90.6,100000
218,37.95888888888889,23.818333333333335,90.6,8800
219,35.078333333333326,25.76111111111111,90.6,1000
220,40.5186111111111,22.398611111111105,90.6,150
221,40.90472222222222,25.744166666666665,90.7,8000
222,39.39138888888889,23.030833333333334,90.7,5000
223,35.32000000000001,24.482222222222216,90.7,2000
224,38.48083333333334,21.423888888888893,90.7,1000
225,37.60055555555555,22.680833333333336,90.7,1000
226,38.2525,25.906111111111112,90.7,1000
227,35.369166666666665,25.006944444444446,90.7,1000
228,34.99444444444445,24.871388888888887,90.7,1000
229,37.153611111111104,22.451944444444447,90.7,1000
230,39.69583333333332,20.888333333333335,90.7,500
231,36.67111111111112,22.411111111111108,90.7,500
232,36.415277777777774,28.214166666666664,90.7,0
233,36.82749999999999,22.98472222222222,90.7,0
234,40.59527777777779,23.104166666666664,90.8,50000
235,40.93722222222222,24.355555555555558,90.8,2500
236,38.14,20.65777777777778,90.8,2500
237,40.378333333333345,23.4675,90.8,1000
238,41.36305555555556,26.604166666666668,90.8,500
239,37.957777777777785,23.81861111111111,90.9,100000
240,38.91388888888889,22.412777777777773,90.9,12000
241,36.92944444444444,21.858055555555552,90.9,2000
