,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,12.05,-60.05,88.9,0
1,12.033333333333333,-60.06666666666667,89.5,0
2,12.05,-60.05,89.9,0
3,12.05,-60.05,90.1,0
4,12.489444444444445,-59.76694444444444,90.5,0
5,12.05,-60.05,90.9,0
6,12.05,-60.05,91.3,0
7,12.489444444444445,-59.76694444444444,91.5,0
8,12.05,-60.05,91.9,0
9,12.05,-60.05,92.3,0
10,12.489444444444445,-59.76694444444444,92.9,0
11,12.05,-60.05,93.3,0
12,12.168055555555554,-60.04444444444444,93.9,0
13,12.489444444444445,-59.76694444444444,94.5,1000
14,12.05,-60.05,95.1,0
15,12.489444444444445,-59.76694444444444,95.3,0
16,12.05,-60.05,95.7,0
17,12.05,-60.05,96.9,500
18,12.489444444444445,-59.76694444444444,97.1,500
19,12.05,-60.05,97.5,0
20,12.05,-60.05,97.9,0
21,12.489444444444445,-59.76694444444444,98.1,0
22,12.05,-60.05,98.5,500
23,12.489444444444445,-59.76694444444444,98.7,500
24,12.05,-60.05,99.1,0
25,12.05,-60.05,99.5,0
26,12.489444444444445,-59.76694444444444,99.7,0
27,12.489444444444445,-59.76694444444444,100.3,0
28,12.116666666666667,-59.96666666666667,100.5,0
29,12.05,-60.05,101.1,0
30,12.489444444444445,-59.76694444444444,101.3,0
31,12.116666666666667,-59.96666666666667,101.9,0
32,12.116666666666667,-59.96666666666667,102.3,0
33,12.05,-60.05,103.1,0
34,12.489444444444445,-59.76694444444444,103.3,0
35,12.05,-60.05,103.7,0
36,12.05,-60.05,104.1,0
37,12.489444444444445,-59.76694444444444,104.9,0
38,12.05,-60.05,105.5,500
39,12.489444444444445,-59.76694444444444,105.9,500
40,12.489444444444445,-59.76694444444444,106.3,0
41,12.05,-60.05,107.5,0
