Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
14.3114,-90.2729,50.05,19
14.3417,-90.2833,87.5,0
15.1721,-91.0521,87.5,0
14.5942,-90.4827,87.7,0
15.48,-91.19,87.9,0
15.1428,-92.0359,87.9,0
14.3417,-90.2833,88.1,25000
14.5138,-91.3714,88.1,0
14.55,-91.22,88.1,0
14.58,-89.32,88.3,10000
14.1719,-90.4657,88.3,0
14.32,-91.41,88.3,0
15.2951,-90.5855,88.3,0
14.3706,-90.38,88.5,25000
16.54,-89.54,88.5,0
14.55,-91.22,88.5,0
14.1719,-90.4657,88.7,10000
14.5411,-91.4848,88.7,10000
14.47,-91.11,88.7,0
14.58,-89.32,88.7,0
14.3417,-90.2833,88.9,20000
16.12,-89.26,88.9,200
15.19,-91.28,88.9,0
15.4402,-91.2739,88.9,0
14.55,-91.22,88.9,0
15.24,-89.5,89.1,200
14.4,-90.49,89.1,0
14.32,-91.41,89.1,0
14.1131,-90.2229,89.1,0
14.3706,-90.38,89.3,25000
15.19,-91.28,89.3,0
15.23,-91.35,89.3,0
14.1719,-90.4657,89.5,10000
14.51,-90.04,89.5,10000
14.48,-89.33,89.5,100
14.42,-91.52,89.5,0
15.2951,-90.5855,89.5,0
14.32,-91.3,89.5,0
14.58,-91.47,89.5,0
14.3706,-90.38,89.7,25000
16.06,-90.27,89.7,0
15.1428,-92.0359,89.7,0
14.48,-89.33,89.9,10000
14.16,-90.18,89.9,10000
15.0605,-90.1907,89.9,0
15.1424,-91.5038,89.9,0
14.5411,-91.4848,89.9,0
14.55,-91.22,89.9,0
14.3417,-90.2833,90.1,25000
17.04,-89.09,90.1,0
14.5511,-91.2624,90.1,0
14.48,-89.33,90.3,10000
14.1719,-90.4657,90.3,10000
15.02,-91.09,90.3,50
15.1428,-92.0359,90.3,0
14.58,-89.32,90.3,0
14.3417,-90.2833,90.5,10000
14.34,-90.44,90.5,0
15.19,-91.28,90.5,0
15.4,-91.44,90.5,0
14.1719,-90.4657,90.7,10000
14.38,-89.592,90.7,10000
15.02,-91.09,90.7,0
15.5917,-90.4654,90.7,0
14.32,-91.41,90.7,0
15.24,-91.09,90.7,0
14.4736,-91.3515,90.7,0
14.55,-91.22,90.7,0
15.205,-90.5212,90.7,0
14.3706,-90.38,90.9,25000
14.4,-90.49,91.1,10000
15.28,-90.22,91.1,10000
14.4736,-91.3515,91.1,10000
14.1131,-90.2229,91.1,0
14.3417,-90.2833,91.3,25000
14.32,-91.3,91.3,3000
14.34,-90.44,91.3,0
15.4402,-91.2739,91.3,0
14.34,-89.21,91.5,10000
15.4019,-88.4136,91.5,1000
15.06,-90.18,91.5,1000
14.5942,-90.4827,91.5,0
14.4736,-91.3515,91.5,0
14.1131,-90.2229,91.5,0
14.3417,-90.2833,91.7,25000
16.31,-90.1,91.7,10000
14.4736,-91.3515,91.7,0
14.1719,-90.4657,91.9,10000
14.5411,-91.4848,91.9,10000
14.58,-89.32,91.9,10000
14.17,-89.54,91.9,0
14.46,-91,91.9,0
14.3706,-90.38,92.1,25000
14.48,-89.33,92.3,10000
14.32,-91.41,92.3,10000
15.24,-89.383,92.3,200
14.3417,-90.2833,92.3,0
15.28,-90.22,92.3,0
15.0526,-91.4455,92.3,0
15.1619,-91.4456,92.3,0
14.4732,-91.5515,92.3,0
14.4736,-91.3515,92.3,0
