,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,6.244999999999999,-55.835555555555544,88.5,2000
1,6.7891666666666675,-56.48416666666665,89.1,0
2,6.866666666666667,-56.74805555555555,89.3,0
3,6.7891666666666675,-56.48416666666665,89.5,0
4,6.25,-55.84277777777778,89.7,0
5,6.7891666666666675,-56.48416666666665,90.1,0
6,6.25,-55.84277777777778,90.5,0
7,6.866666666666667,-56.74805555555555,90.7,0
8,6.7891666666666675,-56.48416666666665,91.1,0
9,6.25,-55.84277777777778,91.5,0
10,7.390000000000001,-56.917777777777765,91.7,0
11,6.7891666666666675,-56.48416666666665,93.1,0
12,6.7891666666666675,-56.48416666666665,94.1,0
13,2.4724999999999993,-57.64611111111112,95.1,0
14,6.4080555555555545,-56.949722222222235,95.1,0
15,3.3847222222222224,-58.13333333333335,95.1,0
16,8.201666666666664,-58.1086111111111,95.1,0
17,5.283055555555554,-57.471944444444446,95.1,0
18,5.314166666666666,-55.66194444444446,95.1,0
19,6.7891666666666675,-56.48416666666665,96.1,0
20,3.3847222222222224,-58.13333333333335,97.1,500
21,4.0,-57.54999999999999,97.1,25
22,6.7891666666666675,-56.48416666666665,97.5,0
23,6.7891666666666675,-56.48416666666665,98.1,0
24,6.7891666666666675,-56.48416666666665,99.1,0
25,6.25,-55.84277777777778,99.5,0
26,8.201666666666664,-58.1086111111111,99.7,0
27,6.7891666666666675,-56.48416666666665,100.1,0
28,6.7891666666666675,-56.48416666666665,102.5,500
29,6.0,-56.63333333333333,103.3,0
30,6.0,-56.63333333333333,104.3,0
31,6.4080555555555545,-56.949722222222235,104.9,0
32,6.7891666666666675,-56.48416666666665,105.1,0
33,6.0,-56.63333333333333,106.5,500
34,6.4080555555555545,-56.949722222222235,106.9,0
35,6.0,-56.63333333333333,107.3,0
