Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
14.06,-87.13,88.1,1230
15.464,-87.5252,88.1,0
15.3,-88.01,88.1,0
15.411,-86.5633,88.1,0
15.5328,-85.5629,88.1,0
14.09,-88.44,88.1,0
14.4803,-85.5252,88.3,0
13.2043,-87.161,88.3,0
15.06,-85.32,88.3,0
14.3727,-86.1541,88.3,0
15.4523,-86.4814,88.3,0
15.012,-86.4235,88.3,0
13.3207,-87.23,88.3,0
14.26,-89.11,88.3,0
15.464,-87.5252,88.3,0
16.2008,-86.3118,88.3,0
14.4518,-88.4624,88.3,0
14.06,-87.13,88.5,1250
14.1834,-88.105,88.5,0
15.2647,-86.2924,88.5,0
14.4803,-85.5252,88.7,0
14.2633,-87.332,88.7,0
14.02,-86.35,88.7,0
15.4523,-86.4814,88.7,0
14.2658,-89.1028,88.7,0
15.0942,-88.2058,88.7,0
14.4518,-88.4624,88.7,0
15.47,-87.27,88.7,0
15.411,-86.5633,88.7,0
15.5328,-85.5629,88.7,0
15.08,-87.08,88.7,0
13.2043,-87.161,88.9,3500
15.464,-87.5252,88.9,0
15.3,-88.01,88.9,0
14.06,-87.13,88.9,0
13.57,-88.17,89.1,0
14.2633,-87.332,89.1,0
14.02,-86.35,89.1,0
14.3727,-86.1541,89.1,0
15.0351,-88.4502,89.1,0
14.49,-88.24,89.1,0
15.47,-87.27,89.1,0
15.5328,-85.5629,89.1,0
15.3,-88.01,89.3,0
15.3637,-86.1931,89.3,0
14.06,-87.13,89.3,0
14.4803,-85.5252,89.5,0
13.2043,-87.161,89.5,0
14.02,-86.35,89.5,0
15.4523,-86.4814,89.5,0
14.03,-88.42,89.5,0
13.25,-87.27,89.5,0
14.2352,-88.5722,89.5,0
15.0942,-88.2058,89.5,0
15.47,-87.27,89.5,0
15.3,-88.01,89.7,2600
15.46,-86.31,89.7,0
15.0942,-88.2058,89.7,0
14.06,-87.13,89.7,0
15.08,-87.08,89.7,0
15.2658,-88.0224,89.9,12000
14.4803,-85.5252,89.9,0
13.2043,-87.161,89.9,0
14.2633,-87.332,89.9,0
15.012,-86.4235,89.9,0
13.2043,-87.161,90.1,0
13.51,-87.32,90.1,0
15.2647,-86.2924,90.1,0
15.46,-88.02,90.1,0
15.3,-88.01,90.1,0
14.06,-87.13,90.1,0
15.411,-86.5633,90.1,0
15.4523,-86.4814,90.3,250
13.2043,-87.161,90.3,0
14.2633,-87.332,90.3,0
13.5131,-86.3335,90.3,0
14.09,-88.02,90.3,0
14.4518,-88.4624,90.3,0
14.4344,-87.5402,90.3,0
14.04,-85.59,90.3,0
14.04,-85.59,90.3,0
15.2658,-88.0224,90.5,70
15.464,-87.5252,90.5,0
15.28,-86.15,90.5,0
14.06,-87.13,90.5,0
13.2043,-87.161,90.7,1300
14.4803,-85.5252,90.7,0
14.2633,-87.332,90.7,0
14.03,-86.35,90.7,0
14.19,-87.41,90.7,0
14.09,-88.02,90.7,0
14.2658,-89.1028,90.7,0
15.0942,-88.2058,90.7,0
15.0134,-87.4829,90.7,0
14.4518,-88.4624,90.7,0
14.2633,-87.332,90.9,0
15.2647,-86.2924,90.9,0
15.3,-88.01,90.9,0
14.24,-87.05,90.9,0
14.06,-87.13,90.9,0
13.2043,-87.161,91.1,0
14.2633,-87.332,91.1,0
14.02,-86.35,91.1,0
14.1819,-88.1135,91.1,0
14.3812,-87.4746,91.1,0
15.464,-87.5252,91.3,0
14.38,-86.06,91.3,0
15.3,-88.01,91.3,0
14.06,-87.13,91.3,0
14.3812,-87.4746,91.5,250
13.2043,-87.161,91.5,0
13.5131,-86.3335,91.5,0
15.4523,-86.4814,91.5,0
14.19,-87.41,91.5,0
13.5602,-88.2236,91.5,0
14.4518,-88.4624,91.5,0
14.3812,-87.4746,91.5,0
15.47,-87.27,91.5,0
15.5328,-85.5629,91.5,0
15.2658,-88.0224,91.7,790
14.4525,-87.1115,91.7,0
