,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,47.35416666666667,16.458055555555553,50.007,20
1,46.687499999999986,21.208055555555557,50.068,10
2,47.43749999999999,19.374999999999996,50.43,5
3,46.812499999999986,20.625000000000004,50.453,10
4,46.56249999999999,17.041666666666668,50.48,0
5,48.099444444444444,20.775833333333335,66.02,3000
6,47.79555555555556,19.9725,66.11,100
7,47.01861111111111,21.493611111111115,66.14,3000
8,47.15277777777778,18.395000000000003,66.14,300
9,47.02777777777777,19.116666666666667,66.23,300
10,46.623888888888885,20.282500000000002,66.29,3000
11,46.34694444444445,18.69333333333333,66.32,2000
12,47.49166666666667,18.978888888888882,66.62,10000
13,47.90527777777777,20.386944444444445,66.74,100
14,48.099444444444444,20.775833333333335,66.8,3000
16,47.01861111111111,21.493611111111115,66.92,3000
17,47.660833333333336,17.668611111111115,67.04,3000
18,46.099722222222226,18.22,67.19,10000
19,47.49166666666667,18.978888888888882,67.4,10000
20,47.227222222222224,16.603055555555557,67.52,100
21,46.623888888888885,20.282500000000002,67.85,3000
22,47.09277777777779,17.910000000000004,67.88,100
23,46.099722222222226,18.22,67.97,10000
24,47.01861111111111,21.493611111111115,68.24,3000
25,46.56277777777778,17.01888888888889,68.36,10000
26,48.099444444444444,20.775833333333335,68.48,3000
27,46.623888888888885,20.282500000000002,68.72,3000
28,47.46666666666667,19.050000000000004,68.87,100
29,47.15277777777778,18.395000000000003,68.89,3000
30,47.835,19.128333333333337,68.99,100
31,47.02777777777777,19.116666666666667,69.11,300
32,47.49166666666667,18.978888888888882,69.38,10000
33,46.37777777777777,17.827777777777776,69.44,130
34,47.481944444444444,19.23777777777778,69.86,140
35,46.56277777777778,17.01888888888889,69.98,10000
36,47.41111111111111,19.386111111111116,70.031,5
37,46.34694444444445,18.69333333333333,70.05,2000
38,47.3586111111111,16.460277777777783,70.06,10
39,47.87277777777777,20.009166666666665,70.1,3000
40,47.54138888888888,19.034166666666664,70.28,50
41,47.66277777777777,16.57027777777778,70.4,3000
42,48.12055555555555,21.38222222222222,70.43,10000
43,47.049166666666665,17.65361111111111,70.64,10000
44,47.93333333333334,21.76111111111111,70.88,100
45,46.56277777777778,17.01888888888889,71.03,10000
46,47.87277777777777,20.009166666666665,71.21,3000
47,48.12055555555555,21.38222222222222,71.33,10000
48,47.049166666666665,17.65361111111111,71.42,10000
49,48.261111111111106,20.61666666666667,71.63,87
50,47.471388888888896,18.9975,71.63,50
51,46.099722222222226,18.22,71.81,2000
52,47.413611111111116,18.88972222222222,71.84,195
53,47.67777777777777,16.57777777777778,72.08,3000
54,48.12055555555555,21.38222222222222,72.11,10000
55,47.15277777777778,18.395000000000003,72.41,3000
56,47.51666666666667,21.733333333333338,72.41,56
57,47.87277777777777,20.009166666666665,72.77,3000
58,47.66277777777777,16.57027777777778,72.86,3000
59,47.049166666666665,17.65361111111111,72.98,10000
60,47.660833333333336,17.668611111111115,87.6,7600
61,46.70638888888889,20.140555555555554,87.6,500
62,47.49444444444445,19.0,87.6,2
63,46.619444444444454,19.28416666666667,87.8,10
64,46.099722222222226,18.22,87.8,10
65,47.374166666666675,18.914444444444445,87.8,1
66,47.37777777777777,18.994444444444444,87.8,1
67,47.194999999999986,18.415555555555553,87.8,1
68,46.27083333333332,20.145277777777775,87.9,1000
69,46.88305555555556,18.62611111111111,87.9,300
70,47.680833333333325,19.69611111111111,87.9,115
71,47.78472222222222,19.14583333333333,87.9,100
72,46.24916666666666,17.100833333333338,87.9,50
73,46.58861111111111,17.419166666666673,88.0,280
74,47.51666666666667,21.733333333333338,88.0,10
75,47.76972222222223,21.860277777777778,88.0,3
76,47.3188888888889,20.923611111111107,88.0,2
77,46.93694444444445,20.83027777777778,88.0,1
78,47.47944444444444,19.09138888888889,88.1,1000
79,47.671388888888885,17.648333333333333,88.1,200
80,46.84583333333334,17.889166666666664,88.2,100
81,46.49250000000001,19.737500000000004,88.2,76
82,48.12055555555555,21.38222222222222,88.3,5900
83,47.18083333333333,19.81083333333333,88.3,1000
84,47.744444444444454,18.133888888888894,88.3,1000
85,46.409722222222214,20.901111111111113,88.3,100
86,46.850277777777784,16.826666666666668,88.3,100
87,46.61722222222222,19.31694444444445,88.4,2000
88,47.227222222222224,16.603055555555557,88.4,300
89,47.32777777777777,18.883333333333336,88.4,100
90,47.555833333333325,18.704722222222227,88.4,100
91,47.5775,21.634444444444448,88.5,1000
92,45.85833333333333,18.289722222222224,88.6,300
93,46.56472222222221,20.663888888888888,88.6,100
94,47.054999999999986,19.726388888888884,88.6,10
95,47.620000000000005,20.74861111111111,88.7,300
96,46.19083333333332,18.93027777777778,88.7,240
97,46.833333333333336,16.416666666666668,88.7,10
98,47.32777777777777,18.411111111111108,88.7,10
99,48.08833333333334,20.774722222222223,88.7,2
100,46.902222222222214,18.041944444444443,88.7,1
101,47.482222222222234,19.019722222222217,88.8,700
102,48.2525,20.62833333333333,88.8,500
103,47.38250000000001,17.68777777777778,88.8,200
104,46.67638888888889,21.095000000000002,88.9,300
105,47.79555555555556,19.9725,88.9,200
106,46.813611111111115,16.81277777777778,88.9,200
107,47.18694444444444,18.412777777777773,88.9,1
108,47.5775,21.634444444444448,89.0,1000
109,47.373055555555545,18.207499999999996,89.0,100
110,46.35916666666666,17.793333333333337,89.0,50
111,47.671388888888885,17.648333333333333,89.1,310
112,47.78166666666667,18.931666666666665,89.1,50
113,47.49444444444445,20.611111111111107,89.2,300
114,46.19666666666667,19.14972222222222,89.4,6300
115,47.49166666666667,18.978888888888882,89.5,77600
116,45.957777777777785,17.429444444444446,89.5,2000
117,47.93,21.04138888888889,89.6,200
118,47.953333333333326,21.72083333333333,89.6,2
119,48.21916666666666,22.07777777777778,89.6,1
120,47.17861111111112,20.41305555555556,89.6,1
121,48.33333333333334,21.57777777777778,89.8,200
122,46.17999999999999,18.949166666666667,89.8,100
123,48.08833333333334,20.774722222222223,89.8,63
124,47.01861111111111,21.493611111111115,89.9,5000
125,47.998888888888885,22.586666666666662,89.9,250
126,48.10833333333334,19.803333333333338,89.9,100
127,47.02777777777777,19.116666666666667,89.9,10
128,46.46666666666667,20.233333333333334,89.9,10
129,47.09444444444444,20.233333333333334,89.9,10
130,46.27083333333332,20.145277777777775,89.9,10
131,46.71055555555556,19.843888888888884,89.9,1
132,47.00277777777777,20.624166666666664,89.9,1
133,46.93333333333334,19.49444444444444,89.9,0
134,46.01527777777777,18.22138888888888,90.0,630
135,47.5511111111111,21.622222222222224,90.0,500
136,46.01527777777777,18.22138888888888,90.0,300
137,47.1986111111111,18.13,90.0,70
138,46.56277777777778,17.01888888888889,90.2,8300
139,48.519166666666656,21.355833333333333,90.2,3600
140,46.56472222222221,20.663888888888888,90.2,40
141,46.59111111111112,18.579166666666666,90.3,10000
142,46.23277777777779,20.151388888888885,90.3,600
143,47.49499999999999,19.076944444444447,90.3,500
144,47.214722222222235,21.535555555555554,90.3,100
145,47.671388888888885,17.648333333333333,90.3,100
146,48.22694444444444,20.292777777777783,90.3,50
147,47.24861111111111,18.626666666666665,90.4,500
148,47.178888888888885,20.178055555555552,90.4,200
149,48.40638888888889,22.17361111111111,90.4,200
150,48.099722222222226,20.78611111111111,90.4,100
151,46.34694444444445,18.69333333333333,90.5,2000
152,47.73583333333333,18.12222222222222,90.5,1000
153,46.231944444444444,17.36166666666667,90.5,500
154,46.651111111111106,21.257499999999997,90.5,100
155,47.09277777777779,17.910000000000004,90.6,1200
156,48.40194444444443,21.631944444444443,90.6,1000
157,46.04750000000001,18.22444444444444,90.6,250
158,47.87277777777777,20.009166666666665,90.7,30000
159,47.671388888888885,17.648333333333333,90.7,100
160,47.32138888888888,17.472777777777775,90.8,150
161,46.41194444444445,20.324722222222228,90.8,100
162,47.482222222222234,19.019722222222217,90.9,1800
163,47.871388888888895,17.278333333333336,90.9,250
164,46.83472222222223,17.57694444444444,91.0,100
165,47.62777777777777,17.644444444444442,91.0,0
166,46.71055555555556,19.843888888888884,91.1,760
167,47.952777777777776,21.715,91.1,500
168,46.35027777777777,18.708888888888893,91.1,450
169,46.35916666666666,17.793333333333337,91.2,235
170,48.519166666666656,21.355833333333333,91.3,3020
171,46.974444444444444,18.935555555555556,91.3,1000
172,47.5775,21.634444444444448,91.4,1200
173,47.49166666666667,18.978888888888882,91.4,1000
174,46.200833333333335,18.266944444444444,91.4,50
175,47.09444444444444,17.91666666666667,91.4,10
176,47.49444444444445,19.0,91.4,0
177,47.660833333333336,17.668611111111115,91.5,1000
178,46.95555555555556,16.65194444444444,91.6,6800
179,46.623888888888885,20.282500000000002,91.6,2000
180,46.766666666666666,18.644444444444442,91.6,1000
181,47.66944444444445,19.05916666666667,91.6,1
182,46.619444444444454,19.28416666666667,91.7,1200
183,47.4986111111111,19.339722222222225,91.7,100
184,47.92888888888889,20.412777777777773,91.8,500
185,46.96555555555556,17.858055555555552,91.8,200
186,47.32472222222223,21.125555555555557,91.8,160
187,46.67916666666666,21.097777777777775,91.8,51
188,48.40194444444443,21.631944444444443,91.9,1000
189,46.632777777777775,18.85916666666667,92.0,100
190,47.482222222222234,19.019722222222217,92.1,760
191,46.751111111111115,17.24,92.2,500
192,47.17666666666666,20.193888888888893,92.2,280
193,46.17999999999999,18.949166666666667,92.2,35
194,46.19083333333332,18.93027777777778,92.2,35
195,47.237500000000004,16.584999999999997,92.3,1000
196,47.15277777777778,18.395000000000003,92.3,700
197,47.54388888888888,21.614722222222227,92.3,300
