,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,63.85416666666666,-18.947222222222226,50.057,0
1,64.47916666666666,-20.447222222222226,50.457,25
2,65.22333333333336,-12.580555555555554,87.7,11800
3,64.09166666666664,-20.141666666666666,87.7,2000
4,66.17777777777775,-21.583333333333332,87.7,400
5,65.83333333333333,-15.783333333333333,87.7,200
6,65.7,-19.833333333333332,87.7,200
7,65.68333333333334,-16.433333333333326,87.7,0
8,66.0,-21.783333333333335,87.9,200
9,65.05055555555555,-21.063888888888894,88.0,18000
10,63.78333333333333,-16.299999999999994,88.0,200
11,66.0166666666667,-17.733333333333327,88.0,20
12,64.03333333333333,-21.033333333333335,88.0,4
13,63.44833333333333,-18.609722222222224,88.1,24000
14,66.25999999999999,-14.096388888888889,88.1,3300
15,64.19194444444446,-20.080277777777777,88.1,20
16,64.53972222222221,-20.24138888888888,88.3,6000
17,66.05,-23.0,88.3,200
18,65.88333333333334,-16.905555555555562,88.3,200
19,64.03333333333333,-18.683333333333334,88.4,2000
20,64.09166666666664,-20.141666666666666,88.5,2000
21,65.38333333333334,-20.283333333333335,88.5,1000
22,65.45,-16.533333333333335,88.5,200
23,64.26666666666667,-13.666666666666666,88.5,30
24,66.30000000000003,-14.8,88.7,10000
25,65.50833333333331,-22.68277777777778,88.7,10000
26,66.15,-17.25,88.7,400
27,63.44833333333333,-18.609722222222224,88.9,1000
28,65.68333333333334,-16.75,88.9,400
29,66.1,-21.433333333333334,89.0,400
30,66.06666666666669,-17.46666666666666,89.0,200
31,64.12305555555554,-20.208333333333332,89.0,0
32,65.6377777777778,-18.52861111111111,89.1,6000
33,64.12305555555554,-20.208333333333332,89.1,400
34,63.71666666666667,-16.816666666666666,89.1,300
35,65.0,-12.533333333333333,89.1,200
36,65.7166666666667,-15.566666666666666,89.1,200
37,64.25000000000003,-13.533333333333333,89.2,200
38,64.68333333333334,-17.60555555555556,89.3,200
39,64.8,-19.783333333333335,89.3,200
40,65.68555555555555,-16.359444444444442,89.5,1000
41,64.12749999999998,-20.228888888888896,89.5,1000
42,65.64222222222224,-15.23111111111111,89.5,200
43,65.6,-22.35,89.5,50
44,63.916666666666664,-19.8,89.5,40
45,63.44333333333332,-17.188611111111108,89.7,2000
46,65.77777777777776,-20.0,89.7,200
47,65.25000000000003,-14.0,89.7,200
48,64.06666666666669,-17.172222222222228,89.7,200
49,64.7,-20.766666666666666,89.8,300
50,66.30000000000003,-14.8,89.9,200
51,65.1,-19.933333333333334,89.9,160
52,64.15,-20.042222222222218,90.1,3500
53,65.7166666666667,-17.05,90.1,600
54,65.7,-16.383333333333333,90.1,20
55,64.28333333333333,-13.366666666666667,90.3,1200
56,65.25000000000003,-19.383333333333333,90.3,1000
57,65.98333333333333,-16.883333333333326,90.3,400
58,63.44833333333333,-18.609722222222224,90.4,4000
59,65.7,-15.9,90.4,430
60,65.7,-16.866666666666667,90.4,400
61,65.88333333333334,-21.85,90.4,290
62,65.05,-14.0,90.4,200
63,64.90000000000002,-21.933333333333334,90.5,680
64,65.08333333333333,-13.85,90.5,250
65,65.51666666666667,-12.1,90.5,200
66,66.07138888888892,-16.975833333333338,90.5,180
67,64.54444444444442,-20.266666666666666,90.5,100
68,65.7166666666667,-17.816666666666666,90.6,3100
69,66.1,-15.283333333333333,90.7,200
70,64.15,-20.042222222222218,90.9,10000
71,65.68333333333334,-16.366666666666667,90.9,200
72,64.83333333333333,-12.166666666666666,90.9,200
73,66.12777777777775,-21.816666666666666,90.9,100
74,65.12777777777775,-12.166666666666666,91.0,200
75,65.82777777777775,-15.95,91.0,20
76,64.86666666666666,-19.816666666666666,91.1,200
77,64.38333333333334,-13.15,91.1,200
78,66.45,-14.283333333333333,91.1,200
79,65.38333333333334,-13.116666666666667,91.2,200
80,63.418611111111126,-17.34388888888889,91.2,200
81,64.09388888888887,-18.737222222222222,91.3,2500
82,64.65,-20.0,91.3,40
83,64.19194444444446,-20.080277777777777,91.4,50
84,66.03333333333333,-13.15,91.5,500
85,65.0,-21.533333333333335,91.5,400
86,65.48333333333336,-13.15,91.5,200
87,64.86666666666666,-12.1,91.5,200
88,66.17777777777775,-20.933333333333334,91.5,180
89,65.68555555555555,-16.359444444444442,91.6,9300
90,66.0,-21.783333333333335,91.6,200
91,64.54444444444442,-20.266666666666666,91.7,200
92,65.65,-18.566666666666666,91.7,0
93,64.1,-18.75,91.8,400
94,64.0166666666667,-14.116666666666667,91.9,10000
95,65.93333333333334,-21.05,91.9,2000
96,64.12305555555554,-20.208333333333332,91.9,400
97,66.03333333333333,-18.95,91.9,200
98,65.06666666666669,-13.216666666666667,92.0,250
99,64.90000000000002,-21.933333333333334,92.1,600
100,65.68333333333334,-20.05,92.1,200
101,65.45,-14.283333333333333,92.1,200
102,65.0,-12.533333333333333,92.3,200
103,64.24055555555556,-19.785555555555558,92.4,24000
104,65.77777777777776,-17.666666666666668,92.4,400
105,63.78333333333333,-16.299999999999994,92.4,200
106,65.51666666666667,-18.25,92.5,400
107,65.1,-19.933333333333334,92.5,160
108,65.50833333333331,-22.68277777777778,92.7,10000
109,65.68555555555555,-16.359444444444442,92.7,5000
110,65.7166666666667,-17.05,92.7,600
111,64.83333333333333,-12.166666666666666,92.7,200
112,64.6,-20.05,92.9,5000
113,66.03694444444442,-21.192500000000003,92.9,1000
114,65.0166666666667,-12.933333333333334,92.9,200
115,64.19194444444446,-20.080277777777777,92.9,20
116,65.38333333333334,-19.15,93.0,600
117,64.25000000000003,-13.533333333333333,93.1,200
118,65.55,-18.416666666666668,93.2,400
119,65.43333333333337,-20.533333333333335,93.2,150
