,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,26.93583333333334,54.38611111111112,87.6,96000
1,36.92138888888888,46.11305555555556,87.6,80000
2,30.187777777777775,48.434444444444445,87.6,40000
4,39.18722222222223,47.080555555555556,87.6,12000
5,35.12027777777778,52.37361111111111,87.6,8000
6,36.8036111111111,48.87,87.6,8000
7,36.78083333333333,55.14749999999998,87.6,1810
8,33.958333333333336,46.36611111111111,87.6,320
9,30.940277777777776,55.404444444444444,87.6,300
10,27.483333333333334,52.61666666666667,87.6,190
11,35.566388888888895,49.12666666666666,87.6,150
12,36.08277777777778,52.809722222222234,87.6,100
13,36.93333333333333,48.95,87.6,0
14,27.82222222222223,52.080555555555556,87.6,0
15,29.266666666666666,51.21666666666667,87.6,0
16,37.84916666666666,46.8311111111111,87.6,0
17,33.28333333333333,47.50833333333331,87.6,0
18,34.00944444444445,50.8352777777778,87.6,0
19,35.460833333333326,59.18194444444445,87.7,3000
20,36.37222222222223,56.02083333333332,87.7,2000
21,38.32944444444445,44.869444444444454,87.7,2000
22,28.766666666666666,57.016666666666666,87.7,250
23,34.51194444444444,48.69833333333333,87.7,0
24,32.468888888888884,50.11833333333332,87.7,0
25,35.22500000000001,48.208333333333336,87.7,0
26,31.75416666666667,49.81805555555554,87.7,0
27,28.816666666666666,52.916666666666664,87.7,0
28,30.278333333333336,53.234999999999985,87.7,0
29,34.63194444444445,48.29472222222222,87.7,0
30,37.92972222222222,46.12138888888889,87.7,0
31,36.131111111111125,50.66833333333332,87.7,0
32,37.65,48.05833333333334,87.7,0
33,32.918333333333344,47.30055555555554,87.8,96000
34,34.68944444444444,49.88416666666666,87.8,20000
35,36.7888888888889,45.67527777777779,87.8,4000
36,31.246388888888895,49.717500000000015,87.8,1200
37,27.15416666666667,53.05277777777776,87.8,1000
38,37.481111111111126,47.04527777777776,87.8,100
39,35.81111111111112,51.777777777777764,87.8,100
40,34.483333333333334,46.266666666666666,87.8,0
41,28.97499999999999,53.2,87.8,0
42,36.66333333333332,49.55333333333333,87.8,0
44,37.033055555555556,50.3263888888889,87.8,0
45,35.31388888888889,46.36666666666667,87.8,0
46,37.811111111111096,48.90833333333334,87.8,0
49,27.42555555555556,56.1725,87.9,60000
50,33.45861111111111,49.48555555555556,87.9,300
51,35.98861111111111,51.57916666666666,87.9,100
52,36.14166666666666,49.2,87.9,0
53,39.21305555555555,47.97472222222222,87.9,0
54,31.374166666666667,50.12722222222222,87.9,0
56,31.134999999999998,61.643888888888895,88.0,240000
57,37.980555555555554,46.63805555555556,88.0,120000
58,29.98527777777777,56.76166666666667,88.0,105000
59,34.30805555555554,47.03472222222223,88.0,96000
60,35.827499999999986,51.44694444444444,88.0,96000
61,34.03666666666666,58.58611111111112,88.0,74000
62,36.41166666666667,51.97861111111112,88.0,63000
63,35.75361111111111,53.689444444444455,88.0,60000
64,35.54722222222223,46.16527777777778,88.0,30000
65,36.23444444444444,59.567499999999995,88.0,13000
66,31.763333333333335,59.99444444444446,88.0,13000
67,29.39666666666667,52.73361111111112,88.0,10000
68,34.85861111111111,47.62555555555555,88.0,10000
69,37.577222222222225,57.20777777777777,88.0,9000
70,32.968611111111116,59.1988888888889,88.0,6000
71,31.323055555555555,48.720833333333324,88.0,5000
72,25.316666666666666,60.666666666666664,88.0,4000
73,37.28027777777778,58.94361111111111,88.0,4000
74,39.30194444444445,44.49416666666668,88.0,4000
75,36.415555555555564,56.757500000000014,88.0,3000
76,35.430277777777775,47.07805555555555,88.0,3000
77,33.47944444444443,48.34333333333335,88.0,2000
78,36.26583333333334,46.17861111111112,88.0,1580
79,37.58861111111111,48.60166666666665,88.0,1410
80,39.08249999999999,44.44388888888889,88.0,1280
81,36.842222222222226,56.88583333333334,88.0,1200
82,38.86277777777778,47.0225,88.0,890
83,32.33638888888888,50.86638888888889,88.0,890
84,32.00833333333334,51.784444444444446,88.0,890
85,33.6,56.916666666666664,88.0,890
86,34.33194444444445,48.78777777777778,88.0,700
87,33.52361111111111,47.84777777777779,88.0,540
88,32.1,54.00166666666665,88.0,390
89,35.189444444444455,47.382500000000014,88.0,300
90,33.80694444444445,46.32777777777779,88.0,300
91,31.871666666666663,51.16805555555553,88.0,300
92,33.62138888888888,46.42777777777777,88.0,300
93,28.54805555555555,53.36166666666667,88.0,300
94,29.612499999999994,51.66194444444445,88.0,300
95,29.25888888888888,54.410833333333315,88.0,250
96,36.14944444444444,45.463333333333324,88.0,250
97,34.81666666666667,46.53333333333333,88.0,190
98,37.384722222222216,46.24611111111111,88.0,190
99,33.043888888888894,47.76916666666667,88.0,190
100,35.86166666666667,47.591388888888886,88.0,150
101,35.77666666666667,52.87666666666668,88.0,150
102,33.766666666666666,55.016666666666666,88.0,150
103,30.9,52.68333333333333,88.0,100
104,36.10833333333334,51.314722222222215,88.0,100
105,37.71722222222222,46.22277777777776,88.0,100
106,36.03055555555556,52.175000000000004,88.0,100
107,33.75972222222222,46.56833333333334,88.0,100
108,35.76194444444445,49.28222222222221,88.0,0
109,30.06833333333333,53.14777777777779,88.0,0
110,36.72,49.138888888888886,88.0,0
111,37.09166666666666,50.186111111111096,88.0,0
112,32.0,50.661111111111104,88.0,0
113,28.445555555555558,56.39833333333333,88.0,0
114,34.791944444444454,48.12805555555555,88.0,0
115,35.97138888888888,45.892222222222216,88.0,0
116,33.30777777777779,47.030000000000015,88.0,0
117,36.523333333333326,46.19055555555556,88.0,0
118,28.73305555555556,54.53527777777779,88.0,0
119,31.717777777777776,50.306388888888875,88.0,0
120,35.92777777777776,47.025000000000006,88.0,0
121,33.3,47.1,88.0,0
122,27.52499999999999,57.88055555555555,88.0,0
123,33.729166666666664,59.19166666666667,88.0,0
124,34.12861111111112,45.88805555555556,88.0,0
125,33.45000000000001,50.288888888888884,88.0,0
126,34.75833333333334,48.51611111111111,88.0,0
127,36.513888888888886,51.152777777777786,88.0,0
128,27.435,53.32277777777779,88.0,0
129,37.15611111111111,50.1,88.0,0
130,31.50833333333334,50.833333333333336,88.0,0
131,37.15722222222222,48.991666666666674,88.0,0
132,36.40555555555555,45.37083333333332,88.0,0
133,34.179166666666674,48.38999999999999,88.0,0
134,30.116666666666667,51.525000000000006,88.0,0
135,35.04055555555555,46.34833333333333,88.0,0
137,35.164166666666674,47.78527777777777,88.0,0
138,35.30833333333334,49.1,88.0,0
139,31.266666666666666,56.8,88.0,0
140,30.616666666666667,53.19166666666667,88.0,0
141,30.2575,51.97944444444445,88.0,0
143,33.93472222222221,49.40111111111111,88.0,0
144,31.188888888888883,52.52166666666665,88.0,0
145,30.449722222222213,53.36277777777778,88.0,0
146,36.4,47.11666666666667,88.0,0
147,34.55,48.45,88.0,0
148,30.651666666666664,51.596388888888896,88.0,0
149,37.222500000000004,45.28611111111112,88.0,0
154,27.914722222222228,52.12166666666668,88.1,500
155,32.7875,48.147222222222226,88.1,0
156,32.07777777777777,49.37166666666668,88.1,0
158,36.894444444444446,45.213055555555535,88.2,30000
159,28.88027777777777,56.03111111111112,88.2,26000
160,36.42750000000001,49.59027777777778,88.2,13000
161,29.095555555555556,58.3111111111111,88.2,2000
162,32.39444444444443,48.38333333333333,88.2,1500
163,28.981388888888894,50.83444444444444,88.2,500
164,32.7,47.266666666666666,88.2,300
165,38.583333333333336,45.808333333333316,88.2,180
166,34.46194444444444,48.187777777777775,88.2,100
167,34.33305555555556,50.488333333333344,88.2,0
168,27.897777777777776,53.44472222222222,88.2,0
169,39.166666666666664,47.55,88.2,0
170,35.13333333333333,49.708333333333336,88.2,0
171,34.16694444444444,50.697777777777766,88.2,0
172,35.02222222222222,50.325,88.2,0
173,36.671944444444435,54.176666666666655,88.3,230000
174,25.721388888888892,57.8025,88.3,150000
175,34.07749999999999,49.662499999999994,88.3,100000
176,38.21694444444444,48.70555555555555,88.3,83000
178,35.512499999999996,51.758888888888904,88.3,1000
179,39.65,47.916666666666664,88.3,1000
180,33.18472222222223,50.43694444444445,88.3,790
181,30.21833333333333,57.55027777777779,88.3,600
182,28.647777777777776,52.03972222222224,88.3,300
183,36.708333333333336,46.55888888888888,88.3,190
184,34.576388888888886,48.27499999999998,88.3,100
185,30.32805555555555,50.2038888888889,88.3,70
186,37.35833333333334,47.035833333333336,88.3,0
187,27.21055555555556,53.60833333333334,88.3,0
188,29.42916666666666,51.29305555555554,88.3,0
189,37.10527777777778,57.510555555555555,88.3,0
190,30.01805555555556,51.95777777777777,88.3,0
191,33.245833333333344,47.72944444444445,88.3,0
192,37.94166666666667,47.53333333333333,88.3,0
193,30.585555555555555,51.3686111111111,88.3,0
194,33.45416666666668,46.741666666666674,88.3,0
195,34.184444444444445,48.998333333333335,88.3,0
198,33.53777777777778,46.29972222222223,88.4,100000
199,30.712499999999995,49.843055555555566,88.4,96000
200,30.317500000000006,51.45416666666668,88.4,300
201,32.86666666666668,53.06666666666667,88.4,300
202,29.838333333333328,53.36694444444445,88.4,250
203,35.712500000000006,52.080555555555556,88.4,100
204,38.97388888888888,47.13638888888888,88.4,0
206,35.749722222222225,59.35472222222222,88.5,126000
207,38.906111111111116,45.18694444444445,88.5,87000
208,34.64083333333333,60.38333333333333,88.5,74000
209,29.929166666666674,55.7988888888889,88.5,58000
210,26.15222222222222,61.002777777777766,88.5,55000
211,34.659444444444446,50.7,88.5,50000
212,30.766388888888894,53.18499999999999,88.5,48000
213,36.557222222222215,48.42722222222223,88.5,37000
214,32.516666666666666,51.296944444444435,88.5,20000
215,31.88361111111112,54.40027777777778,88.5,17000
216,32.02472222222222,49.16944444444445,88.5,15000
217,30.292777777777783,55.82666666666666,88.5,11000
218,37.49611111111111,45.08833333333334,88.5,10000
219,36.58944444444445,51.60416666666666,88.5,3000
220,31.88638888888888,49.97472222222222,88.5,3000
221,38.36222222222221,45.84361111111111,88.5,2000
222,35.31666666666667,58.45,88.5,1690
223,32.76805555555556,59.86083333333334,88.5,1410
224,34.468888888888884,47.863333333333344,88.5,890
225,29.50638888888889,57.852500000000006,88.5,890
226,32.094444444444434,48.28333333333333,88.5,500
227,33.764166666666675,49.88500000000001,88.5,500
228,28.38694444444445,53.0225,88.5,300
229,35.86833333333335,52.564444444444455,88.5,100
230,33.85305555555555,49.347500000000004,88.5,0
231,35.94416666666666,45.93638888888891,88.5,0
232,36.82416666666666,58.50111111111111,88.5,0
233,29.0575,57.9238888888889,88.5,0
234,33.468333333333334,49.07444444444444,88.5,0
235,27.66694444444444,54.1411111111111,88.5,0
236,35.16055555555556,49.640277777777776,88.5,0
237,36.70944444444445,49.252500000000005,88.5,0
238,28.77444444444445,52.5063888888889,88.5,0
239,35.16888888888889,46.25472222222223,88.5,0
240,29.526111111111113,51.82972222222223,88.5,0
241,36.16388888888889,52.972222222222214,88.5,0
245,29.483333333333334,60.86666666666667,88.6,3000
246,27.59361111111111,53.85444444444444,88.6,250
247,36.44416666666666,50.58694444444445,88.6,0
248,35.38055555555555,49.99361111111111,88.6,0
249,29.933333333333334,56.56666666666667,88.6,0
250,28.816666666666666,52.98750000000002,88.6,0
251,27.776111111111113,54.00388888888887,88.6,0
252,35.20833333333333,48.71666666666667,88.6,0
253,34.802499999999995,46.936111111111124,88.6,0
254,32.34527777777779,49.09027777777778,88.6,0
255,36.81944444444444,50.19861111111109,88.6,0
256,36.166666666666664,57.04166666666667,88.6,0
257,36.67499999999999,54.56666666666667,88.6,0
258,29.056944444444444,52.62083333333332,88.6,0
261,28.592222222222226,51.15500000000001,88.7,100000
262,31.35,47.9,88.7,40000
263,34.75472222222223,48.82111111111111,88.7,13000
264,33.55500000000001,51.893888888888895,88.7,11000
265,30.02805555555555,53.009166666666665,88.7,3000
266,35.48388888888889,50.961944444444455,88.7,1000
267,36.56666666666668,53.05,88.7,500
268,36.232222222222205,53.56083333333334,88.7,150
269,36.812222222222225,49.44194444444445,88.7,150
270,35.93583333333333,51.46638888888889,88.7,100
271,36.17583333333333,53.32166666666667,88.7,0
272,29.924166666666665,57.51333333333332,88.7,0
273,34.528333333333336,49.99583333333333,88.7,0
274,38.43333333333333,48.86666666666667,88.7,0
275,31.526388888888885,49.88333333333333,88.7,0
276,39.39444444444443,48.35277777777776,88.7,0
277,32.259166666666665,50.567222222222235,88.7,0
278,34.43111111111112,48.69055555555556,88.7,0
279,33.016666666666666,59.561111111111124,88.7,0
280,37.4,57.93333333333333,88.7,0
281,38.86805555555555,46.002777777777766,88.7,0
287,37.67555555555555,45.97333333333333,88.8,12000
288,35.238888888888894,46.218888888888884,88.8,10000
289,33.44416666666666,48.00111111111111,88.8,3000
290,29.232777777777777,56.624444444444435,88.8,390
291,30.583333333333332,50.25,88.8,100
292,33.136944444444445,47.38444444444444,88.8,0
293,37.25944444444443,55.74527777777779,88.8,0
294,26.841666666666672,60.17222222222222,88.8,0
295,33.60416666666667,60.0,88.8,0
296,32.952777777777776,47.78472222222223,88.8,0
297,29.63277777777779,52.03666666666666,88.8,0
298,29.48305555555556,54.33638888888888,88.8,0
306,35.80083333333333,51.084722222222226,88.9,12000
307,36.31444444444445,53.21472222222224,88.9,100
308,38.67305555555554,45.588055555555556,88.9,0
309,37.9,55.96666666666667,88.9,0
314,32.879444444444445,52.39972222222222,89.0,195000
315,32.080833333333324,48.827222222222225,89.0,100000
316,38.5961111111111,47.18305555555556,89.0,98000
317,37.441111111111105,49.82999999999999,89.0,80000
318,36.60416666666667,59.9263888888889,89.0,63000
319,36.388055555555546,57.60611111111112,89.0,42000
320,27.713611111111117,52.22111111111111,89.0,40000
321,29.21527777777777,53.57777777777779,89.0,17000
322,28.97666666666667,58.882777777777775,89.0,16000
323,35.26111111111113,60.33111111111112,89.0,12000
324,33.564722222222215,48.90527777777777,89.0,12000
325,37.34722222222222,47.796944444444435,89.0,11000
326,37.238333333333344,58.48777777777777,89.0,7000
327,38.85,45.67777777777779,89.0,5000
328,37.62277777777777,58.49944444444444,89.0,4000
329,29.45,55.7,89.0,4000
330,36.83194444444445,54.40638888888888,89.0,3000
331,34.304722222222225,46.10583333333334,89.0,3000
332,31.434722222222227,60.12972222222223,89.0,1810
333,38.043055555555554,45.10111111111111,89.0,1580
334,27.74833333333333,54.46861111111113,89.0,1090
335,36.28944444444444,54.156111111111116,89.0,890
336,33.94444444444445,48.051388888888894,89.0,790
