Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
53.1115,-6.1229,50.005,30
52.5808,-6.0244,87.6,0
51.53,-8.28,87.7,500
54.54,-7.38,87.7,0
54.0448,-6.1917,87.8,40000
53.3028,-9.5619,87.8,500
53.3631,-9.4455,87.8,20
53.16,-9.03,87.9,1000
53.1446,-6.2836,88.1,1000
53.21,-6.16,88.1,0
54.2226,-8.2209,88.2,126000
51.4728,-8.1739,88.2,3000
51.383,-10,88.3,3000
52.2025,-7.4135,88.3,1000
55.1315,-7.0106,88.3,1000
52.1543,-7.0753,88.3,100
53.1726,-9.3319,88.4,2000
52.1246,-9.4239,88.4,1000
53.25,-7.56,88.4,100
53.33,-9.58,88.4,100
53.144,-6.1417,88.5,5000
52.035,-7.4334,88.5,3000
53.575,-6.222,88.5,0
52.1842,-8.1823,88.6,100
54.38,-8.23,88.6,0
51.3956,-9.2638,88.7,1000
51.5239,-8.2852,88.7,50
52.0832,-10.2535,88.7,50
52.39,-7.15,88.7,0
52.5806,-8.4306,88.8,158500
55.0806,-8.1032,88.8,150
53.21,-6.16,88.8,0
54.1106,-7.0143,88.9,2500
55.1931,-7.1733,88.9,2000
52.2227,-7.1552,89,3000
51.4152,-8.2951,89,10
53.104,-6.1953,89.1,50000
52.1142,-10.2215,89.1,30
54.5956,-7.2405,89.2,6000
51.5121,-8.3057,89.2,5000
52.3128,-9.3618,89.2,1000
53.5535,-9.2224,89.3,3000
53.254,-7.5602,89.3,20
52.4311,-8.4132,89.4,2500
52.0844,-8.1658,89.4,50
51.5205,-10.2002,89.5,3000
53.3028,-9.5619,89.5,3000
53.0855,-6.0602,89.5,1000
53.2,-6.15,89.5,50
53.2,-6.15,89.5,30
52.3704,-6.4645,89.6,200000
54.5859,-8.303,89.6,3000
54.473,-7.4458,89.7,500
52.5932,-9.2223,89.7,100
51.5415,-8.2807,89.7,50
53.4825,-7.4258,89.8,20000
55.1338,-7.3949,89.8,4000
52.4,-8.38,89.8,0
53.144,-6.1417,89.9,5000
53.5725,-10.0137,89.9,3000
51.59,-9.0839,90,158500
52.15,-7.06,90.1,0
52.4956,-7.5439,90.2,3000
53.2,-6.15,90.3,1000
54.2226,-8.2209,90.4,126000
51.4728,-8.1739,90.4,3000
54.0035,-6.2544,90.4,0
51.383,-10,90.5,3000
52.2025,-7.4135,90.5,1000
55.1315,-7.0106,90.5,1000
52.1543,-7.0753,90.5,100
53.1726,-9.3319,90.6,2000
52.1246,-9.4239,90.6,1000
53.144,-6.1417,90.7,5000
52.035,-7.4334,90.7,3000
52.1842,-8.1823,90.8,100
51.3956,-9.2638,90.9,1000
52.0832,-10.2535,90.9,50
51.53,-8.28,90.9,0
52.5806,-8.4306,91,158500
55.0806,-8.1032,91,150
54.1106,-7.0143,91.1,2500
55.1931,-7.1733,91.1,2000
52.2227,-7.1552,91.2,3000
51.4152,-8.2951,91.2,10
53.104,-6.1953,91.3,50000
52.1142,-10.2215,91.3,30
54.5956,-7.2405,91.4,6000
51.5121,-8.3057,91.4,5000
52.3128,-9.3618,91.4,1000
53.5535,-9.2224,91.5,3000
53.254,-7.5602,91.5,20
52.4311,-8.4132,91.6,2500
52.0844,-8.1658,91.6,50
51.5205,-10.2002,91.7,3000
53.3028,-9.5619,91.7,3000
53.0855,-6.0602,91.7,1000
53.16,-9.03,91.7,0
52.3704,-6.4645,91.8,200000
54.5859,-8.303,91.8,3000
54.473,-7.4458,91.9,500
52.5932,-9.2223,91.9,100
55.1338,-7.3949,92,4000
51.5415,-8.2807,92,50
53.5725,-10.0137,92.1,3000
53.144,-6.1417,92.1,500
51.59,-9.0839,92.2,158500
53.104,-6.482,92.2,0
52.4956,-7.5439,92.4,3000
53.5535,-9.2224,92.4,0
53.2,-6.15,92.5,25
