,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,31.854166666666668,35.12500000000001,50.08,5
1,31.777499999999996,35.09722222222222,87.6,40000
2,32.97027777777778,35.51111111111111,87.6,40000
3,30.60305555555556,34.786666666666676,87.6,1000
4,30.019722222222214,35.06,87.6,0
5,32.07194444444443,34.81583333333334,88.0,8000
6,33.195277777777775,35.5461111111111,88.0,1000
7,31.78472222222223,35.20249999999999,88.0,0
8,32.59111111111112,35.52055555555555,88.0,0
9,30.60305555555556,34.786666666666676,88.0,0
10,32.708333333333336,35.32472222222222,88.0,0
11,31.653611111111115,35.15166666666668,88.2,8000
12,30.586666666666662,35.10722222222223,88.2,0
13,32.98111111111111,35.278333333333336,88.2,0
14,31.204722222222223,34.79166666666666,88.5,5000
15,32.74611111111111,35.032777777777774,88.5,1000
16,29.55,34.95,88.5,0
17,31.777499999999996,35.09722222222222,88.8,40000
18,32.97027777777778,35.51111111111111,88.8,40000
19,32.74611111111111,35.032777777777774,88.8,2000
20,31.833333333333332,34.666666666666664,89.1,0
21,31.766666666666666,35.21666666666668,89.3,0
22,31.74555555555556,34.995555555555555,89.5,0
23,31.26055555555556,35.23444444444444,89.7,10000
24,32.07194444444443,34.81583333333334,89.7,8000
25,29.55,34.95,89.7,1000
26,32.59111111111112,35.52055555555555,89.7,1000
27,31.78472222222223,35.20249999999999,89.7,0
28,31.521111111111107,34.57,89.7,0
29,32.45000000000001,34.92777777777776,90.0,6300
30,31.766666666666666,35.21666666666668,90.2,0
31,31.26055555555556,35.23444444444444,90.5,10000
32,32.49000000000001,35.11000000000001,90.5,8000
33,31.653611111111115,35.15166666666668,90.5,0
34,32.98111111111111,35.278333333333336,90.5,0
35,32.59111111111112,35.52055555555555,90.8,40000
36,31.521111111111107,34.57,90.8,0
37,32.07194444444443,34.81583333333334,90.8,0
38,31.966666666666665,34.811111111111096,91.0,5000
39,31.777499999999996,35.09722222222222,91.3,40000
40,32.97027777777778,35.51111111111111,91.3,40000
41,30.019722222222214,35.06,91.3,2000
42,32.750000000000014,35.666666666666664,91.5,5000
43,31.469999999999995,35.394444444444446,91.6,0
44,31.777499999999996,35.09722222222222,91.8,40000
45,32.59111111111112,35.52055555555555,91.8,1000
46,30.586666666666662,35.10722222222223,91.8,0
47,31.766666666666666,35.21666666666668,92.1,0
48,31.204722222222223,34.79166666666666,92.3,100000
49,32.74611111111111,35.032777777777774,92.3,80000
50,29.55,34.95,92.3,0
51,31.777499999999996,35.09722222222222,92.5,40000
52,32.96527777777777,35.52166666666666,92.5,0
53,31.78472222222223,35.20249999999999,92.8,0
54,31.777499999999996,35.09722222222222,93.0,3200
55,32.08749999999999,34.97055555555556,93.3,5000
56,30.019722222222214,35.06,93.5,0
57,32.96527777777777,35.52166666666666,93.5,0
58,32.07194444444443,34.81583333333334,93.5,0
59,32.49000000000001,35.11000000000001,93.7,40000
60,31.653611111111115,35.15166666666668,93.7,8000
61,32.708333333333336,35.32472222222222,93.7,0
62,33.166666666666664,35.55,93.9,5000
63,32.06666666666667,34.78333333333333,94.0,0
64,32.74611111111111,35.032777777777774,94.5,80000
65,29.55,34.95,94.5,4000
66,31.204722222222223,34.79166666666666,94.5,0
67,32.06666666666667,34.78333333333333,94.5,0
68,32.63333333333335,34.93333333333333,94.7,0
69,33.20416666666666,35.539722222222224,94.8,1000
70,32.59111111111112,35.52055555555555,95.0,40000
71,30.60305555555556,34.786666666666676,95.0,20000
72,32.91416666666666,35.117222222222225,95.0,4000
73,32.07194444444443,34.81583333333334,95.0,4000
74,32.74611111111111,35.032777777777774,95.0,2000
75,33.195277777777775,35.5461111111111,95.0,1000
76,31.78472222222223,35.20249999999999,95.0,0
77,31.521111111111107,34.57,95.0,0
78,32.49000000000001,35.11000000000001,95.2,40000
79,30.667500000000004,35.22416666666667,95.2,4000
80,30.586666666666662,35.10722222222223,95.2,1000
81,31.653611111111115,35.15166666666668,95.2,0
82,32.708333333333336,35.32472222222222,95.2,0
83,32.98111111111111,35.278333333333336,95.2,0
84,31.777499999999996,35.09722222222222,95.5,40000
85,32.97027777777778,35.51111111111111,95.5,40000
86,30.019722222222214,35.06,95.5,1000
87,33.195277777777775,35.5461111111111,95.7,1000
88,31.716666666666665,34.65,95.8,0
89,30.586666666666662,35.10722222222223,95.8,0
90,30.60305555555556,34.786666666666676,96.0,4000
91,32.7,35.28333333333333,96.0,3000
92,32.08749999999999,34.97055555555556,96.3,0
93,31.777499999999996,35.09722222222222,96.6,40000
94,30.019722222222214,35.06,96.6,0
95,32.96527777777777,35.52166666666666,96.6,0
96,31.204722222222223,34.79166666666666,97.0,6300
97,32.59111111111112,35.52055555555555,97.2,5000
98,32.07194444444443,34.81583333333334,97.2,5000
99,33.195277777777775,35.5461111111111,97.2,1000
100,30.586666666666662,35.10722222222223,97.2,1000
101,31.78472222222223,35.20249999999999,97.2,0
102,30.60305555555556,34.786666666666676,97.2,0
103,31.653611111111115,35.15166666666668,97.5,8000
104,30.667500000000004,35.22416666666667,97.5,4000
105,30.586666666666662,35.10722222222223,97.5,1000
106,32.63333333333335,34.93333333333333,97.5,500
107,32.708333333333336,35.32472222222222,97.5,0
108,32.98111111111111,35.278333333333336,97.5,0
109,31.777499999999996,35.09722222222222,97.8,40000
110,32.97027777777778,35.51111111111111,97.8,40000
111,30.019722222222214,35.06,97.8,1000
112,32.49000000000001,35.11000000000001,98.1,0
113,32.98111111111111,35.278333333333336,98.1,0
114,32.74611111111111,35.032777777777774,98.5,80000
115,31.204722222222223,34.79166666666666,98.5,10000
116,29.55,34.95,98.5,1000
117,32.2111111111111,34.92777777777776,99.0,4000
118,32.91416666666666,35.117222222222225,99.3,4000
119,32.97027777777778,35.51111111111111,99.3,4000
120,31.78472222222223,35.20249999999999,99.3,0
121,31.521111111111107,34.57,99.3,0
122,32.63333333333335,34.93333333333333,99.5,0
123,31.469999999999995,35.394444444444446,99.6,0
124,31.365,34.718333333333334,99.8,100000
125,33.23555555555556,35.56833333333334,99.8,0
126,32.08749999999999,34.97055555555556,100.0,6300
127,32.97027777777778,35.51111111111111,100.3,40000
128,31.777499999999996,35.09722222222222,100.3,5000
129,31.653611111111115,35.15166666666668,100.5,0
130,32.49000000000001,35.11000000000001,100.5,0
131,32.708333333333336,35.32472222222222,100.5,0
132,32.74611111111111,35.032777777777774,100.7,80000
133,30.60305555555556,34.786666666666676,100.7,5000
134,29.55,34.95,100.7,4000
135,31.516666666666666,34.6,100.7,4000
136,31.204722222222223,34.79166666666666,100.7,800
137,32.704166666666666,35.27499999999999,101.0,8000
138,31.766666666666666,35.21666666666668,101.0,4000
139,30.019722222222214,35.06,101.1,0
140,32.91416666666666,35.117222222222225,101.3,40000
141,31.26055555555556,35.23444444444444,101.3,10000
142,31.78472222222223,35.20249999999999,101.3,2000
143,32.59111111111112,35.52055555555555,101.3,1000
144,30.60305555555556,34.786666666666676,101.3,0
145,30.586666666666662,35.10722222222223,101.3,0
146,31.521111111111107,34.57,101.3,0
147,32.07194444444443,34.81583333333334,101.3,0
148,32.96666666666667,35.46666666666667,101.5,5000
149,31.616666666666667,34.766666666666666,101.5,0
150,33.016666666666666,35.28333333333333,101.5,0
151,31.204722222222223,34.79166666666666,101.8,4000
152,29.55,34.95,101.8,0
153,32.74611111111111,35.032777777777774,101.8,0
154,29.555000000000007,34.95138888888889,102.0,4000
155,32.06666666666667,34.78333333333333,102.0,4000
156,31.365,34.718333333333334,102.3,100000
157,32.74611111111111,35.032777777777774,102.3,40000
158,31.653611111111115,35.15166666666668,102.3,0
159,30.586666666666662,35.10722222222223,102.3,0
160,31.2,34.78333333333333,102.5,0
161,31.78472222222223,35.20249999999999,102.5,0
162,32.06666666666667,34.81666666666667,103.0,8000
163,32.703611111111115,35.29666666666665,103.3,0
164,32.7,35.11666666666667,103.6,0
165,32.13388888888889,34.84388888888888,103.6,0
166,31.89944444444444,34.816388888888895,103.6,0
167,32.59111111111112,35.52055555555555,104.0,10000
168,32.07194444444443,34.81583333333334,104.0,1000
169,33.23555555555556,35.56833333333334,104.0,800
170,29.55,34.95,104.0,300
171,33.23555555555556,35.56833333333334,104.1,4000
172,30.60305555555556,34.786666666666676,104.3,1000
173,32.06666666666667,34.78333333333333,104.3,0
174,33.25,35.666666666666664,104.5,800
175,32.63333333333335,34.93333333333333,104.5,0
176,32.74611111111111,35.032777777777774,104.7,2000
177,31.204722222222223,34.79166666666666,104.7,0
178,29.55,34.95,104.7,0
179,31.583333333333332,34.65,104.8,20000
180,32.96527777777777,35.52166666666666,104.8,4000
181,32.59111111111112,35.52055555555555,104.9,2000
182,33.195277777777775,35.5461111111111,104.9,2000
183,32.07194444444443,34.81583333333334,104.9,1000
184,32.91416666666666,35.117222222222225,104.9,0
185,31.78472222222223,35.20249999999999,104.9,0
186,31.777499999999996,35.09722222222222,105.1,40000
187,32.97027777777778,35.51111111111111,105.1,40000
188,31.653611111111115,35.15166666666668,105.3,8000
189,31.204722222222223,34.79166666666666,105.5,80000
190,32.74611111111111,35.032777777777774,105.5,80000
191,31.766666666666666,35.21666666666668,105.7,0
192,32.7,34.98333333333335,106.0,4000
193,31.333333333333332,34.750000000000014,106.0,800
194,32.0138888888889,34.79166666666666,106.0,800
195,31.416666666666668,34.666666666666664,106.0,800
196,32.666666666666664,35.583333333333336,106.0,800
197,33.195277777777775,35.5461111111111,106.0,400
198,31.083333333333332,35.033333333333346,106.0,120
199,31.916666666666668,34.833333333333336,106.0,120
200,31.766666666666666,35.21666666666668,106.0,0
201,31.966666666666665,34.811111111111096,106.0,0
