,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
2,46.08777777777778,12.5325,48.5,0
3,37.979166666666664,12.708055555555555,50.001,0
4,41.9375,12.541666666666668,50.004,10
5,38.14555555555556,15.541666666666668,50.006,10
6,45.39555555555556,10.958055555555557,50.035,0
7,40.64555555555555,17.958055555555557,50.037,0
8,38.0625,14.958055555555557,50.057,0
9,41.9375,12.541666666666668,50.35,0
10,45.22916666666668,11.791666666666668,50.401,10
11,39.3125,16.291666666666664,50.401,2
12,42.0625,11.791666666666668,50.402,0
13,36.812499999999986,11.958055555555557,50.403,0
14,42.9375,10.791666666666668,50.406,3
15,36.770555555555546,12.041666666666666,50.407,5
16,46.02083333333333,12.375000000000002,50.41,0
17,38.18749999999999,16.208333333333336,50.413,0
18,38.854166666666664,16.625000000000004,50.413,0
19,41.27055555555555,13.791666666666668,50.415,0
20,45.14555555555556,7.875,50.419,12
21,44.770555555555546,10.041666666666666,50.42,6
22,41.27055555555555,13.791666666666668,50.423,3
23,41.9375,12.541666666666668,50.425,1
24,45.39555555555556,10.958055555555557,50.429,0
25,39.43749999999999,16.208055555555557,50.43,1
26,42.9375,10.541666666666668,50.44,0
27,39.22916666666668,9.208055555555553,50.448,5
28,44.854166666666664,11.624999999999998,50.449,7
29,38.895833333333336,16.625000000000004,50.452,0
30,41.687499999999986,12.624999999999998,50.453,8
31,41.687499999999986,12.624999999999998,50.457,2
32,44.812499999999986,10.291666666666666,50.459,8
33,40.22916666666668,15.041666666666666,50.469,0
34,44.02055555555556,10.041666666666666,50.474,0
35,45.10416666666667,11.624999999999998,50.477,5
37,39.65666666666667,15.875555555555554,50.75,0
38,37.077777777777776,14.251388888888886,51.0,0
39,38.10000000000001,15.650000000000002,51.25,0
40,43.56666666666668,12.133333333333333,52.1,0
41,44.78194444444444,10.866944444444442,52.5,0
42,43.56666666666668,12.133333333333333,52.5,0
43,41.65277777777777,13.472222222222223,52.55,100
44,37.613333333333344,15.158055555555556,52.8,0
45,41.25444444444445,13.604444444444441,52.8,0
46,42.47888888888888,14.195,52.9,0
47,39.67777777777777,16.350000000000005,53.0,0
49,44.42944444444445,10.820555555555556,53.5,0
50,37.613333333333344,15.158055555555556,53.6,0
51,41.91027777777778,12.57111111111111,54.37,0
52,42.400000000000006,12.86111111111111,55.0,0
53,39.67777777777777,16.350000000000005,55.0,0
55,41.91111111111111,12.494444444444442,55.7,0
56,44.37777777777777,8.577777777777778,56.0,0
58,42.45111111111112,12.983888888888886,56.5,0
59,45.870555555555555,9.411111111111111,56.57,0
60,44.05,8.216666666666669,56.6,0
61,37.72777777777778,15.194444444444443,56.7,0
62,43.97166666666667,10.798611111111112,56.8,0
63,45.56916666666666,11.399166666666664,56.82,0
64,41.91111111111111,12.494444444444442,57.8,0
65,38.11666666666667,13.366666666666669,58.2,0
66,41.91111111111111,12.494444444444442,58.45,0
70,40.74444444444444,14.633333333333335,60.0,0
71,39.14444444444444,8.31111111111111,60.4,0
72,40.63333333333334,15.800000000000002,60.4,0
73,37.511111111111106,15.083333333333336,61.0,0
74,39.57000000000001,8.658055555555553,61.0,0
75,45.65,13.783333333333335,61.0,0
77,44.461388888888884,11.151666666666667,61.3,0
78,42.56666666666668,12.627777777777775,61.35,0
79,42.038611111111116,13.426944444444445,61.5,0
81,42.56666666666668,12.627777777777775,62.4,0
82,45.65,13.783333333333335,64.4,0
83,45.78388888888888,11.917777777777776,64.5,0
84,40.63333333333334,15.800000000000002,64.6,0
85,41.44861111111111,12.630555555555556,65.0,0
86,42.10000000000001,13.894444444444444,65.33,0
88,37.511111111111106,15.083333333333336,66.0,0
90,37.51666666666667,15.100000000000001,66.35,0
91,42.80194444444444,12.56861111111111,66.5,0
92,37.511111111111106,15.083333333333336,66.8,0
93,42.80194444444444,12.56861111111111,67.5,0
95,42.08194444444444,13.799166666666666,68.3,0
96,42.19305555555556,13.771388888888891,68.7,0
97,38.11666666666667,13.366666666666669,83.5,0
98,37.513333333333335,13.081944444444446,84.0,25
100,45.65388888888888,9.194166666666664,86.0,0
101,45.540833333333325,8.848333333333333,86.2,0
102,45.6586111111111,9.255555555555553,86.5,0
104,45.45249999999999,8.861111111111109,86.7,0
105,45.69888888888888,8.462499999999999,87.0,0
106,45.431111111111115,8.734166666666667,87.0,0
107,45.46666666666667,8.831111111111113,87.1,0
108,43.97166666666667,10.798611111111112,87.3,2000
109,46.08166666666667,12.542499999999999,87.5,100000
110,45.70638888888889,9.376666666666665,87.5,79400
111,45.76777777777777,9.56722222222222,87.5,79400
112,44.352777777777774,11.48722222222222,87.5,63100
113,42.94111111111111,11.871388888888887,87.5,63100
114,45.477500000000006,9.195555555555556,87.5,39800
115,44.759722222222216,9.917499999999999,87.5,39800
116,43.34944444444446,12.77388888888889,87.5,32000
117,45.47111111111111,11.00138888888889,87.5,25100
118,44.464999999999996,11.246666666666666,87.5,15800
119,43.843055555555566,11.24722222222222,87.5,12600
120,43.6525,11.60277777777778,87.5,10000
121,40.82777777777778,14.394999999999998,87.5,10000
122,43.19722222222222,13.766388888888889,87.5,10000
123,37.57250000000001,15.123611111111112,87.5,10000
124,41.723333333333336,14.89111111111111,87.5,7900
125,37.91333333333334,15.340555555555557,87.5,7900
126,43.74861111111112,10.555555555555559,87.5,6300
127,41.7113888888889,15.676944444444446,87.5,6300
128,39.06527777777777,8.450555555555557,87.5,6300
129,38.08722222222223,13.527777777777779,87.5,6300
130,43.456111111111106,11.774722222222222,87.5,5000
131,42.4425,12.431388888888888,87.5,4000
132,42.69444444444444,13.621944444444445,87.5,4000
133,38.16027777777777,14.750555555555557,87.5,3200
134,39.85861111111112,9.518055555555554,87.5,3200
135,38.25277777777779,15.238333333333332,87.5,3200
136,42.11944444444444,14.235833333333334,87.5,3200
137,42.655555555555566,12.723888888888892,87.5,3200
138,44.45444444444445,11.349444444444446,87.5,2500
139,45.843611111111116,9.381111111111109,87.5,2500
140,43.917777777777786,10.29472222222222,87.5,2000
141,45.544999999999995,10.277222222222223,87.5,1600
142,40.66944444444445,15.91472222222222,87.5,1600
143,43.45249999999999,12.206944444444446,87.5,1300
144,40.712777777777774,14.659999999999998,87.5,1300
145,45.826666666666675,9.276666666666669,87.5,1000
146,40.62333333333333,17.394722222222224,87.5,1000
147,40.67472222222223,14.709166666666665,87.5,790
148,46.70027777777778,11.131944444444445,87.5,630
149,40.67972222222222,14.919999999999998,87.5,630
150,46.027777777777786,11.059444444444447,87.5,630
151,40.340833333333336,15.901111111111112,87.5,630
152,42.36194444444445,12.17333333333333,87.5,500
153,41.315,16.273333333333337,87.5,400
154,44.325277777777785,9.30138888888889,87.5,400
155,42.8875,13.892500000000002,87.5,400
156,45.95527777777778,9.91388888888889,87.5,320
157,44.20361111111111,11.214166666666666,87.5,320
158,40.04666666666666,15.699166666666665,87.5,250
159,40.66694444444445,16.639444444444447,87.5,200
160,45.680833333333325,11.283888888888887,87.5,200
161,36.91305555555555,14.568888888888887,87.5,100
162,41.80944444444445,14.486666666666666,87.5,63
163,45.89861111111111,11.695833333333335,87.5,63
164,38.14861111111112,16.17666666666667,87.5,50
165,40.81388888888888,14.79722222222222,87.5,50
166,40.92666666666667,14.745277777777778,87.5,5
167,39.02777777777777,16.76666666666667,87.5,0
168,40.56805555555555,15.49638888888889,87.5,0
169,37.58805555555556,14.27611111111111,87.5,0
170,41.54388888888888,14.659444444444444,87.5,0
171,41.586666666666666,14.667777777777776,87.5,0
172,40.25138888888889,14.972222222222225,87.5,0
173,41.540000000000006,14.309722222222224,87.5,0
174,41.540000000000006,14.309722222222224,87.5,0
175,41.8836111111111,13.468888888888888,87.5,0
176,39.01388888888889,16.218611111111112,87.5,0
177,45.99361111111111,8.724722222222223,87.5,0
178,40.34444444444445,18.18305555555555,87.5,0
179,38.19416666666667,15.572222222222223,87.5,0
180,40.273611111111116,15.705555555555556,87.5,0
181,40.91555555555556,14.991666666666665,87.5,0
182,37.990277777777784,16.011944444444445,87.5,0
183,42.00111111111111,14.850833333333336,87.5,0
184,36.93777777777777,14.728611111111112,87.5,0
185,37.83055555555555,15.0,87.5,0
186,41.7113888888889,15.676944444444446,87.5,0
187,39.2961111111111,16.965555555555557,87.5,0
188,38.95111111111111,16.51638888888889,87.5,0
189,41.472777777777786,15.115277777777777,87.5,0
190,44.070555555555565,10.06472222222222,87.55,25100
191,46.10000000000001,12.16111111111111,87.55,160
192,45.93666666666666,12.023333333333333,87.6,125900
193,40.866666666666674,14.216666666666669,87.6,100000
194,40.67083333333333,14.474444444444444,87.6,100000
195,41.7561111111111,12.71,87.6,63100
196,44.464999999999996,11.345555555555555,87.6,25100
197,41.5461111111111,13.304722222222221,87.6,25100
198,44.43138888888888,10.990833333333335,87.6,25100
199,45.8836111111111,13.536666666666665,87.6,25100
200,46.493333333333325,13.56722222222222,87.6,25100
201,38.03666666666667,12.581666666666665,87.6,20000
202,42.43555555555556,14.235277777777778,87.6,12600
203,41.389722222222225,13.803888888888892,87.6,12600
204,45.745000000000005,10.031944444444443,87.6,10000
205,42.922777777777775,10.54,87.6,10000
206,41.16638888888889,14.596944444444446,87.6,10000
207,45.02027777777777,7.706388888888889,87.6,7900
208,45.66333333333332,8.082777777777777,87.6,7900
209,41.69777777777777,13.024444444444446,87.6,6300
210,40.55305555555555,14.225833333333334,87.6,5000
211,40.863888888888894,16.761944444444445,87.6,5000
212,45.875555555555565,11.55777777777778,87.6,5000
213,44.444444444444436,8.91472222222222,87.6,5000
214,42.34027777777778,13.373888888888889,87.6,5000
215,45.973333333333336,8.976666666666668,87.6,4000
216,45.910833333333336,8.63722222222222,87.6,4000
217,41.59527777777779,12.951944444444445,87.6,3200
218,39.86861111111111,16.470833333333335,87.6,3200
219,40.484166666666674,15.453888888888887,87.6,3200
220,44.16499999999999,8.316944444444442,87.6,2500
221,41.88666666666666,15.959166666666665,87.6,2000
222,39.159166666666664,8.965555555555554,87.6,1600
223,44.73833333333334,8.026111111111113,87.6,1600
224,46.47027777777778,11.353888888888887,87.6,1300
225,45.95250000000001,9.104166666666668,87.6,1260
226,39.53944444444445,16.37472222222222,87.6,1000
227,41.46194444444444,13.296111111111111,87.6,1000
228,44.87333333333333,8.248055555555556,87.6,1000
229,46.604166666666664,11.50888888888889,87.6,1000
230,38.93611111111111,16.560000000000002,87.6,1000
231,39.384166666666665,16.53388888888889,87.6,1000
232,46.16722222222222,10.805833333333336,87.6,1000
233,45.405833333333334,9.553055555555554,87.6,1000
234,40.535833333333336,16.50027777777778,87.6,1000
235,44.644166666666656,7.4894444444444455,87.6,1000
236,40.57305555555556,15.581944444444442,87.6,1000
237,39.58472222222222,15.891388888888887,87.6,800
238,42.67916666666666,13.207777777777777,87.6,790
239,41.7725,13.18972222222222,87.6,790
240,42.70805555555555,13.103333333333332,87.6,790
241,41.8213888888889,15.559722222222225,87.6,790
242,42.546666666666674,12.703333333333335,87.6,640
243,45.80638888888889,13.53472222222222,87.6,630
244,45.524166666666666,10.078888888888887,87.6,585
245,40.79916666666667,15.915833333333333,87.6,500
246,40.90583333333333,8.767222222222225,87.6,500
247,46.16722222222222,11.85222222222222,87.6,500
248,45.77861111111111,7.332500000000001,87.6,500
249,46.42416666666666,12.043333333333333,87.6,500
250,45.61083333333334,7.746944444444443,87.6,400
251,44.17777777777777,9.58888888888889,87.6,400
252,45.41583333333333,7.6272222222222235,87.6,400
253,45.648333333333326,10.26638888888889,87.6,400
254,38.42805555555556,16.411388888888887,87.6,400
255,44.10444444444444,9.76472222222222,87.6,400
256,42.5336111111111,12.690833333333332,87.6,400
257,40.683888888888895,16.001388888888886,87.6,400
258,45.60055555555555,9.941388888888891,87.6,350
259,44.116111111111124,10.253888888888891,87.6,320
260,43.79472222222222,7.590555555555555,87.6,320
261,39.88416666666666,15.976666666666668,87.6,316
262,46.519166666666656,12.495,87.6,260
263,36.928055555555545,15.083055555555553,87.6,200
264,46.41972222222222,12.872222222222224,87.6,200
265,45.683611111111105,10.189999999999998,87.6,200
266,44.25750000000001,9.501111111111111,87.6,200
267,45.02499999999999,6.881944444444445,87.6,200
268,44.94972222222221,6.886666666666667,87.6,200
269,40.567777777777785,8.321944444444446,87.6,160
270,46.04666666666666,9.756388888888887,87.6,160
271,45.13916666666666,7.007777777777777,87.6,160
272,46.08138888888889,11.573055555555555,87.6,160
273,44.24388888888889,11.508333333333336,87.6,130
274,45.85444444444445,7.935833333333334,87.6,100
275,44.43583333333333,9.35972222222222,87.6,100
276,39.28333333333334,16.266666666666666,87.6,100
277,44.1661111111111,8.333055555555555,87.6,100
278,46.860555555555564,11.521666666666667,87.6,100
279,40.87222222222222,15.541388888888891,87.6,100
280,46.542500000000004,12.104999999999999,87.6,79
281,41.84111111111112,14.099444444444444,87.6,79
282,43.96,8.167500000000002,87.6,63
283,46.231111111111105,11.974722222222224,87.6,63
284,35.50888888888888,12.617777777777778,87.6,50
285,46.894999999999996,11.48472222222222,87.6,50
286,42.80444444444444,13.427777777777775,87.6,40
287,38.89777777777778,8.862222222222222,87.6,40
288,44.20333333333334,7.581111111111111,87.6,40
289,41.71750000000001,13.614166666666666,87.6,40
290,44.51888888888889,7.934444444444443,87.6,32
291,44.39138888888889,7.826944444444443,87.6,32
292,40.273333333333326,15.705555555555556,87.6,32
293,45.70861111111111,7.141388888888891,87.6,25
294,39.02777777777777,16.76666666666667,87.6,20
295,45.83055555555555,10.403055555555554,87.6,20
296,42.14444444444444,13.51666666666667,87.6,20
297,40.6625,15.795,87.6,16
298,38.12166666666668,13.148888888888887,87.6,0
299,42.358333333333334,12.971944444444443,87.6,0
300,41.8836111111111,13.468888888888888,87.6,0
301,40.19416666666667,16.425,87.6,0
302,39.043611111111105,16.316111111111113,87.6,0
303,40.80444444444444,16.40416666666666,87.6,0
304,40.80444444444444,16.40416666666666,87.6,0
305,43.89444444444444,8.022777777777778,87.6,0
306,38.032500000000006,15.707500000000001,87.6,0
307,40.92250000000001,9.501944444444447,87.6,0
308,44.938888888888876,7.070833333333334,87.6,0
309,45.69833333333332,10.408055555555558,87.6,0
310,38.13249999999999,15.666388888888887,87.6,0
311,38.13249999999999,15.666388888888887,87.6,0
312,39.18222222222223,16.34388888888889,87.6,0
313,40.00027777777779,16.58972222222222,87.6,0
314,40.00027777777779,16.58972222222222,87.6,0
315,40.73027777777778,8.51138888888889,87.6,0
316,41.66972222222222,13.851666666666667,87.6,0
317,45.68444444444445,8.707777777777778,87.6,0
318,40.38250000000001,15.543055555555553,87.6,0
319,41.29333333333333,13.255833333333335,87.6,0
320,45.12861111111111,6.692222222222222,87.6,0
321,46.46666666666667,10.366666666666669,87.6,0
322,45.315277777777766,8.42638888888889,87.6,0
323,44.352777777777774,11.48722222222222,87.7,63100
324,45.255,11.667499999999999,87.7,50100
325,45.755833333333335,9.375000000000002,87.7,50100
326,46.105277777777786,13.485833333333334,87.7,25100
327,40.15861111111111,8.6325,87.7,25100
328,44.464999999999996,11.246666666666666,87.7,20000
329,40.85750000000001,14.204444444444446,87.7,15800
330,40.82861111111112,14.394999999999998,87.7,15800
331,45.56833333333334,9.985277777777776,87.7,15800
332,41.472777777777786,15.115277777777777,87.7,15800
333,43.59527777777779,13.476666666666667,87.7,10000
334,42.551666666666655,13.09638888888889,87.7,10000
335,41.32722222222223,13.288611111111113,87.7,6400
336,43.86416666666666,12.91472222222222,87.7,6300
337,45.782222222222224,9.80027777777778,87.7,4000
338,45.47055555555555,10.301111111111114,87.7,4000
339,42.065000000000005,13.877777777777776,87.7,4000
340,38.043611111111105,13.307222222222226,87.7,3200
341,45.60111111111111,13.740555555555556,87.7,3200
342,44.02944444444445,12.541111111111114,87.7,3200
343,39.90444444444445,18.309166666666666,87.7,2000
344,46.78888888888889,11.937500000000002,87.7,2000
345,41.46305555555556,14.721388888888887,87.7,2000
346,45.255,10.299722222222224,87.7,2000
347,45.728611111111114,9.665555555555557,87.7,2000
348,46.54333333333333,10.991111111111111,87.7,2000
349,45.56972222222222,10.242777777777777,87.7,1300
350,42.97083333333333,13.865277777777775,87.7,1300
351,43.86944444444445,7.7425,87.7,1300
352,43.93166666666666,12.191944444444443,87.7,1260
353,42.039444444444435,14.388611111111109,87.7,1000
354,40.34444444444445,18.18305555555555,87.7,1000
355,42.394444444444446,11.180277777777778,87.7,1000
356,38.43916666666665,16.29416666666667,87.7,1000
357,45.40194444444443,9.923333333333334,87.7,1000
358,36.80972222222222,11.955555555555552,87.7,1000
359,39.19722222222222,16.446111111111115,87.7,1000
360,40.22472222222222,15.987499999999999,87.7,1000
361,37.6175,13.607777777777777,87.7,1000
362,38.23388888888889,15.711666666666668,87.7,1000
363,45.975277777777784,11.816944444444443,87.7,1000
