,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,8.133333333333333,-2.783333333333332,87.6,10000
1,7.381388888888888,-4.800555555555557,87.6,1000
2,5.319444444444445,-2.345000000000001,87.7,1000
3,6.027222222222222,-3.8199999999999994,87.7,500
4,5.930000000000001,-2.534722222222223,87.7,0
5,9.545277777777777,-5.640555555555554,87.9,3500
6,6.73,-1.8074999999999997,87.9,2000
7,4.918611111111111,-5.816111111111111,87.9,500
8,5.319444444444445,-2.345000000000001,88.0,8000
9,6.572500000000001,-6.329444444444441,88.0,5000
10,6.842222222222221,-3.5811111111111127,88.1,1000
11,8.051388888888887,-4.508055555555557,88.1,0
12,5.363333333333334,-2.3147222222222235,88.3,1000
13,9.265555555555554,-1.3211111111111111,88.3,0
14,6.761388888888892,-5.18777777777778,88.3,0
15,6.484166666666666,-2.1758333333333333,88.4,4500
16,9.140277777777778,-5.927777777777779,88.4,0
17,5.363333333333334,-2.3147222222222235,88.6,1000
18,6.11638888888889,-4.260555555555554,88.6,1000
19,7.158333333333332,-4.630555555555555,88.6,0
20,7.960555555555556,-4.9961111111111105,88.7,3500
21,7.693888888888889,-3.346944444444445,88.8,5000
22,5.874722222222221,-5.778333333333334,88.8,4500
23,5.416944444444444,-2.3447222222222233,88.9,1000
24,7.42861111111111,-4.361666666666668,89.0,5000
25,9.588055555555554,-3.701944444444445,89.1,5000
26,5.344166666666666,-2.3891666666666667,89.1,1000
27,5.463333333333334,-1.5241666666666667,89.2,5000
28,7.412777777777778,-5.8661111111111115,89.2,0
29,7.319444444444445,-3.011111111111111,89.3,0
30,5.363333333333334,-2.3147222222222235,89.4,1000
31,6.554722222222221,-3.338333333333333,89.4,0
32,6.629999999999997,-4.2383333333333315,89.5,5000
33,7.693888888888889,-3.346944444444445,89.5,500
34,9.989722222222223,-6.164166666666665,89.6,5000
35,5.786666666666667,-4.911111111111112,89.6,5000
36,7.960555555555556,-4.9961111111111105,89.6,1000
37,9.614999999999998,-2.0,89.7,10000
38,7.486944444444444,-1.5733333333333324,89.7,5000
39,5.302777777777778,-2.2808333333333333,89.7,1000
40,8.13611111111111,-3.422500000000001,89.7,0
41,6.650277777777777,-3.029444444444444,89.8,5000
42,5.258333333333332,-3.3291666666666684,89.8,0
43,9.077777777777774,-3.493333333333334,89.9,0
44,4.756388888888889,-4.965833333333333,90.0,5000
45,5.363333333333334,-2.3147222222222235,90.0,2000
46,5.930000000000001,-2.534722222222223,90.0,0
47,9.519166666666667,-4.803333333333333,90.0,0
48,5.672222222222223,-2.8974999999999986,90.0,0
