,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,18.0775,-76.7027777777778,88.1,8000
1,18.410555555555554,-77.86888888888886,88.1,0
2,18.089444444444442,-77.58805555555553,88.3,4000
3,18.493888888888893,-77.84916666666668,88.5,4000
4,17.994444444444444,-76.80000000000001,88.5,1000
5,18.29361111111111,-77.0027777777778,88.7,0
7,17.96638888888889,-76.78027777777778,88.9,100
8,18.165000000000003,-77.35499999999999,88.9,0
9,18.39611111111111,-76.93027777777779,89.1,4000
10,18.06388888888889,-77.52,89.3,4000
11,18.42,-77.26722222222223,89.5,4000
12,18.195555555555554,-78.01805555555553,89.5,2000
13,17.894999999999996,-76.50583333333333,89.5,2000
14,18.07305555555556,-76.85194444444444,89.9,8000
15,18.493888888888893,-77.84916666666668,89.9,4000
16,18.175833333333337,-76.48250000000002,89.9,2000
17,18.26111111111111,-77.5111111111111,90.3,0
18,18.089444444444442,-77.58805555555553,90.5,600
19,17.994444444444444,-76.80000000000001,90.7,0
20,18.089444444444442,-77.58805555555553,91.1,4000
21,18.07305555555556,-76.85194444444444,91.3,4000
22,18.015555555555558,-77.49888888888887,91.5,1000
23,17.994444444444444,-76.80000000000001,91.7,0
24,18.26111111111111,-77.5111111111111,91.9,0
25,18.38638888888889,-78.09638888888888,92.1,10000
26,18.07305555555556,-76.85194444444444,92.1,8000
27,17.97777777777777,-76.28333333333333,92.1,2500
28,17.9975,-76.79666666666667,92.1,500
29,18.089444444444442,-77.58805555555553,92.3,10000
30,18.39611111111111,-76.93027777777779,92.3,5000
31,18.175833333333337,-76.48250000000002,92.3,5000
32,18.493888888888893,-77.84916666666668,92.3,0
34,18.015555555555558,-76.81555555555556,92.7,2500
35,18.195555555555554,-78.01805555555553,92.7,2000
37,18.06388888888889,-77.52,93.1,4000
38,18.42,-77.26722222222223,93.1,4000
39,18.087777777777777,-77.14388888888888,93.3,4000
40,18.493888888888893,-77.84916666666668,93.5,4000
41,18.175833333333337,-76.48250000000002,93.5,2000
42,18.07305555555556,-76.85194444444444,93.7,8000
43,18.195555555555554,-78.01805555555553,93.7,2000
44,18.383055555555554,-77.10166666666665,93.9,4000
45,17.9975,-76.79666666666667,94.1,4000
46,18.38638888888889,-78.09638888888888,94.1,2500
