Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
43.1115,76.523,50.021,12
43.1343,76.5834,65.96,0
49.4844,73.0444,66.26,0
53.1338,63.4001,66.5,17000
43.1343,76.5834,66.74,4000
42.2032,69.3844,66.8,17000
47.2718,84.5237,66.8,17000
53.1338,63.4001,66.8,100
44.4707,76.2011,66.95,17000
43.3805,51.1543,67.01,17000
43.1317,70.2319,67.01,17000
49.4844,73.0444,67.04,17000
49.5817,60.0205,67.13,1000
48.1004,78.3959,67.28,17000
48.3454,51.3817,67.28,17000
49.1844,85.043,67.31,17000
43.1343,76.5834,67.52,20000
50.1523,58.2545,67.52,1000
49.41,49.29,67.85,17000
53.1338,63.4001,68.06,17000
50.1704,57.1402,68.27,0
43.1343,76.5834,68.36,4000
47.2718,84.5237,68.48,17000
45.27,79.56,68.6,17000
44.4707,76.2011,68.75,17000
50.1523,58.2545,68.93,1000
49.4844,73.0444,68.96,4000
43.3805,51.1543,68.99,17000
49.5817,60.0205,69.11,1000
51.1311,51.21,69.2,17000
48.3454,51.3817,69.32,17000
52.173,76.5826,69.32,17000
48.1004,78.3959,69.38,17000
53.1338,63.4001,69.38,17000
49.1844,85.043,69.41,17000
46.4922,81.5806,69.44,17000
51.1101,71.2441,69.56,17000
43.1343,76.5834,69.71,17000
44.5158,65.3006,69.8,17000
51.4309,75.1837,69.8,4000
47.0937,52.0129,70.04,17000
42.2032,69.3844,70.19,4000
54.523,69.0714,70.28,4000
44.08,80,70.52,17000
50.04,72.56,70.58,0
45.372,63.19,71.15,4000
50.2628,80.1345,71.21,4000
46.5021,74.581,71.33,17000
43.1343,76.5834,71.51,17000
46.4922,81.5806,71.54,17000
51.1101,71.2441,71.66,17000
46.5607,54.0206,71.78,17000
44.5158,65.3006,71.78,17000
47.0937,52.0129,71.9,17000
52.18,76.55,71.93,0
50.2628,80.1345,71.99,4000
54.523,69.0714,72.02,4000
44.08,80,72.14,17000
49.5428,82.3203,72.2,17000
49.5428,82.3203,72.68,17000
50.2628,80.1345,72.77,500
45.372,63.19,72.8,4000
50.1704,57.1402,72.83,0
46.5021,74.581,72.89,17000
49.5428,82.3203,72.98,17000
50.1704,57.1402,73.31,0
49.5428,82.3203,73.76,0
53.1338,63.4001,73.85,1000
51.1311,51.21,87.5,8000
41.5711,69.003,87.6,110
43.1343,76.5834,87.7,15850
42.3915,68.0834,87.7,118
42.001,68.3953,87.8,118
42.06,68.5904,88.1,115
42.4316,69.3959,88.2,118
43.1442,76.214,88.2,66
43.1343,76.5834,88.9,15850
41.2833,69.1026,89,5000
42.145,69.3204,89.2,1000
41.5545,69.3803,89.4,117
41.5711,69.003,89.4,110
41.2833,69.1026,89.6,12300
43.1343,76.5834,89.6,8000
42.145,69.3204,89.6,2400
42.3915,68.0834,89.8,118
42.0125,69.015,89.9,117
43.5913,76.17,89.9,66
42.4316,69.3959,90.2,118
43.2134,77.2726,91.1,1905
42.145,69.3204,91.2,5000
43.1343,76.5834,91.3,8000
42.2652,70.0612,91.5,117
42.001,68.3953,91.6,118
43.1343,76.5834,91.7,19500
50.1704,57.1402,91.7,3000
41.4637,69.4007,91.7,234
42.0219,69.5358,91.7,118
42.3613,70.1408,91.7,118
42.1412,70.1103,91.8,468
42.0219,69.5358,92.7,118
42.3613,70.1408,92.7,118
43.1439,76.1937,92.7,66
42.1412,70.1103,92.8,468
42.0209,69.2432,92.9,118
43.2104,77.3703,92.9,65
42.4333,70.3157,93,118
41.5207,69.4707,93.6,118
43.1849,77.0852,93.7,66
41.5227,69.3823,93.9,118
42.4947,70.2412,94,118
43.0623,76.0051,94,66
43.0651,76.5439,94.1,234
43.1529,76.1504,94.3,66
43.2423,77.3141,94.4,66
41.5207,69.4707,94.6,118
43.0936,76.2037,94.6,66
43.2512,77.1543,94.8,215
43.1738,77.1655,95.5,520
43.1343,76.5834,95.7,15850
42.06,68.5904,95.8,115
43.3309,76.173,95.9,66
44.5112,78.4113,96.2,66
43.155,76.0117,96.2,66
43.0425,75.5907,96.5,66
44.5107,78.3835,96.6,66
