,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,42.666666666666664,21.166666666666668,88.0,0
1,42.38333333333333,21.166666666666668,88.1,0
2,42.91055555555556,21.193055555555553,88.1,0
3,42.62833333333334,20.893888888888892,88.2,800
4,42.21388888888889,20.739722222222223,88.4,0
5,42.53833333333334,21.486666666666665,88.5,0
6,42.666666666666664,21.166666666666668,88.6,1000
7,42.446111111111115,20.622777777777777,88.9,0
8,42.62,21.14694444444445,89.0,50
9,42.914444444444456,20.689722222222215,89.1,0
10,42.14611111111111,20.861388888888886,89.4,0
11,42.885555555555555,20.918611111111105,89.6,0
12,42.43305555555556,21.039722222222224,89.6,0
13,42.21388888888889,20.739722222222223,89.7,0
14,42.666666666666664,21.166666666666668,89.8,0
15,42.358611111111095,20.824999999999992,89.9,0
16,42.568888888888885,20.97694444444444,90.2,2000
17,42.53833333333334,21.486666666666665,90.5,0
18,42.482222222222234,20.745833333333334,90.5,0
19,42.60111111111111,21.19583333333333,90.7,0
20,42.53777777777778,20.29111111111111,90.8,500
21,42.68305555555556,21.164444444444445,91.1,700
22,42.62166666666668,20.57777777777778,91.2,0
23,42.885555555555555,20.918611111111105,91.5,0
24,42.68694444444445,21.070277777777783,91.6,15
25,42.21388888888889,20.739722222222223,91.7,50
26,42.666666666666664,21.166666666666668,91.9,500
27,42.5463888888889,20.848055555555547,92.1,5000
28,42.885555555555555,20.918611111111105,92.2,0
29,42.446111111111115,20.622777777777777,92.4,0
30,42.37055555555556,21.15527777777778,92.6,1000
31,42.53833333333334,21.486666666666665,92.7,0
32,43.11666666666667,20.766666666666666,92.9,0
33,42.65999999999999,20.292222222222225,93.0,0
34,42.666666666666664,21.166666666666668,93.3,500
35,42.65999999999999,20.292222222222225,93.4,0
36,42.468888888888884,21.463333333333335,93.5,0
37,42.6,21.2,93.6,0
38,42.62,21.14694444444445,93.9,250
39,42.57805555555555,21.580277777777773,94.0,0
40,42.659444444444446,21.177499999999995,94.2,700
41,42.22194444444446,21.04722222222222,94.3,0
42,42.446111111111115,20.622777777777777,94.5,0
43,42.661111111111104,21.174166666666665,94.7,700
44,42.53833333333334,21.486666666666665,94.8,0
45,42.37055555555556,21.15527777777778,94.9,700
46,42.885555555555555,20.918611111111105,94.9,0
47,43.11666666666667,20.766666666666666,95.0,0
48,42.21388888888889,20.739722222222223,95.1,0
49,42.66166666666667,21.174722222222222,95.2,800
50,42.23194444444445,21.259444444444448,95.4,0
51,42.695,20.338611111111106,95.4,0
52,42.568888888888885,20.97694444444444,95.7,30000
53,42.66888888888889,21.15999999999999,96.2,1000
54,42.06249999999999,20.653333333333336,96.4,1000
55,42.468888888888884,21.463333333333335,96.4,0
56,42.568888888888885,20.97694444444444,96.6,2000
57,42.71666666666667,20.566666666666666,96.8,0
58,42.23194444444445,21.259444444444448,97.0,0
59,42.21388888888889,20.739722222222223,97.1,0
60,42.31666666666667,20.716666666666665,97.4,0
61,42.568888888888885,20.97694444444444,97.7,30000
62,42.468888888888884,21.463333333333335,97.9,0
63,42.695,20.338611111111106,98.0,0
64,43.11666666666667,20.766666666666666,98.1,1000
65,42.885555555555555,20.918611111111105,98.2,0
66,42.666666666666664,21.166666666666668,98.2,0
67,42.468888888888884,21.463333333333335,98.3,0
68,42.358611111111095,20.824999999999992,98.3,0
69,42.468888888888884,21.463333333333335,98.4,0
70,42.666666666666664,21.166666666666668,98.6,0
71,42.78083333333334,20.487499999999997,98.8,0
72,42.57805555555555,21.580277777777773,98.8,0
73,42.23944444444445,21.027222222222225,98.9,50
74,42.885555555555555,20.918611111111105,99.0,0
75,42.38333333333333,21.166666666666668,99.1,0
76,42.666666666666664,21.166666666666668,99.2,300
77,42.65999999999999,20.292222222222225,99.2,0
78,42.39944444444444,20.654722222222226,99.4,0
79,42.568888888888885,20.97694444444444,99.7,30000
80,42.38027777777777,20.430833333333325,100.0,700
81,41.944444444444436,20.66805555555556,100.0,300
82,42.666666666666664,21.166666666666668,100.2,0
83,43.11666666666667,20.766666666666666,100.3,0
84,42.40694444444444,21.49555555555556,100.4,50
85,42.53333333333333,21.133333333333333,100.7,0
86,43.11666666666667,20.766666666666666,100.8,0
87,42.468888888888884,21.463333333333335,100.9,0
88,42.66888888888889,21.15999999999999,101.0,1000
89,42.38027777777777,20.430833333333325,101.1,0
90,42.37055555555556,21.15527777777778,101.2,700
91,42.72333333333333,20.550277777777783,101.4,0
92,42.37138888888889,21.37444444444444,101.6,50
93,42.666666666666664,21.166666666666668,101.7,0
94,42.885555555555555,20.918611111111105,101.9,500
95,42.37055555555556,21.15527777777778,102.0,700
96,42.65111111111111,21.17555555555556,102.2,700
97,42.21388888888889,20.739722222222223,102.3,0
98,42.47944444444445,21.49555555555556,102.4,0
99,42.64055555555554,20.36972222222222,102.5,50
100,42.568888888888885,20.97694444444444,102.8,30000
101,43.11666666666667,20.766666666666666,103.0,0
102,42.91055555555556,21.193055555555553,103.2,0
103,42.38027777777777,20.430833333333325,103.3,0
104,42.468888888888884,21.463333333333335,103.3,0
105,42.468888888888884,21.463333333333335,103.3,0
106,42.666666666666664,21.166666666666668,103.5,0
108,42.446111111111115,20.622777777777777,103.9,0
109,42.53777777777778,20.29111111111111,104.1,0
110,42.885555555555555,20.918611111111105,104.2,0
111,42.468888888888884,21.463333333333335,104.3,300
112,42.21388888888889,20.739722222222223,104.4,0
113,42.885555555555555,20.918611111111105,104.6,1000
114,42.695,20.338611111111106,104.7,0
115,42.47944444444445,21.49555555555556,104.8,0
116,42.59833333333333,21.12138888888889,104.9,40
117,42.65999999999999,20.292222222222225,105.1,0
118,42.358611111111095,20.824999999999992,105.2,0
119,42.66333333333332,21.162222222222223,105.4,0
120,42.659722222222236,21.17111111111112,105.5,1000
121,42.82305555555554,20.967500000000005,105.7,0
123,42.36583333333333,21.34027777777778,105.9,0
124,42.63944444444443,21.096111111111114,106.0,700
125,42.666666666666664,21.166666666666668,106.0,0
126,42.78083333333334,20.487499999999997,106.2,0
127,42.06249999999999,20.653333333333336,106.3,50
128,42.65999999999999,20.292222222222225,106.3,0
129,42.68694444444445,21.070277777777783,106.4,0
130,42.22194444444446,21.04722222222222,106.6,50
131,42.21388888888889,20.739722222222223,106.9,0
132,42.21388888888889,20.739722222222223,107.3,0
133,42.68694444444445,21.070277777777783,107.4,50
134,42.74666666666668,20.788611111111113,107.6,0
135,42.468888888888884,21.463333333333335,107.7,300
136,42.21388888888889,20.739722222222223,107.9,0
137,42.89000000000002,20.869999999999997,107.9,0
