,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,42.4525,78.42277777777778,66.26,20000
1,42.888333333333314,74.60527777777779,66.38,20000
2,40.06944444444443,69.82111111111114,66.77,4000
3,42.4525,78.42277777777778,66.86,17000
4,42.580555555555556,76.0736111111111,67.04,20000
5,42.41777777777778,78.04444444444444,67.82,20000
6,42.888333333333314,74.60527777777779,67.94,20000
7,39.88055555555555,70.83305555555556,68.48,4000
8,41.961388888888884,73.15194444444444,68.66,20000
9,42.580555555555556,76.0736111111111,68.96,20000
10,40.38777777777777,73.32861111111112,69.68,4000
11,40.529722222222226,72.78638888888891,69.92,20000
12,41.17444444444446,73.00027777777778,70.07,20000
13,42.4525,78.42277777777778,70.24,4000
14,40.3,72.13333333333334,70.64,20000
15,41.41472222222222,75.87083333333335,70.82,20000
16,39.89138888888889,69.60611111111112,70.88,20000
17,40.529722222222226,72.78638888888891,71.69,20000
18,40.04694444444445,70.82611111111109,71.81,4000
19,41.17444444444446,73.00027777777778,71.93,20000
20,42.51111111111113,72.23444444444445,72.08,4000
21,40.3,72.13333333333334,72.2,20000
22,41.41472222222222,75.87083333333335,72.38,20000
23,39.89138888888889,69.60611111111112,72.44,20000
24,41.41472222222222,75.87083333333335,87.5,10000
25,42.44527777777778,72.20777777777776,87.5,6300
26,42.41777777777778,78.04444444444444,87.5,3200
27,42.888333333333314,74.60527777777779,87.5,3000
28,41.41722222222221,71.45277777777778,87.5,100
29,39.88055555555555,70.83305555555556,87.6,6300
30,41.31416666666667,72.5577777777778,87.6,6300
31,40.51805555555555,72.82444444444447,87.6,6300
32,41.97111111111111,74.64083333333335,87.6,3162
33,39.84111111111112,69.51222222222223,87.7,1000
34,42.580555555555556,76.0736111111111,87.9,16000
35,40.670277777777784,73.32666666666668,87.9,3200
36,40.38777777777777,73.32861111111112,87.9,1000
37,42.888333333333314,74.60527777777779,88.0,3000
38,40.21666666666668,72.90555555555555,88.0,2500
39,40.514166666666675,72.51500000000003,88.1,6300
40,41.17444444444446,73.00027777777778,88.1,3200
41,42.52138888888889,72.24472222222222,88.1,1600
42,40.670277777777784,73.32666666666668,88.2,4000
43,41.692777777777785,72.82694444444446,88.3,6300
44,40.51805555555555,72.82444444444447,88.4,6300
45,42.888333333333314,74.60527777777779,88.5,3000
46,42.65,77.08333333333333,88.8,4000
47,42.51444444444443,72.25194444444443,88.8,1600
48,42.888333333333314,74.60527777777779,89.0,4000
49,42.67416666666668,71.54944444444445,89.0,250
50,42.44527777777778,72.20777777777776,89.3,6300
51,42.80750000000001,73.85333333333332,89.3,2000
52,42.41777777777778,78.04444444444444,89.3,2000
53,42.888333333333314,74.60527777777779,89.3,1000
54,41.97111111111111,74.64083333333335,89.4,3162
55,42.888333333333314,74.60527777777779,89.6,3000
56,42.580555555555556,76.0736111111111,89.7,10000
57,42.52138888888889,72.24472222222222,89.8,1600
58,40.3,72.13333333333334,90.0,1000
59,42.888333333333314,74.60527777777779,90.2,1000
60,42.44527777777778,72.20777777777776,90.3,6300
61,42.833333333333336,74.01111111111109,90.6,2000
62,42.52138888888889,72.24472222222222,90.8,1600
63,42.888333333333314,74.60527777777779,90.9,2000
64,42.41777777777778,78.04444444444444,91.1,4000
65,42.87833333333334,74.9886111111111,91.2,2000
66,42.44527777777778,72.20777777777776,91.3,6300
67,42.580555555555556,76.0736111111111,91.5,1600
68,42.80750000000001,73.85333333333332,91.5,1000
69,43.05,74.47500000000001,91.5,1000
70,42.63999999999999,77.07861111111112,91.9,3200
71,42.80027777777779,74.60055555555557,92.0,10000
72,41.426944444444445,75.99666666666668,92.4,1000
73,42.41777777777778,78.04444444444444,92.6,1600
74,42.51111111111113,72.23444444444445,92.6,1000
75,41.41472222222222,75.87083333333335,93.3,10000
76,42.63999999999999,77.07861111111112,93.3,2000
77,42.580555555555556,76.0736111111111,93.5,5000
78,42.63999999999999,77.07861111111112,93.7,1000
79,41.426944444444445,75.99666666666668,93.7,1000
80,42.41777777777778,78.04444444444444,94.1,5000
81,42.80027777777779,74.60055555555557,94.1,3200
82,41.41472222222222,75.87083333333335,94.1,1000
83,41.97111111111111,74.64083333333335,94.9,3162
84,41.41472222222222,75.87083333333335,95.1,3200
85,42.580555555555556,76.0736111111111,95.3,5000
86,40.51805555555555,72.82444444444447,95.3,3000
87,42.41777777777778,78.04444444444444,95.8,5000
88,42.51111111111113,72.23444444444445,96.0,3000
89,42.80027777777779,74.60055555555557,96.1,3200
90,42.41777777777778,78.04444444444444,96.2,1600
91,41.41472222222222,75.87083333333335,96.9,4000
92,41.127777777777766,75.83749999999999,97.0,1600
93,42.580555555555556,76.0736111111111,97.1,5000
94,43.05,74.47500000000001,97.1,0
95,42.495000000000005,78.3963888888889,97.3,3200
96,42.80027777777779,74.60055555555557,97.6,10000
97,42.41777777777778,78.04444444444444,98.0,4000
98,42.7963888888889,74.61777777777777,98.1,10000
99,41.17444444444446,73.00027777777778,98.5,4000
100,41.42583333333333,75.96416666666667,98.7,1000
101,40.51805555555555,72.82444444444447,99.3,2000
102,42.580555555555556,76.0736111111111,99.4,1000
103,42.80027777777779,74.60055555555557,99.6,3200
104,41.17444444444446,73.00027777777778,99.7,1000
105,41.97111111111111,74.64083333333335,100.0,1600
106,41.41472222222222,75.87083333333335,100.5,5000
107,42.888333333333314,74.60527777777779,100.5,3000
108,39.51138888888889,72.91638888888889,100.5,2500
109,42.51444444444443,72.25194444444443,100.5,1600
110,41.17444444444446,73.00027777777778,100.5,800
111,42.41777777777778,78.04444444444444,100.6,1000
112,40.51805555555555,72.82444444444447,100.7,4000
113,42.888333333333314,74.60527777777779,100.9,3000
114,41.42583333333333,75.96416666666667,101.0,1600
115,40.670277777777784,73.32666666666668,101.0,1600
116,40.627777777777766,73.6,101.1,20000
