,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,56.93472222222221,22.012777777777778,68.81,17000
1,56.92388888888888,24.136944444444442,69.71,25000
2,57.513888888888886,22.33111111111111,70.16,17000
3,56.513055555555546,21.00166666666666,71.54,17000
4,57.39277777777779,21.56722222222222,72.95,0
5,57.15666666666666,22.685277777777774,87.5,501
6,57.52638888888888,25.384444444444444,87.6,2399
7,55.81583333333334,27.445277777777775,87.6,1600
8,56.55416666666666,21.044444444444448,87.7,1585
9,56.661388888888894,24.912499999999998,87.7,398
10,56.640555555555544,23.234444444444446,87.8,1000
11,56.60083333333334,22.424444444444447,87.8,200
12,56.970277777777774,26.299166666666665,87.9,15136
13,57.40333333333333,21.575,87.9,1000
14,57.65777777777778,24.383888888888887,88.0,468
15,56.405555555555544,24.16138888888889,88.0,288
16,55.8725,26.533333333333335,88.1,3981
17,56.59611111111111,21.74972222222223,88.1,316
18,57.52666666666667,25.391111111111112,88.2,200
19,57.04694444444445,22.785833333333336,88.3,501
20,56.513055555555546,21.00166666666666,88.4,1300
21,57.17777777777777,26.741111111111106,88.4,977
22,56.62444444444444,23.29861111111111,88.4,100
23,57.39277777777779,21.56722222222222,88.5,794
24,56.92388888888888,24.136944444444442,88.6,1000
25,56.65027777777777,23.745277777777773,88.6,600
26,55.8725,26.533333333333335,88.7,5573
27,57.65777777777778,24.383888888888887,88.8,501
28,56.520833333333336,27.419444444444448,88.9,3467
29,57.77305555555555,26.020833333333336,88.9,324
30,56.513055555555546,21.00166666666666,88.9,162
31,56.67972222222222,22.474722222222226,89.0,562
32,56.5825,25.689166666666665,89.1,2512
33,56.92388888888888,24.136944444444442,89.2,2630
34,57.513888888888886,22.33111111111111,89.3,1000
35,56.520833333333336,27.419444444444448,89.4,794
36,57.52638888888888,25.384444444444444,89.5,2399
37,56.71055555555556,21.59833333333333,89.5,1122
38,56.970277777777774,26.299166666666665,89.6,240
39,56.912499999999994,23.314722222222226,89.6,126
40,57.154444444444444,24.884722222222223,89.8,500
41,57.39277777777779,21.56722222222222,89.8,316
42,56.92388888888888,24.136944444444442,90.0,501
43,55.8725,26.533333333333335,90.1,2512
44,57.40722222222223,27.076944444444447,90.2,631
45,56.49944444444444,22.84416666666667,90.2,0
46,57.6963888888889,25.175555555555558,90.3,944
47,56.933611111111105,21.921666666666667,90.4,2239
48,56.901111111111106,26.143611111111113,90.5,501
49,55.8725,26.533333333333335,90.6,7943
50,56.92388888888888,24.136944444444442,90.7,35481
51,57.389166666666675,21.597777777777775,90.8,1047
52,56.88833333333332,26.196111111111108,90.9,2951
53,56.55416666666666,21.044444444444448,91.0,1905
54,57.513888888888886,22.33111111111111,91.1,3981
55,56.340833333333336,25.548888888888893,91.1,1585
56,56.505277777777785,27.330833333333334,91.4,631
57,56.92388888888888,24.136944444444442,91.5,35481
58,56.30027777777779,26.713333333333335,91.6,200
59,56.667222222222215,24.23972222222222,91.9,1995
