,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,34.60305555555556,36.33194444444445,87.5,325
1,33.866666666666674,35.51666666666667,87.5,0
2,33.58333333333334,35.400000000000006,87.5,0
3,33.866666666666674,35.51666666666667,87.7,0
4,33.89166666666667,35.524722222222216,87.9,0
5,34.416666666666664,35.86111111111111,87.9,0
6,34.446111111111115,35.933055555555555,88.0,0
7,33.78916666666666,35.985555555555564,88.0,0
8,33.854722222222215,35.596388888888896,88.1,0
9,34.446111111111115,35.933055555555555,88.3,200000
10,33.56583333333334,35.96611111111112,88.3,160000
11,33.98333333333334,35.67777777777777,88.5,0
12,33.854722222222215,35.596388888888896,88.7,100000
13,33.98444444444445,35.66416666666667,88.9,0
14,33.854722222222215,35.596388888888896,89.1,0
15,34.416666666666664,35.86111111111111,89.3,1000
16,33.73166666666667,35.53194444444444,89.3,0
17,34.0,36.2111111111111,89.3,0
18,34.416666666666664,35.86111111111111,89.5,1000
19,33.86694444444444,35.51583333333334,89.5,0
20,33.86694444444444,35.51583333333334,89.7,0
21,34.19777777777778,35.68,89.7,0
22,33.866666666666674,35.51666666666667,89.9,0
23,33.977777777777774,35.694444444444436,89.9,0
24,33.35,35.51666666666667,89.9,0
25,33.854722222222215,35.596388888888896,90.1,0
26,34.51666666666667,36.077777777777776,90.1,0
27,33.58333333333334,35.400000000000006,90.1,0
28,33.78916666666666,35.985555555555564,90.1,0
29,34.54472222222223,36.15138888888888,90.3,0
30,33.88333333333333,35.51666666666667,90.3,0
31,33.84111111111112,35.907777777777774,90.3,0
32,33.77916666666667,35.55472222222221,90.5,48000
33,34.55055555555555,36.07805555555556,90.5,0
34,34.416666666666664,35.86111111111111,90.5,0
35,34.0,36.16666666666667,90.5,0
36,34.352222222222224,35.77722222222222,90.6,0
37,34.10000000000001,35.70000000000001,90.7,0
38,33.88333333333333,35.51666666666667,90.8,0
39,33.88333333333333,35.51666666666667,90.9,0
40,33.866666666666674,35.51666666666667,91.0,0
41,34.31111111111111,36.11666666666667,91.0,0
42,33.88333333333333,35.51666666666667,91.1,0
43,33.97388888888889,35.74055555555555,91.3,10000
44,34.0,36.2111111111111,91.3,0
45,33.88583333333334,35.4986111111111,91.5,0
46,33.88333333333333,35.51666666666667,91.7,0
47,33.58333333333334,35.400000000000006,91.7,0
48,34.0,36.2111111111111,91.9,0
49,33.854722222222215,35.596388888888896,91.9,0
50,33.866666666666674,35.51666666666667,92.1,0
51,33.73166666666667,35.53194444444444,92.3,48000
52,33.98444444444445,35.66416666666667,92.3,500
53,33.866666666666674,35.51666666666667,92.5,0
54,33.73166666666667,35.53194444444444,92.7,0
55,33.953055555555565,35.59861111111111,92.9,48000
56,33.73166666666667,35.53194444444444,93.1,25000
57,33.85750000000001,35.81916666666668,93.1,10000
58,33.78916666666666,35.985555555555564,93.1,10000
59,33.56583333333334,35.96611111111112,93.1,0
60,33.953055555555565,35.59861111111111,93.3,50000
61,34.446111111111115,35.933055555555555,93.5,25000
62,33.953055555555565,35.59861111111111,93.6,0
63,34.446111111111115,35.933055555555555,93.7,5000
64,33.88333333333333,35.51666666666667,93.9,0
65,33.676111111111105,35.69888888888888,94.1,0
66,33.58333333333334,35.400000000000006,94.3,0
67,34.416666666666664,35.86111111111111,94.3,0
68,34.33333333333334,35.74444444444444,94.5,5000
69,33.866666666666674,35.51666666666667,94.5,500
70,33.895555555555546,35.53972222222222,94.7,50000
71,34.416666666666664,35.86111111111111,94.7,0
72,34.0,36.16666666666667,94.9,0
73,33.854722222222215,35.596388888888896,95.0,0
74,34.446111111111115,35.933055555555555,95.0,0
75,33.269444444444446,35.205555555555556,95.1,10000
76,34.446111111111115,35.933055555555555,95.1,0
77,34.0,36.16666666666667,95.1,0
78,33.854722222222215,35.596388888888896,95.3,0
79,33.099722222222226,35.44944444444444,95.3,0
80,33.56583333333334,35.96611111111112,95.3,0
81,33.88333333333333,35.51666666666667,95.5,0
82,34.10000000000001,35.70000000000001,95.5,0
83,33.269444444444446,35.205555555555556,95.7,0
84,33.88333333333333,35.51666666666667,95.9,0
85,33.854722222222215,35.596388888888896,96.2,50000
86,34.0,36.2111111111111,96.2,35000
87,34.301944444444445,35.93555555555555,96.2,27000
88,33.48527777777778,35.545555555555545,96.2,18000
89,34.31111111111111,36.11666666666667,96.3,0
90,33.88333333333333,35.51666666666667,96.5,10000
91,34.416666666666664,35.86111111111111,96.5,0
92,33.78916666666666,35.985555555555564,96.5,0
93,33.866666666666674,35.51666666666667,96.7,26500
94,33.62777777777777,35.49444444444445,96.7,10000
95,34.446111111111115,35.933055555555555,96.7,2500
96,33.84111111111112,35.907777777777774,96.7,875
97,33.88333333333333,35.51666666666667,96.9,1000
98,33.70000000000001,35.5611111111111,96.9,0
99,33.56583333333334,35.96611111111112,97.1,84000
100,33.854722222222215,35.596388888888896,97.1,45000
101,34.48833333333334,36.262777777777785,97.1,10000
102,33.58333333333334,35.400000000000006,97.1,5000
103,34.0,36.2111111111111,97.1,2500
104,33.86111111111111,35.91111111111111,97.3,0
105,33.854722222222215,35.596388888888896,97.4,10000
106,34.48833333333334,36.262777777777785,97.4,0
107,34.446111111111115,35.933055555555555,97.7,76000
108,33.866666666666674,35.51666666666667,97.7,0
109,34.60305555555556,36.33194444444445,97.7,0
110,33.78916666666666,35.985555555555564,97.7,0
111,33.866666666666674,35.51666666666667,97.9,5000
112,34.416666666666664,35.86111111111111,97.9,0
113,33.269444444444446,35.205555555555556,98.1,10000
114,33.854722222222215,35.596388888888896,98.5,50000
115,33.48527777777778,35.545555555555545,98.5,18000
116,33.269444444444446,35.205555555555556,98.7,0
117,33.866666666666674,35.51666666666667,99.1,91000
118,34.03333333333334,35.65666666666667,99.1,0
119,33.676111111111105,35.69888888888888,99.1,0
120,33.48527777777778,35.545555555555545,99.1,0
121,33.58333333333334,35.400000000000006,99.1,0
122,34.446111111111115,35.933055555555555,99.1,0
123,33.78916666666666,35.985555555555564,99.1,0
124,33.854722222222215,35.596388888888896,99.3,0
125,33.854722222222215,35.596388888888896,99.5,50000
126,34.31111111111111,35.81111111111111,99.5,0
127,34.03333333333334,35.65666666666667,99.5,0
128,33.269444444444446,35.205555555555556,99.5,0
129,33.88333333333333,35.51666666666667,99.7,0
130,33.96527777777778,35.84,99.7,0
131,34.03333333333334,35.65666666666667,99.7,0
132,33.676111111111105,35.69888888888888,99.7,0
133,34.416666666666664,35.86111111111111,99.7,0
134,34.261111111111106,36.03333333333334,99.9,0
135,34.23388888888889,35.87888888888889,99.9,0
136,33.77916666666667,35.55472222222221,99.9,0
137,33.78916666666666,35.985555555555564,99.9,0
138,34.02777777777777,36.216666666666676,100.1,0
139,33.885555555555555,35.52305555555556,100.1,0
140,33.81666666666668,35.81666666666668,100.3,0
141,33.854722222222215,35.596388888888896,100.5,6000
142,34.446111111111115,35.933055555555555,100.5,2000
143,33.88333333333333,35.51666666666667,100.7,0
144,33.866666666666674,35.51666666666667,100.9,240000
145,34.446111111111115,35.933055555555555,100.9,0
146,33.88333333333333,35.51666666666667,101.1,0
147,33.73166666666667,35.53194444444444,101.3,0
148,33.88333333333333,35.51666666666667,101.5,0
149,34.416666666666664,35.86111111111111,101.5,0
150,33.11361111111112,35.28972222222222,101.6,0
151,33.85750000000001,35.81916666666668,101.7,10000
152,34.446111111111115,35.933055555555555,101.7,10000
153,33.866666666666674,35.51666666666667,101.7,7500
154,34.03333333333334,35.65666666666667,101.7,1250
155,33.35,35.51666666666667,101.7,0
156,33.854722222222215,35.596388888888896,101.9,50000
157,33.56583333333334,35.96611111111112,101.9,25000
158,33.833333333333336,35.91111111111111,101.9,10000
159,34.60305555555556,36.33194444444445,101.9,0
